"geocode.value","lon","lat","geoAddress"
"Hanahan, SC, United States",-80.0031833,32.9305786,"hanahan, sc, usa"
"Hancock, NY, United States",-75.2804502,41.9539754,"hancock, ny 13783, usa"
"Harbert, MI, United States",-86.6313097,41.8713477,"harbert, chikaming township, mi, usa"
"Harbor Beach, MI, United States",-82.6513186,43.8447369,"harbor beach, mi 48441, usa"
"Harbor Township, NJ, United States",-74.6166192,39.3822537,"egg harbor township, nj, usa"
"Harrisburg, PA, United States",-76.8867008,40.2731911,"harrisburg, pa, usa"
"Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"Hastings, East Sussex, England",0.573453,50.854259,"hastings, uk"
"Hastings-on-Hudson, NY, United States",-73.8787461,40.994542,"hastings-on-hudson, ny 10706, usa"
"Haverhill, MA, United States",-71.0772796,42.7762015,"haverhill, ma, usa"
"Haysville, KS, United States",-97.3522635,37.5643352,"haysville, ks, usa"
"Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Hebden, West Yorkshire, England",-1.9443993,53.8295421,"hebden rd, keighley bd22, uk"
"Heiskell, TN, United States",-84.0541338,36.0818558,"heiskell, tn, usa"
"Helen, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Helena, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Helsinki, , Finland",24.938379,60.1698557,"helsinki, finland"
"Hemet, CA, United States",-116.9719684,33.7475203,"hemet, ca, usa"
"Hendersonville, NC, United States",-82.4609528,35.3187279,"hendersonville, nc, usa"
"Herndon, VA, United States",-77.3860976,38.9695545,"herndon, va 20170, usa"
"Hialeah, FL, United States",-80.2781057,25.8575963,"hialeah, fl, usa"
"Hickory, NC, United States",-81.3444573,35.7344538,"hickory, nc, usa"
"Highgate Center, VT, United States",-73.0454456,44.9385149,"highgate center, highgate, vt 05459, usa"
"Highland, NY, United States",-73.9601382,41.7209267,"highland, ny 12528, usa"
"Hillsboro, WI, United States",-90.3440178,43.6521958,"hillsboro, wi 54634, usa"
"Hillsborough, NC, United States",-79.0997347,36.0754183,"hillsborough, nc 27278, usa"
"Hillsdale, MI, United States",-84.6305101,41.9200472,"hillsdale, mi, usa"
"Hilton Head, SC, United States",-80.752608,32.216316,"hilton head island, sc, usa"
"Hobe Sound, FL, United States",-80.1364323,27.059498,"hobe sound, fl 33455, usa"
"Hockessin, DE, United States",-75.6966001,39.7876112,"hockessin, de, usa"
"Holbrook, MA, United States",-71.014118,42.144846,"holbrook, ma, usa"
"Holland, MI, United States",-86.1089301,42.7875235,"holland, mi 49423, usa"
"Holly Hill, FL, United States",-81.0375555,29.2435916,"holly hill, fl, usa"
"Holly Hill, SC, United States",-80.4137037,33.3226624,"holly hill, sc 29059, usa"
"Holly Springs, MS, United States",-89.4486894,34.7675967,"holly springs, ms 38635, usa"
"Hollywood, CA, United States",-118.3286614,34.0928092,"hollywood, los angeles, ca, usa"
"Hollywood, FL, United States",-80.1494901,26.0112014,"hollywood, fl, usa"
"Holts Summit, MO, United States",-92.1224055,38.640315,"holts summit, mo 65043, usa"
"Holyrood, NL, Canada",-53.1242811,47.3850176,"holyrood, nl, canada"
"Homer, AK, United States",-151.5299245,59.6480855,"homer, ak, usa"
"Honolulu, HI, United States",-157.8581401,21.3098845,"honolulu, hi, usa"
"Honor, MI, United States",-86.0181451,44.6638886,"honor, mi 49640, usa"
"Horfield, Bristol, England",-2.585055,51.489282,"horfield, bristol bs7 8ut, uk"
"Hornby Island, BC, Canada",-124.6422679,49.5105896,"hornby island, bc v0r 1z0, canada"
"Hornby Island, British Columbia, Canada",-124.6422679,49.5105896,"hornby island, bc v0r 1z0, canada"
"Horner, WV, United States",-80.3825877,39.0006516,"horner, wv 26372, usa"
"Houlton, ME, United States",-67.8402316,46.1261806,"houlton, me 04730, usa"
"Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa"
"Huntingdon, PA, United States",-78.0102813,40.4847959,"huntingdon, pa 16652, usa"
"Huntington, NY, United States",-73.425676,40.8681539,"huntington, ny, usa"
"Huntington, WV, United States",-82.445154,38.4192496,"huntington, wv, usa"
"Huntington Beach, CA, United States",-117.9988026,33.6594835,"huntington beach, ca, usa"
"Huntington Station, NY, United States",-73.4115091,40.8534318,"huntington station, ny, usa"
"Huntsville, AL, United States",-86.5861037,34.7303688,"huntsville, al, usa"
"Hyannis, MA, United States",-70.2881124,41.6524911,"hyannis, barnstable, ma 02601, usa"
"Hyattsville, MD, United States",-76.9455301,38.9559442,"hyattsville, md, usa"
"Hyde Park, MA, United States",-71.1255855,42.2556619,"hyde park, boston, ma, usa"
"Hygiene, CO, United States",-105.1781092,40.1893942,"hygiene, co 80503, usa"
"Independence, MO, United States",-94.4155068,39.0911161,"independence, mo, usa"
"Indian Trail, NC, United States",-80.6692352,35.0768141,"indian trail, nc, usa"
"Indiana, PA, United States",-79.1525349,40.6214551,"indiana, pa 15701, usa"
"Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa"
"Inglewood, CA, United States",-118.3531311,33.9616801,"inglewood, ca, usa"
"Inwood, WV, United States",-78.0399994,39.3578781,"inwood, wv, usa"
"Iowa City, IA, United States",-91.5346169,41.6578257,"iowa city, ia, usa"
"Iron, MN, United States",-92.6033333,47.4188889,"iron junction, mn 55751, usa"
"Irving, TX, United States",-96.9488945,32.8140177,"irving, tx, usa"
"Isle of Great Bernera, , Scotland",-6.8360411,58.217489,"great bernera hs2, uk"
"Islip Terrace, NY, United States",-73.1881781,40.7494306,"islip terrace, ny, usa"
"Ithaca, NY, United States",-76.5018807,42.4439614,"ithaca, ny, usa"
"Iverness, FL, United States",-82.3313955,28.8354507,"inverness, fl, usa"
"Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"Jackson, WY, United States",-110.7624282,43.4799291,"jackson, wy, usa"
"Jackson Heights, NY, United States",-73.8830701,40.7556818,"jackson heights, queens, ny, usa"
"Jacksonville, FL, United States",-81.655651,30.3321838,"jacksonville, fl, usa"
"Jacksonville, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"Jacksonville, OR, United States",-122.9669865,42.3134584,"jacksonville, or 97530, usa"
"Jamaica Plain, MA, United States",-71.1141118,42.3132414,"jamaica plain, boston, ma, usa"
"Jamesville, NY, United States",-76.0717698,42.9914763,"jamesville, ny 13078, usa"
"Jasper, AR, United States",-93.1872677,36.008226,"jasper, ar 72641, usa"
"Jefferson, LA, United States",-90.1531298,29.9660371,"jefferson, la, usa"
"Jefferson, PA, United States",-80.0589461,39.9300749,"jefferson, pa 15344, usa"
"Jefferson, WI, United States",-88.8073273,43.0055594,"jefferson, wi 53549, usa"
"Jefferson City, MO, United States",-92.1735164,38.5767017,"jefferson city, mo, usa"
"Jerome, AZ, United States",-112.1137716,34.7489107,"jerome, az 86331, usa"
"Jersey City, NJ, United States",-74.0431435,40.7177545,"jersey city, nj, usa"
"Jerusalem, , Israel",35.21371,31.768319,"jerusalem, israel"
"Johnson City, NY, United States",-75.9588092,42.1156308,"johnson city, ny 13790, usa"
"Johnson City, TN, United States",-82.3534727,36.3134397,"johnson city, tn, usa"
"Jones, MI, United States",-85.7988714,41.9042867,"jones, mi 49061, usa"
"Jonesboro, AR, United States",-90.7051346,35.835696,"jonesboro, ar, usa"
"Jonesboro, ME, United States",-67.5724938,44.6625773,"jonesboro, me, usa"
"Jonesborough, TN, United States",-82.4734787,36.2942722,"jonesborough, tn 37659, usa"
"Joshua Tree, CA, United States",-116.3130661,34.134728,"joshua tree, ca 92252, usa"
"Joyce, WA, United States",-123.7344094,48.1361486,"joyce, wa 98363, usa"
"Junction City, CA, United States",-123.0547104,40.7300937,"junction city, ca 96048, usa"
"Juneau, AK, United States",-134.4201306,58.3004933,"juneau, ak, usa"
"Kailua Kona, HI, United States",-155.9962255,19.6419129,"kailua-kona, hi, usa"
"Kailua-kona, HI, United States",-155.9962255,19.6419129,"kailua-kona, hi, usa"
"Kailua-Kona, HI, United States",-155.9962255,19.6419129,"kailua-kona, hi, usa"
"Kaitaia, , New Zealand",173.258714,-35.1088272,"kaitaia, new zealand"
"Kalamazoo, MI, United States",-85.5872286,42.2917069,"kalamazoo, mi, usa"
"Kalispell, MT, United States",-114.3168131,48.1919889,"kalispell, mt 59901, usa"
"Kampot, , Cambodia",104.1640355,10.5942421,"krong kampot, cambodia"
"Kanab, UT, United States",-112.5263145,37.0474855,"kanab, ut 84741, usa"
"Kanawha Head, WV, United States",-80.3464719,38.77288,"kanawha head, wv 26228, usa"
"Kaneohe, HI, United States",-157.799637,21.4028819,"kaneohe, hi 96744, usa"
"Kankakee, IL, United States",-87.8611531,41.1200325,"kankakee, il, usa"
"Kansas City, KS, United States",-94.6267873,39.1155314,"kansas city, ks, usa"
"Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Keams Canyon, AZ, United States",-110.1951253,35.812506,"keams canyon, az 86034, usa"
"Kearny, NJ, United States",-74.1454214,40.7684342,"kearny, nj, usa"
"Keeseville, NY, United States",-73.4801348,44.5050479,"keeseville, ny 12944, usa"
"Keflavik, , Iceland",-22.5582716,63.9997549,"keflavík, iceland"
"Kendall Park, NJ, United States",-74.560711,40.4209391,"kendall park, south brunswick township, nj, usa"
"Kenmore, NY, United States",-78.870036,42.9658907,"kenmore, ny 14217, usa"
"Kennebunkport, ME, United States",-70.4767274,43.3617327,"kennebunkport, me 04046, usa"
"Kennesaw, GA, United States",-84.6154897,34.0234337,"kennesaw, ga, usa"
"Kennewick, WA, United States",-119.119948,46.2086683,"kennewick, wa, usa"
"Kenosha, WI, United States",-87.8211854,42.5847425,"kenosha, wi, usa"
"Kent, OH, United States",-81.3578859,41.1536674,"kent, oh, usa"
"Keokuk, IA, United States",-91.3963966,40.4044731,"keokuk, ia 52632, usa"
"Kerhonkson, NY, United States",-74.2982059,41.7748155,"kerhonkson, ny 12446, usa"
"Keswick, VA, United States",-78.3586224,38.0134293,"keswick, va 22947, usa"
"Key West, FL, United States",-81.7841722,24.5554183,"key west, florida 33040, usa"
"Kihei, HI, United States",-156.4541873,20.7399409,"kihei, hi 96753, usa"
"Kimberton, PA, United States",-75.5721138,40.1307272,"kimberton, pa, usa"
"Kingsport, TN, United States",-82.5618186,36.548434,"kingsport, tn, usa"
"Kingston, , Jamaica",-76.8099041,18.0178743,"kingston, jamaica"
"Kingston, ON, Canada",-76.4859544,44.2311717,"kingston, on, canada"
"Kingston, PA, United States",-75.8968635,41.2617481,"kingston, pa 18704, usa"
"Kirkwood, MO, United States",-90.406785,38.5833862,"kirkwood, mo 63122, usa"
"Kissimmee, FL, United States",-81.407571,28.2919557,"kissimmee, fl, usa"
"Kittery, ME, United States",-70.736137,43.0881256,"kittery, me, usa"
"Klamath Falls, OR, United States",-121.7816704,42.224867,"klamath falls, or, usa"
"Knox, IN, United States",-86.6250139,41.2958751,"knox, in 46534, usa"
"Knoxville, TN, United States",-83.9207392,35.9606384,"knoxville, tn, usa"
"Koeln, , Germany",6.9602786,50.937531,"cologne, germany"
"Kokomo, IN, United States",-86.1336033,40.486427,"kokomo, in, usa"
"La Crosse, WI, United States",-91.2519017,43.8137751,"la crosse, wi, usa"
"La Porte, IN, United States",-86.7227195,41.611143,"la porte, in 46350, usa"
"Ladenberg, PA, United States",-75.7716437,39.7777755,"landenberg, pa 19350, usa"
"Lafayette, CA, United States",-122.1180201,37.8857582,"lafayette, ca, usa"
"Lafayette, CO, United States",-105.0897058,39.9935959,"lafayette, co, usa"
"Lafayette, IN, United States",-86.8752869,40.4167022,"lafayette, in, usa"
"Lafayette, LA, United States",-92.0198427,30.2240897,"lafayette, la, usa"
"Lake Ann, MI, United States",-85.8431394,44.7238891,"lake ann, mi 49650, usa"
"Lake Buena Vista, FL, United States",-81.5261474,28.3695351,"lake buena vista, fl 32830, usa"
"Lake Carmel, NY, United States",-73.6709626,41.4614825,"lake carmel, ny, usa"
"Lake Charlotte, NS, Canada",-62.9500795,44.7677562,"lake charlotte, ns, canada"
"Lake Elsinore, CA, United States",-117.3272615,33.6680772,"lake elsinore, ca, usa"
"Lake Peeksill, NY, United States",-73.8784315,41.3378943,"lake peekskill, putnam valley, ny, usa"
"Lake Peekskill, NY, United States",-73.8784315,41.3378943,"lake peekskill, putnam valley, ny, usa"
"Lake Tahoe, CA, United States",-120.0323507,39.0968493,"lake tahoe, united states"
"Lake Worth, FL, United States",-80.0684479,26.6167555,"lake worth, fl, usa"
"Lakewood, CO, United States",-105.0813734,39.7047095,"lakewood, co, usa"
"Lakewood, OH, United States",-81.7981908,41.4819932,"lakewood, oh, usa"
"Lambertville, NJ, United States",-74.9429448,40.3659394,"lambertville, nj 08530, usa"
"Lampeter, , Wales",-4.078509,52.112903,"lampeter sa48, uk"
"Lanark, Ontario, Canada",-76.3651814,45.0181238,"lanark, on k0g, canada"
"Lancaster, CA, United States",-118.1541632,34.6867846,"lancaster, ca, usa"
"Lancaster, PA, United States",-76.3055144,40.0378755,"lancaster, pa, usa"
"Land O' Lakes, FL, United States",-82.4575938,28.2188992,"land o' lakes, fl, usa"
"Lander, WY, United States",-108.7306725,42.833014,"lander, wy 82520, usa"
"Lansing, MI, United States",-84.5555347,42.732535,"lansing, mi, usa"
"Lapeer, MI, United States",-83.3188341,43.0514161,"lapeer, mi 48446, usa"
"LaPorte, IN, United States",-86.7227195,41.611143,"la porte, in 46350, usa"
"Laramie, WY, United States",-105.5911007,41.3113669,"laramie, wy, usa"
"Largo, FL, United States",-82.7873244,27.9094665,"largo, fl, usa"
"Larned, KS, United States",-99.098713,38.1805693,"larned, ks 67550, usa"
"Las Cruces, NM, United States",-106.7636538,32.3199396,"las cruces, nm, usa"
"Las Vegas, NV, United States",-115.1391009,36.171563,"las vegas, nv, usa"
"Lauderhill, FL, United States",-80.2133808,26.1403635,"lauderhill, fl, usa"
"Laurel, FL, United States",-82.453152,27.1303319,"laurel, fl, usa"
"Laurium, MI, United States",-88.4431725,47.2374255,"laurium, calumet twp, mi 49913, usa"
"Lavonia, GA, United States",-83.106818,34.4359361,"lavonia, ga 30553, usa"
"Lawrence, KS, United States",-95.2352501,38.9716689,"lawrence, ks, usa"
"Lawrenceville, GA, United States",-83.9879625,33.9562149,"lawrenceville, ga, usa"
"Lawrenceville, NJ, United States",-74.7361013,40.3016375,"lawrenceville, lawrence township, nj 08648, usa"
"Lawton, OK, United States",-98.3959291,34.6035669,"lawton, ok, usa"
"League City, TX, United States",-95.0949303,29.5074538,"league city, tx, usa"
"Leesville, LA, United States",-93.260998,31.1435194,"leesville, la 71446, usa"
"Lehigh Valley, PA, United States",-75.5043761,40.5833639,"allentown-bethlehem-easton metropolitan area, usa"
"Lemoyne, PA, United States",-76.8941403,40.2412008,"lemoyne, pa, usa"
"Lexington, KY, United States",-84.5037164,38.0405837,"lexington, ky, usa"
"Lexington, VA, United States",-79.4428157,37.7840208,"lexington, va 24450, usa"
"Lima, OH, United States",-84.1052256,40.742551,"lima, oh, usa"
"Lincoln, NE, United States",-96.7025955,40.813616,"lincoln, ne, usa"
"Lincoln University, PA, United States",-75.9270918,39.8086987,"lincoln university, pa 19352, usa"
"Lincolnville, ME, United States",-69.0087018,44.2811973,"lincolnville, me 04849, usa"
"Linköping, , Sweden",15.6213727,58.410807,"linköping, sweden"
"Lions Head, ON, Canada",-81.2546076,44.9871484,"lion's head, on n0h 1w0, canada"
"Lismore Heights, NSW, Australia",153.3040472,-28.8081179,"lismore heights nsw 2480, australia"
"Lithonia, GA, United States",-84.1051939,33.7123305,"lithonia, ga 30058, usa"
"Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Littleton, CO, United States",-105.0166498,39.613321,"littleton, co, usa"
"Littleton, NH, United States",-71.7701237,44.3061628,"littleton, nh 03561, usa"
"Litzelsdorf, , Austria",16.1610992,47.2095766,"7532 litzelsdorf, austria"
"Llion, NY, United States",-75.0354347,43.0150703,"ilion, ny 13357, usa"
"Logansport, IN, United States",-86.3566659,40.7544843,"logansport, in 46947, usa"
"Lombard, IL, United States",-88.0078435,41.8800296,"lombard, il, usa"
"London, , United Kingdom",-0.1275862,51.5072178,"london, uk"
"London, , England",-0.1275862,51.5072178,"london, uk"
"London, ON, Canada",-81.2452768,42.9849233,"london, on, canada"
"London, Ontario, Canada",-81.2452768,42.9849233,"london, on, canada"
"Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Long Island, NY, United States",-73.134961,40.789142,"long island, new york, usa"
"Lopez, WA, United States",-122.9131636,48.5242704,"lopez island, wa 98261, usa"
"Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa"
"Louisa, VA, United States",-78.0041649,38.0251394,"louisa, va 23093, usa"
"Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"Lousiville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"Lowell, MA, United States",-71.3161718,42.6334247,"lowell, ma, usa"
"Lowell, MI, United States",-85.3419609,42.9336426,"lowell, mi 49331, usa"
"Lower Brule, SD, United States",-99.5800809,44.0748794,"lower brule, sd 57548, usa"
"Lubbock, TX, United States",-101.8456417,33.5845617,"lubbock, tx, usa"
"Luttrell, TN, United States",-83.7418507,36.1995269,"luttrell, tn 37779, usa"
"Lynchburg, VA, United States",-79.1422464,37.4137536,"lynchburg, va, usa"
"Machias, ME, United States",-67.461376,44.7150789,"machias, me 04654, usa"
"Madeira Beach, FL, United States",-82.7973247,27.7980814,"madeira beach, fl, usa"
"Madison, TN, United States",-86.7143516,36.2562002,"madison, nashville, tn, usa"
"Madison, WI, United States",-89.4007501,43.0721661,"madison, wi, usa"
"Madison Heights, MI, United States",-83.1052028,42.4858692,"madison heights, mi 48071, usa"
"Madrid, , Spain",-3.7037902,40.4167754,"madrid, spain"
"Magazine, AR, United States",-93.8071877,35.1498666,"magazine, ar 72943, usa"
"Magione Perogia, , Italy",12.1861447,43.1197744,"06063 magione, province of perugia, italy"
"Mahwah, NJ, United States",-74.1435843,41.0886216,"mahwah, nj 07430, usa"
"Maintal, , Germany",8.8249691,50.1472058,"63477 maintal, germany"
"Maintal, Hesse, Germany",8.8249691,50.1472058,"63477 maintal, germany"
"Maintal, Hessen, Germany",8.8249691,50.1472058,"63477 maintal, germany"
"Makawao, HI, United States",-156.3103368,20.853869,"makawao, hi, usa"
"Malden, MA, United States",-71.066163,42.4250964,"malden, ma, usa"
"Malo, WA, United States",-118.6080172,48.8017547,"malo, wa 99150, usa"
"Manchester, NH, United States",-71.4547891,42.9956397,"manchester, nh, usa"
"Mancos, CO, United States",-108.2892487,37.344996,"mancos, co 81328, usa"
"Mandan, ND, United States",-100.8895761,46.8266603,"mandan, nd 58554, usa"
"Manhattan, KS, United States",-96.5716694,39.1836082,"manhattan, ks, usa"
"Manitou Springs, CO, United States",-104.9128177,38.8575579,"manitou springs, co 80829, usa"
"Mankato, MN, United States",-93.9993996,44.1635775,"mankato, mn, usa"
"Mansfield, OH, United States",-82.5154471,40.75839,"mansfield, oh, usa"
"Mansfield Center, CT, United States",-72.1981334,41.7653764,"mansfield center, mansfield, ct, usa"
"Mansfield Ctr, CT, United States",-72.1981334,41.7653764,"mansfield center, mansfield, ct, usa"
"Mapperley Park, Notthingham, United Kingdom",-1.1462975,52.9725699,"mapperley park, nottingham, uk"
"Mapperley Park, Nottingham, United Kingdom",-1.1462975,52.9725699,"mapperley park, nottingham, uk"
"Margaretville, NY, United States",-74.648211,42.148699,"margaretville, ny 12455, usa"
"Margate, FL, United States",-80.206436,26.2445263,"margate, fl, usa"
"Mariarty, NM, United States",-106.0491893,34.9900503,"moriarty, nm 87035, usa"
"Marietta, GA, United States",-84.5499327,33.952602,"marietta, ga, usa"
"Marion, OH, United States",-83.1285242,40.5886699,"marion, oh 43302, usa"
"Marlon, IA, United States",-93.097702,41.8780025,"iowa, usa"
"Marquette, MI, United States",-87.3953713,46.5436199,"marquette, mi, usa"
"Marshall, MI, United States",-84.9633148,42.2722641,"marshall, mi 49068, usa"
"Marshfield, WI, United States",-90.1717987,44.6688524,"marshfield, wi, usa"
"Martha's Vineyard, MA, United States",-70.645473,41.3804981,"martha's vineyard, massachusetts, usa"
"Martinez, CA, United States",-122.1341321,38.0193657,"martinez, ca 94553, usa"
"Marysville, CA, United States",-121.5913547,39.1457253,"marysville, ca, usa"
"Marysville, OH, United States",-83.3671432,40.2364486,"marysville, oh 43040, usa"
"Masset, BC, Canada",-132.1471978,54.0114581,"masset, bc, canada"
"Masterton, , New Zealand",175.667234,-40.9463736,"masterton, new zealand"
"Matson, Gloucester, England",-2.2143858,51.8364764,"matson, gloucester gl4, uk"
"Maui, HI, United States",-156.3319253,20.7983626,"maui, hawaii, usa"
"Maylene, AL , United States",-86.861656,33.2034492,"maylene, alabaster, al 35114, usa"
"Mazury, , Poland",20.4528371,53.5494905,"mazury, poland"
"McKinleyville, CA, United States",-124.1006205,40.9465152,"mckinleyville, ca, usa"
"McLeansville, NC, United States",-79.6586383,36.1073575,"mcleansville, nc, usa"
"McMinnville, TN, United States",-85.7801453,35.6865889,"mcminnville, tn 37110, usa"
"Mears, MI, United States",-86.4197997,43.6819514,"mears, mi 49436, usa"
"Mebane, NC, United States",-79.2696368,36.0967837,"mebane, nc, usa"
"Medford, MA, United States",-71.1061639,42.4184296,"medford, ma, usa"
"Medford, WI, United States",-90.3401404,45.1385798,"medford, wi 54451, usa"
"Medina, NY, United States",-78.3869685,43.2200583,"medina, ny 14103, usa"
"Meg Easling, CA, United States",-119.4179324,36.778261,"california, usa"
"Melbourne, VIC, Australia",144.9630576,-37.8136276,"melbourne vic, australia"
"Melton, NC, United States",-79.0192997,35.7595731,"north carolina, usa"
"Memphis, TN, United States",-90.0489801,35.1495343,"memphis, tn, usa"
"Menasha, WI, United States",-88.4464973,44.2022084,"menasha, wi, usa"
"Mendocino, CA, United States",-123.7994591,39.3076744,"mendocino, ca, usa"
"Mentone, AL, United States",-85.5905204,34.5795282,"mentone, al, usa"
"Mentor, OH, United States",-81.339552,41.6661573,"mentor, oh 44060, usa"
"Merced, CA, United States",-120.4829677,37.3021632,"merced, ca, usa"
"Merchantville, NJ, United States",-75.0479726,39.9503838,"merchantville, nj 08109, usa"
"Mesa, AZ, United States",-111.8314724,33.4151843,"mesa, az, usa"
"Mesilla, NM, United States",-106.8008376,32.2700945,"mesilla, nm, usa"
"Mesquite, NM, United States",-106.6966649,32.1645415,"mesquite, nm, usa"
"Methuen, MA, United States",-71.1908924,42.7262016,"methuen, ma 01844, usa"
"Mexico City, , Mexico",-99.133208,19.4326077,"mexico city, cdmx, mexico"
"Miami, FL, United States",-80.1917902,25.7616798,"miami, fl, usa"
"Miami Beach, FL, United States",-80.1300455,25.790654,"miami beach, fl, usa"
"Miami Shores, FL, United States",-80.1928253,25.8631515,"miami shores, fl, usa"
"Michelle Grant, WV , United States",-79.1548533,39.1042079,"grant county, wv, usa"
"Michigan City, IN, United States",-86.8950297,41.7075394,"michigan city, in, usa"
"Middle Village, NY, United States",-73.87425,40.717372,"middle village, queens, ny, usa"
"Middlebury, IN, United States",-85.7060467,41.6742347,"middlebury, in 46540, usa"
"Middleton, WI, United States",-89.5042876,43.0972174,"middleton, wi, usa"
"Middletown, CA, United States",-122.6149853,38.7524045,"middletown, ca 95461, usa"
"Middletown, CT, United States",-72.6506488,41.5623209,"middletown, ct, usa"
"Middletown, OH, United States",-84.3982763,39.5150576,"middletown, oh, usa"
"Midvale, UT, United States",-111.8999353,40.6110589,"midvale, ut, usa"
"Milan, MI, United States",-83.6824384,42.0853204,"milan, mi 48160, usa"
"Milbrae, CA, United States",-122.3871942,37.5985468,"millbrae, ca, usa"
"Milford, DE, United States",-75.4279748,38.9126129,"milford, de 19963, usa"
"Milford, NH, United States",-71.6489836,42.8353619,"milford, nh 03055, usa"
"Milford Center, OH, United States",-83.4354782,40.1786705,"milford center, oh, usa"
"Millbury, MA, United States",-71.761522,42.1920719,"millbury, ma, usa"
"Miller Place, NY, United States",-72.9962148,40.9598212,"miller place, ny, usa"
"Millersport, OH, United States",-82.534048,39.9000639,"millersport, oh 43046, usa"
"Milltown, KY, United States",-85.4074638,37.1222834,"milltown, ky 42743, usa"
"Milton, MA, United States",-71.0661653,42.2495321,"milton, ma, usa"
"Milton, NC, United States",-79.208628,36.5390286,"milton, nc 27305, usa"
"Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa"
"Minas Gerais, , Brasil",-43.7908453,-17.930178,"state of minas gerais, brazil"
"Mineral, VA, United States",-77.9086068,38.010695,"mineral, va 23117, usa"
"Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Mishawaka, IN, United States",-86.1586156,41.6619927,"mishawaka, in, usa"
"Mississauga, ON, Canada",-79.6441198,43.5890452,"mississauga, on, canada"
"Mississauga, Ontario, Canada",-79.6441198,43.5890452,"mississauga, on, canada"
"Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Mitaka, , Japan",139.5598366,35.6833484,"mitaka, tokyo, japan"
"Mitaka, Tokyo, Japan",139.5598366,35.6833484,"mitaka, tokyo, japan"
"Mitaka-shi, Tokyo, Japan",139.5598366,35.6833484,"mitaka, tokyo, japan"
"Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Modesto, CA, United States",-120.9970014,37.6392595,"modesto, ca, usa"
"Moerfelden, , West Germany",8.561487,49.980722,"64546 mörfelden-walldorf, germany"
"Moerfelden, , Germany",8.561487,49.980722,"64546 mörfelden-walldorf, germany"
"Moline, IL, United States",-90.5151342,41.5067003,"moline, il, usa"
"Molokai, HI, United States",-157.0226297,21.1443935,"moloka‘i, hawaii, usa"
"Monroe, LA, United States",-92.1193012,32.5093109,"monroe, la, usa"
"Montague, MA, United States",-72.5353437,42.5355277,"montague, ma, usa"
"Montclair, NJ, United States",-74.2090053,40.8259007,"montclair, nj, usa"
"Montebello, CA, United States",-118.1137535,34.0165053,"montebello, ca, usa"
"Monterey, CA, United States",-121.8946761,36.6002378,"monterey, ca, usa"
"Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Montgomery County, PA, United States",-75.3878525,40.2290075,"montgomery county, pa, usa"
"Montpelier, VT, United States",-72.5753869,44.2600593,"montpelier, vt 05602, usa"
"Montreal, QC, Canada",-73.5673919,45.5018869,"montreal, qc, canada"
"Montreal, Quebec, Canada",-73.5673919,45.5018869,"montreal, qc, canada"
"Montrose, IA, United States",-91.414876,40.5322644,"montrose, ia 52639, usa"
"Monument, CO, United States",-104.872758,39.0916586,"monument, co, usa"
"Moorhead, MN, United States",-96.7678039,46.8737648,"moorhead, mn, usa"
"Morganton, NC, United States",-81.6848188,35.7454071,"morganton, nc 28655, usa"
"Morgantown, WV, United States",-79.9558968,39.629526,"morgantown, wv, usa"
"Morrisville, NC, United States",-78.8255621,35.823483,"morrisville, nc, usa"
"Moscow, ID, United States",-117.0001651,46.7323875,"moscow, id, usa"
"Mount Desert, ME, United States",-68.3341154,44.3384835,"mt desert, me, usa"
"Mount Vernon, IA, United States",-91.4168371,41.9219522,"mt vernon, ia 52314, usa"
"Mount Vernon, IN, United States",-87.8950267,37.9322662,"mt vernon, in 47620, usa"
"Mount Vernon, NY, United States",-73.8370786,40.9125992,"mt vernon, ny, usa"
"Mountain View, CA, United States",-122.0838511,37.3860517,"mountain view, ca, usa"
"Mountainview, CA, United States",-122.0838511,37.3860517,"mountain view, ca, usa"
"Muncie, IN, United States",-85.3863599,40.1933767,"muncie, in, usa"
"Munich, , Germany",11.5819806,48.1351253,"munich, germany"
"Murfreesboro, TN, United States",-86.39027,35.8456213,"murfreesboro, tn, usa"
"Murray, KY, United States",-88.314761,36.6103334,"murray, ky 42071, usa"
