title,type,address,unclear.address,city,state,description,stars,star.type,mentions.race,mentions.disability,notes
Golden Bull Restaurant,Restaurant,170 W Channel Rd,,Santa Monica,CA,"(Santa Monica) Tel. 454-2078. Steaks, seafood, and Prime Rib. The food is apparently ""excellent"" the clientele is now more gay men than women but quite O.K. anyway. Located 1nSanta Monica Canyon.",*,"Bars, Clubs, Coffeehouses",,,
Westside Women's Clinic,Health Center,1711 Ocean Park Blvd,,Santa Monica,CA,90405 (213) 450-2191. Complete gynecological services.,,,,,
The Church in Ocean Park,Religious Groups,235 Hill St,,Santa Monica,CA,"90405 399-1631 & 464-7400. ""Our space is available for events such as concerts, films, discussions, forums, meetings & theater"". Hours: Tu + Th. Bam-4pm/W&F: 12 noon-4pm. Closed Mondays.",,,,,
Frontrunners,Special Interest Groups,PO Box 5038 ,checked,Santa Monica,CA,"90405 Tel. 508-0710. A Gay-oriented running club to promote camaraderie among gay men, gay women and the running community.",*,Organizations,,,
Children of Gay Parentage,Special Interest Groups,8306 Wilshire Blvd No 222,,Beverly Hills,CA,Tel (213) 738-1008,**,Organizations,,,
Mi Wei,Bars,11513 Washington Blvd,,Culver City,CA,"Tel. 391-9264. Dancing, DJ Fri. & Sat. nights. pool tables. Clientele 95% gay women. Mixed races, ages. Open 1Oam-2am 7 days a week.",****,"Bars, Clubs, Coffeehouses",checked,,
Mucky's,Bars,60001 Washington Blvd.,,Culver City,CA,(Culver City),**,"Bars, Clubs, Coffeehouses",,,
Rogers Backdoor,Bars,12821 Venice Blvd,,Culver City,CA,"(Culver City) Tel. 391-9088. Mostly gay men no;;, but they are trying to encourage more gay women & it is a nice place. (Located north east comer Venice Blvd. & Beethoven Avenue).",**(MGM),"Bars, Clubs, Coffeehouses",,,
Papa Bear's ,Bars,1101 S Prairie Ave,,Inglewood,CA,(Inglewood) Tel. 677-3340. Sunday brunch-10am.,**,"Bars, Clubs, Coffeehouses",,,
Open Quest Institute,Counseling,1913-15 Hyperion Ave,,Silverlake,CA,"(Silverlake) Tel. 650-1812. Individual and group counseling/psycho-therapist education & training program/quit smoking plan/potlucks and lesbian 'mixers·. Repertory theatre workshop and A.A. ""Gay women and men working TOGETHER."" Say 'hi' from GAIA.",,,,,
Frog Pond,Bars/Restaurants,2106 Hyperion,,Silverlake,CA,(Silverlake) Tel. 660-6222. Mixed gay bar/restaurant. Sunday brunch 11 am.,**,"Bars, Clubs, Coffeehouses",,,
Heliotrope Village,Bars/Restaurants,Heliotrope Dr Melrose Ave,checked,Silverlake,CA,(Silverlake).Disco-show-bar- restaurant.,***(MGM),"Bars, Clubs, Coffeehouses",,,
The Last Drop Coffee House,Coffeehouse,1913 Hyperion,,Silverlake,CA,(Silverlake) Tel. 650=0736. An alternative to the bars and a good cup of coffee. Hours: Friday and Sat. 8pm-4am.,**,"Bars, Clubs, Coffeehouses",,,
Feminist WICCA,Mail Order,169 Muerdago Rd ,,Topanga,CA,"(Topanga 90290) Tel. 455-1464. A matriarchal spiritual center- crafts, tools, supplies. Mail order only. $2.00 for catalogue.",,,,,
Bread & Roses,Feminist Bookstore,13812 Ventura Blvd.,,Sherman Oaks,CA,"91423. Tel. 986-5376. Bread and Roses carries materials of interest to women of all social, racial, ethnic and economic backgrounds. Hours Monday-Friday 10 to 6. Saturday-10 to 5.",,,,,
Gateway Village Restaurant,Restaurant,40251 Highway 41,,Oakhurst,CA,93644 Tel.683-8222. Specializing in Italian and American food. Beer and wine. Owned by 4 women to whom you should say 'hi' fromGAIA.,,,,,
Gay and Lesbian Community Service Center of Orange County,Center,12832 Garden Grove Blvd Suite 200,,Orange County,CA,"92643. Tel. 534-3280 (HOTLINE) 6.30- 10:30 pm; 534-0862 (COUNSELING); 534-3263 (EVENTS LINE: RECORDED ANNOUNCEMENT 24 hrs/day, 7 days/week}. Women's group and social happenings. Referrals. counseling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact in Orange County. Your best bet when new to Orange County.",***(**),Organizations,,,
Camping Women,Outdoor Group,,checked,Orange County,CA,"See OC calendar each month in the LESBIAN NEWS for current info/activities which include hikes, roller-skating, hot-air balloon trip, backpacking, thanksgiving weekend in the bottom of the Grand.canyon .••",,,,,
The Book Shop in Ocean Park,Bookstores,212 pier Ave,,Ocean Park Beach,CA,90405 Tel. 396-3659. Large selection of feminist books.,*,"Bars, Clubs, Coffeehouses",,,
The Other Side,Social Group,PO Box 132 ,checked,San Rafael,CA,"94915. Strictly social group for gay women only_.Potlucks, dances, dinners, swimming parties, cookouts, hikes, card and game nights, bar nights and anything else you want. It's a real old-timer and one of the very best of its kind anywhere in the world. Monthly newsletter. Membership: $14.00 per year. Also couple memberships and newsletter subscription.",**,Organizations,,,
BJ's,Bars,721 Lincoln Ave,,San Rafael,CA,94901 Tel. 454-3722. Gay women and men mixing together equally and happily. Not a fancy place but a good feeling. And fun. Highly recommended by WISHING WELL.,**,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church of the Redwoods,Religious Groups,113 Columbia Ave,,Mill Valley,CA,"94941. Worship at Mill Valley Community Church, 8 Olive Street, Mill Valley; 94991. Worship 11am Sundays. Pot luck dinner Thur-sat 7pm, phone for location. Very nice people, say hi from GAIA.",,,,,
Brave Bull,Bars,709 S 9th St,,Modesto,CA,"95351. Tel. 529-6712. Holds 500 people/great music/ pool tables/video games/seating capacity for 200 people. Free hot dogs with the munchies. Clientele: all gay-60% men, 40% women. They sell GAIA'S GUIDE.",**,"Bars, Clubs, Coffeehouses",,,
Daybreak,Bars,1711 W. El Camino Real,,Mountain View,CA,"94040. Tel. 961-9953. Disco-lighted built up dance floor/pool tables and game machines/backgammon and chess. They feature Olivia recording artists and have womyn's concerts. After hours it's coffee, juices, rap sessions and feminist meetings. They sell GAIA'S GUIDE and are very highly recommended. Beer and wine bar.",****,"Bars, Clubs, Coffeehouses",,,
The PR Room,Bars,536 Soscol Ave,,Napa,CA,Tel. 257-2598. Beer and wine bar. Disco/video games/ pool tables. Open 7 days a week 4pm-2am. Be sure and say Hi from GAIA.,,,,,
Willow,Retreat,6517 Dry Creek Road,,Napa,CA,"94558 Tel. 944-8173. A secluded, get-away-from-it-all women s retreat on 40 acres, located one hour north of San Francisco in the mountains. A large wood and glass structure with hot tub, sauna, tennis court and swimming pool. Private bedrooms with bath for single or double or group occupancy. Trails for hiking or jogging. Intimate, comfortable and relaxing. A beautiful environment ... a very special place. Reservations required.",,,,,
GAF,Bars,68-555 E Ramon Rd,,Palm Springs,CA,"92234 Tel. 328-9079. Disco, lounge, and Games room. Open 9pm-2am seven nights a week. OK for gay women.",***,"Bars, Clubs, Coffeehouses",,,
Palm Canyon Inn,Hotel,1466 N Palm Canyon Dr,,Palm Springs,CA,Tel.325-5092. Very clean rooms/direct dial phones/jacuzzi/tv. Clientele: gay men & women. Full time restaurant.,,,,,
Palm Canyon Bar,Bars,1466 N Palm Canyon Drive ,,Palm Springs,CA,Tel. 328-9000. This is the bar at the Desert Palms Inn,**(MGM),"Bars, Clubs, Coffeehouses",,,
Desert Paradise Hotel,Hotel,772 Prescott Dr,,Palm Springs,CA,92262 Tel. 352-0229 Clientele: gay men and women.,,,,,
Desert Knight Motel,Hotel,435 Avenida Olancha,,Palm Springs,CA,Tel. 325-5456. An excellent hotel with a gay clientele. Children are not allowed and there's no bar but there is a great swimming pool and the emphasis 1son relaxation. Highly recommended old-timer. Gay and straight people mixing easily together.,,,,,
El Mirasol Villas,Hotel,525 Warm Sanda Dr,,Palm Springs,CA,Tel. 327-5913. Gay resort/hotel - swimming pool. Studio and hotel units. $60.00-$100.00 Open year round.,,,,,
Casbah,Bars,67-850 Highway 111,checked,Palm Springs,CA,Tel. 328-9000. This is the bar at the Desert Palms Inn.,,,,,
Hideaway,Hotel,71-472 Culver Dr,checked,Rancho Mirage,CA,"92270 Tel.346-4720.Friendly people, lots of privacy, large swimming pool, volleyball court, color TV. shuffle board. 50% gay women and very, very highly recommended. Jacuzzi and most rooms have their own kitchens.",,,,,
Gay/Lesbian Line of Stanford,,,checked,Palo Alto,CA,"Tel. 497-1488. gay events tape, includes info about the Women's Collective.",,,,,
Printers Ink Books,Bookstores,310 California,,Palo Alto,CA,Gay titles. women's titles.,,,,,
The Plowshare,Bookstores,162 University Ave,,Palo Alto,CA,"94301 Tel. 321-4748. General bookstore with many gay, lesbian and women's titles. They also sell women's records, offer meeting space, bulletin board and reading tables and are an excellent contact for local women's events information. MAIL ORDER SERVICE. They also sell GAIA'S GUIDE",,,,,
Robyn's Travel,Travel Agency,437 Lytton Ave ,,Palo Alto,CA,Tel. 328-5375. Special travel for special people .. women have a welcome here.,,,,,
Holy Trinity Church/ San Gabriel Valley,Religious Groups,277 N El Molino,,Pasadena,CA,"Church Activity Center.  91101 Tel. 357-8529. Serving the spiritual needs of our gay and lesbian community. 4pm Sunday Services. Rev Joan G Johnson, Pastor.",,,,,
Vermie's ,Bars,3772 E Foothill Blvd,,Pasadena,CA,"(at Michilinda) Tel. 578-9359. Dancing, pool table. Local clientele -good atmosphere. Open Mon-Thurs 4pm-2am. Fn & Sat noon-2am; Sunday noon-midnight. Very, very highly recommended. Activities: sponsor softball and bowling teams. They sell GAIA'S GUIDE.",****,"Bars, Clubs, Coffeehouses",,,
Daily Double,Bars,3739 E Colorado Blvd,,Pasadena,CA," Tel. 578-9701. Pool table,jukeboxx, club-like atmosphere. Open Sat and Sun 1pm-2am. Mon-Wed 5pm-midnight. Very, very highly recommended.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Page One,Feminist Bookstore,453 E Colorado Blvd,,Pasadena,CA,"91101 Tel.792-9011. We have a complete list of lesbian and feminist books. Also: records, buttons. jewelry, posters. T shirts, magazines and bulletin board. We sell GAIA'S GUIDE. Catalogues: $1 for the adult list. $.50 for the children's list.' Open Mon-Sat 10am-8pm; Sunday 12-4pm. Fri 10am-8pm",,,,,
Chatterton's,Bookstores,520 E Colorado Blvd,,Pasadena,CA,91101 Tel. 681-6803. Gay and feminist books and periodicals.,,,,,
Gallery 8,Art Gallery,148 Electric Alley ,,Pasadena,CA,Tel. 796-7366. Call for hours.,,,,,
Metropolitan Community Church,Religious Groups,590 E Mission Blvd,,Pomona,CA,91769. Tel. 623-9958.,,,,,
The Pomona/San Gabriel Valley Gay/Lesbian Coalition,Center,710 W Orange Grove,,Pomona,CA,91768. Tel. 620 6608.,,,,,
Robbie's,Bars,390 Pomona Mall E,,Pomona,CA,91766. Tel. 622 9511. Disco every night except Mon (closed Mon). Piano bar/video games/pool table. Woman owned and operated. Occasional live shows. Open 12 noon - 2am.,***,"Bars, Clubs, Coffeehouses",,,
The Viking,Bars,214 W Holt Ave,,Pomona,CA,Tel. 629 6552,**,"Bars, Clubs, Coffeehouses",,,
Belinda Terrace,Bars,480 Pomona Mall W,,Pomona,CA,91766 Tel. 623-9474,**(MGM),"Bars, Clubs, Coffeehouses",,,
Alibi East,Bars,225 S San Antonio,,Pomona,CA,Tel. 623-9422,**(MGM),"Bars, Clubs, Coffeehouses",,,
Bogie's,Bars,1748 Market ,,Redding,CA,(at Sacramento) Tel. 243-7869. Dancing/pool table. Open from 3pm daily.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Calvary Metropolitan Community Church (MCC),Religious Groups,2124 Brewster,,Redwood City,CA,Tel. 368-0188. Sunday worship at 5pm/Thurs program at 7pm.,,,,,
The Answer,Bars,1640 Main St,,Redwood City,CA,94063. Tel. 361-9444. Dance bar. Games.Recommended. Pool tables. Open from 4pm-2am.,**(MGM),"Bars, Clubs, Coffeehouses",,,
The Drum,Bars,16590 River Road ,,Guerneville,CA,Tel. 869-0656. Big disco in DRUMS RESORT. Shared with FIFE'S and open to the public. Clientele: gay & straight.,*,"Bars, Clubs, Coffeehouses",,,
Rainbow Cattle Company,Bars,16220 Main St,,Guerneville,CA,Tel. 869-0206.,**(MGM),"Bars, Clubs, Coffeehouses",,,
River Village,Bars/Restaurants,14880 River Road,,Guerneville,CA,Tel. 869-9066. Gay& straight,,,,,
Wildwood Ranch,Hotels/Motels/Guest Houses/ETC,PO Box 78,checked,Guerneville,CA,"95446 Tel. 632.5321. A wonderful spot- a mixed retreat for gay women and men - ideal for relaxing. Especially great for couples. Swimming pool, jacuzzi, great hiking. Owner: Nicholas.' Very highly recommended.",,,,,
The Willows,Hotels/Motels/Guest Houses/ETC,15905 River Road,,Guerneville,CA,Tel.869-~279. The main house over looks the river and the lawn goes right down to the river. Canoeing/kitchen privileges. Very friendly & highly recommended.,,,,,
Drums,Hotels/Motels/Guest Houses/ETC,16590 River Road,,Guerneville,CA,Tel. 869-0656. Swimming pool/bar/dancing. Clientele: gay women and men. Recommended.,,,,,
Highlands Resort,Hotels/Motels/Guest Houses/ETC,14000 Woodland Dr,,Guerneville,CA,"Tel. 869-0333. Hot-tub/lounge area/rustic cabins/inn-like atmosphere, beautiful swimming pool.",,,,,
Rusty Nail,Bars/Restaurants,9117 River Road,,Forestville,CA,Tel. 887-1322. A gay people's bar and restaurant. Dancing/pool table/outdoor patio area. Highly recommended old-timer.,,,,,
Fife's Resort,Hotels/Motels/Guest Houses/ETC,PO Box 45,checked,Russian River,CA,"write PO Box 45. Location: 16467 River Road Tel. 869-0656. 14_acres located right on the banks of the Russian River. Elegant main lodge with decks overlooking our pool and rustic cabins & campsites. Dining room, games and bar. Your best bet ,n the Russian River area. Excellent reports. Be sure and say hi from GAIA.",,,,,
Mom Guess What!...(MGW),Publication,1919 21st St,,Sacramento,CA,"95814 (no 2041Tel. 456-5858 Totally non-sexist, non-porn gay newspaper~A gold mine of local resource information. , it's a must when visiting the Sacramento area. Pick up a copy at LIONESS or most of the locations listed here in GAIA'S GUIDE. If you visit their office, be sure and say h1from GAIA They sell GAIA'S GUIDE.",,,,,
Women's Resource Center,Women's Center,6000 J St,,Sacramento,CA,95819 Tel.454-6817. Call For Different meetings.,****(*),Organizations,,,
Metropolitan Community Church,Religious Groups,2471 34th St,,Sacramento,CA,95817 Tel. 454- 4762. Social activities and services Sundays 11am & 7:15pm. The reverend is a lesbian and so is most of the congregation. A good place to pick up your copy of MOM . GUESS WHAT!,,,,,
Dignity ,Religious Groups,Box 161765,checked,Sacramento,CA,Tel. 448-3777. See MOM .. GUESS WHAT' for current details. Gay women and men/Catholics.,,,,,
Our River City Family,Special Interest Groups,1919 21st St,,Sacramento,CA,c/o MOM GUESS WHAT! Tel. 457-7589 or (MGW) 456-5858. Extremely active and successful social group of gay women and men.,,,,,
Camping Women,Special Interest Groups,7378 Nelmark,,Sacramento,CA,"Tel. 424-5100. ""We provide camping trips for women'. This group is a real old-timer and still has an excellent reputation. The ideal alternative to the bar scene, it offers outdoor activities and social events too numerous to mention here.",,,,,
Women Over 35,Special Interest Groups,,checked,Sacramento,CA,Tel. (Dean) at 371-3496 or see MOM GUESS WHAT! for current meetings and pot-lucks. Recommended as being very friendly people.,,,,,
National Organization of Women (NOW),Special Interest Groups,PO Box 1404,checked,Sacramento,CA,95807 Tel. 443-3470. Lesbian and feminist political interests.,,,,,
Anne- Marie's (née The Hut),Bars,400 W Capitol Ave,,Sacramento,CA,"THE place for women to go in the Sacramento area. Many, many recommendations. Disco dancing/dj.",****,"Bars, Clubs, Coffeehouses",,,
Parking Lot,Gay Complex,2804 Auburn Blvd,,Sacramento,CA,"Tel. 482-7772. This is the largest gay complex in the world. The swimming pools (one olympic size) disco dancing/2 bars/volleyball/sauna/ barbecue pits/great entertainment nights. Clientele: fluctuates between being more men, some times, and more women, sometimes. Tennis courts too.",,,,,
Diamond Butterfly (née Jason's Pub),Bars,10089 Folsom Blvd,,Sacramento,CA,"Tel. 366-9392. A women's bar/woman-owned. Some straight clientele too, I think. Your reports?",***,"Bars, Clubs, Coffeehouses",,,
Bojangles,Bars,7042 Folsom Blvd,,Sacramento,CA,Tel. 383-9882. VERY young crowd. I think it's mixed gay/straight. Closed Tues.,**,"Bars, Clubs, Coffeehouses",,,
Club 21,Bars,21st & L St,checked,Sacramento,CA,,**(MGM),"Bars, Clubs, Coffeehouses",,,
Mercantile,Bars,20th & L St,checked,Sacramento,CA,The oldest gay bar in Sacramento.,**(MGM),"Bars, Clubs, Coffeehouses",,,
The City/Broadway,Bars/Restaurants,1946 Broadway,,Sacramento,CA,Tel. 731-8226. THE CITY is the restaurant and BROADWAY is the disco. Clientel: mostly gay men but Thursday nights are best for women. Disco weekends.,**,"Bars, Clubs, Coffeehouses",,,
Earhart's Cafe,Restaurant,1905 16th St,,Sacramento,CA,(at 'S' Street) Tel. 442-2481. A highly recommended woman-owned restaurant. They feature local women's art and are open for lunch 1lam-3pm Mon-Fri; Dinner 6-11pm Weds-Saturday. Now featuring women's entertainment nights.,**,Restaurants,,,
Pava's ,Restaurant,24th and K St,checked,Sacramento,CA,Great food/clientele: lots of gay women,*,Restaurants,,,
E&G's Cuisinery,Restaurant,,checked,Sacramento,CA,Downtown Auburn Tel. 5588. Serving lunch and dinner. Relaxed country dining in an 1886 house. Closed Sundays and Mondays.,*,Restaurants,,,
Lioness Bookstore,Feminist Bookstore,2224 J Street,,Sacramento,CA,"95816 Tel. 442 4657. Their selection of lesbian buttons, cards, T shirts and books is excellent. They have the largest selection of feminist literature in the area. The women who run the store are friendly and helpful. Closed Sun & Mon - open Tues to Fri, noon-8pm/Sat noon-6pm. This is a new (projected! location as of March, 1983, so there might be a change in phone number and hours. They sell GAIA'S GUIDE.",,,,,
Continental Motel,Feminist Bookstore,1432 W Capitol Ave,,Sacramento,CA,"West Sacramento 95961 Tel. 371-3660. Daily and weekly rates: kitchen units, direct dial phones, color TV and pool. Hot spa, barb q area. Next to shopping and bus line. Queen, king and water beds. Swimming pool. 'We are just 4 blocks from ANNE-MARIE'S & Gaywomen are more than welcome here'. Sayhi from GAIA.",,,,,
The Aquarian Effort's Walk-In Health Clinic,Health Center,1304 O St,,Sacramento,CA,Tel. 446 6467,,,,,
Womankind Health Clinic,Health Center,1001 40th St,,Sacramento,CA,Tel. 452-KIND,,,,,
Linda Birner Design,Graphic Consultant,1934 Sloat Way,,Sacramento,CA,"95818 Tel. 456-5858. Logo design/brochure/business cards/photography/slide presentations.
",,,,,
Feminist Spirituality Center,Special Interest Groups,Po Box 22104,checked,Sacramento,CA,95822 Tel. 451-9970. Occult-astrology group. Ring this number and a Goddess-Rising Coordinator will return your call.,,,,,
San Bernardino Gay Hotline,Services,,checked,San Bernardino,CA,Tel. 824-7618. Hotline/info/referrals/personal support. 7 nights per week from 6.30-10.30pm. Serving San Bernardino/Riverside,,,,,
San Bernardino Gay Center,Center,,checked,San Bernardino,CA,Tel. 824 7618/Hotline. Lending library/peer counselling/ rap groups/mediation & arbitration commission and speakeri bureau.,,,,,
Big Mary's,Bars,940 E Baseline,,San Bernardino,CA,"Tel. 885-9243. A women's bar with jukebox, 2 pool tables, 2 pm-ball machines. Beer and wine only. Some gay men, sometimes. Highly recommended. Dance floor. Open 7 days a week from 3pm-2am.",****,"Bars, Clubs, Coffeehouses",,,
Robin's Nest,Bars,1755 E Highland Ave,,San Bernardino,CA,"92404 Tel. 885-7068. Bar/restaurant service lunch from 1lam-2pm Mon-Fri, and Sunday brunch",**,"Bars, Clubs, Coffeehouses",,,
Skylark,Bars,917 Inland Center Dr,,San Bernardino,CA,2408 Tel. 885-9151. Pool tables/pinball/no food. Basically a men's cruise bar. Open noon-2am. 24 years old. Same ownership as BIG MARY'S,**(MGM),"Bars, Clubs, Coffeehouses",,,
Stagedoor,Bars,26790 E 5th Ave,,San Bernardino,CA,"(Highland)Tel. 862-9884. Small, intimate cocktail bar. Pool table, no dancing. Open 4pm-2am.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Two Doors Down,Bars,925 Inland Center Dr,,San Bernardino,CA, (Highland).Beerandwine till 2am/coffee and soft drinks after 2am. Video and piano bar.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Grand Central,Bars,345 W 7th,,San Bernardino,CA,92401. Tel. 889-5204. Disco/young crowd/closed Mon/ cover charge on weekends.,*,"Bars, Clubs, Coffeehouses",,,
Thursday's Child,Publication,7910 Ivanhoe Suite 38,,San Diego,CA,"La Jolla; 92037 Tel. 456-0957. Lesbian/feminist newspaper for the San Diego area. Includes DATE MATE column- complete events calender. Also news, reviews, poetry. Subscription/donation: $10.00 per year.",,,,,
San Diego Gayzette,Publication,PO Box 33187,checked,San Diego,CA,92103. Tel. 296-6111.,,,,,
SD Events Tape,Gay News & Events,,checked,San Diego,CA,Tel. 239-9696,,,,,
The Center For Women's Studies and Services (CWSS),Center,908 E St,,San Diego,CA,Tel. 233-8984. Feminist free university/film nights/self-defense/discussions/working women's lunch programs/exhibitions. Their newsletter: Feminist Bulletin.,****,Organizations,,,
Lesbian and Gay Community Center,Center,1447 30th St,,San Diego,CA,"92102 Tel.692-4297 (24 hour hotline). Legal, medical, counseling, referrals, employment, rap groups, social events. Gay AA, speakers bureau. Military counseling/housing referrals.",***(**),Organizations,,,
Metropolitan Community Church,Religious Groups,PO Box 33291,checked,San Diego,CA,Church: 4333 30th Street Tel. 280-4333. Sundayservices at 1Oam& 7pm. Also 8pm Weds. All kinds of other activities. Many gay women participate. Their publication: THE PRODIGAL.,,,,,
Metropolitan Community Church,Religious Groups,PO Box 1388,checked,San Diego,CA,92112. Tel. 234-9909.,,,,,
Episcopalians-Integrity,Religious Groups,3427 5th Ave,,San Diego,CA,92103 Tel. 260-8128.,,,,,
Gay Runaways,Special Interest Groups,,checked,San Diego,CA,Tel. 280-1650,,,,,
Lesbians of Color,Special Interest Groups,PO Box 5602,checked,San Diego,CA,Info Tel. 280-3186 or 477-2926. Write PO Box 5602; 92105. Rap groups 2nd and 4th Sundays of each month at 2.00 pm.,**,Organizations,checked,,
Frontrunners,Special Interest Groups,PO Box 3833,checked,San Diego,CA,"Tel. (714) 295-4566. A positive oriented
RESTAURANTS running group for gay women and men runners. Visitors and newcomers always welcome.",,,,,
Great Outdoors (GO)/Headquarters Office,Special Interest Groups,PO Box 82106,checked,San Diego,CA,"92138. Tel. (714)464-6983. A non-profit gay organization offering low-cost outdoor and social activities for women and men. Day hikes, backpacking, camping, outdoor education, snow and water skiing, bicycle rides, picnics and Chapter meetings. Monthly newsletter for activities calendar. Contact them for your own local group in: Orange County/Palm Springs/Pomona-San Gabriel Valley/ Riverside-SanBernardino etc, & Arizona: Phoenix and Tucson- new chapters all the time.",,,,,
Amazon Sweet Shop,Ice Cream Shop,6309 El Cajon Blvd,,San Diego,CA,"(in Campus Shopping Center) Tel. 286-9987. Woman-owned lesbian hang-out serving the best tasting ice-cream in the world., It's all home-made and they serve natural fruit drinks and spring water. Bulletin board/feminist and lesbian periodicals on sale. Open: Tues-Sun noon-11pm. Highly recommended. I get many letters all the time saying what friendly helpful people the women of AMAZON SWEETSHOP are.",**,"Bars, Clubs, Coffeehouses",,,
The Club,Bars,2501 Kettner,,San Diego,CA,"Tel.239-4377. Cozy tables for sitting and talking... pin, ball, pool table, small dance floor and the music is good. 'Great atmosphere' Sundayafternoon, is showtime. 'Stop by after the beach ... come as you are.' Now fully air-conditioned, Two, bars: front= disco, back= quiet, conversation atmosphere. Both have dance floors and pool tables. Tuesday nights there·~ a live band in the front bar. Highly recommended. The sign inside the door says 'This is a lesbian bar. You are a guest of the lesbian community; please bear this in mind and behave accordingly.·",****,"Bars, Clubs, Coffeehouses",,,
The Apartment,Bars,756 Ventura Pl,,San Diego,CA,"(on Mission Beach) Tel. 488-0033. Small, popular, active woman-owned bar. Great juke box, bar, pool table, fireplace and at-home atmosphere. Near the Boardwalk. Open: noon-2am. Monday nights: football on video screen. Tues and Weds: free videoscreen movies and happy hour prices.",****,"Bars, Clubs, Coffeehouses",,,
The Rendezvous,Bars,1355 5th Ave,,San Diego,CA,"Tel. 233-8483. Pool tables/darts/pinball. Open daily noon-2am. Daily specials and weekend specials. Clientele: gay men about 60%, gay women about 40%. Beer, wine, dancing nightly.",**,"Bars, Clubs, Coffeehouses",,,
The Box Office,Bars,4450 Alvarado Canyon Rd,,San Diego,CA,"Tel. 284-5644. 'Nice atmosphere. Pool tables. Plenty of room for dancing. No cover charge. Video games. 95% women.' Very, very highly recommended. Opened in 1982. Especially popular with women of color.",****,"Bars, Clubs, Coffeehouses",checked,,
Stage Coach Saloon,Bars,4612 Park Blvd,,San Diego,CA,4612 Park Blvd,**,"Bars, Clubs, Coffeehouses",,,
Nickelodeon,Bars,4321 Fairmount Ave,,San Diego,CA,"Tel. 284-9518. Draft and bottled beers, fine wine. Open Mon-Fri 4pm-8pm, happy hour. A small bar (20x40)/video games/pinball.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Sorino's Dance Palace,Bars,2223 El Cajon Blvd,,San Diego,CA,"(between Texas and Mississippi Streets) Tel. 298-8686. It's huge & wild. Big dance floor, DJ/video games/3 service bars. Recent reports are 'VERYmixed - everybody and everything.'",*,"Bars, Clubs, Coffeehouses",,,
Park Palace,Bars/Restaurants,3811 Park Blvd,,San Diego,CA,"Tel. 299-7086. 'Fashioned after the game of Monopoly, this bar-restaurant combo is a pleasant change from the disco scene. PARK PLACE is a small bar with a pool table- a good place to take a friend for a drink and talk. THE BOARDWALK CAFE is an elegant restaurant serving dinner, lunch and brunch. Really reasonable prices and good wine and things like homemade soups. Outdoorflining too! No reservations required. Open 4pm-2am/4am. Clientele: mostly gay men but always some women there too - and always most welcome.",**,"Bars, Clubs, Coffeehouses",,,
New Seed,Tea Room,946 Garnet Ave,,San Diego,CA,Tel. 270-7620. Juice bar and tea room using over 400 different herbs; also natural food items.,,,,,
The Farmhouse,Restaurant,2830 Lytton St,,San Diego,CA,Tel. 226-8300. Good homestyle cooking.Lunch 11am-2pm. Dinner 5pm-1Opm. Champagne brunch Sat & Sun 1Oam-3pm. Closed Sunday evening.,*,Restaurants,,,
Kung Food,Restaurant,2949 5th Ave,,San Diego,CA,"nr Balboa Park. Tel. 298-9232. Vegetarian cuisine 'in an atmosphere conducive to health, relaxation and enjoyment.' Open 9am-9pm. Closes Monday at3pm.",*,Restaurants,,,
The Sandwich Factory,Restaurant,933 4th Ave,,San Diego,CA,"Tel. 235-6142. Full Delicatessen, homemade pies and desserts, and the tastiest sandwiches in town. Serving all of San Diego's Gay Community.",*,Restaurants,,,
King Richard,Restaurant,631 Pearl St,,San Diego,CA,"(La Jolla) Tel. 454-6592. Lounge open: 10am-2am. Dining room: 6pm-1Opm Sun-Thurs, 6pm-11 Saturdays. Restaurant and pub.",*,Restaurants,,,
The Prophet: International Vegetarian Restaurant,Restaurant,4481 University Ave,,San Diego,CA,"Tel. 283-7448. Survival food from the sea. 'PLANKTON is a total food source containing all the vitamins and minerals necessary for life. We are featuring these Spirulina plankton drinks: Plankton Smoothie, Prana High Cocktail, Neptune Seafood Delight, Radiant Light Mint Julep.' Lunch: Wed-Fri 11.30am-2.30m. Dinner: Tues-Thurs, Sun, 5.30-l0pm. Fri, Sat 5.30pm-11pm. Closed Monday.",,,,,
Charmed Circle Feminist Books,Feminist Bookstore,4603 Park Blvd,,San Diego,CA,"92116 (One block south of Adams) Tel. 296-9024. Records and tapes, non-sexist children's books, women's reading room, lesbian literature, cards and posters, women's art and jewelry. Hours: Tues-Fri 12 noon-7pm. Sat 10am-6pm. Sun 12 noon-5pm.",,,,,
Plum's Books,Bookstores,1615 West Lewis St,,San Diego,CA,Tel. 299-7098. Alternative bookstore with gay titles/feminist titles and magazines and newspapers. Open every day; Fridaysand Saturdays until 10pm.,,,,,
The Book Mark,Bookstores,4077 Adams Ave,,San Diego,CA,"92116 Tel. 280-3091. Gay and feminist titles. They sell GAIA'S GUIDE and are open Mon-Thurs 1Oam-6pm, Fri & Sat 1Oam-midnight. Near Ken Cinema Bookstore and cafe. Now, they have their own cafe featuring coffee, tea, light menu. Taped classical music in the background.",,,,,
