Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Stop Light Lounge,Bars,233 S 10th St,,Boise,ID,(rear) Tel. 342 9558. The original gay bar in Boise. Clientele. mostly gay women.,***,"Bars, Clubs, Coffeehouses",,,
The Church in Ocean Park,Religious Groups,235 Hill St,,Santa Monica,CA,"90405 399-1631 & 464-7400. ""Our space is available for events such as concerts, films, discussions, forums, meetings & theater"". Hours: Tu + Th. Bam-4pm/W&F: 12 noon-4pm. Closed Mondays.",,,,,
The Women's List,Publication,235 Park Square Building,,Boston,MA,02116. The what and where of women's action groups in the greater Boston area. $3.95 plus 60c postage. ,,,,,
Equal Times,Publication,235 Park Square Building ,,Boston,MA,02116. 1 year for $8.00. Boston's newspaper for working women. ,,,,,
B Stree,Bars,236 South B St,,San Mateo,CA,"Tel. 348-4045. Bar and restaurant. The bar is about 100% gay: men 80%, women 20%. Sunday brunch is especially recommended. During the week- daytimes, the restaurant has a mixed gay/straight clientele and is a bit on the expensive side but the food is excellent.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Aardvark Books,Alternative Bookstores,237 Church,,San Francisco,CA,"(near 14th Street) 94114. Tel. 552-6733. Gay Titles, feminist titles.",,,,,
Labyris,Garage,240 6th St,,San Francisco,CA,"94103 Tel. 861-8668. Extremely reliable, extremely helpful. Domestic and foreign cars/no body work/tow service can be provided. Very high quality work in business a long time and still going strong. Many, many recommendations for them.",,,,,
The Cellar/at the CROWN AND ANCHOR,Bars,247 Commercial St,,Provincetown,MA,Tel. 487-1430. An all women's bar and a quiet respite from the disco scene. 'A place for women and their friends to meet.' Entertainment weekends (seasonal). ,****,"Bars, Clubs, Coffeehouses",,,
Crown and Anchor Motor Inn,Hotels/Motels/Guest Houses/ETC,247 Commercial St,,Provincetown,MA,"PO Box 111, 247 Commercial St 02657 Tel. 487 1430. Thirty hotel rooms, swimming pool (summer only), five bars, a restaurant, disco, entertainment center and a shopping arcade. Clientele: mostly gay men in summer season. Women are always most welcome, but 'post-season it was mixed straight and mostly gay men.'",,,,,
Carriage House,Bars,247 Kilgore Ave,,Muncie,IN,Tel. 282-7411. Open 7 days a week from 4pm-1am. Sunday closes at 12:30am. NOTE:THIS BAR IS NOT OPENLY GAY.,**,"Bars, Clubs, Coffeehouses",,,
Broadside Bookshop,Bookstores,247 Main St,,Northhampton,MA,"Tel. 586 4235. Feminist and gay titles. Hours: Mon thru Sat 9:30-5:30pm. Thursday evening 7-9pm on the spring, summer and fall. ",,,,,
Santa Cruz Women's Health Center,Health Center,250 Locust St,,Santa Cruz,CA,"95060. Tel. 427-3500/ emergency service till midnight 452-5211. Gyn/health therapy. Their resource book: LESBIAN HEALTH MATTERS, which, as well as being a landmark, is excellent. Center hours: Mon 10am-4pm/Tues 10am-7pm/Weds 10am-4pm & 7pm-9pm/Thurs 9am-4pm/Fri 10am-4pm/
METR_O_POLITANCOMMUNITY CHURCH: 4949 Foothill Road Ventura Ca 93001. (Uses Unitarian Church, Sunday evening services 7pm) Tel. 653 5291. Many women involved
Sat9am-1pm.",,,,,
Gertie's,Restaurant/Coffeehouse,250 Sebastopol Rd,,Santa Rosa,CA,Tel. 576-9247. Open Thurs. 4-10pm/Fri 4pm-10pm/Sat 4pm till late (entertainment on Saturday nights). Sunday brunch at 10:30. Friday & Saturday night full dinner menu- and it is excellent and reasonable. Very friendly women/helpful to visit. GERTIE'S IS A WOMAN-ONLY SPACE. Be sure and say hi from GAIA.,****,"Bars, Clubs, Coffeehouses",,,
The Greater Danbury Women's Center,Women's Center,256 Main St,,Danbury,CT,06810. Tel. 743-3010. The Center is open Monday and Friday 9.30am-4.30pm. Tuesday 9.30am-1.30pm. Wednesday and Thursday 12 noon-4.30pm. Call about monthly social in private home.,****(*),Organizations,,,
City Lights Books,Alternative Bookstores,261 Columbus,,San Francisco,CA,"(near Broadway) 94133. Tel. 362-8193. Gay titles, women's titles. ",,,,,
Holy Trinity Church/ San Gabriel Valley,Religious Groups,277 N El Molino,,Pasadena,CA,"Church Activity Center.  91101 Tel. 357-8529. Serving the spiritual needs of our gay and lesbian community. 4pm Sunday Services. Rev Joan G Johnson, Pastor.",,,,,
The Mailbox,Bars,282 Main St,,Worcester,MA,01068 Tel. 752-8993. There's a wide dance floor and the disco music is excellent. The DJ sits above in a room with glass window. Fantastic lights. Piano bar: gay singers- jazz and blues. Clientele: all gay. Closing time 2am. ,,,,,
The Town House,Bars/Restaurants,291 Commercial St,,Provincetown,MA,"Tel. 487 0292. Super bar complex. 50% straight, 50% gay. ",*,"Bars, Clubs, Coffeehouses",,,
Somewhere,Bars,295 Franklin St,,Boston,MA,"Tel. 423-7730. Seven days a week, a place for all women. Open noon-2am. Sundays: brunch 1-4pm. Live entertainment and tea dances 5-7pm. large TV screen, hot dog, dance till the morning hours. Lots of rave recommendations always come in for this one. ",****,"Bars, Clubs, Coffeehouses",,,
Women's Health Spa,Spa,295 Franklin St ,,Boston,MA,"Tel. 423-7730. Featuring a racquetball court, universal gym, jacuzzi and sauna. ",,,,,
The Gull Walk-Inn,Hotels/Motels/Guest Houses/ETC,300A Commercial St,,Provincetown,MA,"Mail to PO Box 456; 02657. Location: 300A Commercial St Tel. 487-9027. AN ALL WOMEN'S GUEST HOUSE (for 6 years!) Reasonable rates. Central location, large front yard and porch, TV/social lounge. Three steps off Commercial St, right near the bus depot, Boston ferry and the beach. OPEN ALL YEAR ROUND. Highly recommended.",,,,,
Nutbush City Limits,Bars,301 N Harlem Ave,,Forest Park,IL,Tel. 787 2369,**,"Bars, Clubs, Coffeehouses",,,
Buck's Saloon & Ice Cream Parlour,Bars,301 Stockton Ave,,San Jose,CA,Tel. 279-9825. Fancy ice-cream and drinks/dance floor/video games/pool tables/ lounge bar. Separate video games room. Open daily from 11am-2am. ,**,"Bars, Clubs, Coffeehouses",,,
Rainbows of Life,Gay/Alternative Bookstore,303 W Jefferson,,Fort Wayne,IN,"46802 Tel. 422-7913. Books, records, tapes: feminist, metaphysical, holistic, gay and lesbian owned. Psychic fairs, bulletin board. EXTREMELY community minded, women-run bookstore. A first stop when new in Fort Wayne and be sure to say 'hi' from GAIA. They sell GAIA'S GUIDE. Hours: Mon-Fri; 10am-7:30pm. Sat 10am-5pm, Sun: 12 noon-5pm.",,,,,
Soiled Dove Saloon Bar,Bars,308 N Rampert St,,New Orleans,LA,Tel. 525-1459. Women's Western Bar. Sunday evening it's Kim Williams and her Lesbian Country/Western Band. Opens every day of the year at 2pm until closing. ,****,"Bars, Clubs, Coffeehouses",,,
Printers Ink Books,Bookstores,310 California,,Palo Alto,CA,Gay titles. women's titles.,,,,,
Splash,Gift Store,311 7th St,,Washington,DC,"SE Tel. 546-3604. They gay place to shop on Capitol Hill; great women biographical card games, lots of cards for lesbians. Scores of bold gift ideas. (Near Metro on Eastern Market Row.)",,,,,
Augie's ,Bars,313 20th St,,Rock Island,IL,61201 Tel. 788-7389. Pool table/juke box. Clientele: 50% gay and OK for gay women. Open 5pm-3am. ,*,"Bars, Clubs, Coffeehouses",,,
Lammas Women's Shop,Restaurant,321 7th St,,Washington,DC,"SE. Tel. 546-7292. Books, women's music, gifts. They sell GAIA'S GUIDE.",,,,,
"Susan Tenhouten, M.S.W.",Counseling,321 S Beverley Dr,,Los Angeles,CA,Tel. 277-7838.,,,,,
Sherman's Books,Bookstores,322 Park Ave,,Baltimore,MD,21202. Tel. 837 3363. General bookstore-gay and feminist titles.,,,,,
Las Lechuzas Disco,Bars,323 23rd St,,Miami,FL,"(Miami Beach) Tel. 672-9422. Showbar and disco. Latin/lesbian clientele. 'Liquor bar. Shows Fridays and Saturdays, but very quiet during the week. Open: Mon-Thurs 10pm-3am (no admissions charge). Open Fri-Sun: 9pm-5am with a $3.00 admission charge.",***,"Bars, Clubs, Coffeehouses",,,
Jr's Country Disco,Bars,325 20th St,,Rock Island,IL,Tel. 78 9411. Pool table. DJ dance floor/lounge area. ,**,"Bars, Clubs, Coffeehouses",,,
Riversedge,Restaurant,325 N Wells ,,Chicago,IL,Tel. 467-1772. Gay owned. Across from Merchandise Mart.,*,"Bars, Clubs, Coffeehouses",,,
Women's Mental Health Collective,Health Center/Clinic/Counseling,326 Summerville Ave,,Boston,MA,02143 Tel. 725 2729 or 666-5290.,,,,,
The Gallery,Art Gallery,327 Paris,,Grand Rapids,MI,SE. Women's Gallery.,,,,,
Douglas Dunes,Resort,333 Blue Star Highway,,Saugatuck,MI,"Tel. 857 1401. Just a minute from beautiful Lake Michigan in Saugatuck/Douglas. This is an all gay resort with hotel accommodation, formal dining room, outdoor decked patio restaurant, two bars, game room and heated pool. There's bar service at the swimming pool and all the rooms are air conditioned. Color TV. Open all year. Ski-ing etc. It's highly recommended although it's now mostly gay men- 'Gay women are always welcome and well treated here.' ",,,,,
Cafe Edwige,Restaurant,333 Commercial St,,Provincetown,MA,"Breakfast, lunch, dinner, full bar. 'Excellent food and very pleasant atmosphere.'",*,Restaurants,,,
Our House,Bars,336 Central ,,Hot Springs,AR,Tel. 624-6868. Disco 6 days a week. Open 12 noon-2am.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Pilgrim House Hotel,Hotels/Motels/Guest Houses/ETC,336 Commercial St,,Provincetown,MA,02657 Tel. 487-0319. A hotel for gay women and men- 50 rooms. Also disco and lounge with top name live entertainment. Dinners served. Piano bar and open mike nights. Very highly recommended. ,,,,,
Women's Growth Center,Women's Center,339 E 25th St,,Baltimore,MD,"Tel. 366-GROW. Referrals, therapy, lesbian rap groups and CR groups. ",****(**),Organizations,,,
Avenue Victor Hugo Bookshop,Bookstores,339 Newbury St,,Boston,MA,Tel. 266-7746. Women's poetry and poetry readings by women. Coffeehouse type poetry reading nights. ,,,,,
The Godmother,Bars/Restaurants,339 Saragoga Rd,,Honolulu,HI,"96815 (corner BeachWalk and Kalakaua-difficult to find but well worth it) Tel. 922-6960. Italian restaurant and lounge. Intimate patio dining in the heart of Waikiki. 'In the dark in the back'. Owned by two women. The food is excellent and the atmosphere cosy and friendly. Clientele: 60% gay men, 40% gay women. Be sure and say H1 to Terry and Josephine from GAIA.",**,"Bars, Clubs, Coffeehouses",,,
Grand Central,Bars,345 W 7th,,San Bernardino,CA,92401. Tel. 889-5204. Disco/young crowd/closed Mon/ cover charge on weekends.,*,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church of Tucson,Religious Groups,349 W 35th St,,Tucson,AZ,Tel. 622-4536. Offering regular worship services at 10:45 Sundays. Professional counseling and referrals/social activities/possible temporary housing/alcoholics together/women's rap group/children's activities. Other services available. Office Hours: Mon/Th/Fri. 1Dam-4pm + Tu/Weds 1pm-9pm. Over 50% of our church community are women. Be sure and say hi from GAIA.,,,,,
Hill Center INC,Center,350 Farmington Ave,,Hartford,CT," 06105. Tel. 249-7691. Monday to Thursday 9am- 9:30pm, Friday to 4:30pm. 'Multi-program Community Center. Men's and women's alliance against sexism. Meeting place for gay groups, workshops, etc.' Home of Lesbian/Gay Task Force/Lesbian AA Wednesday 8pm and 'Your Turf' /Teenage Lesbian/GayGroup Friday7pm. will ring you back in about 10 days.",,,,,
Angel's Landing,Hotels/Motels/Guest Houses/ETC,353 Commercial St,,Provincetown,MA,"02657 Tel. 487 1420. Studies and apartments on the waterfront in the heart of Provincetown. Private beach, sundecks and a gorgeous view of the bay. Woman owned and operated. Gay women are more than welcome here. Say that GAIA sent you. ",,,,,
Oasis,Coffeehouse,355 Boylston St,,Boston,MA,"(chapel entrance) tel. 536-7050. Coffeehouse with music, run by MAXINE FELDMAN. Weds-Sun 7:30pm. ",****,"Bars, Clubs, Coffeehouses",,,
Ramblin's Inn,Restaurant,355 Michigan St,,Grand Rapids,MI,"NE 49503 tel. 774 8663. 'This gay owned and operated restaurant features a wonderful yet inexpensive breakfast and lunch menu. Great even if you just go there for a cup of coffee. ' Its the place to find out what's going on in town. and should be your first stop in Grand Rapids. Hours: Tues-Fri 7am-33:30pm, Sat 8am-2:30om, Sun 9am-2pm. Get there early or you will have to stand in line. ",**,Restaurants,,,
Civic Center Books,Alternative Bookstores,360 Golden Gate,,San Francisco,CA,"(near Larkin) 94102 Tel. 885-5072. Gay titles, women's titles. ",,,,,
The Collective,Publication,372 Preble St,,Portland,ME,"c/o Elve, 372 Preble St Sth Portland 04106. Portland Women's Community Newsletter published every month on various topics such as motherhood etc and every other month publishes a calender of events happening in the women's community, spirituals, dances etc.",,,,,
Womencrafts,Feminist Bookstore,373 Commercial St,,Provincetown,MA,"Mail Po Box 190; 02657. Location: 373 Commercial Street Tel. 487-9854. Feminist books, records, gifts, handcrafts, jewelry and many other items especially for lesbians- including records, gifts, handcrafts, jewelry and many other items especially for lesbians-including GAIA'S GUIDE. They have a bulletin board for accommodation, events, etc. Open during the summer only. Say hi from GAIA.",,,,,
The Lesbian Clinic,Clinic,375 Mission Boulevard,,San Diego,CA,(Pacific Beach) 92109 Tel. 488-8325. The Lesbian Clinic is part of the Women's Clinic. 'Sensitive GYN care with women counselors and practitioners.',,,,,
Southern Nights,Bars,375 S Bumby Ave,,Orlando,FL,Tel. 894-1421.,**,"Bars, Clubs, Coffeehouses",,,
The Club Cafe,Bars,384 W Main St,,Waterbury,CT,"Tel. 755-7236.
",**(MGM),"Bars, Clubs, Coffeehouses",,,
Ocean's Inn,Hotels/Motels/Guest Houses/ETC,386 Commercial St,,Provincetown,MA,Tel. 487 0358. Seasonal. ,,,,,
Robbie's,Bars,390 Pomona Mall E,,Pomona,CA,91766. Tel. 622 9511. Disco every night except Mon (closed Mon). Piano bar/video games/pool table. Woman owned and operated. Occasional live shows. Open 12 noon - 2am.,***,"Bars, Clubs, Coffeehouses",,,
The Monster,Bars,400 Front St,,Key West,FL,Tel. 294-1616. Bar/restaurant.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Anne- Marie's (née The Hut),Bars,400 W Capitol Ave,,Sacramento,CA,"THE place for women to go in the Sacramento area. Many, many recommendations. Disco dancing/dj.",****,"Bars, Clubs, Coffeehouses",,,
Antigone Books,Bookstores,403 E 5th St,,Tucson,AZ,Tel. 792-3715. Very well-stocked bookshop featuring lesbian and feminist titles. They sell GAIA'S GUID,,,,,
Pier House,Hotels/Motels/Guest Houses/ETC,409 Eaton St,,Fort Lauderdale,FL,Tel. 294-9541. 1-800-432-3414 (toll free in Florida) 1-800- 327-8430 (toll free in USA). Charming apartments and suites. Large pool and private beach. Rooms $145.00-$200.00 per night. Suites $225.00-$450.00 per night. Not gay owned but gay staff and gay women most welcome.,,,,,
Victuals (Free Spirit),Bars,410 E 47th St,,Wichita,KS,,**,"Bars, Clubs, Coffeehouses",,,
Parliament House,Resort/Hotel,410 N Orange Blossom Trail,,Orlando,FL,Tel. 425-7571. This is one of the largest gay reasons in the world. Hotel/restaurant/swimming pool/disco/boutique complex. BUT: at least 90% gay men.,,,,,
Jane Addams Bookstore,Feminist Bookstore,410 S Michigan Ave,,Chicago,IL,"60605 (2nd floor 1nFine Arts Building) Tel. 663-1885. Women's titles, lesbian titles, rare women's books, free search service for out-of-print books, posters, women's records plus non-sexist children's books and GAIA'S GUIDE. Open Mon-Sat 10am-5pm but Thurs until 6pm. Sun 12 noon-5pm. Also coffee shop serving coffee/herb tea/cider/wholewheat pastries/yogurt served at the store Readings and events. Beautiful new space overlooking Grant Park.",,,,,
Smokey's Den,Bars,411 E Washington,,Springfield,IL,"Tel. 522 0301. Dance bar/opens 12 noon 1am, 6 days a week. Thurs, opens at 6pm. Clientele: gay women and men. Woman owned.",**,"Bars, Clubs, Coffeehouses",,,
Peasant Stock,Restaurant,415 Washington St,,Somerville,MA,"Tel. 354 9528. International dishes from around the world. Beers and wines. Open for lunch, dinner, and Sunday brunch. ",,,,,
Matrix,Publication,418 Cedar St,,Santa Cruz,CA,Santa Cruz Ca. 95060. Tel. 429-1238. Monthly women's newspaper $8.00 per year. Lots of lesbian news and events listed. Monthly calender. ,,,,,
Caffe Domenica,Coffeebar,418 Cedar St,,Santa Cruz,CA,"Tel. 427-3520. Located right next to the MATRIX office, this has become a feminist hang-out and a good place to meet new women. ",*,"Bars, Clubs, Coffeehouses",,,
Charis Books & More,Feminist Bookstore,419 Moreland,,Atlanta,GA,"North East Tel. 524-0304. Feminist books and records. Couches for reading plus a children's play loft. Women's art gallery, coffee/teas and referral service plus records, buttons, posters, jewelry, magazines. Poetry readings and women's music nights. They sell GAIA'S GUIDE.",,,,,
Women's Work,Feminist Bookstore,421 Brady St,,Davenport,IA,52801 Tel. 326-4518. Women's books/art/music. BULLETIN BOARD for local events. Open 10am-5:30pm Mon-Sat.,,,,,
Women's Community Building,Center,423 W Victoria ,,Santa Barbara,CA,"(room 1) 93101 Tel. 965-6073. Answering machine, most of the time. Their publication COMMUNITY NEWS DATING SERVICE",****,Organizations,,,
Womancare,Health Center,424 Pennsylvania Ave,,Santa Ana,CA,Tel. 298-9352. A Feminist Women's Health Center.,,,,,
National Organization of Women (NOW),Special Interest Groups,425 13th St,,Washington,DC,Suite 1048: 20004 Tel. 347-2279.,,,,,
Metropolitan Community Church,Religious Groups,425 College St,,New Haven,CT,06505. (Second floor). Tel. 777-9808 (24 hours). Service 7.15pm.,,,,,
The 31st Street Bookstop,Feminist Bookstore,425 E 31st St,,Baltimore,MD,21218 Tel. 243 3131. Books and records. Information center and a good place to go when new to Baltimore.,,,,,
Womansplace Bookstore,Bookstores,425 South Mill Ave,,Phoenix,AZ,"Tel. 966-9276 Your first stop in the Phoenix area. Bulletin board/notices, etc. for all current local events and information. Be sure and say 'hi' from GAIA.",,,,,
Annex 2,Bars,430 N Clark,,Chicago,IL,"Tel. 644-5268. Disco and sit-down type lounge bar. Quiet atmosphere. The Sunday Tea Dance attracts many women, also Sunday buffet. Open 4pm-4am 7 days a week.",**,"Bars, Clubs, Coffeehouses",,,
Davis Lesbian and Gay Task Force,Political Group,433 Russell Blvd,,Davis,CA,"Tel. 753-2090. Affiliated with the GAY STUDENTS UNION OF THE UNIVERSITY OF CALIFORNIA AT DAVIS. They offer: Coming Out Group, Lesbian Sharing Group and potlucks. Events tape and see MOM GUESS WHAT/Newspaper for current details.",,,,,
Cocktail Center,Bars,435 Atkinson ,,Honolulu,HI,"Tel. 946 9722. Pool table, dancing, juke box. A real old timer and probably your best bet In Honolulu. Near Ala Moana shopping center. Clientele: 'genuine, helpful women', 95% gay women. Open 2pm-2am daily.",***,"Bars, Clubs, Coffeehouses",,,
Desert Knight Motel,Hotel,435 Avenida Olancha,,Palm Springs,CA,Tel. 325-5456. An excellent hotel with a gay clientele. Children are not allowed and there's no bar but there is a great swimming pool and the emphasis 1son relaxation. Highly recommended old-timer. Gay and straight people mixing easily together.,,,,,
Baaudelaire's,Coffeehouse/Bar,435 State St,,Santa Barbara,CA,Tel. 964-9007. A straight coffeehouse-type place with woman-only Wednesday nights. It is well attended by the lesbian community. Beer/wine/record music and dancing. $1.00 cover charge. Very highly recommended.,****,"Bars, Clubs, Coffeehouses",,,
Baton Show Lounge,Showbar,436 N Clark St,,Chicago,IL,(Near North Side) Tel. 644-5269. Open 8pm-4am. Closed Mon and Tues. Wednesday thru Sunday 8.00pm excellent drag shows. Women welcome.,**,"Bars, Clubs, Coffeehouses",,,
Robyn's Travel,Travel Agency,437 Lytton Ave ,,Palo Alto,CA,Tel. 328-5375. Special travel for special people .. women have a welcome here.,,,,,
Mary Midgett's Coffeehouse,Coffeehouse,437 Webster St,,San Francisco,CA,"94117 Tel. 864-0876. Coffeehouse evenings in a private home. An alternative to the bar scene - rap groups/ entertainment/poetry readings and women singers. Open every Friday from 6pm-10pm. Admission charge is $5.00. Sounds good... but... there are conflicting reports. Play back, please.",****,"Bars, Clubs, Coffeehouses",,,
New York Cafe,Bars/Restaurants,440 S Colorado Blvd,,Denver,CO,Tel. 321-2337. 'Supportive to gay women and men.',**,"Bars, Clubs, Coffeehouses",,,
Incognito,Bars,441 E 7 Mile,,Detroit,MI,Tel. 892 9303.,**,"Bars, Clubs, Coffeehouses",,,
Shangri-La Disco Lounge,Bars/Restaurants,451 N State Rd,,Fort Lauderdale,FL,(no 7): 33317. Gay women downstairs/ gay men upstairs. 2 bars/one excellent restaurant/drag shows. Opened February 19B3and highly recommended.,**(**),"Bars, Clubs, Coffeehouses",,,
Page One,Feminist Bookstore,453 E Colorado Blvd,,Pasadena,CA,"91101 Tel.792-9011. We have a complete list of lesbian and feminist books. Also: records, buttons. jewelry, posters. T shirts, magazines and bulletin board. We sell GAIA'S GUIDE. Catalogues: $1 for the adult list. $.50 for the children's list.' Open Mon-Sat 10am-8pm; Sunday 12-4pm. Fri 10am-8pm",,,,,
Commercial Street West,Bars,458 Weatherfield Ave,,Hartford,CT,Tel. 249-6653. Mostly women. Dance bar. Two women own it.,***,"Bars, Clubs, Coffeehouses",,,
Gay Events Tape,Services,"470 Castro St, Suite 207-42",,San Francisco,CA,94114. Tel. 861-1100. Operates 24 hours to promote community events and non-profit organizations that serve Lesbians and Gays in ttie San Francisco Bay Area. It's a 3 minute taped minute which talks too damned fast. You can buy advertising time on it. I probably will.,,,,,
Belinda Terrace,Bars,480 Pomona Mall W,,Pomona,CA,91766 Tel. 623-9474,**(MGM),"Bars, Clubs, Coffeehouses",,,
Red Garter,Bars,500 S Palafox St,,Pensacola,FL,Tel. 433-9229. 'Cruise bar' but ·totally mixed'. Opens noon-2am. Disco and floor shows.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Kleins,Delicatessen,501 Connecticut St,,San Francisco,CA,Lesbian owned dell.,,,,,
Pandora- A Womyn's Store,Feminist Bookstore,505 Davis St,,Kalamazoo,MI,"49007 Tel. 388 5656. Feminist books records, cards, clothing, jewelry, ceramics, area womyn's newsletter and non-sexist children books and more. Open Tues-Sat 12 noon-7pm, Sun 1:00-5:00pm. ",,,,,
Queen City Travel,Travel Agency,506 E 4th St,,Long Beach,CA,Tel. 437-4197,,,,,
Country Cousins,Restaurant,508 N Clark St,,Chicago,IL,Tel. 329-0320. Recommended restaurant. ,*,"Bars, Clubs, Coffeehouses",,,
The Club,Gay/Alternative Bookstore,508 S Alabama St,,Fort Wayne,IN,Tel. 632-6212. Closed Sundays. ,**,"Bars, Clubs, Coffeehouses",,,
Fahrenheit 451,Bookstores,509 S Coast Highway,,Laguna Beach,CA,Gay literature and periodicals. They sell GAIA'S GUIDE.,*,"Bars, Clubs, Coffeehouses",,,
The Copa,Bars,510 S Saginaw,,Flint,MI,Tel. 767 0300. ,**,"Bars, Clubs, Coffeehouses",,,
Papillon,Swimming Pool/Bar,510 S St,,Fort Lauderdale,FL,Tel. 296-2491. Uses Atlantic Shores Motel swimming pool which Is most popular with gay women.,**,"Bars, Clubs, Coffeehouses",,,
The Marquee,Bars,512 Massachussettes Ave,,Cambridge,MA,"(Central Square) Cambridge 02138 Tel. 492 9545. Disco, pool tables, pinball. A marvellous place for gay women, epsecially those who like to view the vamps on the wall (Mae West, Marilyn Monroe etc.) Great for dancing, open 7days a weel. They Sponsor local athletes and sports teams in the Cambridge Women's League. Very highly recommended. Open 7 days a week. Weds 2 for 1. ",****,"Bars, Clubs, Coffeehouses",,,
Hide and Seek Complex,Bars,512 W Colorado Ave,,Colorado Springs,CO,Tel. 634-9303. Big disco with 3 bars. Lunches/dinners/drag shows/pin-ball and pool tables. Includes the separate women's bar NOW/WOMEN-disco. Tel. 473-3549.,**(**),"Bars, Clubs, Coffeehouses",,,
The Office Tap,Bars,513 E State St,,Rockford,IL,Tel. 965 0344.,***,"Bars, Clubs, Coffeehouses",,,
Mississippi River Bottom,Bars,515 St Philip St,,New Orleans,LA,Tel. 566-0665. 'Some women do frequent' . Open 10am till close. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
Towson Books,Bookstores,516-518 York Rd,,Towson,MD,(in the heart of Towson). Tel 321 6850. Gay titles and feminist titles. Hours: Mon-Sat 10am-9pm. Sunday 10am-5pm. ,,,,,
Horizon Bookstore,Bookstores,517 S Goodwin,,Urbana,IL,61801 Tel. 328 2988. General bookstore Gay/lesbian and feminist titles. They sell GAIA'S GUIDE. ,,,,,
Bay Area Career Women,Special Interest Groups,519 Castro St,,San Francisco,CA,94114. Social events include alternation business meetings and seminars with dinners and dances. A great group - write for newsletter.,**,Organizations,,,
Aradia Counseling For Women,Counseling/Therapy,520 Comm Ave ,,Boston,MA,Kenmore Square Tel. 247-4861 x 58.,,,,,
Chatterton's,Bookstores,520 E Colorado Blvd,,Pasadena,CA,91101 Tel. 681-6803. Gay and feminist books and periodicals.,,,,,
Phase One,Bars,525 8th St ,,Washington,DC,"SE Tel. 544-6831. (Now, how would you like to have to edit this one?) 'During the week, a hang-out for the regulars who all seem to know each other but are not- and large- totally unfriendly to strangers. Small dance floor and pool table. Weeknights: slightly macha atmosphere... But it's totally different on weekends... tuxedos and political types... super women in ankle strap heels +. suburban + ki-ki +++' Another recent comment: 'outside the bar the atmosphere is tense, because of its proximity to the military base, but inside, it's great- very relaxed, very soothing. '(&I, for one, would love to go there...)",****,"Bars, Clubs, Coffeehouses",,,
The Warehouse,Bars,525 H St,,Cedar Rapids,IA,SW; 52404 Tel. 365-9044. Disco-open 4pm-2am. 'Hard to find- ring up for directions'. ,**,"Bars, Clubs, Coffeehouses",,,
El Mirasol Villas,Hotel,525 Warm Sanda Dr,,Palm Springs,CA,Tel. 327-5913. Gay resort/hotel - swimming pool. Studio and hotel units. $60.00-$100.00 Open year round.,,,,,
Mr C's ,Bars,528 7th St,,Rockford,IL,"60104 Tel. 962 2380. Huge dance floor and U shaped bar. Clientele: 50% gay women. Open 4pm to 2am and Thurs, opens noon. ",**,"Bars, Clubs, Coffeehouses",,,
Sonya Wetstone's Books and Cheese,Feminist Bookstore,529 Farmington Ave,,Hartford,CT,"Tel. 232-3710. Women's books, lesbian titles and cheeses from everywhere.",,,,,
Women's Coffeehouse ,Coffeehouse,529 S Gilbert,,Iowa City,IA,"You enter through the plain door on the first floor. The Women's Coffeehouse is one large room with different facilities for all kinds of entertainment and gathering. After having been closed, the Women's Coffeehouse is open again. On Thursdays from 7:30am to 9:00am breakfast is served and on Monday nights from 6:00pm to 7:30pm there are soup suppers (the best deal in town). 'The Coffeehouse events check the Coffeehouse and WRAC calanders for dates and times. ",****,"Bars, Clubs, Coffeehouses",,,
Platypus Bookstore,Bookstores,530 Dempster,,Evanston,IL,(corner of Dempster and Chicago) Tel. 866 8040. Alternative bookstore selling women's music and lots of feminist and lesbian literature. Open 10.30am-6pm They sell GAIA'S GUIDE.,,,,,
Lesbian Advocate,Lesbian Center,530 South State St,,Ann Arbor,MI,3116 Michigan Union 530 South State St 48104 Tel. 662 1977 (Hot Line 9am-5pm daily). 'We work closely with the lesbian and feminist communities as well as with students and gay men's Advocate office.' Peer counseling and referrals. Very handy NEWSLETTER/resource list. Social activities. Serving lesbians and working closely with bi-sexuals and straight women. 'All are welcome by appointment or by drop-in.',*****,Organizations,,,
Joe Covello's ,Bars,535 E Michigan Ave,,Lansing,MI,"Tel. 482 4577 or 482 4557. All gay bar/mostly women on Thursday nights. College crowd, near Michigan State. No cover charge. A real old-timer. Say Hi from GAIA.",***,"Bars, Clubs, Coffeehouses",,,
The PR Room,Bars,536 Soscol Ave,,Napa,CA,Tel. 257-2598. Beer and wine bar. Disco/video games/ pool tables. Open 7 days a week 4pm-2am. Be sure and say Hi from GAIA.,,,,,
The Clinic,Bars,540 Burgundy St,,New Orleans,LA,"Tel. 522-1585. A nice, friendly bar-open 24 hours a day 7 days a week (but don't walk around alone in the neighborhood). However, 'This is a nighbohood bar with pool table, pac man, sometimes 100% gay women'. ",***,"Bars, Clubs, Coffeehouses",,,
