Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Metropolitan Community Church,Religious Groups,,checked,Austin,TX,"Tel. 443 3332. The Christian Church with an
outreach to the gay community. Social as well as religious activities plus counselling and
referrals. Services 2pm Sun, 7 .30pm Weds.",,,,,
Austin Lambda,Group,,checked,Austin,TX,Tel. 478 8653. Women's awareness group.,**,Organizations,,,
Austin Lesbian/Gay Political Caucus,Group,,checked,Austin,TX,Tel. 474 2717.,,Organizations,,,PO Box 822 78767 
Gayline,Service,,checked,Dallas,TX,Tel. 748 6790 7.30pm-12am 7 days. Serves Dallas and Fort Worth.,,,,,
Metro Times,Publication,,checked,Dallas,TX,Tel. 528 9944 (taped message).,,,,,PO Box 225914
Dignity,Bars,,checked,El Paso,TX,"Tel. 779 0293. Gay Catholics and their friends participating in
political, social and religious services together. ",,,,,PO Box 26523
El Rancho Vista,Hotel/Motel,,checked,Glenrose,TX,Tel. 897 4982/8974 972.,,,,,PO Box 245 76043
Women's Info Referral ,Service,,checked,Houston,TX,"Tel. 792 4664 or 528 2121. Resources for lesbians,i includingbar info. Operates 9am-9pm Mon-Sat.",,,,,
Gay Resource Services,Service,,checked,Houston,TX,"Tel. 7493 489.  All people
who are sympathetic to the gay rights cause are invited to attend and contribute to our meetings
",,,,,PO Box 309 University of Houston 7704
The King Frederik Hotel on the Beach,Hotel/Motel,,checked,Saint Croix,Virgin Islands,"Direct dial (809) 772 1205. Small hotel with 22 units and 2 beach front homes. Maximum
privacy, personalized service, friendly atmosphere. Outdoor balconies. The hotel is surrounded
by tropical foliage and immaculate grounds. The patio, bar, and fresh water pool are steps
away from emerald blue Caribbean. KING FREDERIK is our home and we.take the utmost
pride and pleasure in operating a 1st class resort hotel. Prices from $32-54. No children
allowed. Clientele: gay women, gay men and a few others.",,,,,PO Box 1908 Frederiksted 00840.
Andrews Inn,Resort,,checked,Bellows Falls,,"Tel. 463 3966. Hotel/resort, bar, disco, shops, coffee
shop, gourmet dining room. Conference facilities. Clientele: gay women and men. Friday
night in the downstairs lounge is women only. However, the comment has also been made
'the people are very nice but the ambience is that of a male pick-up place-very stark- not at
all homey",,,,,
The Safari,Bars,,checked,St Thomas,Virgin Islands,,**,"Bars, Clubs, Coffeehouses",,,
The Open Closet,Publication,,checked,Brattleboro,,No Phone Listing. from Southern Vermont Lesbians/Gay Men's Coalition,,,,,"P O Box 1034;
05301."
Gay Student Union,Group,,checked,Burlington,,"Tel. 656 4173. Gay
Hotline Monday-Friday7-9pm. Dances, meetings, other activities etc.",*,Organizations,,,
Inwood Manor,,,checked,East Barnet,,"Tel. 633 4047. Head for the hills! Relax and enjoy the splendor of the
countryside. Country Inn. Bar and restaurant. Gay clientele. Very much in touch with the local
gay community.",,,,,
Central Vermont Gays,,,checked,Montpelier,,"No Phone Listing. Male membership. Newsletter.I n contact
with lesbian groups in area.",,,,,P O Box 1264; 05602
The Front Page,Publication,,checked,,VI,"No Phone Listing. For current, correct details about religious and social
groups throughout Virginia.",,,,,
Charlottesville Lesbian/Feminists Organization,Group,,checked,Charlottesville,VI,"No Phone Listing. Sponsors social events such as dances, picnics, and volleyball games. Encourages local
political participation and sponsors the annual weekend lesbian conference. Very friendly and
helpful women",**,Organizations,,,"CLFO PO Box 3 2962
2903"
Gay Information Line,Service,,checked,Norfolk,VI,"Tel. 6251130. Information, counseling, referrals service.",,,,,
Dignity/Tidewater,Religious Groups,,checked,Norfolk,VI,Tel. 489 4075 or 623 3120 or 622 1636.,,,,,PO Box 434 23501
Upstairs Lounge,Bars,,checked,Richmond,VI,Tel. 355 0549. Exact address unknown.,**,"Bars, Clubs, Coffeehouses",,,
The Women's Information Center,,,checked,Seattle,WA,Tel. 545-1090.,,,,,
Oasis,Group,,checked,Olympia,WA,"Tel. 946 4357. Gay support group. Social functions
attended by over 100 people and offer rap groups, counseling, film nights and much, much
more.",*,Organizations,,,"PO Box 6371, Kennewick; 99336"
Seattle Gay Hotline,,,checked,Seattle,WA,Tel. 329 8707 Mon to Fri 10am-10pm.,,,,,
Lesbian Support Group,Group,,checked,Seattle,WA,Tel. 543-6106.,**,Organizations,,,
Lesbian Mother's National Defense Fund,Group,,checked,Seattle,WA,"Tel. 325-2643.
'We offer legal, emotional and financial support to lesbian mothers undergoing custody
battles.' Their publication: MOM'S APPLE PIE - bi-monthly, $5.00 per year. 'We also work on
educating judges, lawyers and the public around the issue of Lesbian custody problems and
we are working with other groups across the country to form an informational network round this issue. We operate mostly for gay women but we do offer advice for gay men too.'",**,Organizations,,,PO Box 21567
Gay Clinic,,,checked,Seattle,WA,Tel. 329 8390.,,,,,
Lesbian Separatist Potluck Brunches,Group,,checked,Seattle,WA,Tel. 632-3829 (for information). 1st Sunday of every month.,***,Organizations,,,
Oasis,Group,,checked,Tri-Cities,WA,"Tel. 946 4357. A gay support for women and men.
Social functions (attended by over 100 people) and rap groups, counselling, film nights and
much more.",*,Organizations,,,PO Box 6371
Metropolitan Community Church of Morgantown,Religious Groups,,checked,Morgantown,WV,Tel. 292 3128.,,,,,PO Box 576 26505
The Women's Health Information Service,Group,,checked,Beloit,WI,Tel. 365 3391 ext331.,,,,,PO Box 317 Beloit College5 3511
Beloit Gay Alliance,Group,,checked,Beloit,WI,Tel. 365 3391 ext 730.,*,Organizations,,,"Box 209, Beloit College; 53511"
Lesbian and Gay Crisis Line,Service,,checked,Madison,WI,"Tel. ALL-GAYS (255 4297) Hotline. 255 8582 Office.
9am-6pm Mon-Sat.",,,,,
Local Resource List,Service,,checked,Madison,WI,Tel. 263 3100 ask for tape no 333.,,,,,
Out,Publication,,checked,Madison,WI,"Tel. 251 0698 (publisher) 256 7952 (editor). Political orientation,
gay/lesbian issues. Calendar. Free in bars or sliding scale subscription of $8.00/$10.00/
$15.00.",,,,,PO Box 148 53701
National Lesbian Feminist Organization,Group,,checked,Madison,WI,Tel. 257 7378.,,,,,
Nothing to Hide,TV Show,,checked,Madison,WI,Tel. 266 9060. Cable 4/Thurs 8.30pm,,,,,
Lesbian AA,Group,,checked,Madison,WI,Tel. 255 2577 Meet everyT hursa t 8.30pm in members' houses.,,,,,
Women's Crisis Line,Centers,,checked,Milwaukee,WI,Tel. 964 7535 (tape-your call will be returned).,,,,,
Milwaukee Now,Group,,checked,Milwaukee,WI,"Tel.964 6117. Task forces: ERA, reproductive rights,
sexism in education, minority women, consciousness-raising, sexuality, women and poverty.
$30 regular dues.",,,,,PO Box 174 53201
Gay Switchboard,Organization,,checked,Memphis,TN,"Tel. 726 4299 726  Gay but: busy, busy, busy).7 pm-1am nightly.",**,Organizations,,,
,,,checked,,,,,,,,
Women's Resource Center,Centers, ,checked,Lincoln,NE,Tel 472 2597 A full service center for and about women,****(*),Organizations,,,Room 116 Nebraska Union (14th & R)
Gay and Lesbian Student Union,Group, ,checked,Albuquerque,NM,"Tel 277 6739 Meetings, speakers, social events",,,,,University of New Mexico
Brazil ,Bars, 86 Mills Ave,,Staten Island,NY,"Tel. 447 9590. Bar& restaurant, free parking. disco plus piano bar 
& patio. 'The best chili anywhere'. Friendly people. Open 7 days a week: 2pm-4am/Sundays 
4pm-4am.",***,"Bars, Clubs, Coffeehouses",,,
The Allen Club,Bars, 278 Allen St,,Rochester,NY,Tel. 325 9342. THE women's disco in Rochester.,****,"Bars, Clubs, Coffeehouses",,,
Tiger Lily Press,Printing, 304 West 4th,,Cincinnati,OH,Tel. 241-4859. Collectively run women's printing press. ,,,,,
Midnite Mary's,Bars, 308 Columbia at Broadway,,Utica,NY,Tel. 732 8306.,**,,,,
Subway,Bars, 609 Walnut,,Cincinnati,OH,Tel. 421-1294. ,MGM**,"Bars, Clubs, Coffeehouses",,,
Gay Alliance of Genessee Valley ,Centers, 713 Monroe Ave,,Rochester,NY,"Tel. 244 8640 or 244 9030. 
Includes LESBIAN RESOURCE CENTER, Rochester Gay Task Force and the Empty Closet collective. ",***(**),"Bars, Clubs, Coffeehouses",,,
Satans Inc,Bars, 839 S Arlington Street,,Akron,OH,"Tel. 773-9317. Dance bar/pool table/other games. Drag shows and other live entertainment. A private club but you can get in with a copy 
of GAIA'S GUIDE and valid ID. Avery highly recommended place. Note: this bar is very difficult to find, you can't see it from the Street. It has an almost unmarked rear entrance, but it is well 
worth the search. ",****,"Bars, Clubs, Coffeehouses",,,
Friends Lounge,Bars, 1551 Lejeune Blvd,,Jacksonville,NC,Tel. 353-971 <1. Private Club. Disco. No food. Basically gay men but always about 30% gay women. Recommended.,**,"Bars, Clubs, Coffeehouses",,,
Six Steps Down/Bookstore on West,Bookstores, 1921 West 25th Stree,,Cleveland,OH,"Tel. 566 8897. Open Monday thru Saturday 10am-6pm. Emphasis on 
feminist titles and cards and calendars. ",,,,,
Women's Holistic Center,Centers, 2420 South Taylor Road ,,Cleveland,OH,"Tel. 321-8582. Women's health 
center. Collectively run. Feminist lending library, workshops. Projected: sauna, massage, etc. ",,,,,
Womyn's Coffeehouse,Coffeehouse, 3313 Wade Avenue,,Raleigh,NC,"Tel. 834-0937 or 682-1061 
and 3rd Friday of each month.",****,"Bars, Clubs, Coffeehouses",,,
Lutece-On-The-Beach,Hotel/Motel,1 Atlantic Place,,San Juan,PR,"Tel. 725 0893/724 9800.
Truly charming gay guest house directly on the most beautiful beach in San Juan. Outdoor
patio bar/restaurant. Breakfast/lunch/dinner. All rooms with private baths, air-oonditioning or
tropical ceiling fans. Free continental breakfast. Their newest addition to this _very highly
recommended place is a terrific swimming pool and sunning terrace. Be sure and say hi from
GAIA.",,,,,
Stars Disco,Bars,1 Calle Vendig,,San Juan,PR,"Tel. 724 0034. Outside, on the
roof, is a quiet bar.",MGM**,"Bars, Clubs, Coffeehouses",,,
Walking Tour of Village,Walking Tour,1 Christopher St ,,New York City ,NY,Tel 226 1426 Two hour guided tour daily,,,,,Suite 14G 
A Woman's Coffeehouse,Coffeehouse,1 Groveland ,,Minneapolis/St Paul,MN,Tel 871 1005 All women and their children welcome ,****,"Bars, Clubs, Coffeehouses",,,
Joan Waitkevitcz,Centers,1 Haven Plaza,,New York City ,NY,Tel 475 6030,,,,,
The Sun,Bars,1 South 400 West,,Salt Lake City,UT,"Tel. 532 9052. Disco bar and restaurant, and show bars.
Open 12 noon-1.00am in the winter and until 2am in the summer. We usually have 400 or
more people on the weekends. 30 gay employees.' A very, very highly recommended place.
This is a private club. Full Bar. Annual dues are currently $20.00. Be sure and say hi from
GAIA.",****,"Bars, Clubs, Coffeehouses",,,
Metropolis ,Bar/Restuarant,1 SW Third,,Portland,OR,"Tel.. 223-3438. An excellent place for lesbian mothers to
come with their children.",***?,"Bars, Clubs, Coffeehouses",,,
Berea Books,Bookstores,2 Berea Commons,checked,Berea,OH, Tel. 243-5936,,,,,
Barefoot,Bars,2 Calle Vendig,,San Juan,PR,"No Phone Listing. Small and friendly, there's a patio on the beach and live
music on weekends. Highly recommended.",**,"Bars, Clubs, Coffeehouses",,,
New Earth Bookstore,Bookstores,2 West 39th St ,,Kansas City,MO,"Tel 931 5794 A feminist bookstore committed to providing our community with alternative options with the largest selection of lesbian and gay books in the Kansas City area
",,,,,
St Marks Health Collective,Centers,2nd Ave ,checked,New York City ,NY,"Tel 228 1482 All lesbian staff, offering general medical care for lesbians, older women, identified women",,,,,(At Houston St)
Raffles,Bars,3 Farewell St,,Newport,RI,"Tel. 847 9663. A very pleasant and friendly place. Nice decor -
mirrored walls in dancing area. OJ. Clientele: gay women and men. Winter: open 7am-1am
during the week and 7am-2am during the weekends. Summer: 4pm-2am nightly.",**,"Bars, Clubs, Coffeehouses",,,
Papillon's,Bars,4th and Tyler,checked,Abilene,TX,No Phone Listing. ,**,"Bars, Clubs, Coffeehouses",,,
Walnut Street Pub,Bars,4th and Walnut,checked,Abilene,TX,"Tel. 677 2522. Multi level dance floor and class
enclosed balcony bar. Giant TV and fireside lounge. Shows and women's nights. Highly
recommended.",**(**),"Bars, Clubs, Coffeehouses",,,
Cafe Intermezzo,Restaurant,4th St,,Olympia,WA,No Phone Listing. 'Frequented by lesbians'.,*,Restaurants,,,
Metropolitan Communitiy Church,Religious Groups,5 Junction St,,Pawtucket,RI,"Tel. 272
9247. Worship space: 134 Mathewson St. The Christian church with an outreach to gay
people.",,,,,
Lamplighter,Bars,5 North Gate Plaza,,Camden,NJ,Tel 966 1421 Ring up for directions because it's hard to find ,**,"Bars, Clubs, Coffeehouses",,,
Karla's,Bar/Restuarant,5 West Mechanic St,,New Hope,PA,"Tel. 862 2612. Breakfast lunch/dinner. Cocktails. Daily
9.30am. Tea Dance Tuesdays 4pm. Late Nite Breakfast Fri/Sat 1-4am. 'After the bars close,
many people go there for breakfast.' Your host: Rolf 'Yetta'.",MGM**,"Bars, Clubs, Coffeehouses",,,
Two Faces,Bars,5th and Venango Streets,,Philadelphia,PA,"No Phone Listing., ",**,"Bars, Clubs, Coffeehouses",,,
Gensis Juice Bar,Restaurant,5th Street Market,,Eugene,OR,"No Phone Listing. Juice Bar. Open Tues-Sat: Bam-6pm & Sundays:
11am-5pm. Closed Mondays.",,,,,
Amelia's ,Bars,7 Bank St ,,Lebanon,NH,Tel 448 2264 Women's club ,****,"Bars, Clubs, Coffeehouses",,,
Sneakers,Bars,7 N 3rd Street,,Philadelphia,PA,"Tel. 922 9306. Women's bar, disco. Very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Time to Read Bookstore,Bookstores,7 West 12th St,,Kansas City,MO,"Tel 471 0668
",,,,,
The Sunshine Inn,Restaurant,8 1/2 S Euclid ,checked,St Louis,MO,Tel 367 1413,**,Restaurants,,,
Women Helping Women,Service,9th & Walnut Street,checked,Cincinnati,OH,"Tel. 381-5610- lesbian line or 
381-6003 - business line. Lesbian line/peer counseling.",****(*),Organizations,,,
Arcos Blancos,Hotel/Motel,10 Carrion Court,,San Juan,PR,"Tel. 723 6343/9825. 103 ft from renowned Caribbean Beach. Oasis Bar serves superb Caribbean cocktails. Swimming pool. Clientele:
gay women and men. Very highly recommended. Garden Restaurant. More lesbians than last
year frequenting bar. Say that GAJA sent you.",,,,,
Book Rack,Bookstores,10 North Euclid,,Kansas City,MO,Tel 361 3420 General bookstore with gay/feminist section they sell Gaia's Guide ,,,,,
The Bookshelf (Book Rack),Bookstores,10 North Euclid ,,St Louis,MO,Tel 361 3521,,,,,
New Hampshire Lambda of Greater Nashua,Group,10 Piermont St ,,Nashua,NH,Tel 889 1416 ,**,Organizations,,,
Tri Flag Press,Printers,10 Piermont St ,,Nashua,NH,Tel 889 1416 The Idea Printer a woman-owned operated business,,,,,
Womankind Books Inc,Bookstores,10 West Carver St Huntington,,Long Island,NY,Tel 427 1189 1/2 mile N of Jericho Turnpike ,,,,,
Empire Diner,Restaurant,10th Ave,,Manhattan,NY,No Phone Listing Open 24 hours a day. gay atmosphere. Diner. They have a 'happy hour' from 4-7pm when drinks are half price,*,Restaurants,,,
Polar Bear,Bars,11-14 Commerce St,checked,Tacoma,WA,Tel 272 1433,**,"Bars, Clubs, Coffeehouses",,,
Ritz,Bars,11th St ,,Manhattan,NY,No Phone Listing Can be fun lots of high school kids from New Jersey go there,**,"Bars, Clubs, Coffeehouses",,,Between 3rd and 4th Ave
Women's Words Books,Bookstores,12 Main St ,,Contoocook,NH,Tel 746 4483 Specializing in out-of-print and hard-to-find books by and about women sells Gaia's Guide,,,,,
Boulevard Bookstore,Bookstores,12 Northern Blvd,,Albany,NY,Tel 436 8848 Located between State St and Central Ave at the entrance to Washington Park general bookstore with feminist and gay sections,,,,,
Top of the Rail/Brass Rail/Studio 6,Bars,12 South Mt Vernon Ave,,Atlantic City,NJ,Tel 345 9835 An all gay super bar,**(**),"Bars, Clubs, Coffeehouses",,,"The Key West Hotel includes three bars: the Pussy Cat Bar, Tree House, Over the Rainbow"
Red Star Cafe,Restaurant,12th West St,,Manhattan,NY,"Tel 989 6063 Mostly men. Very pretty 
place for lunch. ('Go there in full leather'.)",*,Restaurants,,,
Hot Potata Cafe,Restaurant,13 St SW,,Portland,OR,"Tel. 223-7573. Gay run,
the food is _good and the waiters are very helpful, they even found us a place to stay.' Open
11am-10pm.",*,Restaurants,,,
Qui Travel,Travel Agents,14 Bogardus Place,,New York City ,NY,"Tel 567 6711 Lesbian owned and operated and very, very highly recommended. ",,,,,Suite 2R 
King Street Garden and Gun Club,Bars,14 Mayne,,Charlestown,SC,"Tel. 577 0800. Wildest club.
Dynamite on Saturday night. Between 1000-2000 people come here.' Clientele: black, white,
straight, gay.",*,"Bars, Clubs, Coffeehouses",,,
Westport Bookstore,Bookstores,14 Westport Road,,Kansas City,MO,"Tel 931 9822
",,,checked,,
Oliver's at the Mayflower Hotel,Bars,14th and Olive,checked,Seattle,WA,Tel. 623-8700.,***,"Bars, Clubs, Coffeehouses",,,
Oscar Wilde Memorial Bookshop,Bookstores,15 Christopher St ,,Manhattan,NY," Tel 255 8097 Open Mon 
11am-9pm; Tues-Sat 11am-9pm; Sun noon-6pm. World's first Lesbian and Gay Liberation 
bookshop (founded 1967) featuring over 600 good Gay and Lesbian books, periodicals, 
buttons, T-shirts, cards, records. Send $1 to be put on mailing list.' They sell GAIA'S GUIDE. ",,,,,
The Infinity,Bars,15 South First Street,,Dayton,OH,"Tel. 859-0543( Miamisburg).I t has about½ men
and ½ women, a very nice dance floor, a very nice atmosphere and good drink prices. Open
Thurs, Fri, Sat only. 'It is a movie theater converted into a Bar. The former projectionist's booth
is now headquarters for the DJ. Lighting effects and lots of atmosphere.'",**?,"Bars, Clubs, Coffeehouses",,,
Womankind,Centers,15 Warren St,,Concord,NH,Tel 225 2985 Counseling and consulting agency ,,,,,
Women's Martial Arts Center,Martial Arts,16 W 30th St ,,New York City ,NY,Tel 685 4553,,,,,
Trax,Bars,16 West 43rd St,,Kansas City,MO,Tel 531 2210 Predominately a men's bar but women are welcome,MGM,"Bars, Clubs, Coffeehouses",,,
Nineteen Bar,Bars,19 West 15 Street,,Minneapolis/St Paul,MN,Tel 871 5553 Some drag queens frequent,***,"Bars, Clubs, Coffeehouses",,,
Dominique's ,Bars,20 Allen St,,Buffalo,NY,Tel 882 48474 Primarily a gay men's bar but women do go there and are readily accepted,MGM**,"Bars, Clubs, Coffeehouses",,,
Waterfall Graphics,Graphic Design,20 W 22nd St ,,New York City ,NY,"No Phone Listing Type setting designs, printing, posters, etc. ",,,,,
220 Club,Bars,20 W Houston ,,Manhattan,NY,No Phone Listing Women's Disco private,****,"Bars, Clubs, Coffeehouses",,,
Chics,Bars,21 Ferry Street,,South River,NJ,No Phone Listing was Alley Cat then Night Moves,**?,"Bars, Clubs, Coffeehouses",,,
Fotografia,Lesbian Photographers,21 Howard St ,,New York City ,NY,Tel 966 0498 Contact Roberts Raeburn - she's very good ,,,,,
The Chesterfield,Bars,21st and St Mary's ,checked,Omaha,NE,No Phone Listed basically strictly a women's bar,***,"Bars, Clubs, Coffeehouses",,,
7th Floor,Bars,22 W St ,,Manhattan,NY,"No Phone Listing. Women only, Fri and Sat from 10pm",****,"Bars, Clubs, Coffeehouses",,,
Incentra Village Apartments,Hotel/Motel,23 8th Avenue ,,Manhattan,NY,"Tel 691 7010 Deep in the heart of 
Greenwich Village. Holiday apartments, clientele, again, mostly gay men. ",,,,,
Baker's Bar,Bars,24 Public Square,checked,Lima,OH,Tel. 227-9498.,**?,"Bars, Clubs, Coffeehouses",,,
Apple Tree Bookstore,Bookstores,24 Warren St,,Concord,NH,Tel 228 8451 limited selection of gay and women's titles,,,,,
Common Ground,Coffeehouse,25 Elliot S,,Brattleboro,,Tel. 257 0855. Excellent source of local informat10n,,,,,
Sally Graham,Secretarial Typing Services,26 W 9th St 10011,,New York City ,NY,Tel 777 6647/924 5451 Experienced in dissertations and theses,,,,,
Jan Wallman's,Bar/Restuarant,28 Cornelia St,,Manhattan,NY,Tel 242 9557 Cozy restaurant and bar. Piano weekends. Cabaret during week. ,,,,,
28 Prospect Hill,Bars,28 Prospect Hill,checked,Newport,RI,"Tel. 847 9698. DJ on weekends.
Neighborhood gay bar atmosphere. 25% gay women.",**,"Bars, Clubs, Coffeehouses",,,
The Glines,Theater/Art ,28 Willow St ,,Brooklyn,NY,No Phone Listing,,,,,
Stonewall,Bars,28-30 North 10th St,,Allentown,PA,"Tel. 432 0706. 'Has two bars and a really great dance floor plus fantastic music. It's mostly gay men but on weekends there are a lot of gay
women. ",**,"Bars, Clubs, Coffeehouses",,,
Martha Washington ,Hotel/Motel,30 East 30th St,,Manhattan,NY,"Tel 689 1900 'Dirty rooms, filthy furniture and I was harassed by the male staff ... the hotel is for women only and a degrading terrible place it 
is.· However, a recent report from the Women's Center NYC, is that the Martha Washington 
Hotel is OK. ",,,,,
Blairs,Bars,30 Marion St      ,,Plattsburgh,NY,"Tel. 561 9071. Pool tables and juke box. Clientele: both gay women 
and men, and there are separate nights for each. Recommended.",**(**),"Bars, Clubs, Coffeehouses",,,
"Marilyn Foley Msw, Acsw, Judith E Sigler Msw Acsw",Centers,30 South Main St ,,Concord,NH,"Tel 224 5600 24-hour answering service. Private counseling by clinical social workers gay women-owned, gay women operated",,,,,
Lambertville House,Hotel/Motel,32 Bridge St ,,Lambertville,NJ,32 Bridge Street Route 179 Lambertville NJ 08530 Hotel/bar/restaurant ,,,,,
Skills Exchange ,Group,32 Union Square East,,New York City ,NY,Tel 473 6557 For the gay eighties,,,,,
Ribbon Grass Natural Foods Restaurant,Restaurant,33 Central Ave,,Albany,NY,Tel 465 0248 Albany's only vegetarian restaurant women-owned ,*,Restaurants,,,
Strawberry Inn,Bar/Restuarant,34 North 2nd St,,Harrisburg,PA,"Tel. 234 4228. Sunday night is best. Downtown
type bar/ type people.",,,,,
East Side Bookstore,Bookstores,34 St Marks Place,,Manhattan,NY,"Tel 777 7240 Many lesbian and gay 
periodicals. ",,,,,
Alan Gold's,Bar/Restuarant,35 Patten Parkway,,Chatanooga,TN,"Tel. 756 6868.' Very attractive decor, good disco music.
Dress is casual and the clientele is more gay men than women and a few straight couples.'
Recommended. Hours: Weds-Sat 8pm-3am and Sundays 5pm-3am. More recent comment:
'Also serves food on the second floor. Good mixture of gay men and women and it's one of the
nicest bars I've been to anywhere.'",**,"Bars, Clubs, Coffeehouses",,,
Les Jardins,Bars,36 North Market St,,Charlestown,SC,"Tel. 723 9362. Private club. Disco. Non-members
must call in advance to be admitted. Clientele includes about 30% gay women. Opens
1 Oam-2am Tuesday thru Sunday",**,"Bars, Clubs, Coffeehouses",,,
New Hampshire Feminist Health Center,Centers,38 South Main St ,,Concord,NH,Tel 225 2739 Monthly publication 'Woman Wise',,,,,
Jean's Patio,Restaurant,39 Greenwich Ave,,Manhattan,NY,"No Phone Listing Cheap place where you can go and drink coffee. 
Very gay, cafe type atmosphere. ",*,Restaurants,,,
Riviera Room,Bars,39-41 West 10th Street,,Eugene,OR,"Tel. 344-4022/0434. Disco and snacks and the
restaurant SEYMOUR'S. Lounge happy hours and pinball, pool. Open 11am-2.30am. 75% gay
women",***,"Bars, Clubs, Coffeehouses",,,
Down Under,Bars,40 E 58th St ,,Manhattan,NY,No Phone Listing Women only on Sunday ,****,"Bars, Clubs, Coffeehouses",,,
Trends,Bars,40 East Long Street,,Columbus,OH,"Tel. 461-0076. Dance bar with games. Clientele is mostly gay men but quite OK for women too. Private club. Women to admit non-members 
with valid ID and copy of GAIA'S GUIDE. Recommended. Say that GAIA sent you.",**,"Bars, Clubs, Coffeehouses",,,
Trends,Bars,40 East Long Street,,Dayton,OH,"Tel. 461-0076. Dance bar with games. Clientele is
mostly gay men but quite OK for women too. Private club. Women to admit non-members
with valid ID and copy of GAIA'S GUIDE. Recommended. Say that GAIA sent you.",**,"Bars, Clubs, Coffeehouses",,,
Iris,Bars,40 Pleasant St,,Portsmouth,NH,"Tel 436 8958 A private women's club offering 3400 sq ft of space with a disco/dance bar, quiet bar, and restaurant room, pool table, and TV",,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church ,Religious Groups,40th and Harrison ,checked,Kansas City,MO,No Phone Listed,,,,,
Town Tavern,Bars,41 North George St,,York,PA,Tel. 8438591. Mon-sat 9pm-2am.,**,"Bars, Clubs, Coffeehouses",,,
Market Street Spot,Bookstores,46 Cainci Street ,,Paterson,NJ,Tel 523 4596 General bookstore,,,,,
Calico's Coffeehouse,Coffeehouse,47 West 5th Avenue,,Columbus,OH,"Tel. 299-2878. Meetings/women-only
events/Clientele: mostly women/feminist atmosphere.",****,"Bars, Clubs, Coffeehouses",,,
Calico's Coffeehouse,Coffeehouse,47 West 5th Avenue ,,Dayton,OH,Tel 299 2878 Meetings/women-only events/Clientele: mostly women/feminist atmosphere.,****,"Bars, Clubs, Coffeehouses",,,
Blythwood,Bars,50 North Jay,,Schenectady,NY,"Tel. 382 9755. Juke box/pool table/pac man, but very few
women.",MGM**,"Bars, Clubs, Coffeehouses",,,
Womanart gallery,Theater/Art ,50 West 57th St ,,New York City ,NY,Tel 757 4644,,,checked,,
Aubrey Leis,Lawyers,51 E 42nd St,,New York City ,NY,"Tel 242 0160 Specializes in criminal law and handles bankruptcy, divorce, and wills",,,,,
Rah-Rah,Bars,51 S Day St ,,Orange,NJ,Tel 676 1399 Not a safe neighborhood,MGM**,"Bars, Clubs, Coffeehouses",,,
Ariel,Bars,53 W 19th St ,,Manhattan,NY,"Tel 691 1979 Jukebox dancing, but live DJ Wed/Fri/Sat/Sun. Snacks are served. Sunday buffet. Relaxed atmosphere and extremely popular. Not too glamorous but very, very friendly. Women only. ",****,"Bars, Clubs, Coffeehouses",,,
Duplex,Bars,56 Grove Street,,Manhattan,NY,No Phone Listing Piano Bar kinda gay,*,"Bars, Clubs, Coffeehouses",,,
Beth Simchat Torah,Religious Groups,57 Bethune St ,,New York City ,NY,Tel 929 9498,,,,,PO Box 1270 10116
Murphy's ,Bars,59 Edison Place ,,Newark,NJ,Tel 622 9176 Dance Bar,**,"Bars, Clubs, Coffeehouses",,,
Marie's Crisis,Bars,59 Grove ,,Manhattan,NY,Tel 243 9323 Opens at pm closes at 4am piano bar,**,"Bars, Clubs, Coffeehouses",,,
O'Henrys,Bar/Restuarant,59 Haywood Street,,Asheville,NC,"Tel. 254-1891. Restaurant/bar combined. Games room
downstairs. Open 7 days a week 11 am-1 am. No cover charge. Clientele 50% women.",,,,,
Kiss,Bars,60 Lake Shore Road Lake Ronkonkone ,,Long Island,NY,Tel 461 9161 Basically a women's bar ,***,"Bars, Clubs, Coffeehouses",,,
Zodiac Zoo,Bars,63-12 Broadway,checked,Queens,NY,No Phone Listing. Mixed gay/straight crowd. ,MGM*,"Bars, Clubs, Coffeehouses",,,
Paula's 64,Restaurant,64 Greenwich Ave,,Manhattan,NY,"Tel 532 5222. One of the best 
restaurants in town, with piano bar and truly excellent food. Featuring skylight dining and the 
popular weekend brunch. Many, many letters each year confirming this recommendation. 
Open 12 noon-4am. The restaurant part is expensive so perhaps the best time to go would be 
in the 'happy hour'. FORMAL. ",*,Restaurants,,,
Metropolitan Community Church,Religious Groups,65 E Hollister,,Cincinnati,OH,"Tel. 241-8216. Sunday services at 7pm. The Christian Church with outreach to the Gay Community. See 
Cincinnati Yellow Page for correct current details. ",,,,,
Bea's Inn,Bars,65 Mill St,,Paterson,NJ,Tel 523 9680,***,"Bars, Clubs, Coffeehouses",,,
Fan the Flames,Bookstores,65 South 4th St,,Columbus,OH,"Tel. 291-7756. Well stocked feminist bookstore. T-shirts.
buttons, pins, cards. Open 1 1 am-7pm during week, 12 noon-6pm weekends. They moved
into this bigger better space in March 1983. Be sure and say hi from GAIA. They sell GAIA'S
GUIDE..",,,,,
