title,type,statewide.address,address,unclear.address,stars,star.type,description,city,state,Mentions Race?,Mentions Disability?,notes,Feminist Bookstores,year
Chee-Chee Club,Bar,,929 Broadway,,**,"Bars, Clubs, Coffeehouses ",Tel 234-4404 Dancing,San Diego,CA,,,,,1977
Barbary Coast,Bar,,2431 Pacific Highway,,**,"Bars, Clubs, Coffeehouses ",Tel. 233-7359 Dancing,San Diego,CA,,,,,1977
Mother's Disco,Bar,,2501 Kettner Boulevard,,**,"Bars, Clubs, Coffeehouses ",Tel. 239-4377 ,San Diego,CA,,,,,1977
King Richard,Restaurants,,613 Pearl Street,,*,Restaurants,Tel. 454-6592 La Jolla,San Diego,CA,,,,,1977
The Book Mark,Feminist Bookstore,,4077 Adams Street,,,,Tel. 714-280-3901. They sell Gaia's Guide,San Diego,CA,,,,,1977
Las Hermanas,Feminist Coffeehouse,,4003 Wabash Avenue ,,****,"Bars, Clubs, Coffeehouses ",Tel. 280-7510. Activities and events. Very highly recommended. ,San Diego,CA,,,,,1977
Jamic's Restaurant,Restaurants,,2930 Addison Avenue,,*,Restaurants,Tel. 223-8785,San Diego,CA,,,,,1977
Gay Information Line,Gay Information Line,,,checked,,,Tel. 415-647-0433,San Francisco,CA,,,,,1977
East Bay Women's Yellow Pages,Publication,,2112 Channing Way ,,,,,San Francisco,CA,,,,,1977
San Francisco Gay Community Group,Gay Group,,,checked,,,Tel 415-652-6789. Non-sexist program co-coordinators and social group facilitators. They can help to get new groups started.,San Francisco,CA,,,,,1977
Peg's Place,Bar,,4737 Geary ,,****,"Bars, Clubs, Coffeehouses ","Geary at 11th. Tel 668-5050 Dancing, pool table. Highly recommended. ",San Francisco,CA,,,,,1977
Daughters of Bilitis (DOB),Organization,,435 Hyde Street,,,,Room 402. Tel. 415-673-6542,San Francisco,CA,,,,,1977
Lesbian Counselling Service,Counseling Service,,200 Golden Gate Avenue,,,,Tel. 885-6027. At Leavenworth,San Francisco,CA,,,,,1977
Maud's Study,Bar,,937 Cole Street,,***,"Bars, Clubs, Coffeehouses ",Tel 731-6119 ,San Francisco,CA,,,,,1977
Scott's ,Bar,,10 Sanchez,,***,"Bars, Clubs, Coffeehouses ",Tel 626-9534,San Francisco,CA,,,,,1977
Wild Side West,Bar,,720 Broadway,,***,"Bars, Clubs, Coffeehouses ",Women's Rock Groups,San Francisco,CA,,,,,1977
Kelly's Saloon,Bar,,3489 20th Street,,***,"Bars, Clubs, Coffeehouses ",,San Francisco,CA,,,,,1977
La Cave,Bar,,1469 Sutter,,**,"Bars, Clubs, Coffeehouses ",,San Francisco,CA,,,,,1977
The Mint,Bar,,1942 Market Street,,**,"Bars, Clubs, Coffeehouses ",Tel. 861-9373,San Francisco,CA,,,,,1977
The P.S.,Restaurants,,1121 Polk Street,,*,"Bars, Clubs, Coffeehouses ",Tel 441-7798,San Francisco,CA,,,,,1977
The Fickle Fox,Restaurants,,842 Valencia Street,,*,"Bars, Clubs, Coffeehouses ",Recommended,San Francisco,CA,,,,,1977
Casa de Cristal,Restaurants,,1122 Post Street,,*,"Bars, Clubs, Coffeehouses ",Tel. 441-7838 Great Mexican Food,San Francisco,CA,,,,,1977
El Patio,Bar,,360 West San Carlos,,**,"Bars, Clubs, Coffeehouses ",Recommended,San Jose,CA,,,,,1977
The Other Side,Organization,,,checked,**,"Bars, Clubs, Coffeehouses ",PO Box 132 94902. An all lesbian social organization. A way to let your hair down. Newsletter.,San Rafael,CA,,,,,1977
"The Bells, Bar and Restaurant",Restaurant/Bar,,,checked,****,Organizations,Brand new. ,San Rafael,CA,,,,,1977
Full Moon,Feminist Bookstore,,4416 18th Street,,,,Tel 864-9274. Activities and happenings as well as feminist and lesbian books and things. ,San Francisco,CA,,,,,1977
Everywoman's ,Feminist Bookstore,,1560 Fourth Street ,,,,"Tel 456-3496. Books, posters, art gallery, jewellery, records, and much much more. ",San Rafael,CA,,,,,1977
Positively Fourth,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",Fourth Street near Lincoln,San Rafael,CA,,,,,1977
Ethel's,Restaurants,,4166 Redwood Highway,,*,Restaurants,Is this Dagger/Dyke Ethel Robinson? ,San Rafael,CA,,,,,1977
Traveller's Inn,Bar,,706 Third Street,,*,"Bars, Clubs, Coffeehouses ",,San Rafael,CA,,,,,1977
The Odyssey,Bar,,221 State Street,,****,"Bars, Clubs, Coffeehouses ",,Santa Barbara,CA,,,,,1977
Gay People's Union,Group,,,checked,*,Organizations,PO Box 15048 93107,Santa Barbara,CA,,,,,1977
The Pub,Bar,,224 Helena Avenue,,**,"Bars, Clubs, Coffeehouses ",Tel 805 962 3911,Santa Barbara,CA,,,,,1977
Mona's Gorilla Lounge,Bar,,1535 Commercial Way ,,***,"Bars, Clubs, Coffeehouses ",,Santa Cruz,CA,,,,,1977
Two Sisters,Bar,,815 41st Avenue,,**,"Bars, Clubs, Coffeehouses ",,Santa Rosa,CA,,,,,1977
Santa Rosa Inn,Bar,,4302 Santa Rosa Avenue,,**,"Bars, Clubs, Coffeehouses ",Near the expressway. Recommended. ,Santa Rosa,CA,,,,,1977
Star and Crescent,Bar,,447 Sebastopol Road,,****,"Bars, Clubs, Coffeehouses ","At Dutton Avenue. Dancing, pool table, wine and beer. ",Santa Rosa,CA,,,,,1977
Sausalito Inn,Restaurant/Bar,,12 E Portal,,*,"Bars, Clubs, Coffeehouses ",,Sausalito,CA,,,,,1977
Two Turtles,Restaurant/Bar,,Bridgewater,checked,*,"Bars, Clubs, Coffeehouses ",,Sausalito,CA,,,,,1977
Rising Woman's Books,Feminist Bookstore,,151 Montgomery Drive,,,,,Santa Rosa,CA,,,,,1977
Delta Queen,Bar,,2604 North Wilson Way ,,*,"Bars, Clubs, Coffeehouses ",,Stockton,CA,,,,,1977
Zelda's ,Restaurant/Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",,Sausalito,CA,,,,,1977
Gay 90's ,Bar,,925 El Dorado,,**,"Bars, Clubs, Coffeehouses ",,Stockton,CA,,,,,1977
Gay Liberation,Organization,,,checked,*,Organizations,Tel 492-8569,Boulder,CO,,,,,1977
Boulder County Women's Research Center,Organization,,1408 Pine Street,,****,Organizations,Tel 303 447-9675,Boulder,CO,,,,,1977
Lesbian Caucus of Women's Liberation Coalition,Organization,,,checked,**,Organizations,Tel. 303-492-7735 Office in the UMC on the University of Colorado at Boulder campus. ,Boulder,CO,,,,,1977
507 Bath ,Sauna,,507 Canyon Boulevard,,,,Women's nites,Boulder,CO,,,,,1977
Little Professor Book Center,Bookstore,,1344 Pearl,,,,Tel. 443-3390. Lots of lesbian and feminist titles. ,Boulder,CO,,,,,1977
Carnival Cafe,Restaurants,,1843 Broadway,,,,Natural foods,Boulder,CO,,,,,1977
Women's Crisis Line,Women's Crisis Line,,,checked,,,Tel 492-8910. Lesbian counseling and referrals,Boulder,CO,,,,,1977
Lambda Services Bureau,Services,,,checked,,,Tel. 475 8409 For Gay help and information,Colorado Springs,CO,,,,,1977
Women's Health Service Clinic,Services,,1703 North Weber,,,,,Colorado Springs,CO,,,,,1977
Sappho's (The Exit),Bar,,2028 Sheldon Avenue,,****,"Bars, Clubs, Coffeehouses ",21st Street exit off 24th West,Colorado Springs,CO,,,,,1977
Feminist Switchboard,Services,,,checked,,,"Tel. 320-5972 Woman to woman: more than a bookstore. Lesbian groups, woman energy exchange. This is the best place for a newcomer to find out what's happening in Denver. ",Denver,CO,,,,,1977
Velvet Hammer,Bar,,2638 West 23rd Avenue,,****,"Bars, Clubs, Coffeehouses ",,Denver,CO,,,,,1977
N.O.W. Lesbian Task Force,Services,,1459 Ogden Street,,**,Organizations,Tel. 798 3033 Women's Video workshops at Denver Community Video Center,Denver,CO,,,,,1977
Three Sisters,Bar,,"3358 Mariposa 
",,****,"Bars, Clubs, Coffeehouses ",Open Mon-Sat 4pm-2am Sundays 4pm-12am,Denver,CO,,,,,1977
Music Box,Bar,,717 East Colfax,,*,"Bars, Clubs, Coffeehouses ","Drag shows.
",Denver,CO,,,,,1977
The Broadway,Bar,,1260 Broadway ,,**,"Bars, Clubs, Coffeehouses ",Tel. 861-0478 Mostly gay men but many women do go there. Disco dancing and live entertainment. ,Denver,CO,,,,,1977
Back Door,Bar,,1512 Broadway,,**,"Bars, Clubs, Coffeehouses ",Show bar. ,Denver,CO,,,,,1977
Global Village,Restaurants,,76 South Penn,,,,"Tel 778-7214 Tues-Sat 9pm
",Denver,CO,,,,,1977
Maxine's Place,Restaurants,,823 14th Street,,,,Tel. 534-1202 Pizza homemade,Denver,CO,,,,,1977
Alicia's Mexican Restaurant,Restaurants,,,checked,*,"Bars, Clubs, Coffeehouses ",,Denver,CO,,,,,1977
Woman Everywhere,Radio and Television,,,checked,,,KFML 12.90 am Some news about lesbian topics and issues. ,Denver,CO,,,,,1977
Lake Steak Baths,Steam Baths,,2540 West Colfax Ave,,,,Women's nights. ,Denver,CO,,,,,1977
Fort Collins Women's Center,Organization,,629 Howe Street,,****,Organizations,Tel 484 1902,Fort Collins,CO,,,,,1977
Casbar,Bar,,1277 North Main,,**,"Bars, Clubs, Coffeehouses ",,Bridgeport,CT,,,,,1977
Homestead Inn,Hotel/Bar/Restaurant,,420 Field Point Road,,,,Tel. 203-869-7500,Greenwich,CT,,,,,1977
Black Rock Inn,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ","Black Rock Turnpike, Black Rock. Western part of Bridgeport. Bar/Restaurant. ",Bridgeport,CT,,,,,1977
None of the Above,Radio and Television,,,checked,,,"WWUH-FM 91.3 Tel. 203 728-0653 Mondays 8-9pm and see ""Gay Community News"" of Boston for current details. ",Hartford,CT,,,,,1977
Connecticut Gay Task Force,Organization,,330 Laurel Street ,,,,Mixed group into political action. ,Hartford,CT,,,,,1977
Hartford Gay Counseling,Organization,,,checked,,,Tel 522 5575 and 523 9837,Hartford,CT,,,,,1977
M.C.C.,Religious Organization,,,checked,,,Tel. 232-5110 and 522-5575 ,Hartford,CT,,,,,1977
Warehouse,Bar,,61 Woodbine Street,,**,"Bars, Clubs, Coffeehouses ","Disco dancing, 25% gay women, some straight clientele. ",Hartford,CT,,,,,1977
The Lib,Bar,,132 New Park Avenue,,***,"Bars, Clubs, Coffeehouses ","80% gay women, pool table and dancing, gay run by two women. ",Hartford,CT,,,,,1977
Church of the Eternal Flame ,Religious Organization,,,checked,,,"Tel. 232 3761 Switchboard. Center, library, gay women's groups and activities. Counseling and referrals plus much more. ",Hartford,CT,,,Initially listed with no city in the Airtable. In the scanned issue it is under Hartford so I recategorized it as Hartford and not statewide. ,,1977
Peppino's Place,Bar,,623 Main Street,,***,"Bars, Clubs, Coffeehouses ",Tel 649-5544 Brand new-quite dance bar. ,Manchester,CT,,,,,1977
Wesleyan Gay Alliance ,Organization,,,checked,,,"At the Women's Center, Wesleyan College Station 06457",Middletown,CT,,,,,1977
Lesbian Rap Group ,Group,,215 Park Street,,,,See Gay Community News of Boston for current details,New Haven,CT,,,,,1977
WYBC-FM 94.3,Radio and Television,,,checked,,,We're looking for material,New Haven,CT,,,,,1977
Partners,Bar,,365 Crown Street,,****,"Bars, Clubs, Coffeehouses ","Tel 624 5510
",New Haven,CT,,,,,1977
The Pub,Bar,,1132 Chapel Street,,**,"Bars, Clubs, Coffeehouses ",,New Haven,CT,,,,,1977
Parkway,Bar,,1574 Chapel Street at Norton,,*,"Bars, Clubs, Coffeehouses ",,New Haven,CT,,,,,1977
Neuter Rooster,Bar,,102 Hamilton Avenue,,**,"Bars, Clubs, Coffeehouses ",Tel 624 1402,New Haven,CT,,,,,1977
The Corral,Hotel/Bar,,727 Bank Street,,*,"Bars, Clubs, Coffeehouses ",Tel 624 5510,New London,CT,,,,,1977
The Brook,Bar,,919 East State Street,,**,"Bars, Clubs, Coffeehouses ",Tel 226-6204 Recommended,Westport,CT,,,,,1977
The Road House,Bar,,1388 Thomaston Avenue,,**,"Bars, Clubs, Coffeehouses ",Dance bar with pool table. At least 50% gay women and it's gay run. ,Waterbury,CT,,,,,1977
Uncle Mary's ,Bar,,233 Main Street,,**,"Bars, Clubs, Coffeehouses ",Route 7. Mostly gay men but it's apparently a first class place. ,Norwalk,CT,,,,,1977
The Boat House,Restaurant/Bar,,,checked,**,"Bars, Clubs, Coffeehouses ","Tel 302 227 7337 Lunch, dinner, disco, every night two bars two dance floors. But is it just gay men? Bellevue on the Bay",Dewey Beach,DE,,,,,1977
The Sandcastle,Private Gay Resort,,,checked,**,"Bars, Clubs, Coffeehouses ",Tel 227 6217 First and Brooklyn Avenue,Rehoboth Beach,DE,,,,,1977
Nomad Village,Motel/Bars,,,checked,**,"Bars, Clubs, Coffeehouses ",Tel 539 7581 Route 14 - Box 158,Bethany Beach,DE,,,,,1977
Renaissance,Bar,,707 W 6th Street ,,**,"Bars, Clubs, Coffeehouses ",Tel. 302 762 5429 Private club 50% gay women. ,Wilmington,DE,,,,,1977
Michaelangelos,Bar,,207 West 8th Street,,*,"Bars, Clubs, Coffeehouses ",Tel 302 658-3987,Wilmington,DE,,,,,1977
Alpine Room,Bar,,835 King Street,,**,"Bars, Clubs, Coffeehouses ",,Wilmington,DE,,,,,1977
The Ark,Bar,,5105 Governor Printz Boulevard,,**,"Bars, Clubs, Coffeehouses ",Te; 302 762 5429 Private club 50% gay women. ,Wilmington,DE,,,,,1977
Gay Switchboard,Services,,,checked,,,Tel 202 387 3777 evenings,Washington,DC,,,,,1977
The Blade ,Publication,,2430 Pennsylvania Avenue ,,,,Suite 209 Tel 202 785 3009 Reporting local and national gay news in a monthly paper. And I must say that they have been quite helpful to Gaia's Guides,Washington,DC,,,,,1977
Washington Area Women's Center,Organization,,,checked,****,Organizations,"The Summer School Building, 17th and M streets, NW 20036 Tel 347 5078 Switchboard. A wide range of activities with lots of lesbian participation. Softball team. Their publications ""In our Own Write""",Washington,DC,,,,,1977
Gay Information and Assistance,Services,,,checked,,,Tel. 363 3881,Washington,DC,,,,,1977
Writing-On,Writer's Collective,,3616 Connecticut Avenue,,,,A Washington area lesbian feminist writer's collective. ,Washington,DC,,,,,1977
The Performance Group,Theater Group,,,checked,,,Tel 202 387 3777 Switchboard. Brand new theater by and for gay women and men. ,Washington,DC,,,,,1977
Rising Woman,Coffeehouse,,,checked,,,"Satuday nights only. Music, readings, games, or some type of program. If you find out where it is, please let Gaia know. ",Washington,DC,,,,,1977
Bread and Roses,Record Shop,,1724 20th Street,,,,Tel 387 6263 Lesbian music. Feminist music. Gay music. ,Washington,DC,,,,,1977
First Things First,Feminist Bookstore,,,checked,,,,Washington,DC,,,,,1977
Lambda Rising,Feminist Bookstore,,,checked,,,,Washington,DC,,,,,1977
Lammas Shop,Feminist Bookstore,,,checked,,,,Washington,DC,,,,,1977
Phase One,Bar,,528 8th Street,,***,"Bars, Clubs, Coffeehouses ",Tel 544 6831,Washington,DC,,,,,1977
Club Madame,Bar,,5006 8th Street ,,****,"Bars, Clubs, Coffeehouses ",S.E. at E street tel 546 1525 By far one of the most spectacular lesbian clubs in the world. ,Washington,DC,,,,,1977
Wes Shelton,Dance Lessons,,,checked,,,,Washington,DC,,,,,1977
Washington Square,Bar,,1345 Half Street,,***,"Bars, Clubs, Coffeehouses ",Tel 544 6831,Washington,DC,,,,,1977
Paramount Steak House,Restaurants,,1519 17th Street,,*,Restaurants,All gay but mostly men,Washington,DC,,,,,1977
Town House,Restaurants,,506 8th Street ,,*,Restaurants,Tel 546-1515,Washington,DC,,,,,1977
In Town Lounge,Bar,,103 South Garden Avenue,,*,"Bars, Clubs, Coffeehouses ",Disco,Clearwater,FL,,,,,1977
The Peacock,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",Ask locally,Augusta,FL,,,,,1977
Zodiac,Bar,,1654 South Ridgewood,,***,"Bars, Clubs, Coffeehouses ",Tel 904 767 4264 Disco Dancing,Daytona Beach,FL,,,,,1977
Damien's Yum Yum Tree,Bar,,703 North Ridgewood,,***,"Bars, Clubs, Coffeehouses ",Hollyhill,Daytona Beach,FL,,,,,1977
Club Hollywood,Bar,,415 Main Street,,**,"Bars, Clubs, Coffeehouses ",Tel 253 9364,Daytona Beach,FL,,,,,1977
M.C.C.,Group,,,checked,,,,Fort Lauderdale,FL,,,,,1977
Annie's Odd'n'ends,Bar,,3148 North East 12th Ave,,****,"Bars, Clubs, Coffeehouses ",,Fort Lauderdale,FL,,,,,1977
Tangerine,Bar,,2960 North Federal Highway,,**,"Bars, Clubs, Coffeehouses ",Disco. Mostly gay men. ,Fort Lauderdale,FL,,,,,1977
Poop Deck,Bar,,17 South Atlantic Blvd,,**,"Bars, Clubs, Coffeehouses ","Disco, mostly gay men. ",Fort Lauderdale,FL,,,,,1977
Les's Tunnel Bar,Bar,,545 South East 6th Avenue,,,,South Federal Highway Tel 305 522 9823,Fort Lauderdale,FL,,,,,1977
Melody Club,Bar,,4130 North West 6th Street,,**,"Bars, Clubs, Coffeehouses ",Dance bar 60% gay men vs 40% gay women.,Gainsville,FL,,,,,1977
Lou's Back Room,Bar,,800 North Federal Highway,,****,"Bars, Clubs, Coffeehouses ","Behind the 800 North bar. Dancing snacks, sandwiches, good vibes, cozy decor, open till 6am. ",Hallendale,FL,,,,,1977
Fat Lady's,Bar,,813 South East First Avenue,,***,"Bars, Clubs, Coffeehouses ","Next to Keith's Cruise Room 75-85% gay women. Disco dancing, pool table. ",Hallendale,FL,,,,,1977
Stonewall Committee,Organization,,,checked,,,"POBox 2084 33020. Referral service and political activities. Very extensive library and archives. Together with Gay Academic Union of Florida, Atlantic University, they publish Florida Gay Liberation News and Liberation",Hollywood,FL,,,,,1977
The Dudes,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ","Route 17 at Willowbranch across from Farmbest Dairy. 90% gay women. Pool, pinball, noisy, crowded, friendly and highly recommended.",Jacksonville,FL,,,,,1977
Delmonico's,Bar,,218 Duval Street,,*,"Bars, Clubs, Coffeehouses ",,Key West,FL,,,,,1977
The Producers,Bar,,3609 Phillips Highway,,**,"Bars, Clubs, Coffeehouses ","Tel 904 399 1662 Hot stompin disco every night, good food including early am brbeakfast. Fantastic and funny drag shows. Open until 2am and highly recommended. ",Jacksonville,FL,,,,,1977
Bo's Crow Bar,Bar,,405 North First Street,,***,"Bars, Clubs, Coffeehouses ",Tel 249 9297,Jacksonville Beach,FL,,,,,1977
Brothers,Bar,,484 May Street,,**,"Bars, Clubs, Coffeehouses ","Tel 358 9393 Intimate with good vibes and sounds, pool table, and movie nights. ",Jacksonville,FL,,,,,1977
Dade County Lesbian Task Force,Organization,,1431 North West 43rd Street,,**,Organizations,Tel 305 633 7108 Switchboard. They meet regularly at the YWCA and hold monthly dances. Their publication is Lesbiana Speaks. ,Miami,FL,,,,,1977
M.C.C.,Religious Organization,,North West 2nd Avenue,checked,,,"Tel. 758-7190. Includes a seperate women's group called ""Affinity"". Very large participation by gay women, very friendly people. ",Miami,FL,,,,,1977
Blue Boy Forum,Radio and Television,,,checked,,,"WKID-TV Channel 51. Mondays at 11pm. This is the first regularly scheduled, commercially sponsored TV show in the US prepared by and for members of the Gay Community. ",Miami,FL,,,,,1977
Sebastian's ,Bar,,2492 South West 17th Ave,,,,Tel. 854-9216,Miami,FL,,,,,1977
MWG,Bar,,3058 North West 79th Street,,***,"Bars, Clubs, Coffeehouses ",,Miami,FL,,,,,1977
Second Landing,Bar,,820 South West 42nd Avenue,,**,"Bars, Clubs, Coffeehouses ",Le Jeune Road  use rear stairway off parking lo. More and more gay women. ,Miami,FL,,,,,1977
Freddie's Attic,Bar,,8th Avenue SW,checked,**,"Bars, Clubs, Coffeehouses ",(2nd floor),Miami,FL,,,,,1977
Warehouse,Bar,,3604 South West 8th St,,**,"Bars, Clubs, Coffeehouses ",,Miami,FL,,,,,1977
Miss Kay's,Bar,,,checked,****,"Bars, Clubs, Coffeehouses ","at the Blue Water Lounge 74th of Collins, on Ocean Terrace",Miami,FL,,,,,1977
Garden Grate,Bar,,323 23rd Street,,**,"Bars, Clubs, Coffeehouses ",,Miami,FL,,,,,1977
Niteowl,Bar,,,checked,****,"Bars, Clubs, Coffeehouses ",Park avenue at 23rd Street,Miami,FL,,,,,1977
The Crow Bar,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",ask locally,Neptune Beach,FL,,,,,1977
Palace Club,Bar,,1000 Humphries,,*,"Bars, Clubs, Coffeehouses ",,Orlando,FL,,,,,1977
Parliament House,Bar,,410 Orange Blossom Trail,,**,"Bars, Clubs, Coffeehouses ",,Orlando,FL,,,,,1977
Red Garter,Bar,,271 South Colfax,,**,"Bars, Clubs, Coffeehouses ",,Pensacola,FL,,,,,1977
Odd's n Ends,Bar,,4910 Edgewater,,*,"Bars, Clubs, Coffeehouses ",Tel 293-9733,Orlando,FL,,,,,1977
Aquarius Lounge,Bar,,6120 Lillian Highway ,,****,"Bars, Clubs, Coffeehouses ",Tel 455-9006,Pensacola,FL,,,,,1977
Fiesta Room,Bar,,10 Harrison Avenue,,*,"Bars, Clubs, Coffeehouses ",Dancing,Panama City,FL,,,,,1977
Sandbox,Bar,,1002 South Trail Osprey,,*,"Bars, Clubs, Coffeehouses ",Tel 966-9854,Sarasota,FL,,,,,1977
Gayspace,,,,checked,,,"WQSR (89.7) Tel 974-26376pm last Sunday of every month. Box 7700, Sarasota FLA 33578",Sarasota,FL,,,,,1977
Daughters of Bilitis,Group,,,checked,**,"Bars, Clubs, Coffeehouses ",Tel 813-924-8968 PO Box 15621 33579,Sarasota,FL,,,,,1977
F.A.C.E ,Counseling Service,,12945 Seminole Boulevard ,,,,Tel. 586-1110 Building 2 Largo (Between Clearwater and St. Petersburgh,St. Petersburgh,FL,,,,,1977
Marilyn's Closet,Bar,,8302 North Fourth,,*,"Bars, Clubs, Coffeehouses ",,St. Petersburgh,FL,,,,,1977
Kitty's Bar,Bar,,1020 South Fourth Street,,***,"Bars, Clubs, Coffeehouses ",,St. Petersburgh,FL,,,,,1977
Wedgewood Inn,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",18th Ave and 4th street. Very highly recommended.,St. Petersburgh,FL,,,,,1977
After Hours,Bar,,1312 West Tennessee Street,,*,"Bars, Clubs, Coffeehouses ",Highway 90,Tallahassee,FL,,,,,1977
Cucujo's,Bar,,1725 West Kennedy Blvd,,****,"Bars, Clubs, Coffeehouses ","Tel 813 251-9453. Dancing, recommended. ",Tampa,FL,,,,,1977
Rene's Lounge,Bar,,2605 West Kennedy Blvd. ,,*,"Bars, Clubs, Coffeehouses ",Tel. 872-9631,Tampa,FL,,,,,1977
El Goya,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",7th Avenue at 15th Street Mixed disco. New and recommended. ,Tampa,FL,,,,,1977
Kikiki Saloon,Bar,,909 North Tampa Street,,*,"Bars, Clubs, Coffeehouses ",Tel 223-9898,Tampa,FL,,,,,1977
Turf North,Bar,,1901 North Dixie Highway,,*,"Bars, Clubs, Coffeehouses ",Dancing,West Palm Beach,FL,,,,,1977
Le Cabaret,Bar,,6910 South Dixie Highway,,**,Restaurants,"Disco, show car, recommended",West Palm Beach,FL,,,,,1977
Denny's,Restaurants,,102 Parker Street,,*,"Bars, Clubs, Coffeehouses ",Tel 258-6411. Mostly gay clientele at night. ,Tampa,FL,,,,,1977
The Women's Center,Organization,,1208 West Platt Street ,,****(*),Organizations,"Tel 813 251-4089. Coffeehouse, bookstore, clinic.",Tampa,FL,,,,,1977
The Circus,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ","at Old Railway Station, Hoyt Street.",Athens,GA,,,,,1977
The Hobbit Habbit,Bar,,298 East Washington,,,,Tel 549-4299,Athens,GA,,,,,1977
Gay Help Line,Organization,,,checked,,,Tel. 404 892-5855 Referral and information service,Atlanta,GA,,,,,1977
ALFA,Organization,,1326 McLendon Avenue,,*****,Organizations,"Tel 523 7786 (switchboard). Library, karate and self defence, poetry wowrkshop and softball team. Their newsletter: ""alfa Newsletter"". They have their own center ""Alfa House""",Atlanta,GA,,,,,1977
Animal Farm,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",near Gordon Highway,Augusta,GA,,,,,1977
Style,Women's Karate,,326 Moreland Avenue,,,,Tel. 404 523-0563 Tang Soo Do Karate adapted for women. Self-defense techniques from other styles included in karate classes. Black Belt woman instructor. On-going classes meet a number of times a week. Classes are open to all women on a sliding scale fee basis. Notice about new classes are posted regularly. ,Atlanta,GA,,,,,1977
Gay Center,Organization,,20 4th Street NE,,***,Organizations,Tel 872-3495. Gay Pride Alliance (at the same address). A new expression of political interest in the Atlanta Gay Community. ,Atlanta,GA,,,,,1977
Du Pree's Tavern,Bar,,715 Ponce de Leon Avenue NE,,***,"Bars, Clubs, Coffeehouses ",The recommendation is proceed with caution. ,Atlanta,GA,,,,,1977
WRFG,Radio and Television,,,checked,,,Tel 524-3471 Listener sponsored. Some women and gay broadcasting. Contact Bree at station. 89.3 FM,Atlanta,GA,,,,,1977
Dignity Atlanta,Religious Organization,,,checked,,,"Tel 404 355-1416. Switchboard, counseling, therapy, referrals, outdoor group, newsletter.",Atlanta,GA,,,,,1977
M.C.C.,Religious Organization,,800 North Highland Avenue,,,,Tel. 872-2246,Atlanta,GA,,,,,1977
Ms. Garbo,Bar,,2206 Cheshire Bridge Road,,****,"Bars, Clubs, Coffeehouses ",Tel 404 321-0054 and 634-9145 behind Baby Products Warehouse,Atlanta,GA,,,,,1977
Sweet Gum Head,Bar,,2284 Cheshire Bridge Road NE,,**,"Bars, Clubs, Coffeehouses ",Behind Tiger Auto Parts. A good mixture of gay women and men. ,Atlanta,GA,,,,,1977
The Tower,Bar,,735 Forrest Road,,****,"Bars, Clubs, Coffeehouses ","Tel 525 9393 Home of the Tower Hot Shots The Softball Team whose motto is ""Women and we do it better.""",Atlanta,GA,,,,,1977
Utopia,Bar,,2359 Peachtree Rd NE,,**,"Bars, Clubs, Coffeehouses ",Tel 404-237-8408 In Peachtree Battle shopping center. ,Atlanta,GA,,,,,1977
Gallus,Restaurants,,6th and Cypress Street,checked,*,Restaurants,Restaurant and bar. Sunday nights are recommended. ,Atlanta,GA,,,,,1977
Hollywood Hots,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ","Highway I-85 Chestershire Exit, behind Red Roof Restaurant",Atlanta,GA,,,,,1977
Mother's,Bar,,2110 B Peachtree Road NW,,**,"Bars, Clubs, Coffeehouses ",Tel 404 355-1776 at Bennett Street NW behind Harrison's Restaurant. ,Atlanta,GA,,,,,1977
Backstreet,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Tel 404 875-3891,Atlanta,GA,,,,,1977
The Peacock,Bar,,1321 New Savannah Road,,****,"Bars, Clubs, Coffeehouses ",,Augusta,GA,,,,,1977
C. and G.'s ,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",First Avenue and 14th Street,Columbus,GA,,,,,1977
Deep Purple Lounge,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",13th Street at Broadway,Columbus,GA,,,,,1977
New Fiesta Club,Bar,,15 14th Street,,**,"Bars, Clubs, Coffeehouses ",,Columbus,GA,,,,,1977
The Basement,Bar,,340 Bull,,****,"Bars, Clubs, Coffeehouses ",Tel 232 5388 and 232 3669,Savannah,GA,,,,,1977
Anne's Tic Toc,Bar,,408 Broadway,,*,"Bars, Clubs, Coffeehouses ",,Macon,GA,,,,,1977
We Three Lounge,Bar,,434 Cotton Avenue,,*,"Bars, Clubs, Coffeehouses ",Tel 746-9193,Macon,GA,,,,,1977
Woodies,Bar,,229 West River Street,,**,"Bars, Clubs, Coffeehouses ",Disco,Savannah,GA,,,,,1977
Shuckey's,Bar,,233 South 10th Street,,**,"Bars, Clubs, Coffeehouses ",Right now it's mostly gay men but there's always very good vibes for gay women. The owners want more gay women in and they also believe that gay is good. ,Boise,ID,,,,,1977
