title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
WEB - Women's Energy Bank ,Lesbian Social Group,,checked,St. Petersburg,FL,"Women's Energy Bank write: PO Box 15524: 33733-5524; -Tel. 823-5353 A
Not-For-Profit Organization for Lesbians and Women-identified Women Offering
cultural events(don't miss 'The Salon' when visiting St. Petersburg or Tamps), &library
monthly Alice B. Toklas Dinner, outdoor WEB. song WEB Their publication WOMYN'S
WORDS.",,,,,,1989
Rubyfruit Books,Alternative Bookstore,666 4 W. Tennessee St.,checked,Tallahassee,FL,"32304 / near Dewey. -Tel. 222-2627
Lesbian/ fem1n1st and gay titles/ non-sexist children's books/ posters I gifts/ records/ women's
music Bulletin board/ local info plus reading tables. author's discussion nights. They sell GAIA'S
GU IDE & lots of lesbian and feminist publications & are 'fem1n1s/t lesbian owned and operated'. Say
'hi' from GAIA.",,,,,,1989
Marilyn's Closet,Bars,8302 4th Street,,St. Petersburg,FL,North; -Tel. 895-9754,****,"Bars, Clubs, Coffeehouses",,,,1989
Partners,Bars,625 East Dania Beach Boulevard,,Fort Lauderdale,FL,"-Tel 921-9893. Home of the 'Lesbian and Gay Square Dancing Club' .. opens 3pm daily
",***,"Bars, Clubs, Coffeehouses",,,"
",1989
La Royale,Bars,100 Harrison Ave,,Panama City,FL,Tel 763-9110 Extremely-popular bar/ restaurant Pool tables/ dancing/ outdoor patio La Royale Lounge is open from 1 pm-4am.,**,"Bars, Clubs, Coffeehouses",,,,1989
The Hideaway,Bars,2022 North East 18th Street,,Fort Lauderdale,FL,-Tel 566-8622 Video dance bar. pool tables. Bar-B-Que on Sundays afternoons. tropical patio bar,**,"Bars, Clubs, Coffeehouses",,,,1989
Tropical Dreams Bed and Breakfast,Hotels/Motels/Guest Houses Etc.,7600 SW 50th Ave,,Miami,FL,"c/o Brewer, 33143 -Tel 666-5203. A private home with one suite. Lesbian own d, phone
up first. no drop-ins.",,,,,,1989
Gay Hotline Inc.,Information Services,,checked,Tampa,FL,"-Tel. 229-8839-7 days a week, 7pm-11am.",,,,,,1989
Women's Center,Women's Center,2880 Ringling Blvd,,Sarasota,FL,Tel 366 1700 The lesbian group '45&' meets there,****(*),Organizations,,,,1989
Women's Health Center,Health Centers / Clinics / Counseling / Practitioners,1225 8th Street,,Daytona,FL,-Tel. 253-0008,,,,,,1989
Lesbian Rights Task Force,Information Services,,checked,Miami,FL,Tel. 223-8300,,,,,,1989
Lifestyles,Bars,1303 Del Prado Blvd,,Fort Myers,FL,"Cape Coral ,Tel. 772-4440.",**,"Bars, Clubs, Coffeehouses",,,,1989
Zum Alten Fritz,Bar / Restaurants,1840 NE 4th Avenue,,Miami,FL,"German Restaurant and Knelpe, (between 18th & 19th-one block east of Biscayne Blvd. (Miami); -Tel. 374-7610.
Authentic German home-cooking. Authentic German beers on tap. Cozy,
homey atmosphere described in Germany as 'gemuetlich'. Beer garden
outdoors in front of the restaurant. Open M-F 11am-10pm / Sat. - 5pm-10pm & Sun. closed. Very, very highly recommended, as being your best bet for dining out in a gay restaurant in the area. 'hi' from GAIA . .. They also keep a referral list of lesbian bed and breakfast accomodation in the Miami area.",**,Bar / Restaurants,,,,1989
The Palms,Information Services,,checked,Fort Lauderdale,FL,"Thanks for help with up-dating this section to THE PALMS, Restaurant and Bar
INFORMATION SERVICES HOTLINE -Tel. 537-3235",,,,,"
",1989
Saturday's,Bars,4060 W New Haven Ave,,Melbourne,FL,"-Tel. 724-1510. Disco/ Juke box and DJ, pool tables, benefits, food is served. It's a private club with guest membership. located on U S 192 - 1 / 2 mile east of 1-95. ·straight by light and Gay by night' closes Mondays at 9pm. Say 'hi' from GAIA.",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church of the Holy Spirit,Religious Groups,330 SW 27th St.,,Fort Lauderdale,FL,"-Tel 462-2004. '360 people are involved There is a Women's Group, lots of social activities and we are trying to get more women involved, really nice. helpful. supportive people. say 'hi' from GAIA",,,,,,1989
Gainesville Women's Health Center,Health Centers / Clinics / Counseling / Practitioners,720 NW 23rd Ave,,Gainesville,FL,"-Tel. 377-5055 or
377-5551.
",,,,,,1989
The Palms Restaurant and Cabaret,Bar / Restaurants,2209 Wilton Drive,,Fort Lauderdale,FL,"33305 -Tel 563-2033. All-gay and all-friendly. Their menu looks fantastic, special coffees. extra special food. try the 'Palms Fish Scuffle' made fresh daily ... enjoy the shows, say 'hi' fromGAIA.",**,Bar / Restaurants,,,,1989
Joy Metropolitan Community Church ,Religious Groups,1815 East Robinson Sreet,,Orlando,FL,"services at the First Unitarian Church, 1815 East Robinson Street -Tel. 894-1081. They also hold a discussion group on Weds. at 7. 30pm at 2202 Curry Road.",,,,,,1989
National Organization for Women,Organizations,,checked,St. Petersburg,FL,-Tel. 823-3281,,,,,,1989
Metropolitan Community Church,Religious Groups,,checked,Clearwater,FL,Tel. 546-8618,,,,,,1989
The Delta Deli,Restaurants,2269 First Street,,Fort Myers,FL,Bradford Arcade; downtown -Tel 334-7806,*,Restaurants,,,,1989
Roy's Green Parrot,Bars,1030 East Main Street,,Lakeland,FL,-Tel. 683-2431,**,"Bars, Clubs, Coffeehouses",,,,1989
Oasis Guest House,Hotels/Motels/Guest Houses Etc.,823 Fleming St. ,,Key West,FL,-Tel 296-2131 Luxury guest house Pool hot tub. Mostly gay men but women always welcome,,,,,,1989
The Rose,Bars,2345-1 Cheshire Bridge Road ,checked,Atlanta,GA,(at Lindbergh);· Tel. 320-1219,***,"Bars, Clubs, Coffeehouses",,,,1989
Joanna Colrain,Counseling and Psychotherapy,314 Melrose Ave,,Decatur,GA,30030 -Tel. 373-7629. 'Treatment of incest trauma. etc. •,,,,checked,,1989
Gallus,Bar / Restaurants,49 6th Street,,Atlanta,GA,"30308-Tel. 892-8983. A real old-timer, very gay and not to be
missed when visiting Atlanta.",*,Bar / Restaurants,,,,1989
Swiftwater,Camping for Women,,checked,Dahlonega,GA,"write: P O Box 2068; 30533-Tel. 864-3229. QUIET camping on a
pleasant, wooded peninsula of 2 acres-about half way between Dahlonega and the southern end of the Appalachian Trail. No children under 18 / no irritable pets/ no nudity-$5. 00 per night & $2. 50 for each women over two in the party Hike/ raft/ canoe/ fish & say 'hi' from GAIA.",,,,,,1989
Dusty's Barbeque,Restaurants,1815 Briarcliff,checked,Atlanta,GA,-Tel. 320-6264,*,Bar / Restaurants,,,,1989
Reflections,Bars,1632 Walton Way,,Augusta,GA,Tel. 733-2603. Bar with dance floor,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Augusta Lesbian / Gay Contacts,Group,PO Box 3411,checked,Augusta,GA,write PO Box 3411; 30904; -Tel. 860-1091 They meet the first Tuesday of every mont h really nice people. mostly lesbians. Newsletter. Say 'hi' from GAIA,*,Organizations,,,,1989
Southern Wimen's Music and Comedy Festival,Events,,checked,,GA," (S. W. M. C. F. )-to be held in Georgia, U.S. A. -over Memorial Day Weekend, Thursday, May 25-May 29, 1989. Thousands of women In the woods!-Five days and four nights of music/ comedy/ swimming/ workshops/ crafts and a film festival. For more information, write: SWMCF, 15842 Chase Street, Sepulveda, CA; 91343-U. S. A. -Tel. (818)893-4075. ",,,,,,1989
Atlanta Gay Center,Gay/Lesbian Center,63 12th Street,,Atlanta,GA,"30309-Tel.876-5372, 12noon-9pm, Mon
Fri. & noon-6pm Sat. Closed Sundays. Access for the deaf and for terminals.",***(**),Organizations,,checked,,1989
Charis Books & More,Feminist Bookstore,419 Moreland Avenue,,Atlanta,GA,"30307(near Euclid)- -
Tel. 542-0304. Feminist, lesbian, gay books and records. Couches for reading
& a children's play loft. Referral service plus buttons, posters, jewlery,
magazines, cards. Anti-sexist and anti-racist children's literature. Wheel chair
accessable. Poetry readings and women's music nights-a cultural program
each Thursday night, free, 7: 30pm. They sell GAIA'S GUIDE. LESBIAN & FEMINIST MAIL ORDER CATALOGUE $1. 00-& ticket sales resource book for
women with room-mate listings, etc, workshops, etc. CHARIS is the
acknowledged center of lesbian / feminist Atlanta, make it your first stop for
info on all local happenings and be sure and say 'hi' from GAIA. New hours:
Open 7 days a week, 10. 30am-6. 30pm, M-Sat. & 1 pm-6pm Sundays. Say 'hi' from GAIA.",,,,,,1989
Atlanta Gay Helpline,Information Services,,checked,Atlanta,GA,"Tel. 892-0661, 6-9pm nightly.",,,,,,1989
Who's Who,Bars,217 East Bay,checked,Savannah,GA,-Tel. 232-9432.,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community of the Blessed Redeemer,Religious Groups,800 North Highland,,Atlanta,GA,NE. -Tel. 872-2246,,,,,,1989
Crazy Ray's,Restaurants,1492 Piedmont Road,,Atlanta,GA,"-Tel. 873-4655. Show-bar / restaurant/
breakfast/ lunch/ dinner & Sunday brunch.",*,Bar / Restaurants,,,,1989
Cloud Nine,Bars,215 Tallahassee Road,,Athens,GA,"-Tel. 549-0999. Dance bar, open 8pm-2am /
closed Sunday. Mixed clientel.",*,"Bars, Clubs, Coffeehouses",,,,1989
Pegasus Lounge,Bars,533 3rd Street,,Macon,GA,Tel 742-1188,**,"Bars, Clubs, Coffeehouses",,,,1989
San Jose,Restaurants,1510-C Piedmont Avenue,,Atlanta,GA,-Tel. 872-9747 -mexican food,*,Bar / Restaurants,,,,1989
Five Fifty One Downstairs,Show-Bar,551 Ponce de Leon Ave,,Atlanta,GA,Tel. 873-4052.,**,"Bars, Clubs, Coffeehouses",,,,1989
Southern Gay Dreams,Radio Program,PO Box 5332,checked,Atlanta,GA,"write: PO Box 5332, 30307 -Tel. 523-3471. Sundays
8pm-9pm. Since 1977. 'Your in-put is appreciated'.",,,,,,1989
Tower Lounge,Bars,735 McGill,checked,Atlanta,GA,"-Tel. 688-5463. An historic sigh!. with an extremely
varied Jukebox.",***,"Bars, Clubs, Coffeehouses",,,,1989
Atlanta Business and Professional Guild,Information Services,PO Box 52785,checked,Atlanta,GA,write· Box 52785; 30355. Tel. 872-1922. Atlanta's progressive organization providing services and programs tailored for and about Gay & Lesbian professionals and Businesses.,,,,,,1989
Deena's One More Time,Bars,1890 Cheshire Bridge Road,,Atlanta,GA,-Tel. 874-0980,****,"Bars, Clubs, Coffeehouses",,,,1989
Dignity,Religious Groups,928 Gordon Street,,Atlanta,GA,S W. at Ashby-Tel. 874-1694,,,,,,1989
Flutters,Bars,1316 Westover Road,,Albany,GA,-Tel. 888-7972,*,"Bars, Clubs, Coffeehouses",,,,1989
Atlanta Couples Together,Special Interest Groups,,,Atlanta,GA,"-Tel 432-1085. For men & women. Monthly meetings, scheduled activities for gay and lesbian couples.",,,,,,1989
Toolulah's,Bars,3041 Piedmont Rd,,Atlanta,GA,NE. -Tel. 262-9299. Small and crowded.,****,"Bars, Clubs, Coffeehouses",,,,1989
Redwood Inn,Bars,2210 Barnes Road ,,Macon,GA,"-Tel 781-4141 Open 8pm-2am Phone up for
tape recording of directions of how to get there. Show bar. pool table, recommended Say 'hi'from GAIA",***,"Bars, Clubs, Coffeehouses",,,,1989
Curiosity Club,Bars,3 13th Street,,Columbus,GA,Tel 322-8682,**,"Bars, Clubs, Coffeehouses",,,,1989
Pharr Library,Bars,550 Pharr Road ,,Atlanta,GA,"NE. -Tel. 262-2525. Lots of happy hours. Dynasty
night.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
All Saints Metropolitan Community Church ,Religious Groups,575 Boulevard SE,checked,Atlanta,GA,- Tel 636-3507. Services Sunday evenings at 6pm.,,,,,,1989
Atlanta Lesbian Feminist Alliance,Lesbian Center,PO Box 5502,checked,Atlanta,GA,"PO Box 5502; 30307. -Tel. 378-9769. One of the best lesbian centers in the world. Full range of activities and services. Excellent newsletter with all local, etc. info. Spiritual gatherings & socials by BOOGIE WOMEN. Membership on sliding scale, $15. 00 &. Newsletter free with membership or $12. 00. Say 'hi' from GAIA.",*****,Organizations,,,,1989
Ann J. Herrera,Attorneys,309 Sycamore Street,,Decatur,GA,30030 -Tel (404)373-4562 & 376-7200,,,,,,1989
The Sportspage,Bar / Restaurants,2069 Cheshire Bridge,,Atlanta,GA,"-Tel. 636-7517. Very large, the disco area is great. It's smokey and attracts a young crowd. Also has a women's gift & card shop: SIMPLY MARVELOUS, open every night.",****,Bar / Restaurants,,,,1989
Ansley Mall Bookstore,General Bookstore,1544 Piedmont Ave,,Atlanta,GA,"-Tel. 875-6492. Feminist and
lesbian titles They sell GAIA'S GUIDE",,,,,,1989
"J.S. Woolley, DDS",Dentist,321 Pharr Road,,Atlanta,GA,"NE. suite ""A""; 30305 Tel. 233-6488",,,,,,1989
Hamburger Mary's,Bar / Restaurants,2109 Kuhio Ave,,Honolulu,HI,-Tel. 922-6722,**,Bar / Restaurants,,,,1989
Hotel Honolulu,Hotel,376 Kaiolu Street,,Honolulu,HI,"96815 -Tel. 926-2766. The only gay
hotel on Oaho and women are very, very welcome. Suites with full bathroom
and complete kitchen. All with adjoining lanais. Garden I sundeck with jacuzzi
/ small gym and TV room/ parking. Ultra-luxurious double rooms from about
$50. 00-$75. 00 per night. Recommended. Say 'hi' from GAIA.",,,,,,1989
Balcony Bar,Bars,1920 Ala Moana Blvd,,Honolulu,HI,"(2nd floor of Inn on the Park; -Tel 946-8355.
BBO & a realy balcony.",,,,,,1989
Alex's Hole in the Wall,Restaurants,835 Front Street,,Maui Island,HI,-Tel 661-3197,*,Restaurants,,,,1989
Hamburger Mary's ,Bar / Restaurants,608 Front Street,,Maui Island,HI,"-Tel 667-6989 'A good place to go
dancing'",*,Bar / Restaurants,,,,1989
Hula's Bar Lei Den,Bar / Restaurants,2103 Kuhio Ave,,Honolulu,HI,-Tel. 923-0669,**,Bar / Restaurants,,,,1989
Gay Information Service,Information Services,PO Box 3224,checked,Honolulu,HI,write: PO Box 3224; 76801 -Tel. 926-1000 For information about lesbian / gay supportive and owned services and businesses,,,,,,1989
The Butterfly Inn,Women-Only Guest House,PO Box J,checked,Kurtistown,HI,"PO Box J, Kurtistown, Hawaii; 96760 -Tel.
(808)966-7936. Currently the only bed & breakfast residence in the islands
which is exclusively for women. Rural neighborhood with one acre of tropical
foliage, fruit trees and flowers. Two lovely rooms with a shared bathroom and
common living room in an older, remodeled home. Sliding scale rales: Single
$25. 00-$40. 00/ double $35. 00-$50. 00. Kitchen facilities available for nominal fee. No children. Comfortable, healing environment with steam house, hot tub, crystal energy, & licensed massage therapist on call. Beaches and active volcano nearby. Sight seeing adventures around the island. You'll need a rental car as there is little public transportation. -Say 'hi' from GAIA who will be envying you like mad.",,,,,,1989
Maui Surfing School,Surfing Lessons,PO Box 67,checked,Maui Island,HI,"-Anrea Thomas, -Tel 871-6231 Specializing in beginners and cowards. Write: P.O. Box 67, Kihei, Maui; 96753",,,,,,1989
Gay Community Center,Centers,1154 Fort Street Mall ,checked,Honolulu,HI,"(suite 415); 96813 -Tel 536-6000. Library, many groups meet there. local information center. say 'hi' from GAIA.",***,Organizations,,,,1989
The Arcade,Bars,2122 Kalakaua Ave,,Honolulu,HI,2122B Kalakaua Ave; -Tel. 926-8311,**,"Bars, Clubs, Coffeehouses",,,,1989
Partners,Bars,802 Kapiolani Blvd,,Honolulu,HI,'-Tel 545-7810 (okay for 1989),****,"Bars, Clubs, Coffeehouses",,,,1989
Gay Community News,Publications,PO Box 3224,checked,Honolulu,HI,"PO Box 3224, Honolulu. HI; 96801",,,,,,1989
Metropolitan Community Church,Religious Groups,2500 Pali Highway,,Honolulu,HI,'-Tel. 526-0594 (ok for 1989),,,,,,1989
Both Sides Now,Service,,checked,Maui Island,HI,"-Tel. 572-1884. Information on tape about groups/ activities
/ and events for lesbians, gays and bi-sexuals. Newsletter, too.",,,,,,1989
The Godmother,Bar / Restaurants,339 Saratoga Rd,,Honolulu,HI,-Tel. 922-6960. Italian restaurant and lounge,**,Bar / Restaurants,,,,1989
Wood Valley,Guest Houses / Bed and Breakfast,PO Box 37,checked,Pahala,HI,"c/o Jessie Hillinger. PO Box 37, Pahala, HI. 96777 Lesbian
owned cozy old plantation style home on 14 acres of rural land on the Big Island near the beach and Volcano National Park.",,,,,,1989
Club 506,Bars,506 Brady Street,,Davenport,IA,-Tel. 323-2072,**,"Bars, Clubs, Coffeehouses",,,,1989
Women'sworks Bookstore and Art Gallery,Feminist Bookstore,1506 Harrison,,Davenport,IA,"52803 (at 15th Street) -Tel. 326-4518. Lesbian titles/non-sexist children's books, women's music. posters, Jewelry, buttons, T-shirts, local info/ bulletin board. Reading tables authors nights, LESBIAN WOMEN SUPPORT GROUP MEETINGS. They sell GAIA'S GUIDE, say 'hi' from GAIA.",,,,,,1989
La Cage,Bars,416 East Walnut,,Des Moines,IA,TeI. 244 1377,**,"Bars, Clubs, Coffeehouses",,,,1989
WCC,Lesbian Group,PO Box 22063,checked,Des Moines,IA,PO Box 22063: 50322. No phone,**,Organizations,,,,1989
Gay Info Line,Information Services,PO Box 851,checked,Des Moines,IA,Tel. 279-2110 (24 hours) or 277-1454 write: PO Box 851: 50304,,,,,,1989
Dutch Mill Bar,Bars,823 Franklin,,Waterloo,IA,-Tel. 234-9403,**,"Bars, Clubs, Coffeehouses",,,,1989
Gayline,Information Services,,checked,Iowa City,IA,"Tel. 335-3877, operates T / W / Th. 7pm-9pm. (89)",,,,,,1989
Question Mark ,Bars,203 3rd St.,,Des Moines,IA,-Tel. 243-9747,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Open Line,Information Services,,checked,Ames,IA,-Tel. 292-7000 & 294-2104,,,,,,1989
6:20,Bars,620 S. Madison St.,,Iowa City,IA,"52240. (at prentiss). -Tel. 354-2494. Community minded
dance bar. Entertainment & a good place to go for local info. Open at 7: 30pm-2am. Mon. -Sat. -very highly recommended. Say 'hi' from GAIA",**,"Bars, Clubs, Coffeehouses",,,,1989
Now-Flag,Group,PO Box 495,checked,Dubuque,IA,"P.O. Box 495: 52001 -Tel. 583-9018/ 582-5352, Gay rights advocates",,,,,,1989
Gay Help Line,Service,,checked,Waterloo,IA,Tel 234-1981,,,,,,1989
Rock Island Connection ,Bars,300 21st St.,,Davenport,IA,'-Tel. 786-9707 (89),**,"Bars, Clubs, Coffeehouses",,,,1989
DJ's Bistro,Bars,951 Main St,,Dubuque,IA,-Tel. 588-3131,**,"Bars, Clubs, Coffeehouses",,,,1989
Women's Resource & Action Center,Centers,130 North Madison,,Iowa City,IA,"52242 (near Market) -Tel. 335-1486. Switchboard hours: 9-5pm M /W / F & T Th. 9am- 9pm Their premises Is an entire house and their activities include social meetings, political work / health care and outreach Sojourner library / advocacy / Lesbian Alliance Office.",****(*),Organizations,,,,1989
Surprizes,Bars,2016 Forest Ave,,Des Moines,IA,'-TeI (515)288-2106,**,"Bars, Clubs, Coffeehouses",,,,1989
Iva's Place,Bars,1910 South Gilbert,,Iowa City,IA,#NAME?,***,"Bars, Clubs, Coffeehouses",,,,1989
Events Tape,Information Services,,checked,Iowa City,IA,335-3251,,,,,,1989
Brass Garden,Bars,112 SE 4th,,Des Moines,IA,'-Tel. (515)243-3965,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,,checked,Boise,ID,-Tel. 386-9229.,,,,,,1989
Mirage,Bars,500 South Asbury,,Moscow,ID,"83843 -Tel. 882·8511. Dance club serving cocktails same sex dancing, but not a gay bar",*,"Bars, Clubs, Coffeehouses",,,,1989
Gay Community Center,Gay Center,,checked,Boise,ID,-Tel. 342-6764,***,Organizations,,,,1989
Garden Lounge,Bars,313 South Main,,Moscow,ID,"-Tel. 882-8513. Moscow's alternative lifestyles 'hang-out', cocktails and deli.",*,"Bars, Clubs, Coffeehouses",,,,1989
Stop Light ,Bars,233 South 10th,checked,Boise,ID,"83702-7012. -Tel. 342·8558. Women only dance bar
Open 7 days a week. Say 'hi' from GAIA.",**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Women's & Men's Alliance,Gay / Lesbian Group,PO Box 2725,checked,Idaho Falls,ID,Box 2725; 83403-no phone,,,,,,1989
"Women's Center, University of Idaho",Women's Center,,checked,Moscow,ID,"write. Women'sCenter. U. of I.. Moscow. ID; 83843. Location: corner of Idaho and Line Streets. on campus. -Tel. 885-6616 Open 8am-5pm, M-F. & 7-9pm Weds/Th. Very active and visible lesbian participation & social activities/ local information and referrals/ vertical files on lesbian concerns/ coffee lounge / study areas I twice weekly programs-presentations. etc bulletin board. Newsletter. Say 'hi' from GAIA.",****,Organizations,,,,1989
North Idaho Network,Organizations,PO Box 2345,checked,Coeur d'Alene,ID,write: PO Box 2345; 83814. Monthly meetings for lesbians and gay men. Picnics/ raft trips/parties. etc. They often meet with other gay groups from B. C .. Montana and Washington. They have begun organizing a library. Contact them when new to the area.,*,Organizations,,,,1989
Bar H Ranch,Ranch,PO Box 297,checked,Driggs,ID,"PO Box 297; 83422 -Tel. 354-2906. Working cattle ranch. Limited
accomodation for guests.",,,,,"Categorized in guide as a ranch, but seems to be a guest house--should I change site type to reflect site purpose?
",1989
Olyco,Bars,,checked,Boise,ID,342-1371 Front,**,"Bars, Clubs, Coffeehouses",,,,1989
The Chameleon,Bars,215 South Main,,Moscow,ID,83843 -Tel. 882-9789. Not a gay bar. but definitely a gay hang-out with same-sex dancing. Beer/ wine I sandwiches/ salads. etc.,*,"Bars, Clubs, Coffeehouses",,,,1989
Outlines,Publications,1300 West Belmont,,Chicago,IL,(ste 3-E); 60637 -Tel. (312)871-7610. Loads of Lesbian Resources.,,,,,,1989
Paris Dance,Bars,1122 West Montrose,,Chicago,IL,"'-Tel. 769-0602. A woman-owned lesbian bar. It's the most chic bar in Chicago (men's or women's). There Is a $5.00 cover charge on Fridays & Saturdays & they often have special parties, (benefits, etc. )on Sundays. Their Luna Park Cale features terrific appetizers, speciality coffees, and desserts. It's open Friday, 6pm-midnight / Sat. 10 am-midnight and Sunday 10am-midnight. Be sure and say 'hi' from GAIA. Softball
team, too.",****,"Bars, Clubs, Coffeehouses",,,,1989
Maneuvers & Co.,Bars,118 E. Jefferson St.,,Joliet,IL,-Tel. 727-7069,**,"Bars, Clubs, Coffeehouses",,,,1989
Gentry,Bar / Restaurants,712 N Rust St.,,Chicago,IL,Tel 664-1033. Opens 4pm daily.,**,"Bars, Clubs, Coffeehouses",,,,1989
Platypus Book Shop,Alternative Bookstore,606 Dempster,checked,Evanstown,IL,"60202 -Tel. 866-8040. Lesbian titles/ women's studies/ non-sexist children's books/ health books. Local information center. They have GAIA'S GUIDE & Women's Yellow Pages/ OUTLINES, etc. Say 'hi' from GAIA.",,,,,,1989
Left Bank Bookstall,Alternative Bookstore,104 South Oak Park Avenue,,Oak Park,IL,"60302 -Tel. 383-4700.
Lesbian Titles/ women's studies/ new and used books/ books from Lesbian/ Gay/
Feminist Presses/ they have local gay and lesbian papers, say 'hi' from GAIA. Open
noon-8pm M-F / 1 0am-5pn Sat.",,,,,,1989
Horizon Bookstore,Alternative / Feminist Bookstores,517 South Goodwin,,Champaign / Urbana,IL,"61801, Urbana. -Tel. 328-2988 Feminist titles/ lesbian titles & GAIA'S GUIDE.",,,,,,1989
Little Professor Book Center,Alternative / Feminist Bookstores,505 E. Green St,,Champaign / Urbana,IL,"61820 -Tel. 384-3094
Gay and lesbian books.",,,,,,1989
Suzie B's,Bars,1829 West Montrose,,Chicago,IL,-Tel. 929-6910,****,"Bars, Clubs, Coffeehouses",,,,1989
WICCA: Women in Crises Can Act,Switchboards / Hotlines / Crises Lines,,checked,Chicago,IL,-Tel. 528-3303.,,,,,,1989
Augie & CK's,Bars,3726 N Broadway,,Chicago,IL,"(New Town) -Tel. 975-0449. Extremely popular disco, -still jumping hot after many years In the business. Lots of great reports, say 'hi' to Augie & Carie from GAIA. Woman-owned and open: Tuesday-Friday 7om-4am / Sat. 7pm-5am. Very, very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,,1989
Gerberhart Library,Archives / Libraries,3238 North Sheffield,,Chicago,IL,"Tel. 327 • 7 431 . -located In the Gav
/ Lesbian Community Center.",,,,,,1989
Baton Show Lounge,Show-Bar,436 N Clark St,,Chicago,IL,-Tel. 644-5269,**,"Bars, Clubs, Coffeehouses",,,,1989
The Community Feminist Library,Library,"304 Stiven House, 708 South Mathews",checked,Urbana,IL,"On campus address: 304 Stiven House.
708 South Mathews. -Tel. Women's Studies 333-2990 to verify hours.",,,,,,1989
Irene's Diamonds ,Bars,3169 N. Halsted,,Chicago,IL,-Tel. 883-9436. Open 10am Mon-Fn. Barn Sat; 12 noon Sun. Clientele. Mixed gay women and men.,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay / Lesbian Switchboard,Switchboards / Hotlines / Crises Lines,,checked,Chicago,IL,'-Tel. 929-HELP (4357),,,,,,1989
Club Illusions,Bars,1620 Plainfield,,Joliet,IL,'-Tel. 741-4474. 7pm-2am daily (3am Sats). Disco/dancing. Predominantly women.,****,"Bars, Clubs, Coffeehouses",,,,1989
Lesbian and Gay Events Tape,Switchboards / Hotlines / Crises Lines,,checked,Chicago,IL,-Tel. 975-1212,,,,,,1989
Closet,Bars,3323 N Broadway,,Chicago,IL,-Tel. 477-8533.,**,"Bars, Clubs, Coffeehouses",,,,1989
Mountain Moving Coffeehouse,Coffee House/Art Gallery,1655 West School St.,,Chicago,IL,"(two blocks north
west of Belmont. Ashland, Lincoln intersection-on the southeast corner of Paulina and School streets). -Tel. 769-6899. Drug and alcohol free space The very, very best in women's entertainment, some of their shows include appearances by Alix Dobkin, Judy Small and some really great local talent. Films and art shows and discussions dances too. Admission is suggested donation of $2. 00. Front row seats at all events are reserved for the hearing impaired and differently abled. MOUNTAIN MOVING Is open
Saturdays only from 7: 30pm Don't miss it.",****,"Bars, Clubs, Coffeehouses",,checked,,1989
Pour House,Bars,103 155th ,checked,Chicago,IL,Calumet City. -Tel. 891-9476.,**,"Bars, Clubs, Coffeehouses",,,,1989
Lost and Found Lounge,Bars,3058 W. Irving Park,,Chicago,IL,(al Albany) -Tel 463 9617. Gay women talore. Jukebox dancing/ pool table. Fully licensed.,***,"Bars, Clubs, Coffeehouses",,,,1989
Razmataz,Bars,4174 North Evanston,,Chicago,IL,-Tel. 588-9624,****,"Bars, Clubs, Coffeehouses",,,,1989
Gay Horizons Community Center,Centers,3225 N Sheffield,,Chicago,IL,"• Tel. 929-HELP. LOTS Of lesbian support groups, including LESBIAN COMING OUT group & gay / lesbian youth group. See GAY CHICAGO & for current details.",***(**),Organizations,,,,1989
Metropolitan Sports Association,Archives / Libraries,,checked,Chicago,IL,-Tel. 528-3699 or 325-6277.,,,,,,1989
Club La Ray,Bars,3150 North Haltsed,,Chicago,IL,-Tel. 525-3150,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay & Lesbian Illini,Student Group,1401 West Green ,checked,Champaign / Urbana,IL,"270, Illini Union, 61801. Very helpful people, say 'hi' from GAIA. -TeI. 333-1187",*,Organizations,,,,1989
Lesbian & Gay Illini,Lesbian / Gay Student Organization,"270 Illini Union, 1401 East Green ",checked,Urbana,IL,"270 illini Union, 1401 EastGreen; 61801-Tel. 333-1187.",*,Organizations,,,,1989
Little Professor Book Center,Alternative Bookstore,505 East Green St.,,Chicago,IL,-Tel. 384-8094,,,,,,1989
Gay Chicago Magazine,Publications,1527 North Wells St,,Chicago,IL,"60610 -Tel 751-0130. $36.00 six months subscription. Full of useful local info, including up to the minute bar guide",,,,,,1989
