title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Last Modified By,Last Modified,year
Bodyworks Gym For Women,Sauna/Gym,53 River St,,,Cambridge,MA,"Tel. 576 1493. Weight training for sports, body building/conditioning/aerobics/ belly dance and self defense. Mon, Wed, Fri 9-9pm; tues, Thurs 7am-9pm; Sat & Sun 10-4pm.",,,,,,,,1987
Lesbian Task Force of Boston NOW,NOW,99 Bishop Allen Dr,,,Cambridge,MA,"Tel 661-6015. Political action group, also sponsors social activities. Newcomers welcome.",,,,,,,,1987
Words Worth,Alternative Bookstores,30 Brattle St,,,Cambridge,MA,"Tel. 547-5201. Alternative bookstore with gay titles, women's titles. They sell GAIA'S GUIDE.",,,,,,,,1987
Patricia Leydon,Private Healthcare,222 3rd St,,,Cambridge,MA,"American Twine Building,222 Third Street.room 0300,Cambridge:02142-Tel.354-8360. Traditional chinese acupuncture.",,,,,,,,1987
Boston Chapter of National Organization for Women,NOW,99 Bishop Richard Allen Dr,,,Cambridge,MA,02139- Tel. 661-6015. NOW NEWS. Lesbian Rights Task Force.,,,,,,,,1987
The Women's Alcoholism Program,Counselling/Therapy,6 Camelia Ave,,,Cambridge,MA,"Tel 661-1316. Individual/couples/family and group counseling, including a sobriety group for lesbians.",,,,,,,,1987
Joan W Trumbull,Accountants,,,checked,Cambridge,MA,Tel.661-3246 ,,,,,,,,1987
Aradia Counselling for Women,Counselling/Therapy,520 Commonwealth Ave,,,Cambridge,MA,"Kenmore Sq. Cambridge. Tel. 247-4861,ext.58. We return calls as soon as possible. Women-only center; counseling individual; group or couples; workshops; occasional lesbain support groups.",,,,,,,,1987
Sojourner,Publications,143 Albany St,,,Cambridge,MA,"02139. One year's subscription, $8. Events calendar. List of women-owned businesses. Health and therapy resources + lawyers and accountants plus classified ads. On sale in NEW WORDS BOOKSTORE.",,,,,,,,1987
"Campbell, King & Borojsky",Attorney's,1436 Cambridge St,,,Cambridge,MA,02139- Tel.491-5463. A women's law firm.,,,,,,,,1987
Lesbians With Children,Women's Centers,46 Pleasant St,,,Cambridge,MA,"C/o The Women's Educational Center, 46 Pleasant St, Cambridge. Tel. 354-8807. Meets Thurs 8-10pm.
",,,,,,,,1987
Daughters of Bilitis,Women's Centers,1151 Massachusetts Ave,,,Cambridge,MA,"(near Remingtn),Cambridge;02138- Tel. 661-3633. Social/political/ counselling Coming Out, young lesbians (22), 35+; parents & co-parents groups. Library. Soft ball played. This lesbian organisation welcomes ALL women in transit. Annual Thanksgiving Dinner.",*****,Center,,,,,,1987
The Marquee,Bars/Restaurants,512 Massachusetts Ave,,,Cambridge,MA,"Tel 492-9545. Disco, pool tables, pinball. A marvellous place for gay women, especially those who like to view the vamps on the wall (Mae West, Marilyn Monroe etc). Great for dancing, open 7 days a week. Food served. they sponsor local athletes and sport teams in the Cambridge Women's League.Very highly recommended.",****,Bar/Restaurant,,,,,,1987
"Michelle Harrison, M.D. ",Private Healthcare,763 Massachusetts Ave ,,,Cambridge,MA,02139-Tel.491-5800.,,,,,,,,1987
New Words Bookstore,Feminist Bookstore,186 Hampshire St,,,Cambridge,MA,"02139- (at Prospect St) Tel. 876-5310. Feminist/lesbian titles; non-sexist children's literature. Posters, records, women's music; cards, etc. bulletin board. They hold fiction/poetry readings and occasional writing workshops. GAIA'S GUIDE on sale. Also GAY COMMUNITY NEWS. Be sure and say 'hi' from GAIA.",,,,,,,,1987
46 Pleasant St,Women's Centers,46 Pleasant St,,,Cambridge,MA,"(at Cottage Street) Cambridg;02139- Tel. 354-8807. Lesbian rap groups - Coming Out, etc. Lesbians with children. Alcoholism programs. They provide referrals and self-support. Hours: Mon.-Th. 10am-10pm/Fri. 10am-5pm/Sat. 10am-1 pm. Wheelchair accessible.",,,,,,,,1987
Women's Counselling & Resource Center,Counselling/Therapy,1555 Massachusettes Ave,,,Cambridge,MA,"Tel. 492-8568. One of the oldest continuously operating all-volunteer counselling collectives, with the lowest sliding scale fees in the area. No woman is turned away because of inability to pay. Recommended.",,,,,,,,1987
Modern Times Cafe,Restaurants,134 Hampshire St,,,Cambridge,MA,"02139. Tel. 354-8371. Lunch and dinner Tues-Sun, brunch Sat & Sun from 9.30am. Carefully prepared natural foods include vegetarian, meat and fish dishes. Wine & beer/Friday night musical evenings/outdoor patio.",,,,,,,,1987
Campus For Women,Bars,21 Brookline St,,,Cambridge,MA,"Central Sq, Cambridge. Tel. 864-0406. Large gathering place for women, with pool, video games, live entertainment. Tues & Sun 2 for 1 nights.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Am Tikva,Religious Groups,PO Box 11,,checked,Cambridge,MA,02139. Tel. 782 8894. Jewish gays and lesbians.,,,,,,Lilly Smith,6/9/2024 1:05pm,1987
New Dawn Adventures,Vacations,518 Washington St,,,Gloucester,MA,01930- Tel.(617)283-8717,,,,,,,,1987
World Eye Bookshop,Bookstores,60 Federal St ,,,Greenfield,MA,"(at Osgood) Tel. 772-0844. Lesbaln, gay section; women's studies, posters and buttons, bulletin board. GAIA'S GUIDE on sale. Open Mon-Sat 9-6pm. A good place to get local info. They sell SOJOURNER.
",,,,,,,,1987
The Bookswap,Bookstores,22 Miles St,,,Greenfield,MA,Tel. 774-3989,,,,,,,,1987
Mallory Dock,Bar/Restaurant,477 Yarmouth Rd,,,Hyannis,MA,"02601. Tel. 775-9835. Mixed gay bar. Dinner nightly 5-11 pm, Sunday supper/brunch. 5pm-8pm.
",**,Bar/Restaurant,,,,,,1987
Fantasy's,Bar/Restaurant,,,checked,Ipswich,MA,"Route One. Tel. 356- 7066. The north shore's gay men and women's bar and disco has, they say, New England's most exciting light show, plus scheduled live entertainment, and a quiet restaurant featuring gourmet foods. Open Wed-Sun, 6pm-midnight. Plenty of secure parking.",**,Bar/Restaurant,,,,,,1987
"""Sister's"" Bar",Bar,53 Walker St,,,Lennox,MA,Tel.637-15,***,"Bars, Clubs, Coffeehouses",,,,,,1987
Mr. Dominick's ,Bar,212 Broad St,,,Lynn,MA,Tel. 599-9444. Open 7 days - 11am-2am. Mostly men.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Fran's Place,Bar,776 Washington St,,,Lynn,MA, Tel.595-8961,**,"Bars, Clubs, Coffeehouses",,,,,,1987
The Iron Horse Coffeehouse,Bar,20 Center St,,,Northampton,MA,Tel.584-0610,,,,,,,,1987
Susan Ritter,Attorney's,16 Center St,,,Northampton,MA,01060,,,,,,,,1987
New Alexandria Lesbian Library,Archives,,,checked,Northampton,MA,Tel: 584-7616. See statewide listings for more details.,,,,,,,,1987
Broadside Bookshop,Alternative Bookstores,247 Main St,,,Northampton,MA,Tel. 586-4235,,,,,,,,1987
Womonfyre Books,Feminist Bookstore,22 Center St,,,Northampton,MA,"01060 (at Main) Tel. 586-6445. Lesbian titles and women's studes/sexual politics/non-sexist children's literature/women's music/posters/jewellry/buttons/minerals/cards/ wiccan supplies/MAIL ORDER/rental of lesbian videos- -they carry- :VALLEY WOMEN'S VOICE/GAYZETTE/1.O.G.S.& GAIA'S GUIDE. Your first stop in lesbian/feminist Northampton, great source of other local info. Say 'hi' from GAIA.",,,,,,,,1987
Haven,Groups and Organizations,PO Box 562,,checked,Northampton,MA,"write: c/o Lesbian and Gay Empowerment Coalition, P.O. Box 562, Northampton, MA ;01061. Tel. 1-800-512-3589 (toll-free)- - They provide support and emergency service for gay women and men who are being threatened. They also investigate legal issues. They meet every Monday at 7:30pm in the GALA (Gay & Lesbian Activists) office on the third floor, Thames Market Place.",*,"Bars, Clubs, Coffeehouses",,,,Lilly Smith,6/9/2024 1:05pm,1987
The Thirteen Moon,Occult Shop,56 Main St,,,Northampton,MA,,,,,,,,,1987
Valley Gay Alliance,Groups and Organizations,PO Box 181,,checked,Northampton,MA,"write: VGA, Box 181, Northampton,MA; 01061. Their newsletter/directory, GAYZETTE, includes details about these groups and much more: Gay & Lesbian Activists/Gay/Lesbian Alcoholics Anonymous/sports, outreach, etc. On sale at WOMON FYRE BOOKS.",*,"Bars, Clubs, Coffeehouses",,,,Lilly Smith,6/9/2024 1:05pm,1987
Pennacook Guest House,Guest House,,,checked,Oak Bluffs,MA,"Tel 693-1231. Near beach and shopping area. Gay male owned, receptive and friendly to gay women. But four rooms only rented out, so advance reservation necessary.
",,,,,,,,1987
Victor-Victoria Bar and Grill,Bars,186 Commercial St,,,Provincetown,MA,"Tel. 487-1443. Downstairs at the Painted Lady Inn, it's a cozy bar and grill serving a casual menu from 11.30am - 1am. Open all year. Lots of women.",***,"Bars, Clubs, Coffeehouses",,,,,,1987
The Town House,Bar/Restaurant,291 Commercial St,,,Provincetown,MA,"Tel. 487-0292. Super-bar complex. 50% straight, 50% gay. Also the newly-opened gay-owned, JOE'S PLACE in the Town House complex. It's a disco bar open from April1st-October 31st.",**,Bar/Restaurant,,,,,,1987
Christopher Inn Guest House,Hotels/Motels/Guest Houses,8 Dyer St,,,Provincetown,MA,Tel. 487-1920,,,,,,,,1987
Rose and Crown Guest House,Hotels/Motels/Guest Houses,158 Commercial St,,,Provincetown,MA,Tel. 487-3332,,,,,,,,1987
Dusty Miller Inn,Hotels/Motels/Guest Houses,82 Bradford St,,,Provincetown,MA,Tel. 487-2213,,,,,,,,1987
The Captain and His Ship,Hotels/Motels/Guest Houses,164 Commercial St,,,Provincetown,MA,"02657 (at Central St)- Tel.487-1850. Open all year/double occupancy rates/private or sem-private bath/complimentary morning coffee. Gay and straight together in this relaxed and truly charming guest house which stands a few feet from where the Mayflower first landed. I don't QUITE remember that, but say 'hi' from GAIA, anyway. Oh yes, no dogs allowed (must be civilized people). Nine of their charming rooms have private baths/ $31.00-$60.00 per day double. Outdoor patio/great food/. No dogs allowed.
",,,,,,,,1987
Pilgrim House Hotel,Hotels/Motels/Guest Houses,336 Commercial St,,,Provincetown,MA,353-355 Commercial St. Tel.487 1420,,,,,,,,1987
Ravenwood,Hotels/Motels/Guest Houses,462 Commercial St,,,Provincetown,MA,"02657-Tel. (617)487-3203. WOMAN ONLY GUEST HOUSE, spacious rooms/full and studio apartments/bay views/decks. Complimentary coffee in the side yard. $40.-$55. double per day. No dogs allowed. Say 'hi' to Diane Corbo from GAIA.",,,,,,,,1987
Lobster Pot,Restaurants,,,checked,Provincetown,MA,Tel. 487-0842,*,Restaurants,,,,,,1987
Lamplighter Guest House & Cottage,Hotels/Motels/Guest Houses,26 Bradford St.,,,Provincetown,MA,Tel. 487-2529,,,,,,,,1987
Victoria House,Hotels/Motels/Guest Houses,5 Standish St,,,Provincetown,MA,Tel. 487-1319. 10 rooms.some with full bath/nice garden/free parking area/continental breakfast. Some- times more gay women than men.,,,,,,,,1987
Womencrafts,Feminist Bookstore,PO Box 190,,checked,Provincetown,MA,"Mall P O Box 190;02657-Tel 487-2501. Gay, lesbian and feminist books, magazines, newspapers, posters, buttons, women's music, jewelry and clothing. Mall order, they sell GAIA'S GUIDE. Open during summer only. Say 'hi' from GAIA.",,,,,,Lilly Smith,6/9/2024 1:05pm,1987
Crown and Anchor Motel Inn,Hotels/Motels/Guest Houses,247 Commercial St,,,Provincetown,MA,Tel. 487-1430,,,,,,,,1987
The Gull Walk Inn,Hotels/Motels/Guest Houses,PO Box 456 ,,checked,Provincetown,MA,"02657. Location: 300A Commer- cial Street, behind the Mayflower Cafe on Commercial Street & behind the Terrace Restaurant on Bradford Street-Tel. 487-9027. Woman-only guest house and mostly lesbian. In its 8th year! Large front yard and porch, TV/social lounge. Reasonable rates. Doubles with shared bath.",,,,,,Lilly Smith,7/23/2024 3:39pm,1987
Nicky's Gifford House Hotel,Bars,,,checked,Provincetown,MA,"Bradford al Carver. Tel. 487-0688. Men-only hotel, but bar/lounge is mixed gay men and women. Comfortable and friendly.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Watership Inn,Hotels/Motels/Guest Houses,7 Winthrop St,,,Provincetown,MA,"Tel. 487-0094 Free continental breakfast, sun-decks and recommended.",,,,,,,,1987
Eastwood,Timeshare Development,336 Bradford St,,,Provincetown,MA, Lesbian-owned development with pool and miniature golf. Studios start at $7200. Ask for Kiki Herold and say Rochelle sent you through GAIA'S GUIDE.,,,,,,,,1987
Aspasia,Hotels/Motels/Guest Houses,31 Pearl St,,,Provincetown,MA,"Tel. 487-2511. Spacious, comfortable rooms for women. Shared baths; morning coffee on enclosed porch, picnic table and grill available. Open all year.",,,,,,,,1987
Wonderful Hands,Health Care,290a Commercial St,,,Provincetown,MA,"Tel.487-0555. Holistic healthcare, therapuetic massage, chiropractic, acupuncture. Open daily 9-9pm all year.",,,,,,,,1987
The Greenhouse,Hotels/Motels/Guest Houses,18 Pearl St,,,Provincetown,MA,Tel. 487-2210. Women-only/ off-street parking/bar-b-ques/& picnic area. They do have a resident dog and two cats: no other pets allowed.,,,,,,,,1987
Twelve Center,Hotels/Motels/Guest Houses,12 Center St,,,Provincetown,MA,Tel. 487-0381 Nice bedrooms and lounge area. Recommended.,,,,,,,,1987
Sandpiper Beach House,Hotels/Motels/Guest Houses,165 Commercial St,,,Provincetown,MA,"write: P.O. Box 646;02657. Tel. 487-1928. Gay women most welcome. Guest house with 13 rooms, all with color TV and balconies overlooking the water. No dogs allowed. $55.-$75. per day for two people. Nice atmosphere. Bar/restaurant/swimming pool next door at the BOAT SLIP MOTEL.Say 'hi' from GAIA.",,,,,,,,1987
Ocean's Inn,Hotels/Motels/Guest Houses,368 Commercial St,,,Provincetown,MA,Tel. 487-0358,,,,,,,,1987
Check'er,Hotels/Motels/Guest Houses,25 Winthrop St,,,Provincetown,MA,"Tel. 487-9029. Women-only. $65.00 per day double with private bath. Ample parking/sun-bathing/barbeques. Open all year round.apartments, too. No dogs allowed. Say 'hi' from GAIA.",,,,,,,,1987
Haven House,Hotels/Motels/Guest Houses,12 Carver St,,,Provincetown,MA,Tel. 487 -3031,,,,,,,,1987
Land's End Inn,Hotels/Motels/Guest Houses,22 Commercial St,,,Provincetown,MA,"02657-1997-Tel.487-0706. Guest house with single and double room/shared and private baths. Panoramic views + luxuriant plants and an extremely unique collection of antiques. Doubles with private bath from $62.00 in summer season. No dogs allowed. Clientel: gay and some straights, quite relaxed. Say 'hi' to David from GAIA.
",,,,,,,,1987
Pied Piper Real Estate,Real Estate Agency ,193 Commercial St,,,Provincetown,MA,02657- P.O. Box 680; 02657- Tel. (617)487-1528/487-1631. Sales and rental.,,,,,,,,1987
Alice's,Restaurants,100 Commercial St,,,Provincetown,MA,"Owned by two lesbians. Excellent food, open for breakfast, lunch, dinner and late night snacks.",*,Restaurants,,,,,,1987
Pied Piper,Bars,193 Commercial St,,,Provincetown,MA,"02657- Tel. 487-1527 & 487-1528. Top disco, shows, talent nights.Bar BQ on the deck, game room, piano bar, pinball and pool tables. exciting atmosphere overlook- ing the water and all of Provincetown - decks for summer sunning and swimming. Open 12 noon - 1am. THE place for women and by far one of the most highly recommended women's bars in the world. Exceptionally friendly. Happy hours off-season/full entertainment programs summer. They now otter seasonal apartments with private beach, right next to the bar. Say 'hi' from GAIA.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Pilgrim House,Bars,336 Commercial St,,,Provincetown,MA,"Tel. 487 0319. Upstairs lounge/piano bar, downstairs cabaret with top entertainment.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Randolph Country Club,Country Club,44 Mazzeo Dr,,,Provincetown,MA,"Tel. 961 2414. Open all year round. Swimming pool. Gay women & men & very popular. Disco/dancingroom, video games, pool tables. 'An enormous crowd of women on Sat nights.'
",***,"Bars, Clubs, Coffeehouses",,,,,,1987
White Wind,Hotels/Motels/Guest Houses,174 Commercial St,,,Provincetown,MA,"02657. Tel. 487-1526. Guest house, there are 8 rooms with private bath. Also, patio, no dogs allowed. $35.00-$50.00 per day. Say 'hi' from GAIA.",,,,,,,,1987
The Pilgrim Cab Company,Cab Company,,,checked,Provincetown,MA,Tel. 487-3074. 'Call The Girls!',,,,,,,,1987
The Plaza On The Pearl,Hotels/Motels/Guest Houses,11 Pearl St,,,Provincetown,MA,"Tel. 487-1818. Gay women and men welcome. Walking distance from center of town. Free parking, andoff-season rates.",,,,,,,,1987
Angel's Landing,Hotels/Motels/Guest Houses,353 Commercial St,,,Provincetown,MA,353-355 Commercial St. Tel.487 1420,,,,,,,,1987
Richmond Inn,Hotels/Motels/Guest Houses,4 Conant St,,,Provincetown,MA,Tel.487-9193,,,,,,,,1987
The Cellar/At The Crown & Anchor,Bars,247 Commercial St,,,Provincetown,MA,02657- Tel. 487-1430. Very highly recommended women-only show bar. Open every day. Be sure and say 'hi' from GAIA. ,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Cafe Edwige ,Restaurants,333 Commercial St,,,Provincetown,MA,"Breakfast, lunch, dinner, full bar. Excellent food and very pleasant atmosphere.",*,Restaurants,,,,,,1987
Freehand,Educational Institution,PO Box 806,,checked,Provincetown,MA,"02657. An independent, not-for-profit, educational institution for women writers and photo- graphers. Tel.(617)487-3579 for brochure and details.",,,,,,Lilly Smith,6/9/2024 1:05pm,1987
The Pub,Bars,382 Dwight St,,,Springfield,MA,Tel 734-8123,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gay/Lesbian Information Support Services,Organizations and Groups,PO Box 3271 ,,checked,Springfield,MA,01101,,,,,,Lilly Smith,6/9/2024 1:05pm,1987
Metropolitan Community Church,Religious Groups,PO Box 15576,,checked,Springfield,MA,"Tel. 788-1331 Write: Box 15576; 01115
",,,,,,Lilly Smith,6/9/2024 1:05pm,1987
The Frontier,Bars,19 Pearl St,,,Springfield,MA,Tel. 734-4528,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Di Rocco's Cabaret,Bars,147 Frost Rd,,,Tyngsboro,MA,"Tel. 649-9186. Large disco - pulsating dance floor, pool tables, pinball. Live entertainment on Sunday evenings. Monthly buffet parties. open Weds-Sun 8pm-1am; Fri, Sat 8pm-2am. About 2% gay women. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Wildwood Inn,Resorts,,,checked,Ware,MA,"Tel. 967-7798. Small, old-fashioned, inexpensive bed and breakfast inn. Easy to ride to another world, alone or with friends. Bring a bunch- the place sleeps 12!",,,,,,,,1987
LINC- Lesbians Inviting New Connections,Lesbian Network,PO Box 52,,checked,Ashby,MA,01431,,,,,,Lilly Smith,6/9/2024 1:05pm,1987
Jean A. MC Cray,Attorney's,40 Trapelo Rd,,,Belmont,MA,02178,,,,,,,,1987
La Place,Bar,20 Kenyon St,,,New Bedford,MA,Tel. 992-8156,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Peasant Stock ,Restaurants,415 Washington St,,,Somerville ,MA,"Tel.354-9528. Internation- al dishes from around the world. Beers and wines. Open for lunch, dinner and Sunday brunch. Gay people welcome.
",,,,,,,,1987
Annapolis Gay People,Groups,PO Box 3040,,checked,Annapolis,MD,21403-Tel.267-6238,,,,,,Lilly Smith,6/9/2024 1:06pm,1987
Pegasus,Bars,,,checked,Baltimore,MD,"Foster and Montford Ave; Tel.342-5752, 9:30am-1 am.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
The Women's Express,Newspaper,413 Southway,,,Baltimore,MD,21218. News + events calendar,,,,,,,,1987
Women's Growth Center,Centers,339 E 25th St,,,Baltimore,MD,Tel.366-GROW. Sober support group + many others meets here.,****(*),Center,,,,,,1987
Fran's,Bars,2127 E Pratt,,,Baltimore,MD,Tel. 732-9815. 'Rough'.,***,"Bars, Clubs, Coffeehouses",,,,,,1987
LAMBDA Rising,Gay/Lesbian Bookstore,241 W Chase St,,,Baltimore,MD,"In the Gay Community Center, 241 West Chase Street; Tel. 234-0069. One of the best stocked bookstores of its kind in the world. They sell GAIA'S GUIDE. Say 'hi' from GAIA. Open11am-8pm, 7 days a week.
",,,,,,,,1987
Johnathan's,Bars,2318 Fleet St,,,Baltimore,MD,Tel. 563-9805. Spectacular drag shows/6 video screens/- -community minded-special lesbian events nights.,**(**),"Bars, Clubs, Coffeehouses",,,,,,1987
Metropolitan Community Church,Religious Groups,,,checked,Baltimore,MD,Tel. 689-6363.,,,,,,,,1987
Club Mitchell,Bars,1003 E Pratt St,,,Baltimore,MD,Tel. 675-9701. Private club. opens 7pm. ,***,"Bars, Clubs, Coffeehouses",,,,,,1987
Leon's Bar & Bistro,Restaurants,870 Park Ave,,,Baltimore,MD,open 11.30-3pm for daily lunches and Sunday brunches.,,,,,,,,1987
Baltimore Gay & Lesbian Switchboard,Services,,,checked,Baltimore,MD,"Tel. 837-8888. M- F from 4pm, Sat./Sun.7.30-10.30pm",****(*),Center,,,,,,1987
Port in a Storm,Bars,4330 E Lombard,,,Baltimore,MD,Tel. 732-5608. ,***,"Bars, Clubs, Coffeehouses",,,,,,1987
The Last Stop,Bars,616 Eutlaw St,,,Baltimore,MD,Weds-Sun. after hours.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
The 31st Street Bookshop,Feminist Bookstore,425 E 31st ,,,Baltimore,MD,Tel. 243-3131. Books/cards/gifts/records/-Open M- F 10:30am-6:30pm/ Sat. 10am-5pm/Sun. 12-noon-4pm. They sell GAIA'S GUIDE. Say 'hi' from GAIA. Local info center.,,,,,,,,1987
The Hippo,Bars,1 W Eager St,,,Baltimore,MD,Tel. 547-0069. Disco & video bar. [,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gampy's,Restaurants,904 N Charles St,,,Baltimore,MD,Open Sunday through Weds. 11:30am-3am. Sunday brunch 11:30-2pm. Probably your best bet for dining out in Baltimore.,*,Restaurants,,,,,,1987
The Gay Paper,Newspaper,PO Box 22575,,checked,Baltimore,MD,21203-Tel. 837-5445. The gay/lesbian newspaper of the Gay Community Center. Loads of local resources and info. $20.00 p.a.,,,,,,Lilly Smith,6/9/2024 1:06pm,1987
Sports/Outdoor Groups,Special Interest Groups,,,checked,Baltimore,MD,Tel. 8378888,,,,,,,,1987
The Drinkery,Bars/Restaurants,,,checked,Baltimore,MD,Park & Read Streets. Tel.669-9820. Open from 11am.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Tikki's ,Bars,616 W. Lexington,,,Baltimore,MD,Mon-Sat. till 1 am. ,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Tysons Place,Restaurants,,,checked,Baltimore,MD,located on Chase Street. Tel. 539-4850. Open daily for lunch 11am-4pm/ dinner 5:30-11 pm.,*,Restaurants,,,,,,1987
Gay Community Center,Centers,241 W Chase,,,Baltimore,MD,"Tel. 837-5445. Full service center with lots of women's groups, including rap group/health group. AA etc.",***(**),Center,,,,,,1987
Studio Restaurant,Restaurants,,,checked,Baltimore,MD,"located in the Gallery/ShipMate Bar, 1735 Maryland Avenue; Tel. 539-6965.",*,Restaurants,,,,,,1987
Suburban Maryland Lesbian/Gay Alliancce,,PO Box 30101,,checked,Bethesda,MD,write: SMLGA-P.O. Box 30101;20850-Tel.see The Gay Paper for current contact number. they have their own newsletter announcing coming events and local news. They meet in people's homes and welcome gay women. Say 'hi' from GAIA.,*,Organizations/Groups,,,,Lilly Smith,6/9/2024 1:06pm,1987
"Now, Voyager",Bar,139 N Mulberry St,,,Hagerstown,MD,Tel.739-7381,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Deer Park Lodge,Bar,,,checked,Hagerstown,MD,Take 1- 70 to Exit 32. Tel. 790-2760,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gay People of Laurel,,PO Box 25,,checked,Laurel,MD,20707. ,*,Organizations/Groups,,,,Lilly Smith,7/23/2024 3:38pm,1987
The Lesbian Rap Group of Montgomery,,,,checked,Montgomery County,MD,"Tel.294-0784 for details or see Southern Maryland Lesbian/ Gay Alliance News.
",**,Organizations/Groups,,,,,,1987
Elliot A. Brager,Attorney's,8627 Liberty Rd,,,Randallstown,MD,lower level; 21133-Tel.(301 )655-4755,,,,,,,,1987
Papa Joe's ,Bars,80 Water St,,,Augusta,ME,Tel. 623-4041,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Feminist Spiritual Community,Groups,,,checked,Portland,ME,"Tel.773-2294. Rituals in celebration of women's spirituality, also politically active. All women welcome. They meet at the FRIENDS MEETING HOUSE, route 302, Forest Avenue.",,,,,,,,1987
Uptown,Hairdressers,620 Congress St,,,Portland,ME,04101-Tel.772-4552,,,,,,,,1987
University of Southern Main Women's Forum,Groups,94 Bedford St. ,,,Portland,ME,(at Forest); 04103 Tel. 780-4083.Extremely active feminist group with a variety of politica and social activities. Their newsletter: HERIZONS-events calendar.,,,,,,,,1987
Entre Nous,Bars,117 Spring St,,,Portland,ME,"04102-recommended. Owned, operated and staffed by women.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
The Cafe,Restaurants,129 Spring St,,,Portland,ME,Tel.772-1374,,,,,,,,1987
The Underground,Bars,3 Spring St,,,Portland,ME,"04112; Mailing address: P.O. Box 463 DTS, Portland, ME;04112 Tel. 773-3315. Complete gay complex for women and men. Restaurant/disco/piano bar/pool tables/ women's entertainment and drag shows/patio + game room Recommended. Say 'hi' from GAIA.",**(**),"Bars, Clubs, Coffeehouses",,,,,,1987
Gay/Lesbian Alliance,Groups,92 Bedford St,,,Portland,ME,04103-University Student Union Building. Tel. 780-4085. Clearing house for info + counselling/ discussion groups/referrals/social activities.,*,Organizations/Groups,,,,,,1987
Anastasia Books,Alternative Bookstores,136 Commercial St,,,Portland,ME,"04101-Tel.773-0046. Women's studies, etc.",,,,,,,,1987
Our Books,Alternative Bookstores,4 Pine St,,,Portland,ME,"04102Tel. 773-5540. Local info. center, they sell OUR PAPER, local lesbian/gay monthly & GAIA'S GUIDE + lesbian books/women's studies/non-sexist children's books/bulletin board/ author's readings. Be sure and say 'hi' from GAIA.",,,,,,,,1987
Rose Mary Denman,Counseling and Therapy,,,checked,Portland,ME,Tel.879-0371. Lesbian/feminist counselor.,,,,,,,,1987
Our Paper,Publications,,,checked,Portland,ME,pick up a copy at OUR BOOKS. Includes: Lesbigay Network/calendar/meetings. Tel. (207)773-5540.,,,,,,,,1987
L'antibes,Restaurants,27 Forest Ave,,,Portland,ME,Tel. 772-8453,,,,,,,,1987
Cafe Always,Restaurants,47 Middle St,,,Portland,ME,Tel. 774-9399,,,,,,,,1987
The West Side,Restaurants,58 Pine St,,,Portland,ME,Tel. 773-8223. Open 8am-10pm. Sat. & Sun. brunch: 9am-2:30.,*,Restaurants,,,,,,1987
"Judith Lippa, MSW",Counseling and Therapy,142 High St,,,Portland,ME,"suite 423, 142 High Street; 04101-Tel.773-1235",,,,,,,,1987
Our Paper,Publications,PO Box 10744,checked,checked,Portland,ME,"Portland; 04101. Includes the directory ""Lesbian Network', which gives current details of all groups throughout Maine.local groups, health, parents, Alcoholics Anonymous. $12.00 p.a. & available al all the bookstores listed in GAIA'S GUIDE.",,,,,,Lilly Smith,6/9/2024 1:23pm,1987
Wisewoman Books,Feminist Bookstore,652 Forest Ave,,,Portland,ME,"Tel. 761-2053. Open daily 10am-6pm & Sun. 12noon-5pm.Full range of lesbian and feminist books, + magazines and newspapers, buttons, women's music, local concert tickets, handcrafts, cards and crystals. - - + author appear- ances, book fairs, occasional courses. They sell GAIA'S GUIDE. Be sure and say 'hi' from GAIA.",,,,,,,,1987
New Routes,Outdoor Trips,242 Dartmouth St,,,Portland,ME,04102- Year round outdoor trips for women,,,,,,,,1987
Backstreet,Bars,3 Spring St,,,Portland,ME,Tel. 772-9538. After-hours club. BYOB. -Opens 1am. Private club.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Greater Bangor N.O.W.,Groups,PO Box 8026,,checked,Bangor,ME,04401,,,,,,Lilly Smith,6/9/2024 1:06pm,1987
Bangor Area Gay-Lesbian Straight Coalition,Groups,PO Box 1805,,checked,Bangor,ME,"write: BAGLSC, PO Box 1805; 04401- Tel. 989-3306. ",,,,,,Lilly Smith,6/9/2024 1:06pm,1987
