title,type,address,unclear.address,city,state,statewide.address,description,stars,Star Type,Mentions Race?,Mentions Disability?,notes,Questions/Unsure Dr. R should check,year,Last Modified By,Last Modified
Jimmy January's,Bar/Restaurant,2135 Davie Blvd ,,Fort Lauderdale,FL,,Tel. 587-0938. ,*,,,,,,1985,,8/8/2024 8:42am
Athena ,Publications,PO Box 70152 ,checked,Fort Lauderdale,FL,checked,33339 Tel. 763-2967 Lesbian and feminist magazine published by Athena Publications Inc.,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Church of the Palms,Religious Groups,P.O. Box 2107,checked,Fort Myers,FL,,,,,,,,,1985,,8/8/2024 8:42am
Goering's Book Center,Bookstore, 1310 W. University Ave,,Fort Myers,FL,,Tel. 378-0363,,,,,,,1985,,8/8/2024 8:42am
University Federation of Lesbian and Gay Students,Groups,Box 33,checked,Gainesville,FL,,"Univ. of Florida at Gainesville. Tel. 392-1634. Gay women and men working together-about equal. Offering social and political activities, sports, info. & newsletter. They share an office and phone with N .OW. Lesbian Task Force",*,,,,,,1985,,8/8/2024 8:42am
Lesbian Feminist Group,Groups, 425 N.E. 10th Avenue,,Gainesville,FL,,"Tel. 373-7685. Social/political/info. Anti-nuclear consciousness-raising a la Greenham and Seneca local actions. 
",**,,,,,,1985,,8/8/2024 8:42am
Breakthrough Counselling Service,Health Center/Clinic/Counselling, 31 N Main Street.,,Gainesville,FL,,Tel. 377-0234. Counseling for women only. ,,,,,,,1985,,8/8/2024 8:42am
Gainesville Women's Health Center,Health Center,805 South West 4th Ave,,Gainesville,FL,,Tel. 377-5055 or 377-5551 ,,,,,,,1985,,8/8/2024 8:42am
Group for Gay Awareness ,Groups,,checked,Gainesville,FL,,"Tel. 373-GAYS. Very helpful with info/referrals/medical/bars, etc. They sponsor Tuesday night talks and twice monthly programs.",*,,,,,,1985,,8/8/2024 8:42am
Feminism Tarot Reading/Flash Silvermoon,Occult/Astrology,"Rt. 3, Box 3036, Melrose;32666. ",checked,Gainesville,FL,,Flash Silvermoon is an experienced and ethical psychic. General readings and specific questions on all matters. In person or by mail or phone. Discretion is assured as well as accuracy. Send $27.00 for tarot reading/$35.00 for astrological chart (include birthdate/time/place).,,,,,,,1985,,8/8/2024 8:42am
Melody Club,Bars,4130 North West 6th Street,,Gainesville,FL,,"Tel. 376-3772. Two bars, one for women and one for men. Female impersonation shows, open daily 5pm-2am-the main bar is open 8pm-2am & Sundays 4pm-11pm",***,,,,,,1985,,8/8/2024 8:42am
Spectrums,Bars,210 West 2nd Ave.,,Gainesville,FL,,"Tel. 373-0149 Two bars: one for gay women, one for gay men. Dance bar, highly recommended. ",**(**),,,,,,1985,,8/8/2024 8:42am
Top Flight Travel,Travel Agencies,5890 Stirling Rd. Suite 2,,Hollywood,FL,,Tel. 963-0940,,,,,,,1985,,8/8/2024 8:42am
The OP Club,Bars,640 Bay St. ,,Jacksonville,FL,,Tel. 353-5817,MGM**,,,,,,1985,,8/8/2024 8:42am
College Station,Bars,1187 Edgewood Ave,,Jacksonville,FL,,Tel. 389-9301. Open daily noon-2am. ,***,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,301 Druid St,,Jacksonville,FL,, Tel. 384-6004,,,,,,,1985,,8/8/2024 8:42am
Bo's Coral Reef,Bars,20th 5th Ave (Jacksonville Beach),,Jacksonville,FL,,Tel. 246-987 4. Clientele: all gay and 50% women.,**,,,,,,1985,,8/8/2024 8:42am
My Little Dude,Bars, 2952 Roosevelt and Willowbranch,,Jacksonville,FL,,"No phone. Located across from the Farmblest Dairy. Pool tables. Noisy, crowded, friendly.",****,,,,,,1985,,8/8/2024 8:42am
The Junction,Bars, 1261 King St.,,Jacksonville,FL,,No phone. Beer and wine bar/disco/pool tables.,**,,,,,,1985,,8/8/2024 8:42am
Sea Wench Times,Publications,"P.O. Box 1380; Big Pine Key, F",checked,Key West,FL,,Sample issue: $1.50. I haven't seen a copy yet-too new to review.,,,,,,,1985,,8/8/2024 8:42am
Claire,Bar/Restaurant,900-904 Duval St.,checked,Key West,FL,,"Tel. 296-5558. Home of 'Sisters at Sea' women only dance-8pm-closing, which is recommended as quite an experience. Juke box dancing, quiet area and patio. They serve nouvelle regional cooking in 3 separate dining areas-porch, garden and formal dining room. Open 7 days week-12noon 3am.",***,,,,,,1985,,8/8/2024 8:42am
The COPA,Bar/Restaurant, 623 Duval St.,,Key West,FL,,Tel. 296-8521. Huge disco within and old theater building. ,**,,,,,,1985,,8/8/2024 8:42am
Papillon,Swimming Pool/Bar, 510 South St.,,Key West,FL,,Tel. 294-2491. A very nice bar which uses Atlantic Shores,**,,,,,,1985,,8/8/2024 8:42am
Alexander's ,Hotels/Motels/Guesthouses,1118 Fleming (Old Town) ,,Key West,FL,,"Tel. 294-9919. 7 room guest house, 3 with private bath, 2 efficiencies. Swimming pool/continental breakfast, good sundeck.",,,,,,,1985,,8/8/2024 8:42am
Ellie's Nest ,Hotels/Motels/Guesthouses,1414 Newton St.,,Key West,FL,,"Tel. 296-5757. A guest house for women only. The surroundings are tropical and the people are friendly. The rates are reasonable and each room is named after a famous woman. Exotic swimming pool, patio and sundeck. Hot tub & TV in every room. Mostly lesbians, many overseas visitors, too. Doubles with bath: from $43.00-anyway, it's too damned frustrating sitting here in freezing cold London, looking at this green computer screen and thinking about ELLIE'S NEST, so I'll just go on to the next listing ….",,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,Box 4325;33041.,checked,Key West,FL,,Tel. 294-8912,*,,,,,,1985,,8/8/2024 8:42am
The Old Plantation ,Bar/Restaurant, 300 Southard,,Key West,FL,,"Tel. 294-4531. Live entertainment. 
",**,,,,,,1985,,8/8/2024 8:42am
The Queer Pie,Pier,Reynolds Street at ocean,checked,Key West,FL,,,,,,,,,1985,,8/8/2024 8:42am
1-Saloon,Bar/Restaurant,"Applerouth Lane, 524 Duval Street ",,Key West,FL,,Down the street from the COPA. Tel. 294-5797. Movies/food/leather and western-type people ,MGM**,,,,,,1985,,8/8/2024 8:42am
La Terraza De Marti,Hotels/Motels/Guesthouses,1125 Duval St.,,Key West,FL,,"(check local listings for telephone number). Has a charming, sparkling blue swimming pool with poolside bar. Sundeck upstairs. Peaceful atmosphere but rowdy tea-dances every Sunday 4pm-8pm. Extremely popular with gay women... but VERY EXPENSIVE.",,,,,,,1985,,8/8/2024 8:42am
Oasis Guest House,Hotels/Motels/Guesthouses,823 Fleming St,,Key West,FL,,"Tel. 296-2131. Luxury guest house, Pool, hot tub. Mostly gay men but women always welcome. ",*,,,,,,1985,,8/8/2024 8:42am
Spindrift Motel,Hotels/Motels/Guesthouses, 1212 Simonton St.,,Key West,FL,,"Tel. 296-3432. Beautiful resort motel owned and operated by lesbians since 1978. Attractive private rooms with full amenities, exquisite sun-drenched swimming pool (great for sun-tans) a new sandwich, wine and beer bar (open 12 hours daily) and much, much more... Ideal location: only one block to tea-dances, beach, bars, restaurants. Mention GAIA'S GUIDE for your 10% discount. (May to November). Be sure to say 'hi' to Helen and Nancy from GAIA and feel free to call there for a full color brochure and info on Key West. Many, many letters of recommendation each year. ",,,,,,,1985,,8/8/2024 8:42am
Curry House,Hotels/Motels/Guesthouses,806 Fleming St.,,Key West,FL,,"Tel. 294-6777 Mostly gay men, but women always welcome. Swimming pool, lounge area, tv, all rooms with air-conditioning and bahama celling fan. Double with private bath-in season-$45.00. Clientel: gay men and women-usually more men than women but a really charming, no-hassle place. Write for their brochure, It looks great. ",,,,,,,1985,,8/8/2024 8:42am
Coconut Grove,Guest House,817 Flemlng;33040,,Key West,FL,,"Tel. 296-5107. Panoramic roof-top sundecks, secluded wood-decked swimming pool, relaxed hospitality, tropical elegance. From $12.50 per night double occupancy. Gay women very welcome.",,,,,,,1985,,8/8/2024 8:42am
Fantasy Fest,Event,,checked,Key West,FL,,"Annual celebration that attracts more than 2,500 visitors to the island city for four days of celebrating over Halloween. It's Key West's version of Mardi Gras-only zanier.",,,,,,,1985,,8/8/2024 8:42am
Outright Books,Bookshop,"901-C, Duval Street;33040",,Key West,FL,,'Bringing you the best in gay and lesbian literature.' Send for catalogue. ,,,,,,,1985,,8/8/2024 8:42am
Colours,Guest House,410 Fleming St.,,Key West,FL,,"Tel. 294-6977. Situated right in the heart of Old Towne, this vlctorian mansion is now an ultra-luxurious guest house with swimming pool, tropical bar and entertainment lounge which overlooks the pool and gardens. Rooms and suites, airport pick-up. Very nice people-say 'hi' from GAIA.",,,,,,,1985,,8/8/2024 8:42am
Kathy's,Bars,23 South Dixie Highway,,Lake Worth,FL,,"Tel. 586-5564. Dancing and pool tables + other games. Women guest artists and community benefit nights. Snacks are served. 'built by women for women'. Private club, entrance at the back. Clientel: women only, but male guests are welcome with a woman member. ",****,,,,,,1985,,8/8/2024 8:42am
Saturday's ,Bars,4060 W New Haven Ave,,Melbourne ,FL,,"Tel. 724-1510. Disco/juke box and D.J., pool tables, benefits, food is served. It's a private club with guest membership. Friday is ladies' night with a $3.00 beer bust. Open 9pm-3am daily with live entertainment, Thurs., -Sat. -Say 'hi' from GAIA",**(**),,,,,,1985,,8/8/2024 8:42am
Gay Reception Activities Committee,Special Interest Groups,PO Box 1602,checked,Merritt Island,FL,,,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church ,Religious Groups,Box 3004,checked,Miami/Miami Beach,FL,,Tel. 894-108,*,,,,,,1985,,8/8/2024 8:42am
Switchboard of Miami,Switchboard ,,checked,Miami/Miami Beach,FL,,Administration telephone no: (305)358-1640/Crises line: 358-4357,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Synagogue (Etzchaim),Religious Groups,19094 West Dixie Highway ,,Miami/Miami Beach,FL,, Tel. 931-9318,,,,,,,1985,,8/8/2024 8:42am
The Purple Parrot ,Bars,2890 SW 27th Ave.(Miami),,Miami/Miami Beach,FL,,Video disco. $15.00 * annual membership or pay cover charge on weekends.,**,,,,,,1985,,8/8/2024 8:42am
Fusions,Bars,125 NW 1st Avenue; (Miami),,Miami/Miami Beach,FL,,Tel. 374-0337. Sunday is acknowledged lesbian time-bingo at midnight followed by a fabulous buffet.,**(**),,,,,,1985,,8/8/2024 8:42am
Hattie's ,Bars,3416 Main Highway; (Coconut Grove),,Miami/Miami Beach,FL,,Tel. 448-0171-beer and wine bar/stereo disco. live entertainment and happy hour. A few straights sometime but o.k.,**,,,,,,1985,,8/8/2024 8:42am
Pier,Bars, 1717 NW 17th Ave.(Miami),,Miami/Miami Beach,FL,,"No phone.
",**,,,,,,1985,,8/8/2024 8:42am
Sugar's ,Bars,13705 Biscayne Blvd; North Miami Beach,,Miami/Miami Beach,FL,,"Tel. 940-9887. Dj nightly, happy hour 3pm-8pm.",**,,,,,,1985,,8/8/2024 8:42am
Mixers,Bars,2490 SW 17th Ave.,,Miami/Miami Beach,FL,,"(Coconut Grove). Tel. 854-7262. Disco + cool, quiet fountain patio, umbrella tables and green plants. Open: Open Mon-Fri. 5pm-3am/Sat. & Sun noon-3pm (Sunday buffet 9pm).",****,,,,,,1985,,8/8/2024 8:42am
Uncle Charlie's ,Bars,"3673 Bird Avenue,",,Miami/Miami Beach,FL,,"Tel. (Miami) 442-8687. Women welcome, especially during the happy hour which is 3pm-9pm daily. Monday till 3am",**,,,,,,1985,,8/8/2024 8:42am
Karleman's,Bars,6822 Biscayne Blvd,,Miami/Miami Beach,FL,,(Miami). Tel. 756-9600.,**,,,,,,1985,,8/8/2024 8:42am
Cocoplum,Restaurants,3430 Main. (Coconut Grove),,Miami/Miami Beach,FL,,"Tel. 445-7439. Recommended as good and gay-casual attire, shorts, etc. The food is great and it's a good place to meet a friend for lunch during the week or just 'hanging out' on the weekend. Open 7am-5pm.",*,,,,,,1985,,8/8/2024 8:42am
Zum Alten Fritz,Bar/Restaurant,"1840,N.E. 4th Avenue;",,Miami/Miami Beach,FL,,"Tel. 374-7610. Authentic German home-cooking, 34 different beers from around the world. 4 German beers on tap. Cozy, homey atmosphere described in Germany as 'gemuetlich'. Beer garden outdoors in front of the restaurant. Open M-F 11am-10pm/Sat.· 5pm-10pm & Sun. closed. Very, very highly recommended, as being your best bet for dining out In a gay restaurant In the area. 'hi' from GAIA.",**,,,,,,1985,,8/8/2024 8:42am
Red Rooster,Bars,2404 N.E. 2nd Ave,,Miami/Miami Beach,FL,,(Miami) Tel. 573-9595.,MGM**,,,,,,1985,,8/8/2024 8:42am
Lambda Passages,Gay/Lesbian Bookstore,7545 Biscayne Blvd,,Miami/Miami Beach,FL,,"Tel. 754-6900. Lesbian and gay literature, cards, magazines, antiques, art and more ... Mon & Th. 11am-10pm/Fri. 11am-midnlght, Sunday 1pm-7pm. Free parking in the rear.",,,,,,,1985,,8/8/2024 8:42am
Grove Bookworm,Bookstore,3025 Fuller St.(Miami),,Miami/Miami Beach,FL,,Tel. 443-6411. Carries gay and feminist books. They sell GAIA'S GUIDE.,,,,,,,1985,,8/8/2024 8:42am
Women's Health Center Inc,Health Center/Clinic/Counselling,1240 East Hillcrest.,,Orlando,FL,,Tel. 423-0411,,,,,,,1985,,8/8/2024 8:42am
The Paper,Publications,PO. Box 8967,checked,Orlando,FL,,,,,,,,,1985,,10/11/2024 10:35pm
Gay Hotline,Services,,checked,Orlando,FL,,Tel. 843-4297 ,,,,,,,1985,,8/8/2024 8:42am
Southern Nights,Bars,375 South Bumby Ave,,Orlando,FL,,Tel. 898-0424. Disco/juke box/pool tables/games/quiet area and outdoor patio. Full liquor license. Open daily 2pm-2am.,MGM**,,,,,,1985,,8/8/2024 8:42am
Parliament House,Resort/Hotel ,410 North Orange Blossom Trail,,Orlando,FL,,Tel. 425-7571,,,,,,,1985,,8/8/2024 8:42am
La Royale,Bars,100 Harrison Ave.,,Panama City,FL,,Tel. 763-9110. Extremely popular bar/restaurant. Pool tables/dancing/outdoor patio. La Roya le Lounge is open from 1pm-4am.,**,,,,,,1985,,8/8/2024 8:42am
Fiesta Room Lounge,Show-Bars,100 Harrison Ave.,,Panama City,FL,,"Tel. 763-9476. Excellent shows featuring the best in gay entertainment and including lots of women entertainers. Open 8pm-4am &, together with LA ROYALE, comprising a complete gay complex. ",***,,,,,,1985,,8/8/2024 8:42am
Red Carpet,Bars,204 Old Cory Field Rd,,Pensacola ,FL,,Tel. 453-9918. Gay owned and operated-beer and wine only. Opens about 11am-1pm on Sundays. ,**,,,,,,1985,,8/8/2024 8:42am
Red Garter,Bars,500 South Palafox Street.,,Pensacola ,FL,,Tel. 433-9229. Show bar. ,MGM**,,,,,,1985,,8/8/2024 8:42am
Beaux Arts,Coffee House/Art Gallery ,"7711-60th St., North. ",,Pinellas Park,FL,,Tel. 544-7087 Established in 1911 and serves FREE coffee and tea; cold drinks at $.35. Art festivals/poetry reading/original song contests//movie and TV shows/plus women's entertainment and occasional drag shows. Outdoor patio. An established gay hangout. Open daily noon-5pm/+ Th. Sun. 7:30pm-1am. ,,,,,,,1985,,8/8/2024 8:42am
Women's Center,Women's Centers,2880 Ringling Blvd,,Sarasota,FL,,Tel. 366-1700,****(*),,,,,,1985,,8/8/2024 8:42am
Gay and Lesbian Alliance ,Groups,PO Box 15851;33579,checked,Sarasota,FL,,Tel.377-6343. 6pmmidnight every night. Hotline/referrals/(including bars/crises/medical aid/). They meet once a month at the Women's Center,*,,,,,,1985,,8/8/2024 8:42am
TJ's Upper Deck,Bar/Restaurant,1359 Main Street,,Sarasota,FL,,Tel. 366-4556. Clientel: 95% gay and quite a few women. small dance floor and quiet bar. Emphasis on the restaurant side. Happy hour.,**,,,,,,1985,,8/8/2024 8:42am
Stingers,Bars,101 Central Ave,,Sarasota,FL,,Tel. 366-5878,MGM**,,,,,,1985,,8/8/2024 8:42am
Impressions,Bars,"39, 14th Street, U.S. 41",,Sarasota,FL,,(Tel. no unlisted). New and popular. ,***,,,,,,1985,,8/8/2024 8:42am
The Bar,Bars,1300 27th St ,,Sarasota,FL,,(no phone),****,,,,,,1985,,10/11/2024 10:01pm
Pagoda - A Womyn's Space,Resort/Rental Cottages ,207 Coastal Highway,,St. Augustin's ,FL,,Tel. 824-2970. Right on the ocean-PAGODA is a unique complex of monthly cottage rentals and a lodge house with theater space/small wholefood store/short-term sleeping rooms/-shared neighborhood swimming pool/-extremely reasonable rates and NO PETS ALLOWED (which I think is great). Rave recommendations keep coming in about PAGODA year after year. ,,,,,,,1985,,8/8/2024 8:42am
The Stuffed Pepper,Publications,2612 Central Ave ,,St. Petersburg,FL,,"Tel. 327-8204. Pool tables, dancing, live entertainment and patio. Open daily 1pm-2am",**,,,,,,1985,,10/11/2024 10:36pm
The Club,Publications,1113 Central Ave,,St. Petersburg,FL,,Tel. 822-9872 ,,,,,,,1985,,8/8/2024 8:42am
Bay Area Express,Publications,Box 33731.,checked,St. Petersburg,FL,,Tel. 823-4230 ,,,,,,,1985,,8/8/2024 8:42am
Engine ROom,Publications, 1020 South Fourth St,,St. Petersburg,FL,,Tel. 894-8184. Dance bar.,MGM**,,,,,,1985,,8/8/2024 8:42am
The Lighted Tree,Guest House,109 8th Ave,,St. Petersburg,FL,,"Tel. 360-0373. Gay guest house of 3 rooms. $28.00 a day, single & $38.00 a day double. Recommended. ",,,,,,,1985,,10/11/2024 10:34pm
Club Park Avenue ,Bars,115 East Park,,Tallahassee,FL,,Tel. 599-9143. Dancing/pool tables/games-all gay operated and Thursday evenings is acknowledged lesbian time-although women are more than welcome here all the time,**(**),,,,,,1985,,8/8/2024 8:42am
Birds of  a Feather,Women's Music,"PO Box 6323,",checked,Tallahassee,FL,,"Tel. 872-3664. Distribution, promotion and production",,,,,,,1985,,8/8/2024 8:42am
Rubyfruit Books,Alternative Bookstore,666-4 W Tennessee St,,Tallahassee,FL,,"Tel. 222-2627. Lesbian/feminist and gay titles/non-sexist children's books/posters/gifts/records/women's music. Bulletin board/local info plus reading tables, author's discussion nights. They sell GAIA'S GUIDE. ",,,,,,,1985,,8/8/2024 8:42am
Everywoman's Coffee House,Coffeehouses,,checked,Tallahassee,FL,,"Performances by local musicians and poets every first Friday of the month (except in the summer)-where all women are welcome. It's free, and chemical/alcohol free space. For info contact RUBYFRUIT BOOKS - Tel. 222-2627. 
",****,,,,,,1985,,8/8/2024 8:42am
Birds of a Feather Production Company,Music Producers and Promoters, PO Box 6323 ,checked,Tallahassee,FL,checked,"Write PO Box 6323 Tallahassee. Florida; 32314 Tel. (912) 872-3664 (Georgia) Production company and SOUTHERN WOMEN'S MUSIC NETWORK, which does distribution for OLIVIA, PLEIADES records etc all over the south east.",,,,,,,1985,,8/8/2024 8:42am
Gay Hotline Inc,Switchboard ,,checked,Tampa,FL,, Tel. 229-8839,,,,,,,1985,,8/8/2024 8:42am
Papillon,Bars,3976 West Hillsborough Ave,,Tampa,FL,,,***,,,,,,1985,,8/8/2024 8:42am
Sahara ,Bars, 4700 Kennedy Blvd,,Tampa,FL,,Tel. 876-9510. Two bars/disco and game room,****,,,,,,1985,,8/8/2024 8:42am
Carousel ,Bars,1806 West Platt.,,Tampa,FL,,Tel. 254-3398,****,,,,,,1985,,8/8/2024 8:42am
Tampa Bay Business Ghild ,Business Association ,1521 S. Dale Mabry,,Tampa,FL,,Tel. 831-3663,,,,,,,1985,,8/8/2024 8:42am
Everywoman's Center,Women's Centers,4202 East Fowler Street.,,Tampa,FL,, Tel. 974-2654,****,,,,,,1985,,8/8/2024 8:42am
BJ's ,Bars,4427 West Kennedy Blvd.,,Tampa,FL,,Tel. 879-9459. Dance bar/pool tables/security guard on duty. ,***,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church ,Religious Groups,2904 Concord Ave,,Tampa,FL,,"Tel. 839-5939. Regular meeting place-social and outreach activities. AA and chemical dependency groups, newsletter 'THE CRUSADER. Sunday worship 7:30pm-Weds. dinner-7:30pm.",,,,,,,1985,,8/8/2024 8:42am
El Goya ,Bars, 1430 East 7th Ave.(Ybor City),,Tampa,FL,,Tel. 247-2711. Show bar and disco. ,**,,,,,,1985,,8/8/2024 8:42am
Fire House,Bars,North Shore Shopping Center,checked,Tampa,FL,,,MGM**,,,,,,1985,,8/8/2024 8:42am
Rene's Lounge ,Bars,2605 West Kennedy Blvd,,Tampa,FL,,Tel. 872-9631,MGM**,,,,,,1985,,8/8/2024 8:42am
Rumours,Bars, 4502 S. Dale Mabry,,Tampa,FL,,Tel. 831-3372,****,,,,,,1985,,8/8/2024 8:42am
The Old Plantation ,Bars,1725 West Kennedy Blvd,,Tampa,FL,,Tel. 251-5382,MGM**,,,,,,1985,,8/8/2024 8:42am
Baxter's ,Bars,714 South Dale Mabry,,Tampa,FL,, Tel. 879-1161,**,,,,,,1985,,8/8/2024 8:42am
The Gay Beach,Beach,Key Biscayne. ,checked,Virginia Beach ,FL,,Tel. 961-7540,,,,,,,1985,,8/8/2024 8:42am
Crane's Nest,Bars, 5004 South Dixie Highway.,,West Palm Beach,FL,," Tel. 582-9860. Dancing, pool tables, entertainment, and food. Open from 12 noon-3am. Recommended. ",***,,,,,,1985,,8/8/2024 8:42am
Kismet South,Bars,1412 Southern Blvd,,West Palm Beach,FL,,Tel. 683-6928,***,,,,,,1985,,8/8/2024 8:42am
Kevin's ,Bars, 6910 S. Dixie Highway,,West Palm Beach,FL,,Tel. 586-2330,*,,,,,,1985,,8/8/2024 8:42am
Rickey's Place,Bars,3240 S. Dixie Hwy,,West Palm Beach,FL,,Tel. 659-0395,***,,,,,,1985,,8/8/2024 8:42am
Sea Grape Motel,Motel/Apartments ,2618 Broadway,,West Palm Beach,FL,,"Tel. 833-4621. Apartment efficiences, mixed gay and straight clientel, congenial atmosphere, rooms with private baths and or kitchens, new phone system for business people, plus outdoor swimming pool, lit for evening swimming. Doubles from $34.00-say hi to Lyle from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
Changes,Publications,Box 1441 ;32789,checked,Winter Park,FL,,Quarterly newsletter for lesbians. $6.00-p.a.;$1.00 for sample copy.,,,,,,,1985,,8/8/2024 8:42am
Gay Hotline ,Services,,checked,Winter Park,FL,,Tel. 843-4297. Referrals/info/+ messages taken during the day for counselor to call back from 8pm-midnight. ,,,,,,,1985,,8/8/2024 8:42am
Cruise Magazine,Publications,P.O. Box 7750;30357-0750;,checked,,GA,checked,Monthly glossy gay and lesbian entertainment guide for the south-eastern states. On sale at most places listed in GAIA'S GUIDE or $18.00,,,,,,,1985,,8/8/2024 8:42am
Christopher'S Kind ,Feminist Bookstore,70 13th St. NE.,,Atlanta ,GA,,Tel. 873-KIND ,,,,,,,1985,,8/8/2024 8:42am
Atlanta Lesbian Feminist Alliance ,Organization and Services,P.O. Box 5502;30307,checked,Atlanta ,GA,,"Tel.523-7786. One of the best lesbian centers in the world. Full range of activities and services. Excellent newsletter with all local, etc. info.Socials by BOOGIEWOMEN. Say'hi' from GAIA.",****,Organizations,,,,,1985,,8/8/2024 8:42am
Sammie's,Bars,2345-1 Cheshire Bridge Road ,,Atlanta ,GA,, (at Lindbergh)Jel. 320-1219,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gallus ,Bars,"49 6th St, NE & Cypress St. ",,Atlanta ,GA,,892-8983,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Chairs Books & More,Feminist Bookstore,419 Moreland NE,,Atlanta ,GA,,"Feminist, lesbian, gay books and records. Couches for reading + a children's play loft. Women's art gallery, coffee, teas and referral service plus buttons, posters, jewlery, magazines. Poetry readings and women's music nights. They sell GAIA'S GUIDE. MAIL ORDER SERVICE, resource book for women with room-mate listings, etc, workshops, etc. ",,,,,,,1985,,8/8/2024 8:42am
Prince George Inn,Bars,114 6th St. ,,Atlanta ,GA,,Tel. 881-9299,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Metropolitan Community Of The Blessed Redeemer ,Religious Groups,800 North Highland Ave NE. ,,Atlanta ,GA,,Tel. 872-2246,,,,,,,1985,,8/8/2024 8:42am
The Sportspage,Bars,2069 Cheshire Bridge;,,Atlanta ,GA,,"Very large, the disco area
is great. It's smokey and attracts a young crowd.",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Atlanta Gay Center,Services,,checked,Atlanta ,GA,,Tel. 892-0661. (6pm-11pm),,,,,,,1985,,8/8/2024 8:42am
Crazy Ray's,Bars,1492 Piedmont Road ,,Atlanta ,GA,,"Tel. 873-4655. Show bar and restaurant serving breakfast, lunch, dinner, Sunday brunch. ",**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
San Jose ,Restaurants,1510-C Piedmont Avenue ,,Atlanta ,GA,, 872-9747 -mexican food,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Toolulah's,Bars,3041 Piedmont Rd NE. ,,Atlanta ,GA,, Tel. 262-9299. Small and crowded. ,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Dusty'S Barbeque ,Restaurants,1815 Briarcliff ,,Atlanta ,GA,,Tel. 320-6264,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Ansley Hall Bookstore ,Bookstore,1544 Piedmont Ave. ,,Atlanta ,GA,, Feminist and lesbian titles. They sell GAIA'S GUIDE. ,,,,,,,1985,,8/8/2024 8:42am
Pharr Library ,Bars,550 Pharr Road NE,,Atlanta ,GA,,"Tel. 262-2525. lots of happy hours. Dynasty
night. ",**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Mgm ,Show bars,"BACKSTREET, 845 Peachtree ",,Atlanta ,GA,,Tel. 873-1986.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Tower Lounge ,Bars,735 McGill ,,Atlanta ,GA,,Tel. 688-5463. An historic sight,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
August Lesbian/Gay Contacts ,Groups,P.O. Box 3411 ;30904,checked,Augusta ,GA,,"Tel. 860-1091.
They meet every Sunday, really nice people, mostly lesbians. Newsletter. Say'hi'
from GAIA.",*,Organizations,,,,,1985,,8/8/2024 8:42am
Take II,Bars,594 Damascus Road,,Augusta ,GA,,"Tel. 736-0136. They hold benefits for GLC, other
women's entertainment nights. Highly recommended. ",****,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Reflections,Bars,1632 Walton Way ,,Augusta ,GA,,Tel. 733-2603,MGM**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Curiosity Club,Bars,3-13th Street,checked,Columbus,GA,,Tel. 322-8682,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Fast Lane ,Bar/Restaurant,1321 New Savannah Road. ,,Macon,GA,,"Disco, shows and recommended.",***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Pegasus ,Bars,410 Cotton,checked,Macon,GA,,Tel. 742-1188,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Who's Who,Bars,217 Bay East Street ,,Savannah ,GA,,Tel. 232-9432,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Fountain ,Bars,221 East Bay Street ,,Savannah ,GA,,232-7301 ,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Friends ,Bars,102 East Board Street ,,Savannah ,GA,,Tel. 236 - 0688,***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Mr. B's,Bars,1702 East Park Avenue ,,Valdosta ,GA,,Tel. 242-9569,MGM**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Godmother,Bar/Restaurant,339 Saratoga Rd,,Honolulu,HI,,Italian restaurant and lounge ,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Woman'S World Bookstore,Feminist Bookstore,1820 University Ave.,,Honolulu,HI,,tel. 538-7061,,bookstore,,,,,1985,,8/8/2024 8:42am
