title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Cheekers,Bars,,1150 No. Federal Hiway,,Dania,FL,,***(?),"Bars, Clubs, Coffeehouses",,,,1979
Zodiac Lounge,Bars,,1654 S Ridgewood,,Daytona Beach,FL,"(South Daytona Beach). Tel. 767-4624. Open: 3pm-2am. ""We have the finest disco in this area, complete with a light show, wall panels and lighted floor. Two shows nitely. A new cruise bar and a large games room."" Also, pool table and pin ball. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Landmark,Bars,,615 Main St,,Daytona Beach,FL,Disco complex. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Inferno,Bars,,28 N Grand View,,Daytona Beach,FL,Tel. 258-9259. Big disco and after hour snacks. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Cobb's Corner,Restaurants,,1650 Ridgewood,,Daytona Beach,FL,Tel. (904) 761-9932. ,*,Restaurant,,,,1979
Nite Fall Motel,Motel,,640 S. Ridgewood,,Daytona Beach,FL,on US 1 Tel. (904) 252-4947. Mostly gay men. ,,,,,,1979
Poop Deck,Bars,,17 S Atlantic Blvd.,,Fort Lauderdale,FL,"Disco, mostly gay men. ",**,"Bars, Clubs, Coffeehouses",,,,1979
M.C.C.,Religious Groups,,1127 S.W. 2nd Court,,Fort Lauderdale,FL,33312. Tel. 462-2004. Publ. 'Sunburst'. ,,,,,,1979
The Odds'n'Ends,Bars,,3148 N.W. 12th Ave,,Fort Lauderdale,FL,(Oaklands Park). Tel. 564-9114. ,****,"Bars, Clubs, Coffeehouses",,,,1979
Lefty's,Bars,,710 N Federal Hiway,,Fort Lauderdale,FL,Tel. 761-9669.,**,"Bars, Clubs, Coffeehouses",,,,1979
The Grotto,Bars,,1914 E Oakland Park Blvd.,,Fort Lauderdale,FL,Tel. 564-9581. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Everglades,Bars,,1931 S Federal Hiway,,Fort Lauderdale,FL,Tel. 462-9165. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The Saloon,Bars,,219 1/2 S.W. 1st Ave,,Fort Lauderdale,FL,Tel. 467-2524.,**,"Bars, Clubs, Coffeehouses",,,,1979
Zelda's ,Bars,,4050 N.W. 9th Ave,,Fort Lauderdale,FL,Tel. 561-8988. Big disco open till 4am. Recommended. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Tunnel Bar,Bars,,545 S Federal Hiway,,Fort Lauderdale,FL,Tel. 761-9668.,**,"Bars, Clubs, Coffeehouses",,,,1979
The Copa,Showbars,,624 S.E. 28th ,,Fort Lauderdale,FL,at US 1. Tel. 463-1507 for reservations. Opens at 9pm. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Sandpiper,Restaurants,,2135 W Davie Blvd,,Fort Lauderdale,FL,Tel. 792-1750.,*,Restaurant,,,,1979
Tacky's,Showbars,,2509 W Broward Blvd,,Fort Lauderdale,FL,Tel. 587-9962. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Galt Riviera,Motel,,3811 N. Ocean Blvd.,,Fort Lauderdale,FL,Tel. (305) 566-8393. Swimming pool. ,MGM,Lodging,,,,1979
Blue Atlantic,Motel,,2901 Rio Mar St,,Fort Lauderdale,FL,Tel. 564-1523.,MGM,Lodging,,,,1979
Tony's Villa,Restaurants,,2468 Wilton Manor Rd,,Fort Lauderdale,FL,Tel. 563-1201. ,*,Restaurant,,,,1979
Marlin Beach,Motel,,17 S Atlantic Blvd,,Fort Lauderdale,FL,Tel. 467-6551. Motel and Bar.,MGM,Lodging,,,,1979
Bela Mar,Motel,,3801 N Ocean Blvd,,Fort Lauderdale,FL,Tel. 566-4376.,MGM,Lodging,,,,1979
M.C.C. ,Religious Groups,,PO Box 0532,checked,Fort Myers,FL,"of the Palms. Mail: PO Box 0532, Tice; 33905. Church: 4427 Palm Beach Blvd; 33905. Tel. (813) 694-2535. A good mixture of gay women and men. ",,,,,,1979
Roommates Unlimited,Roommate Service,,2378 W Oakland Park Blvd,,Fort Lauderdale,FL,Tel. 739-2812.,,,,,,1979
The Club,Bars,,1514 Jackson St,,Fort Myers,FL,"Tel. 332-1789. Open: 9pm-2am, weekends till 5am. Private club (BYOB). Show on Sundays. Gay women and men. ",**,"Bars, Clubs, Coffeehouses",,,,1979
"Lost Texans, Inc",Bookstores,,1661 Estero Blvd,,Fort Myers,FL,"Key Estero Island Shops, Fort Myers Beach; 33931. Tel. (813) 463-2474. ""General bookstore- a section devoted to ""Gay"" oriented books; operated a mail order business for gay men and lesbian readers, Send requests to be added to our mailing list or for special order. We sell Gaia's Guide.""",,,,,,1979
The Lobby,Bars,,231 Miracle Mile,,Fort Walton Beach,FL,(Hiway 98 near Fountain Square). Disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Melody Club,Bars,,4130 NW 6th St,,Gainesville,FL,Dance bar. Women's nites. Tel. 376-3772. May be closing.,**(**),"Bars, Clubs, Coffeehouses",,,,1979
Witch Hazel's ,Bars,,203 NW 6th St,,Gainesville,FL,Tel. (904) 247-9435,**,"Bars, Clubs, Coffeehouses",,,,1979
Womanstore,Feminist Bookstore,,12 NW 8th St,,Gainesville,FL,"32601. Tel. (904) 376-3456. Open: 10am-6pm, Mon-Sat. ""We Sell Gaia's Guide."" ",?,"Bars, Clubs, Coffeehouses",,,,1979
The Zoo,Bars,,203 NW 6th St,,Gainesville,FL,,**,"Bars, Clubs, Coffeehouses",,,,1979
Fat Lady's ,Bars,,813 SE 1st Ave,,Hallendale,FL,"(next to 'Keith's Cruise Room');33309. Tel. 454-3404. 75-85% gay women. Disco dancing, pool table. Highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,,1979
J.P.'s,Bars,,1795 okeechobee Rd,,Hialeah,FL,Tel. 888-9567. Shows. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Tops,Bars,,2025 Pembroke Rd,,Hallendale,FL,"Tel. 921-6563. (See also Hollywood, Florida).",****,"Bars, Clubs, Coffeehouses",,,,1979
Top's Lounge,Bars,,2025 Pembroke Rd,,Hollywood,FL,"Tel. 921-6563. Open: 7pm-6am, 7 days a week. ""This is south Florida's only 100% women's lounge. It is done in the finest decor and has the finest staff and customers around, Drinks are reasonable and the atmosphere in superb. ""Small snacks served after 11pm. Dancing, shows every other week, 2 pool tables, pinball and other games. Special parties on all major holidays. Private Club. Women only. Very, very highly recommended. Hallendale-Hollywood area. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Stonewall Library & Archives,Library/Archives/Research Facility,,PO Box 2084,checked,Hollywood,FL,"33020. Tel. (305) 922-2937. morning and evening. ""Building and maintaining the South's largest collection of books, publications, clippings, records, papers, etc., dealing with homosexuality, lesbian-feminism, gay liberation. Founded in August '73 and affiliated with the Broward County Coalition for Human Rights, Inc. Personal papers, poems, diaries, articles and research papers gratefully accepted. We also distribute literature and are involved in educational and political activism.""",,,,,,1979
Jacksonville Lambda Coalition,Group,,PO Box 52043,checked,Jacksonville,FL,"32201. '100% gay- we have always had a certain percentage of gay women, but would love to have more! No gay movement is complete without gay women."" Their publ: 'Lambda Speaks' -monthly. Florida news and semi magazine articles. Currently, the major Florida publication with over 1200 gay names on mailing list. The Group's activities range from social, religious (M.C.C. , and Universal Life Church of META), educational to political. ",*,Organizations,,,,1979
The Dudes,Bars,,Route 17,checked,Jacksonville,FL,"(at 2952 Roosevelt and Willow branch, across from Farmbest Diary). 90% gay women. Pool, pin ball. Noisy and crowded, friendly. Highly recommended.",***,"Bars, Clubs, Coffeehouses",,,,1979
Michael's ,Restaurants,,715 S 21st Ave,,Hollywood,FL,"(formerly Odds & Ends), Tel. 921-2644. ",*,Restaurant,,,,1979
Brothers,Bars,,484 May St,,Jacksonville,FL,"Disco, pool table. Has about 30% gay women. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Springfield,Bars,,1724 N Main St,,Jacksonville,FL,100% gay women. ,***,"Bars, Clubs, Coffeehouses",,,,1979
The Back Door,Bars,,6644 Arlington Rd,,Jacksonville,FL,Highly recommended.,***,"Bars, Clubs, Coffeehouses",,,,1979
Bo's Crow Bar,Bars,,504 N 1st St,,Jacksonville Beach,FL,"Tel. 249-9297. Open: noon-2am, seven days a week. ",***,"Bars, Clubs, Coffeehouses",,,,1979
The Affair,Restaurants,,900 Duval St,,Key West,FL,,*,Restaurant,,,,1979
Delmonico's ,Bars,,218 Duval St,,Key West,FL,,*,"Bars, Clubs, Coffeehouses",,,,1979
The Monster,Bars,,400 Front St,,Key West,FL,"33040. ""Fabulous indoor/outdoor bar. Four separate areas of incredible design."" Gay women most welcome.",**,"Bars, Clubs, Coffeehouses",,,,1979
Poor Richard's Buttery,Restaurants,,1200 Simanton,,Key West,FL,Tel. 294-0717.,*,Restaurant,,,,1979
The Rooftop Cafe,Restaurants,,300 Front St,,Key West,FL,Tel. 294-2042.,*,Restaurant,,,,1979
Curry House,Hotels,,806 Fleming St,,Key West,FL,Tel. 294-6777. ,,,,,,1979
Pines Guest House,Hotels,,521 United St,,Key West,FL,Tel. 296-9494.,,,,,,1979
Big Ruby's ,Hotels,,617 Whitehead St,,Key West,FL,Tel. 296-2323.,,,,,,1979
Key Lodge Motel,Motel,,Duval St & Truman,checked,Key West,FL,Duval Street and Truman (on US 1); 33040. Tel. (305) 296-9915. Mostly gay men.,,,,,,1979
The Green Parrot,Bars,,1028 E Main St,,Lakeland,FL,"Pool table, dance floor, food, drag shoes twice monthly. Recommended.",**,"Bars, Clubs, Coffeehouses",,,,1979
The Sly Fox,Bars,,Hiway 33,checked,Lakeland,FL,"(3 1/2 miles north of Lakeland Hills Blvd. on Lake Desson) 5224 State Road 33. Tel. (813) 682-9489. Private club and it might be just gay men, so ring up first. Disco and showbar. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Other End Lounge,Bars,,13143 Gulf Blvd.,,Medeira Beach,FL,Tel. (813) 393-9013.,**,"Bars, Clubs, Coffeehouses",,,,1979
Music Box Lounge,Bars,,628 Lakeland Ave,,Lake Worth,FL,Tel. 582-6331. Open: Mon-Sat. 10am-2am; Sun. 1pm-midnight. ,**,"Bars, Clubs, Coffeehouses",,,,1979
"""Alive"" ",Magazine,,7000 S.W. 62nd Ave,,miami,FL,"Suite A-213, 7000 S.W. 62nd Ave; 33143. Tel. (305) 666-2588. A glossy monthly with a lesbian literary side to it but graphically male-oriented and bar scene for ladies not that helpful. ",,,,,,1979
C.B.'s Bar,Bars,,,checked,miami,FL,Get address locally and report back!!,****,"Bars, Clubs, Coffeehouses",,,,1979
Sebastians ,Bars,,2490 S.W. 17th Ave,,miami,FL,"33145. Tel. (305) 854-9216. open: 4pm-3am. ""Dim lighting. Newly renovated with mirrored ceiling and disco lighting. Cool, quiet patio with fountain, umbrella tables and plants. Miami's finest ladies' lounge."" Recommended.",****,"Bars, Clubs, Coffeehouses",,,,1979
Buttons,Bars,,2998 N.W. North River Dr,,miami,FL,Tel. 638-1188. Open: 7pm-5am.,**,"Bars, Clubs, Coffeehouses",,,,1979
Little Al's,Bars,,323-23rd St,,miami,FL,Disco.,***,"Bars, Clubs, Coffeehouses",,,,1979
Pink Elephant,Bars,,13705 Biscayne Blvd,,miami,FL,Tel. 945-9465.,**,"Bars, Clubs, Coffeehouses",,,,1979
Hamlet's Hideaway,Showbars,,841 N.E. 1st Ave.,,miami,FL,tel. 358-3736 Saturday and Sunday are shownites. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Mayflower Back Room,Showbars,,1716 Alton Rd,,miami,FL,"(use rear entrance). Tel. 673-6345 for reservations. A women's showbar with the only glass dance floor in Miami. Recommended, but is it still open???",****?,"Bars, Clubs, Coffeehouses",,,,1979
Cactus Lounge,Bars,,2041 Biscayne Blvd,,miami,FL,Tel. 573-9536. Bar/Restaurant. ,**,"Bars, Clubs, Coffeehouses",,,,1979
"Double ""R"" Cafe",Restaurants,,1001 N.E. 2nd Ave,,miami,FL,Tel. (305) 374-2491. Open: 6pm-1am. ,*,Restaurant,,,,1979
Candlelight Club,Restaurants,,2869 S.W. 27th Ave.,,miami,FL,Tel. 444-4555.,*,Restaurant,,,,1979
8000 Club,Restaurants,,8000 Biscayne Blvd,,miami,FL,"33138. Tel. 751-0831. Bar and restaurant, dancing, entertainment. ",MGM,Restaurant,,,,1979
8000 Resort Hotel/Club,Hotel,,8000 Biscayne Blvd,,miami,FL,"33138. tel. 751-0831. Bar and restaurant, dancing, entertainment. ",MGM,Lodging,,,,1979
Pin-Up,Bars,,2228 Park Ave,,Miami Beach,FL,Tel. 673-9890. Mostly gay men.,**,"Bars, Clubs, Coffeehouses",,,,1979
Nite Owl/ Pin-Up & Middle Room,Bars,,2228 Park Ave,,Miami Beach,FL,2228-2243 Park Ave (3 bars under one roof)-222-2234 Park Avenue; 33139 All bars open 1pm-5am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Miss Kay's Lounge,Bars,,1137 Washington Ave,,Miami Beach,FL,"Tel. 532-1082. Recommended, but is it still open???",****,"Bars, Clubs, Coffeehouses",,,,1979
Nite Owl,Bars,,2234 Park Ave,,Miami Beach,FL,Tel. 673-9864. Some straights amongst mixed gay clientele. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Basin Street,Bars,,1610 Alton Rd,,Miami Beach,FL,Tel. 672-9528. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Middle Room,Bars,,2232 Park Ave,,Miami Beach,FL,"tel. 673-9864. mixed gay men and women. This has a bar and game room, with pin ball and tow pool table. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Windward,Resort/Dsico,,16051 Collins Ave,,Miami Beach,FL,"Tel. 947-5674. Resort, swimming, disco. the motel is mainly gay men. ",**(**),Lodging,,,,1979
The Crow Bar,Bars,,,checked,Neptune Beach,FL,Ask locally.,**,"Bars, Clubs, Coffeehouses",,,,1979
Odds and Ends Club/End Zone Disco,Bars,,4910 Edgewater Dr,,Orlando,FL,"32810. Tel. (305) 293-9733. open: Mon-Thurs. & Sun. 11am-2am; Fri & Sat. 11am-4am (BYOB after 2am). Cover Charge: $1.00 at weekends ($2.00 after 2am). Female impersonator shows at 10:30pm on Tues., Wed., Fri., Sat. & Sun. ""A small neighborhood bar with two sections (cruise room and disco room). Sandwiches served. Pool table, pin ball, disco. ",**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
Palace Club,Bars,,1000 Humphries,,Orlando,FL,Tel. 894-9293. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Parliament House,Bars,,410 N. Orange Blossom Trail,,Orlando,FL,"Tel. 425-7571. Disco, three bars, motor inn accommodation, showbar, restaurant, 50/50 gay men and women. Very highly recommended. Restaurant also. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Quiet Village,Bars,,3107 E Cervantes,,Pensacola,FL,Tel. 432-3894.,**,"Bars, Clubs, Coffeehouses",,,,1979
Aquarius,Bars,,6120 Lillian Hiway,,Pensacola,FL,,****,"Bars, Clubs, Coffeehouses",,,,1979
The Connection,Bars,,1120 S. Orange Ave,,Orlando,FL,,**,"Bars, Clubs, Coffeehouses",,,,1979
Fiesta Room,Bars,,110 Harrison Ave ,,Panama City,FL,Tel. (904) 763-9476. Dancing.,**,"Bars, Clubs, Coffeehouses",,,,1979
Red Garter,Showbars,,327 S. Polafox St,,Pensacola,FL,Tel. (904) 433-9229. Open: 8pm-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Mother's,Bars,,145 W Marion,,Punta Gorda,FL,Tel. 639-3257.,**,"Bars, Clubs, Coffeehouses",,,,1979
Sarasota-Lesbian-Contact,Groups,,PO Box 15621,checked,Sarasota,FL,"Tel. (813) 921-1683. almost anytime. Write: S.L.C., PO Box 15621; 33579. ""I am offering a lesbian contact service, from a special private phone. Contact me for info. about whatever is available for lesbians, i.e. meetings, M.C.C services and activities, DOB meetings and activities, gay bars and directions around town if needed.""",**,Organizations,,,,1979
Ruthie's Golden Garter,Bars,,702 S.W. McNabe Rd,,Pompano Beach,FL,Recommended.,***,"Bars, Clubs, Coffeehouses",,,,1979
The Stingers,Bars,,Ringling Blvd,,Sarasota,FL,"(downtown, near the stadium) Bar and restaurant. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Ryan's Someplace Else South,Bars,,3140 N Tamiami,,Sarasota,FL,(at 32nd Street) Recommended. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Daughters of Bilitis,Groups,,PO Box 15621,checked,Sarasota,FL,"33579. ""We hold one meeting a month and our social activities include weekend camping trips, deep-sea fishing and beach cookouts. 100% gay women.""",**,Organizations,,,,1979
Pagoda Cottages & Cultural Center,Resort,,207 Coastal Hiway,,St. Augustine,FL,"32084. Tel. (904) 824-2970. ""We have eight oceanside cottages and a duplex, plus a large community house which includes a small women's theatre, dance studio, library, and natural foods and women's craft store. We also have a pool and sailboats and the local St. Augustin community is famous for its excellent seafood and restoration area.""",,,,,,1979
Marilyn's Closet,Bars,,8302 N 4th St,,St. Petersburg,FL,,***,"Bars, Clubs, Coffeehouses",,,,1979
Kitty's Bar,Bars,,1020 South 4th St,,St. Petersburg,FL,Dancing. Recommended. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Wedgewood Inn & Motel,Resort,,445 S. 18th Ave,,St. Petersburg,FL,445-18th Ave S. & 4th St Tel. 823-7600. Also has a Disco and Restaurant. Very highly recommended. ,**,Lodging,,,,1979
Fox Trot,Bars,,1320 Jackson Bluff Blvd.,,Tallahassee,FL,"tel. (904) 576-9117. Open: Fri & Sat only, 1am-6am. ",(***),"Bars, Clubs, Coffeehouses",,,,1979
Co-op Books and Records,Bookstores,,PO Box 2436,checked,Tallahassee,FL,"Location: PO Box 2436; 32304. Mailing: 648-652 W. Tennessee St; 32304. Tel. 222-6677. ""We are a progressive/alternative bookstore that has been in existence for 8 years now. We have a large selection of feminist, gay, left, black, literature. We also carry fiction, poetry, alternative technology, health, herb and dope books. We also carry women's albums in the second store, including Olivia and other labels. We are a good resource center in the community. We sell Gaia'a Guide."" The manageress is a lesbian-feminist.",,,checked,,,1979
21st Century Fox,Bars,,506 S Woodward,,Tallahassee,FL,"Tel. (904) 599-9728. Open 7 days a week. 30% gay women. Big disco, pus pool room. Young crowd. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Panhandle Mining Co. ,Bars,,1363 E Lafayette St,,Tallahassee,FL,,**,"Bars, Clubs, Coffeehouses",,,,1979
The Carousel Disco,Bars,,1806 W Platt,,Tampa,FL,"Tel. (813) 251-9887. Dancing, pool table, weekend shows. Friendly people.",****,"Bars, Clubs, Coffeehouses",,,,1979
The Women's Center,Bars,,1208 W Platt St,,Tampa,FL,"33606. Tel. (813) 251-4089. Coffeehouse, bookstore, clinic. ",****(*),Organizations,,,,1979
Cucujo's,Bars,,1725 W Kennedy Blvd.,,Tampa,FL,Tel. (813) 25-9453. Dancing. Recommended. ,****,"Bars, Clubs, Coffeehouses",,,,1979
El Goya,Bars,,1430 E 7th Ave,,Tampa,FL,(Ybor City.) Tel. (813) 247-9435. Mixed disco. Recommended.,**,"Bars, Clubs, Coffeehouses",,,,1979
R.J.'s Rendezvous,Bars,,1732 E 7th Ave,,Tampa,FL,Tel. 247-1737. Bar/restaurant. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Ohio Bar,Bars,,202 Polk ,,Tampa,FL,(at Tampa),***,"Bars, Clubs, Coffeehouses",,,,1979
Rene's Lounge,Bars,,2605 W Kennedy Blvd.,,Tampa,FL,"Tel. (813) 872-9631. Outdoor swimming pool, barbecue and tea dances. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Ki Ki Ki Saloon,Bars,,909 N. Tampa,,Tampa,FL,Bar/Restaurant.,**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
(Susie's) Bridge Club,Bars,,5519 1/2 W Hillsboro Ave,,Tampa,FL,(BYOB),**,"Bars, Clubs, Coffeehouses",,,,1979
Denny's ,Restaurants,,102 Parker St,,Tampa,FL,"Tel. 258-6411. ""Mostly gay clientele at night"". ",*,Restaurant,,,,1979
Man's Country,Bars,,508 25th St,,West Palm Beach,FL,Tel. 832-9118.,**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
The Feminist Connection ,Bookstores,,1208 W Platt St,,Tampa,FL,Tel. (813) 251-4089. Bookstore and women's center. ,,,,,,1979
The Tap Room,Bars,,3625 S Dixie Hiway,,West Palm Beach,FL,(US 1); 33405. Tel. 832-9282 (Buzzer system on door after 8pm). Open: Mon.-Sat. noon-2am(?); Sunday 2pm-2am. Pool table. ,***,"Bars, Clubs, Coffeehouses",,,,1979
The Citadel,Bars,,5900 Broadway,,West Palm Beach,FL,Tel. 842-7032.,**,"Bars, Clubs, Coffeehouses",,,,1979
The Outer Limits ,Bars,,1930 E 7th Ave,,Ybor City,FL,"Tel. (813) 247-9754. Opens at 4pm. Game room, large disco. ",**,"Bars, Clubs, Coffeehouses",,,,1979
El Goya,Bars,,1430 E 7th Ave,,Ybor City,FL,"(at 14th St) Tel. (813) 247-9435. ""Built in the 1890's... became a gay bar in the summer of '76."" The entrance is through a door on 14th Street. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Womansword,Publications,,PO Box 2301,checked,Athens,GA,"Georgia University Station, Po Box 2301; 30602. The publication of the lesbian/feminists of Athens. ",,,,,,1979
Cruise,Publications,,PO Box 11987,checked,Atlanta,GA,"30355. Tel. (404) 231-1057. Monthly. $15.00 per year. $2.00 per copy. ""Cruise is a monthly magazine of travel and entertainment for gay men and women, providing an up-to-date guide to bars and restaurants."" Male-orientated, but quite useful- at least it gives some hints as to where the ladies go (which is a tremendous improvement over other gay men's publications and guides).",,,,,,1979
Atlanta Lesbian Feminist Alliance (ALFA),Organization/Center,,PO Box 5502,checked,Atlanta,GA,"30307. Center: ALFA House, 1326 McLendon Ave (N.E.?); 30307. Tel. (404) 523-7786, Switchboard. Library, karate and self-defense, poetry workshop and softball team. Coffeehouse nights. Their publ: 'Atlanta'. $6.00 per year membership fee includes newsletter. ""ALFA is open to all lesbians. Women-involved work on social, political, educational cultural and recreational activities. Mostly, ALFA allows lesbians to meet and get together with other lesbians who share her interests. We do not exclude anyone on basis of race, religion, politics, economic status, occupation or degree of openness.""",*****,Organizations,checked,,,1979
Ms. Garbo,Bars,,2206 Cheshire Bridge Rd,,Atlanta,GA,N.E. (behind Baby Products Warehouse). Tel. (404) 321-0054 and 634-9145.,****,"Bars, Clubs, Coffeehouses",,,,1979
Atalanta,Publications,,PO Box 5502,checked,Atlanta,GA,"(The Atlantic Lesbian Feminist Alliance Newsletter). Mail: P.O. Box 5502; 30307. Tel. (404) 523-7786. $3.50 per year. ""Atalanta, a Greek woman from Arkadia, was custom with female children throughout history."" The newsletter covers local lesbian news and reviews, events calendar. their regular column, 'Lesbian Region' is a power house of information about the lesbian/feminist scene in the South.",,,,,,1979
The Tower,Bars,,735 Forrest Rd,,Atlanta,GA,N.E. Tel. 525-9393,****,"Bars, Clubs, Coffeehouses",,,,1979
Starlite Lounge,Bars,,715 Ponce de Leon,,Atlanta,GA,"Tel. 881-9308. Open: Mon-Thurs. 2pm-2am/later; Fri. 2pm-4am; Sat. noon-3am. Dancing, pool table, pin ball. Recommended.",***,"Bars, Clubs, Coffeehouses",,,,1979
Our Place,Bars,,2065 Cheshire Bridge Rd,,Atlanta,GA,(across from McKennon's Restaurant). Recommended. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Shelly's Place,Bars,,N Peachtree,checked,Atlanta,GA,"(just after Peachtree crosses Hiway 85). Highly recommended restaurant and lounge. About 30% gay women. ""Sort of elegant, but jeans are OK.""",**,"Bars, Clubs, Coffeehouses",,,,1979
Sweet Gum Head,Showbars,,2284 NE Cheshire Bridge Rd,,Atlanta,GA,(behind Tiger Auto Parts). A good mixture of gay women and men. Tel. 634-2922.,***,"Bars, Clubs, Coffeehouses",,,,1979
Back Street,Bars,,845 NE Peachtree ,,Atlanta,GA,"(near 6th and Juniper). ""Super Disco in several bars.""",**,"Bars, Clubs, Coffeehouses",,,,1979
The Onyx,Showbars,,341 W Peachtree,,Atlanta,GA,Tel. (404) 523-9105.,**,"Bars, Clubs, Coffeehouses",,,,1979
Jim's Grill,Restaurants,,591 Peachtree St,,Atlanta,GA,Tel. 876-2749. Open 24 hours.,*,Restaurant,,,,1979
Magic Garden,Showbars,,1888 B Cheshire Bridge Rd,,Atlanta,GA,Tel. 875-0119. Pool tables under the trees.,**,"Bars, Clubs, Coffeehouses",,,,1979
Gene & Gabe's,Restaurants,,1578 Piedmont Ave,,Atlanta,GA,N.E. Tel. 876-9426. Piano Bar. Northern Italian cooking. Gay-owned and highly recommended. About $10.00 each. ,,,,,,1979
Gallus,Restaurants,,6th and Cypress St,checked,Atlanta,GA,Restaurant and bar. Sunday nites are recommended. ,*,Restaurant,,,,1979
Cheshire Kat,Restaurants,,1943 Cheshire Bridge Rs,,Atlanta,GA,Open 24 hours.,*,Restaurant,,,,1979
Charis Books,Bookstores,,419 Moreland,,Atlanta,GA,Feminist books and records.,,,,,,1979
Cruise Weekly,Bar Guide,,PO Box 11987,checked,Atlanta,GA,"Tel. (404) 231-1057, 10am-6pm any weekday. ""A complimentary Gay entertainment guide to Atlanta."" Check with them for current details.",,,,,,1979
Ray's Way Date Games,Dating Service,,PO Box 77004,checked,Atlanta,GA,"111GG, PO Box 77004; 30357. Tel. (404) 351-6904. Atlanta-based, but out-of-state members are welcome. ""We welcome listings from gay people and our matches are achieved by considering personal as well as geographical preferences.""",,,,,,1979
We Three Lounge,Bars,,434 Cotton Ave,,Macon,GA,"Tel. 746-9193. Disco, live bands.",***,"Bars, Clubs, Coffeehouses",,,,1979
Peacock Lounge-bar,Bars,,1321 new Savannah Rd,,Augusta,GA,"30904. Tel. 724-9262. Private Club. Open: Mon-Fri. 8pm-2:30am; Sat. 8.00pm-1.45am. ""We serve beer and set-ups. Bring your own bottle. Women welcome."" Food served. Dancing, entertainment, pool table and other games. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Bottoms Up Lounge,Bars,,1407 1st Ave,,Columbus,GA,1407 1st Ave. Open: Mon-Sat. 7pm-2am; closed Sundays. Gay women and men plus a few straights. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Dr. Feelgood's ,Showbars,,9 Drayton St,,Savannah,GA,"Tel. (912) 234-9696. Open: 7pm-3am except Sundays. ""Good disco, good bar. Drag shows on Saturday nites. A greta place. ""Gay men and women.",**,"Bars, Clubs, Coffeehouses",,,,1979
The Basement,Bars,,344 Bull,,Savannah,GA,Tel. (912) 234-9148. Conflicting reports. ,**,"Bars, Clubs, Coffeehouses",,,,1979
J.J.'s Lounge,Bars,,410 Cotton Ave,,Macon,GA,"(formerly The Red Fox), 410 Cotton Avenue. Tel. (912) 742-9661. Open: Mon-Fri. noon-2am; Sat. noon-1am; closed Sundays. Woman-owned. ""Tri-sexual; try anything that has to do with sex! We are a people's bar for all nice people. Country cooking-short order. We're new and friendly.""",*,"Bars, Clubs, Coffeehouses",,,,1979
The Paper,Publications,,PO Box 8429,checked,Honolulu,HI,"96815. Tel. (808) 941-2029. $10.00 per 13 issues (Hawaii residents add .40 cents) News, politics, personalities, and an ongoing photo essay covering the major islands. Includes a page called ""Women""
 and a regular column called ""I Am Woman"".",,,,,,1979
Sexual Identity Center,Organization and Service,,2457 Kaneali Ave,,Honolulu,HI,"Tel. 521-4551, 24-hour Switchboard. Gay women's group; has weekly meetings. ",***(**),Organizations,,,,1979
N.O.W. Lesbian Task Force ,Organization and Service,,,checked,Honolulu,HI,Meets third Wednesday of the month at Richard Street YMCA- but check with local sources to be certain. ,,,,,,1979
Ferity,Publications,,1820 University Ave,,Honolulu,HI,96822. $2.00 per year. Feminist journal. Linked to N.O.W. Lesbian Task Force of Honolulu. ,,,,,,1979
