title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Stage Door,Bars,44 N Jefferson St,,,Dayton,OH,Tel. 223-7418. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Frannie's,Bars,45 Savannah Highway,,,Charlestown,RI,Tel. 763-2910. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Kelly's Village,Bars,46 Bedford St,,,New York City,NY,"Tel. 929-9322. WOMAN-OWNED and 50% lesbian, usually. Sundays are great. ",*,"Bars, Clubs, Coffeehouses",,,,1991
The Women's Centre,Women's Centres,46 Pleasant St,,,Cambridge,MA,(at Cottage Street) Cambridge 02139; Tel. 354-8807. ,,,,,,1991
Cafe Always ,Restaurants,47 Middle St,,,Portland,ME,Tel. 774-9399. ,,,,,,1991
Blanche,Bars,47- 2 Boundary Ave,,,New York City,NY,"Sth, Farmingdale; Tel. (516) 694-6906. ",**,"Bars, Clubs, Coffeehouses",,,,1991
The Plaza Coffee Shop,Coffee-Bars & Cafes,47th ,,checked,Kansas City,MO,47th & Broadway; Open 24 hours. ,,,,,,1991
Gallus,Bar/Restaurant,49 6th St,,,Atlanta,GA,"30308; Tel. 892-8983. A real old-timer, very gay and not to be missed when visiting Atlanta. ",*,Bar / Restaurants,,,,1991
Metropolitan Community Church of Hartford,Religious Groups,50 Bloomfield Ave,,,Hartford,CT,"church address: 50 Bloomfield Avenue, 06105- Mail to: PO Box 514, 06101; Tel. 236-8444. Lesbian/Gay oriented group- the minister is a lesbian ... say 'hi' to the Reverend Patricia Leffler from GAIA. ",,,,,,1991
Fifty Folly Place,Guest Houses,50 Folly Rd,,,Charlestown,RI,Tel. 571-4171. Bed & breakfast for GAY women & men. ,,,,,,1991
Rah Rah's ,Bars,51 S Day St,,,Orange,NJ,"Tel. (201) 676-1399. Snax sandwiches, dancing. Open: Tuesday-Friday, 11am-2am/Saturday-Monday, 4pm-2am. ",MGM**,"Bars, Clubs, Coffeehouses",,,,1991
Vida K. Berkowitz,Attorneys,52 Western Ave,,,Cambridge,MA,02139; Tel. (617) 876-7099. 'In practice since 1975'. ,,,,,,1991
"""Sister's Bar""",Bars,53 Walker St,,,Lennox,MA,Tel. 637-1555. ,***,"Bars, Clubs, Coffeehouses",,,,1991
Bay Area Career Women,Lesbian Social Club,55 New Montgomery St,,,San Francisco,CA,"94105 (suite 606); Tel. 495-5393. Social events, seminars, dinners and dances. A great group- write for their newsletter. ",,,,,,1991
Venture Inn,Bars,55 S Camac St,,,Philadelphia,PA,"Tel. 545-8731. Usually more gay men than women, but still o.k. This is OLDEST gay bar in the U.S.! Great food, it's extremely fresh and extremely cheap. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Lost & Found ,Bars & Bar/Restaurants,56 L St SE,,,Washington,DC,"Tel. 488-1200. During the week it's a gay men's bar, but Sunday afternoon tea dances are crazy and recommended. ",MGM**,Bar / Restaurants,,,,1991
Visions,Bars,56-01 Queen's Blvd,,,New York City,NY,(Woodside); Tel. 899-9031. NOTE: Friday Night Women's Party; Tel. (718) 846-7131/Info. ,,,,,,1991
The West Side,Restaurants,58 Pine St,,,Portland,ME,"Tel. 773-8223. Open: 7am-10pm, Monday-Friday/9am-10pm Weekends. Saturday & Sunday brunch: 9am-2:30. ",*,"Bars, Clubs, Coffeehouses",,,,1991
The Women's One World Cafe/Theater/Gallery (WOW),Women's Theater Space,59 E 4th St,,,New York City,NY,"Tel. (212) 460-8067. Women's entertainment company as you've never seen it before- see: WOMANNEWS, etc, for current schedule. Gallery hours: Friday & Saturday, 7-10pm/Sundays, 1-4pm 
(Admission by donation). If the door is locked, shout 'WOW' at the fourth floor window, if Lois Weaver shouts back, you shout 'HI FROM GAIA'- and then report back. (If she doesn't remember me, it's o.k. - I probably wouldn't recognize her with her clothes on, anyway). ",****,Centers,,,,1991
Murphy's ,Bars,59 Edison Place,,,Newark,NJ,"07102; Tel. 622-9176. Show bar, opens about 8pm.",**,"Bars, Clubs, Coffeehouses",,,,1991
O'Henry's,Bars,59 Haywood St,,,Asheville,NC,Tel. 254-1891. Bar/restaurant. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Seabird Inn,Bed & Breakfast,60 Bay Ave,,,Highlands,NJ,"PO Box 395, 60 Bay Avenue, Highlands, NJ, 07732. just a 45 minute ferry ride from NYC- ""A charming victorian Inn, open year round, overlooking the ocean & Gateway National (Sandy Hook) State Park. Cosy rooms, a delightful breakfast & a caring ambiance with professional swedish message available upon request'. Say 'hi' to Phil & Jac from GAIA. ",,,,,,1991
World Eye Bookshop,Vacations,60 Federal St,,,Gloucester,MA,"01301, (at Osgood); Tel. 772-0844. Lesbian, gay section, women's studies, posters and buttons, bulletin board. GAIA'S GUIDE on sale. Open: Monday-Saturday 9-6pm. A good place to get local info. They sell SOJOURNER, say 'hi' from GAIA...",,,,,,1991
Fantasy's ,Bar/Restaurant,60 Newbury Park,,,Ipswich,MA,"(Old Route One); Tel. 356-7066. The north shore's gay men/women's bar & disco has, they say, New England's most exciting light show plus scheduled live entertainment and a quiet restaurant featuring gourmet foods. Open: Wednesday-Sunday, 8:30pm-midnight. Plenty of secure parking. ",**,Bar / Restaurants,,,,1991
Kiss,Bars,61 Farmardie Dr,,,New York City,NY,"Lake Ronkinkoma; Tel. (516) 467-9273. A gay/lesbian bar with a bowling alley! Bowling alley number: (516) 467-9823. Shows, disco, etc. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Malaprop's ,Alternative Bookstore/Cafe/Local Info.,61 Haywood St,,,Asheville,NC,"28801; Tel. 254-6734. Lesbian titles/women's studies/music/T-shirts/posters/non-sexist children's books & GAIA'S GUIDE. They have a café: MAIL ORDER SERVICE; bulletin board; ticket sales and feature local information. Pick up you copy of THE FRONT PAGE, there. They sell GAIA'S GUIDE- say 'hi' from GAIA. ",,,,,,1991
Gay Community News,Publications,62 Berkeley St,checked,,Boston,MA,"02116; Tel. (617) 426-4469. ""Serving the Lesbian & Gay Community weekly for the last 17 years!"" Well balanced, non-sexist all gay/lesbian newspaper. National in scope, but full of local resource info. Pick up a copy at most locations mentioned in GAIA'S GUIDE. 25 weeks: $20.00 also sliding scale. ",,,,,,1991
Gay Community News (GCN),Publications,62 Berkeley St,,,Boston,MA,02116; Tel. (617) 426-4469. New England resource list covering information services/political groups/religious groups/media/medical & counseling resources. Special section for lesbian resources/weekly events calendar & Boston area bar & businesses guide. AA Groups & legal aid services. ,,,,,,1991
Triangle Theatre,Gay Theatre,62 Berkely St,,,Boston,MA,"Lesbian & Gay Theatre, both classic & new works. High Quality productions. ",,,,,,1991
Atlanta Gay Center,Gay/Lesbian Center,63 12th St,,,Atlanta,GA,"30309; Tel. 876-5372. open: 12 noon-9pm, Monday-Friday & noon-6pm Saturday. Closed Sundays. ACCESS for the deaf and for terminals. ",***(**),Centers,,,,1991
Chester Street,Bars,63 Chester,,,Champaign ,IL,Tel. 356-5607. ,,,,,,1991
New Spirit Metropolitan Community Church,Religious Groups,65 Hollister St,,,Cincinnati,OH,Tel. 241-8216. ,,,,,,1991
Fan The Flames Feminist Book Store,Feminist Bookstore,65 S 4th St,,,Columbus,OH,"43215 (located in the YWCA- at East Broad St); Tel. 228-0565. Well stocked with lots of lesbian and feminist titles, periodicals, posters, buttons and a newsletter of their own which announces all special events. they stocl COLUMBUS FREE PRESS and offer an extremely comprehensive mail order service. They sell GAIA'S GUIDE, say 'hi' from GAIA. ",,,,,,1991
Carolina Gay and Lesbian Association,Information Services/Gay-Lesbian Organization,065-A University of North Carolina at Chapel Hill,,checked,Chapel Hill,NC,"Write PO Box 39, Graham Student Union, 065-A, University of North Carolina at Chapel Hill, 27514; Office: Suite 'B', room 216 Carolina Union, 27514; Tel. 962-4401. Switchboard operates: 10am-3pm, Monday-Friday during the school year. There's an answering machine which announces upcoming events when the office is closed. Say 'hi' from GAIA. ",***,Organizations,,,,1991
Food For Thought,Bookstores,67 N Pleasant St,,,Amherst,MA,"Tel. 253-5432. Alternative bookstore with plenty for lesbians: Trivia/Gay Community News/Outlook/and many, many more. They sell GAIA'S GUIDE, say 'hi' from GAIA. ",,,,,,1991
Blueberry Ridge,Womyn's Guest House,67 Sullivan Trail ,,checked,Scotrun,PA,"Mail to: RDI-Box 67, Scotrun, PA, 18533. Location: 67, Sullivan trail, PA, 18355. Tel. (717) 629-5036 (PA)/ or (718) 729-1748 (NY)- or write: G. Moran, 45-05 50th Avenue, Woodside, Queens, N.Y., 11377. Womyn's guest house. Pat & greta offer you friendship and warmth in the company of women. 'Come & share a beautiful modern house with other women. Relax in our hot tub, sit on the deck or next to the wood/coal burning stove and have a panoramic view of the Delaware, go white-water rafting, horseback riding, hikinh, picnicing, golf, tennis, etc. Auctions are year round as. is antique shopping and candle shopping. $50.00/Doubles per night. Say 'hi' to Pat & Greta from GAIA.",,,,,,1991
Star Magazine,Publications,68 Highway 111,,,Cathedral City,CA,"68-467 Highway 111, Cathedral City; Tel. 328-5511. ",,,,,,1991
Cuddles II,Bars,68 Highway 111,,,Cathedral City,CA,"688-657 Highway 111- on East Palm Canyon, Cathedral City. Call Help Line for exact location & directions. ",MGM**,"Bars, Clubs, Coffeehouses",,,,1991
Club One Eleven,Bar/Restaurant,68 Highway 111,,,Cathedral City,CA,"68-599 Highway 111, Cathedral City; Tel. 321-5157/Reservations. ""Fine Dining...""",,,,,,1991
Pandora Book Peddlers,Feminist Bookstore,68 W Palisade Ave,,,Englewood,NJ,"07631; Tel. (201) 894-5404. Will distribute 'The Network'. Open: 10am-6pm, Tuesday, Wednesday, Friday/Thursday, 10am-7:30pm/Saturdays, 10am-5pm. ",,,,,,1991
Pandora's,Bars,70 Grove St,,,New York City,NY,"Tel. 242-1408. A great old-timer come back. Open: 7 days a week from 4pm-4am/Sundays. 1pm-4am. One of the MOST famous women's bars in the entire world, known as one hang-out where you can still have a good feminist conversation. ",****,"Bars, Clubs, Coffeehouses",,,,1991
The Bagel Dish,Lesbian/Gay Ice Cream Parlor,70 Raritan Ave ,,,Highland Park,NJ,(Rte 27) 08904; Tel. 828-DISH. ,,,,,,1991
Everyone's Books,Progressive Bookstore,71 Elliot St,,,Brattleboro,VT,"05301; Tel. (802) 254-8160. 'We carry the best locally available selection of feminist/gay and lesbian titles'+ buttons and T-shirts/non-sexist children's titles/they serve tea and coffee, have reading tables and author's nights, etc. & are an excellent first stop for more local info in the area. They sell GAY COMMUNITY NEWS & GAIA'S GUIDE. Say 'hi' from GAIA. ",,,,,,1991
Grapevine Cafe,Bar/Restaurant,73 E Gay St,,,Columbus,OH,"34215; Tel. 221-Vine. 90% gay evenings and 100% gay on weekends. Woman-owned and operated. Open noon-1am, Sat. 1pm-5pm. Say 'hi' from GAIA. ",,,,,,1991
Magic Touch,Bars,73-13 37th Rd,,,New York City,NY,Jackson Heights; Tel. 429-8605. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Forex Travel,Travel,76 Arlington St,,,Boston,MA,Tel. 482-2900. Ticketing all airlines/lowest prices. Complete travel service inc. No service charge Charter member International Gay Travel. Serving community since. 1975. ,,,,,,1991
National Women's Hall of Fame,Museum / Archives,76 Fall St,,,Seneca Falls,NY,13148; Tel. (315) 568-2936. ,,,,,,1991
The Marc I,Bar/Restaurant,76 Walnut St,,,Johnstown,PA,Tel. 539-7214. Disco/lounge/restaurant. Open 7 days a week. ,**,Bar / Restaurants,,,,1991
Meadowsweet Herbal Apothecary,Herbalist,77 E 4th St ,,,New York City,NY,"Tel. 254-2870. Carries all sorts of herbs and teas. Open: Tuesday- Saturday, 11am-7pm. ",,,,,,1991
Feathers,No Site Type,77 Kendermack Rd,,,Riveredge,NJ,07661; Tel. (201) 342-6410. Bar/Piano bar/Disco/Entertainment. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Women's Building,Centers,79 Central Ave,,,Albany,NY,12210. Includes SISTERWORKS. Very helpful women. Say 'hi' from GAIA. ,****,Centers,,,,1991
Dr. Loretta Mears,Doctors,80 E 11th St,,,New York City,NY,"Chiropractor, 80 East 11th Street (Suite 626), New York, NY 10003. ",,,,,,1991
Track's ,Bars & Bar/Restaurants,80 M Street SE,,,Washington,DC,"Tel. 488-3320. Bar/restaurant/dancing. Women only, last Tuesday of each month. ",***,Bar / Restaurants,,,,1991
Bloodroot,Feminist Bookstore/Restaurant/Overnight Lodging,85 Ferris St,,,Black Rock,CT,"06605; Tel. 576-9168. Vegetarian restaurant and feminist bookstore. Open: Tuesday-Sun. Sunday Brunch is especially recommended, starts at 11am. Wednesday is women-only from 7pm-9pm. There's a charming outdoor patio. Lesbian owned and operated, selling GAIA'S GUIDE. Overnight accommodation in 'THE INN'. Say 'hi' from GAIA. ",,,,,,1991
Lunaria,Feminist Bookstore,90 King St,,,Northampton,MA,"01060; Tel. (413) 588-7851 (voice or tty/ttd). Complete selection of new feminist and lesbian books, periodicals & music as well as a wide array of used, out of print and rare titles. Jewelry/cards/posters/buttons and bumper stickers available. Also: Readings & Art Exhibits plus a community bulletin board with housing & job listings. MAIL ORDER & Special Orders + out of print searches. Open: Tuesday, Wednesday, Friday, 10am-6:30pm/Thursday, 10am-8pm/Saturdays, 10am-5pm/Sundays, 12-5pm. Closed Mondays. Say 'hi' from GAIA. ",,,,,,1991
Gay/Lesbian Alliance,Groups,92 Bedford St,,,Portland,ME,04102-University of Southern Maine Student Union Building; Tel. 780-4085. Clearing house for info + counseling/discussion groups/referrals/social activities. ,*,"Bars, Clubs, Coffeehouses",,,,1991
The Pendulum ,Bars,92 N Avalon St,,,Memphis,TN,(upstairs); Tel. 725-1530. ,***,"Bars, Clubs, Coffeehouses",,,,1991
University of Southern Main Women's Forum ,Groups,94 Bedford St,,,Portland,ME,"(at Forest), 04103; Tel. 780-4083. Extremely active feminist group with a variety of political and social activities. Their newsletter: HERIZONS-events calendar. ",,,,,,1991
Institute For Personal Growth,Counseling Centers,94 Church St,,,New Brunswick,NJ,08901; Tel. 246-8439. 'Serving the Lesbian/gay & Bi-Sexual community'. ,,,,,,1991
Women's Growth Center,Services,97 Knowles St,,,Pawtucket,RI,Tel. 728-6023. This is LESBIAN OWNED business offering a variety of social services and support groups utilizing a feminist approach. Call for appointment. newsletter. ,,,,,,1991
Lesbian Task Force of Boston Now,Political Action Groups,99 Bishop Allen Dr,,,Cambridge,MA,"Tel. 661-6015. Political action group, also sponsors social activities. Newcomers welcome. ",,,,,,1991
Sea Gull,Hotels/Motels/Guest Houses Etc.,100 21st St,,,Miami Beach,FL,33139; Tel.(toll free) 1-800-327-4523. The world's largest gay resort... directly on the ocean at 21st Street Beach. ,,,,,,1991
La Royale,Bars,100 Harrison Ave,,,Orlando,FL,Tel. 763-9110. Extremely popular bar/restaurant. Pool tables/dancing/outdoor patio. La Royale Lounge is open from 1pm-4am. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Pyramid,Bars,101 Ave A,,,New York City,NY,"Jenny's Girl Bar- THURSDAYS, 8pm-2am. 101 Avenue A (between 6/7 Streets); Tel. 475-3538. Entrance: $5.00. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Club Cabaret,Bars,101 N Center St,,,Hickory,NC,Tel. 322-8103,**,"Bars, Clubs, Coffeehouses",,,,1991
Travel Incorporated ,Travel Agents,101 N Douglas Blvd,,,Oklahoma City,OK,Tel. 737-5353. ,,,,,,1991
Community Outreach Center,Information Services/Organizations,102 North Ave,,,Lubbock,TX,"South, PO Box 64746, 79464; Tel. 762-1019. ",,,,,,1991
The Mendocino Book Company,Bookstores,102 S School St,,,Ukiah,CA,95402; Tel. (707) 468-5940. General independent store including feminist & lesbian titles. ,,,,,,1991
Pour House,Bars,103 155th Place,,,Calumet City,IL,Tel. 891-3980. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Boardwalk,Bars,104 N 20th ,,,Lincoln,NE,(at 'O' Street); Tel. 474-9741. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Left Bank Bookstall,Alternative Bookstore,104 S Oak Park Ave,,,Oak Park,IL,"60302; Tel. 383-4700. Lesbian Titles/women's studies/new and used books/books from Lesbian/Gay/Feminist Presses/they have local gay and lesbian papers, say 'hi' from GAIA. Open: noon-8pm, Monday-Friday/ 10am-5pm, Saturdays. ",,,,,,1991
LA 106 West,Bars,104 W Main St,,,Louisville,KY,Tel. 587-0889. ,****,"Bars, Clubs, Coffeehouses",,,,1991
WHAM!- Women's Health Action And Mobilization,Health Care,105 E. 22nd St,,,New York City,NY,"A direct action group committed to demanding, securing & defending reproductive freedom & quality health care for all women. We meet every Wednesday at 6:30pm/105 E. 22nd Street, 4th floor, Tel. (212) 713-5966. Mailing address: WHAM!, PO Box 733, NYC 10009. ",,,,,,1991
Dorrwar Bookstore,Alternative/Feminist Bookstore,107 1/2 Hope St,,,Providence,RI,"Tel. 521-3230. Gay and feminist titles/posters/records/jewelry/T-shirts/buttons/used books/periodicals/postcards/greeting cards. Children's section. Bulletin board and free films on women's and gay issues. They sell GAIA'S GUIDE. Say 'hi' from GAIA. Open: 10am-6pm, Monday-Saturday. ",,,,,,1991
Mark II,Bars,107 E Main ,,,Muncie,IN,Tel. 282-8273,**,"Bars, Clubs, Coffeehouses",,,,1991
SisterLit,Feminist/Lesbian Bookstore,108 Duff ,,,Ames,IA,"50010; Tel. (515) 232-5217. Open: Monday-Friday 10am-6pm/Saturdays, 10am-5pm. Home of the Lesbian Breakfast Club (they eat breakfast every Saturday in a different Ames restaurant!)- & SisterLit is your first stop in Lesbian/Feminist Ames- perhaps they sell GAIA'S GUIDE?",,,,,,1991
MGM Backstreet,Bars,108 S 1st ,,,Salt Lake City,UT,West; Tel. 532-9075. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Celebration!,Alternative Bookstore,108 W 43rd,,,Austin,TX,"78751. Tel. 453-6207. Lesbian titles/women's studies/music/T-shirts/they sell GAIA'S GUIDE & carry MANY excellent feminist publications, pick up you copy of TWAT here. + Silver and brass jewelry/amber/crystals and minerals/beads/herbal incenses and oils/crystal balls/music for meditation and more. Say 'hi' from GAIA when visiting these friendly, helpful people. ",,,,,,1991
Chumley's ,Bars,108 W College Ave,,,State College,PA,16801; Tel. 238-4446. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Safari Lounge,Bars,108 W Pittsburgh St,,,Greensburg,PA,Tel. 837-9948. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Owl 'N' Pussy Cat Bar,Bars,109 2nd Ave,,,Asbury Park,NJ,"at Key West Hotel, 109 2nd Ave & Kingsley: Tel. 988-7979. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Key West Hotel,Hotel/Gay Complex,109 2nd Ave,,,Asbury Park,NJ,"07701; Tel. 988-7979. Over 50 units/swimming pool/3 women's bars: Owl & Pussy Cat, Over the Rainbow Disco/Tree House Lounge + Key Largo Restaurant. Sunday brunch: noon-5pm. Say 'hi' from GAIA. ",,,,,,1991
The Lighted Tree,Bars,109 8th Ave,,,St Petersburg,FL,"(Passe-a-Grille Beach, 33741); Tel. 360-0373. Open: 11am-2am. Now, WOMEN OWNED & OPERATED - just half a block from the beach-they serve beer, wine, salads, and sandwiches on a tree-shaded patio that even has a fresh water shower for rinsing off the sand before you breeze up to the bar for refreshment. The clientele is about 99% female. There's also a guest house, more of that in a later listing. Say 'hi' from GAIA. (Oh yes, apparently their resident mascot is an alsatian dog!)",****(*),"Bars, Clubs, Coffeehouses",,,,1991
The Lighted Tree,Guest Houses,109 8th Ave,,,St Petersburg,FL,"(Passe-a-Grille Beach): Tel. 360-0373. gay guest house of 3 rooms. $28.00 a day, single & $38.00 a day double. Recommended. ",,,,,,1991
Eastlake East/Off Ramp Café/Sappho Room,Bar/Restaurant,109 Eastlake East,,,Seattle,WA,"Tel. 628-0232. Women's discos Thursday/Friday/Saturday, alcohol-free specials, too. Extremely community minded Lesbian cocktail lounge open 5pm, 7 days a week and sounds great. Say 'hi' from GAIA they sell GAIA'S GUIDE. ",****,"Bars, Clubs, Coffeehouses",,,,1991
FIesta Room Lounge,Bars,110 Harrison Ave,,,Orlando,FL,"Tel. 763-9476. Excellent shows featuring the best in gay entertainment and including lots of women entertainers. Open 8pm-4am & together with LA ROYALE, comprising a complete gay complex. ",***,"Bars, Clubs, Coffeehouses",,,,1991
Jefferey P. Hiles,Attorneys,110 NW Barry Rd,,,Kansas City,MO,"201 Commercial Bank Building, 110, N.W. Barry Road, 64155; Tel. 436-9550. ",,,,,,1991
Embers,Bars,110 NW Broadway,,,Portland,OR,Tel. 222-3082. ,***,"Bars, Clubs, Coffeehouses",,,,1991
JB's It'll Do Bar,Bars,110 S Haven St,,,Baltimore,MD,,****,"Bars, Clubs, Coffeehouses",,,,1991
The Power House-Natural Food and Juice Bar,Restaurants/Cafe,111 E Lyman Ave,,,Winter Park,FL,32789; Tel. 645-3616. ,,,,,,1991
Wedgewood Bed and Breakfast Inn,Inn,111 W Bridge St,,,New Hope,PA,18938. Tel. (215) 862-2570. ,,,,,,1991
Garbo's,Bars,112 E 9th Ave,,,Denver,CO,Tel. 837-8217. Open 7 days a week. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Aradia Women's Health Center,Health Center,112 E Boylston Ave,,,Seattle,WA,"E. Seattle; Tel. 323-9388. See: SEATTLE GAY NEWS for more medical practitioners, including alternative. ",,,,,,1991
Scarlett's,Bars,112 Georgia,,,Vallejo,CA,Tel. 644-4584. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Wooden Shoe Books and Records,Alternative Bookstore,112 S 20th St,,,Philadelphia,PA,(at Chestnut); Tel. 569-2477. Lesbian titles/'non-adult' gay titles/women' studies/magazines and newspapers/posters/buttons. MAIL ORDER. They sell GAIA'S GUIDE. ,,,,,,1991
Brass Garden,Bars,112 SE 4th,,,Des Moines,IA,Tel. (515) 243-3965. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Capers,Bars,112 SW 1st Ave,,,Gainesville,FL,"Tel. 378-8386. All gay and 50% women, say 'hi' from GAIA. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Mr. C's ,Bars,112 W College Ave,,,State College,PA,Tel. 234-1031. Gay Monday evenings only. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Breadstix,Bars,112-24 Queens Boulevard,,,New York City,NY,(in Forest Hills); Tel. (718) 236-0300. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Sadie's ,Bars,113 San Jacinto,,,Austin,TX,Tel. 479-6939. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Vixxin,Women's Bed & Breakfast Beach,114 Estrella Ave,,,La Selva,CA,95076; Tel. (408) 684-0796 (Fairy Fox). Guest room with private entrance & bath. 2 blocks from Monterey Bay with private beach access. Hot tub/Sundeck. Easy drive to Santa Cruz/Monterey. ,,,,,,1991
David's Lounge,Bars,114 Market St,,,Wilmington,NC,Tel. 763-8063. Hot disco. Enter through the back door at the rear of the building. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Sappho's Isles,Publications,114-41 Queens Blvd,,,New York City,NY,"suite 347, Forest Hill Ny, 11375; Tel. (718) 268-2389. Pick up your copy at JUDITH""S ROOM. OUTWEEK, See: Statewide Publications. ",,,,,,1991
Dale Street Cafe,Bars,115 E Dale St,,,Colorado Springs,CO,8090; Tel. 578-9898. ,,,,,,1991
Club Park Avenue,Bars,115 East Park,,,Tallahassee,FL,Tel. 599-9143. Dancing/pool tables/games- all GAY operated and Thursday evenings is acknowledged lesbian time- although women are more than welcome here all the time. ,**(**),"Bars, Clubs, Coffeehouses",,,,1991
Our Place,Bars,115 General Kruger,,,San Antonio,TX,Tel. 340-1758. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Discovery,Bars,116 E Main St,,,Louisville,KY,Tel. 585-1116. Open 8pm-4am. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Club,Bars,116 N 20th ,,,Lincoln,NE,(at 'O' Street): Tel. 474-9741. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Aquarius Books & Bookmobile,Feminist Bookstore & Bookmobile,116 N Grant St,,,Bloomington,IN,"(née Dreams & Swords Two), 47401; Tel. 336-0988. - Serving the midwest. they carry GAIA'S GUIDE, be sure and say 'hi' from GAIA. Lesbian and women's studies titles/music/T-shirts/jewelry/posters/non-sexist children's books + ticket sales, MAIL ORDER SERVICE. Lots of newspapers and magazines too, including; 'LAVENDER VISIONS' AND 'OUTLINES' Open: Monday-Friday, 11am-6pm/Saturdays, 11am-5pm. Closed Sundays. ",,,,,,1991
Aradia Bookstore,Feminist Bookstore,116 W Cottage ,,,Flagstaff,AZ,Mail to: PO Box 266; 86002; Tel 779-3817. The only feminist bookstore in North Arizona & for ten years!,,,,,,1991
Club 21,Bars,117 1/2 N 21st St,,,Birmingham,AL,Disco. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Vanities,Bars,117 San Jacinto,,,Austin,TX,Tel. 469-0030. 'What the women have been waiting for... a dance club.',****,"Bars, Clubs, Coffeehouses",,,,1991
Entre Nous,Bars,117 Spring St,,,Portland,ME,"04102; Tel. 772-7520. Recommended. Owned, operated and staffed by women. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Shamrock,Bars,117 W Main,,,Madison,WI,Tel. 255-5029. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Maneuvers & Co,Bars,118 E. Jefferson St,,,Joliet,IL,Tel. 727-7069. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Lesbian Artists Exhibition (L & G Community Center),Music & Visual Art,118 Fort Greene Place,,,New York City,NY,"Call for slides. For more information send SASE to M. Fougere, Greene Place, Brooklyn, N.Y. 11217. ",,,,,,1991
Eve's Garden International ,Sexuality Boutiques,119 W 57th St,,,New York City,NY,"(suite 420), New York, N.Y., 10019; Tel. (212) 757-8651. Send ($2.00) for their catalogue: 'Celebrate the Joy', includes: liberating books/vibrators/body balms/lubricants/prize-winning dildos/more books- on relationships/goddess study/fantasy of erotica/sexual play/ + some really excellent titles on gynecology. GAIA'S GUIDE?, anyway, say 'hi' to Dell Williams from GAIA. ",,,,,,1991
Lyle's Guest House,No Site Type,120 E Atol St,,,South Padre Island,TX,"Write: PO Box 2326, South Padre Island, 78597; Tel. (512)761-LYLE(761-5953). A guest house for Lesbians and Gay Men- 500 feet from one of the world's best beaches, on the world's longest sand barrier island. Convenient air connections via American, Continental, Southwest and Conquest Airlines to nearby Harlingen and Brownsville, Texas; 30 miles from shopping and dining in Matamors, Mexico. Outstanding fishing, sailing, surfing, and jet skiing. Gourmet restaurants and gay bars nearby; nude beach neardby; gambling cruises abroad 'Le Mistral' sailing in international waters. BROCHURE AVAILABLE. basic room rates range from $40.00 (low season) to $64.00 (high season) for one or two in a private room; 15% more for holiday periods. Deluxe room are available and economy accommodations in locker room are available for the budget minded. Pool table/exercise equipment locker room are available in locker room are available for the budget minded. Pool table/exercise equipment/laundry facilities/private jacuzzi/heated swimming pool/daily maid service/complimentary continental breakfast/television lounges/ + video and reading library available. NO pets. Buts: American Express/Discover/Master Charge and VISA cards accepted. RESERVATIONS RECOMMENDED. Group rates available upon request. IMPORTANT NOTE: Women meet other women on the third weekend of each month and on the third week of each month. Lyle's Deck is never exclusively male or female at any one time. Say 'hi' from GAIA. HIGHLY RECOMMENDED. ",,,,,,1991
Bench & Bar,Bars,120 Eleventh St,,,Oakland,CA,Tel. 444-2266. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Hobos,Restaurants,120 NW Third Ave,,,Portland,OR,97209; Tel. 224-3285. Steak/dinner house with piano bar. Very gay...,***(**),Restaurants,,,,1991
The Missing Link Cafe,Restaurants,120 S Floyd,,,Louisville,KY,Tel. 585-5752. ,,,,,,1991
