"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","year","publication","country","geocode.value","lon","lat","geoAddress"
"Sleepy Hollow","Resorts","14220 Mill Street","","Guerneville","CA","Tel.(707)860-0888. A friendly, helpful, nice place to stay","-","","",NA,"",1981,"Gaia's Guide","United States","Guerneville, CA, United States",-122.9961102,38.5018575,"guerneville, ca 95446, usa"
"ONE Center","Centers","2256 Venice Boulevard","","Los Angeles","CA","Tel.(213)735-5252.","***","Organizations","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Gipsy","Bar/Restaurant","940 North La Cienega","","Los Angeles","CA","Tel.(213)652-1611. Entertainment nightly. Restaurant and piano bar. Lunch 11am-4pm% dinner: 6pm-llpm.","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Central Realty Service","Real Estate Agent","6436 Telegraph Avenue","","Oakland","CA","Very reliable, helpful people.","-","","",NA,"",1981,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Andree's","Restaurants","1464 South Coast Highway","","Laguna Beach","CA","Tel.494-2528.Restaurant/pianobar—elegant.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"The Garden","Bars","1960 E. University","","Palo Alto","CA","Disco.","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
"Continental","Bars","1350 North Blackstone","","Fresno","CA","Tel.(209)486-9841.Disco. 50% gay women.","**?","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Califia, Inc.","Feminist Store","3415 N. Highland Avenue","","Los Angeles","CA","Tel.545.8717.Books, periodicals, arts and crafts by women for women. Open:Tues-Sat: llan-6pn.Sunday: llam-4pin. Closed Mondays.","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Brooke Bassett","Attorneys","397 61st Street","","Oakland","CA","Tel.(415)-655-0744. Lesbian/feminist lawyer--(and a very, very good one).","-","","",NA,"",1981,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"D.O.K. West","Bars","12889 Garden Grove Boulevard","","Garden Grove","CA","TEl.534-9712","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Knotty Keg","Bars","8932 Garden Grove Boulevard","","Garden Grove","CA","Tel.(714)537-9013.""Good &Gay""","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Savoy","Bars","20469 Silverado","","Cupertino","CA","Tel.255-0195","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Cupertino, CA, United States",-122.0321823,37.3229978,"cupertino, ca, usa"
"Sisterhood Bookstore","Feminist Bookstore","1351 Westwood Boulevard","","Los Angeles","CA","Tel:(213)177-909 0.Complete selection of lesbian and feminist books. Also pamphlets, journals, record albums,  non-sexist children's books and sell GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Desert Paradise Hotel","Hotel","772 Prescott Drive","","Palm Springs","CA","Tel.352-0229.","-","","",NA,"",1981,"Gaia's Guide","United States","Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa"
"Womanbooks, Etc.","Feminist Bookstore","13722 Burbank Boulevard","","Sherman Oaks","CA","el.(213)785-4276. Reading lounge/cof fee/tea and sodas served. Also bulletin board and informal referral service. Mailing list for events, changesnew titles, etc.Records /buttons ./posters/magazines/T-shirts. Books! Gifts: women's symbols, astrological plaques, wood carvings and original art-work. They opened in Oct. 1979 and will be selling GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Sherman Oaks, CA, United States",-118.4486989,34.1509272,"sherman oaks, los angeles, ca, usa"
"Book Boutique","Feminist Bookstore","1495 Genneyre","","Laguna Beach","CA","","-","","",NA,"",1981,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Garbo's","Bars","1/2 mile west of Guerneville on HIghway.","checked","Guerneville","CA","Tel.869-0403. New gay show bar. Women entertainers.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Guerneville, CA, United States",-122.9961102,38.5018575,"guerneville, ca 95446, usa"
"We're Inn!-Tahoe","Resorts","7170 North Lake Boulevard","","Lake Tahoe","CA","Tel.(916)546-2444.A gay resort with frontage and a beach on the lake and lake-front rooms. Some kitchens, moderate rates. Gay- owned and operatedand very highly recommended.","-","","",NA,"",1981,"Gaia's Guide","United States","Lake Tahoe, CA, United States",NA,NA,NA
"Que Sera Sera","Bars","1923 East 7th Street","","Long Beach","CA","Tel.599-6170. Dancing, pool table, regular entertainment. Couches and fireplace for comfortable, casual, friendly atmosphere. Open Mon- Fr1:6pm-2am & Sat-Sun: 2pm-2am.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Dolly Dolphin's Grill","Restaurants","11819 Santa Monica Boulevard","","Los Angeles","CA","Tel.77-2277.""Seafood without pier"". Green plants, casual atmosphere and women’s art","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"The Plowshare","Bookstore","162 University Avenue","","Palo Alto","CA","Tel.(415)321-4748.","-","","",NA,"",1981,"Gaia's Guide","United States","Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
"Alcoholism Center for Women","Women's Centers","1147 South Alvarado Street","","Los Angeles","CA","Tel.(213)381-7805.Support for lesbians with a drinking problem. Counseling, 13 bed recovery  home,social activities, lesbian rap groups, coffeehouse nights. All-women A.A. groups.","****(*)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Humour Hazzit","Bars","8741 Garden Grove Boulevard","","Garden Grove","CA","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"M.C.C. in the Valley","Religious Groups","5730 Cahuenga Boulevard","","North Hollywood","CA","Tel.(213)762-1133.","-","","",NA,"",1981,"Gaia's Guide","United States","North Hollywood, CA, United States",-118.3877732,34.1866635,"north hollywood, los angeles, ca, usa"
"Tender Trap","Bars","667 West Holt","","Pomona","CA","Tel.622-9307. Open:noon-2am. But is it just gay men?","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pomona, CA, United States",-117.7499909,34.055103,"pomona, ca, usa"
"Whoop's Coop","Bars","6045 Cherry Avenue","","Long Beach","CA","Tel.434-1449.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Mustang Club","Bars","413 North 7th Street","","Modesto","CA","Tel.524-9303.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Modesto, CA, United States",-120.9970014,37.6392595,"modesto, ca, usa"
"Gay People's Union","Groups","C.S.U.F College Union","checked","Fresno","CA","Social and educational functions for campus-based gay women and men at California State  University at Fresno","*","Organizations","",NA,"",1981,"Gaia's Guide","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Li'l Lucy's","Bars","1200 East Broadway.","","Long Beach","CA","Tel.432-2019.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"French Market","Restaurants","7985 Santa Monica Boulevard","","Hollywood","CA","","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Daybreak","Bars","1711 W. El Camino Real","","Mountain View","CA","Tel. (415)961.9953.Disco-lighted built up dance floor/2 pool tables/backgammon and chess. They feature Olivia recording artists and have womyn's concerts. After hours its coffee. Juices rap sessions and femintst meetings. They sell GAIA'S GUIDE and are very highly  recommended.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mountain View, CA, United States",-122.0838511,37.3860517,"mountain view, ca, usa"
"Gay Little Hut","Bars","","checked","Los Angeles","CA","(get address locally)","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"The Magic Speller","Feminist Bookstore","506 31st Street","","Newport Beach","CA","Tel.673-8400.Lesbian owned and staffed bookstore selling GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Newport Beach, CA, United States",-117.9298493,33.6188829,"newport beach, ca, usa"
"Eating High","Restaurants","4514 Fountain","","Hollywood","CA","Tel.660-9877","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"The Roommate Connection","Roommate Service","7985 Santa Monica Boulevard","","Los Angeles","CA","Tel.656-5901. A recommended service for gay women and men.","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Temple Beth Chayim Chdashim","Religious Groups","6000 West Pico Boulevard","","Los Angeles","CA","Tel.(213)931-5308.""Serving the lesbian/gay and Jewish communities."" They have their own temple building and their publication is G'vanim (The Temple Newsletter). Social activities and counselling services.","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Eric's","Restaurants","858 South Coast Higway","","Laguna Beach","CA","Tel.(714)499-3939.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Boom Boom Room","Bars","1401 South Coast Highway","","Laguna Beach","CA","Tel(714)494-7588.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Crescent Moon","Bars","1704 Broadway","","Sacramento","CA","Tel. 442-9 375.A |
Woman-only club—low-key and friendly. Great sound system,
dancing, pool table, pin-ball and other games. There's also a
beer garden. Very, very highly recommended. Open: 4pm-2am:","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Purple Tortois","Bars","723 Tower Court","","Sacramento","CA","","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Parking Lot","Bars","2804 Auburn Boulevard","","Sacramento","CA","This is the largest gay
complex in the world. Disco dancing, bars, two swimming pools and
saunas, volly-ball, barbecue pits and pool table plus, plus, |
plus. The clientel is mostly gay women but strictly private club.
Very, very highly recommended by Sacramento women.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Upstairs-Downstairs","Bars","1225 K. Street Mall","","Sacramento","CA","Tel.448- 1 2866.lunches, brunches, tea-dances","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Bojangles","Bars","7042 Folsom Boulevard","","Sacramento","CA","Tel.383-9882.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Underpass","Bars","1946 Broadway","","Sacramento","CA","Tel.457-5867.Open daily 2pm-2am","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Joseph's","Bar/Restaurant","7604 Fair Oaks Boulevard","","Sacramento","CA","Tel.481-2050.","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Nicole's Omelettes","Bar/Restaurant","2815 J Street","","Sacramento","CA","Tel 441-7815","*","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Earhart's Cafe","Restaurants","1905 16th Street","","Sacramento","CA","Tel.442-2481. Ahighly re commended woman-owned restaurant. They feature local women’s art and are open for lunch llam-3pm M-F;dinner:6pm-11pm Weds. W—S at i . s","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Whistle Stop No. 1","Restaurants","1115 The Embarcadero","","Sacramento","CA","coffeehouse — we attempt an a iternatlve to the bar type
atmosphere."" Feminist entertainment. Open Su n.-Th u rs . 11 am -
7pm;Pri.-Sat.Ham-Midnight. Sat/Sun brunch:from 9am. Highly
r
1
ecommend
J
e
o
","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Joseph's","Restaurants","7604 Fair Oaks Boulevard","","Sacramento","CA","Tel.48]-2050.Burgers and big meals.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Cafe de New Orelans","Restaurants","4th & L Street","","Sacramento","CA","","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Juliana's Kitchen","Restaurants","1800 L Street","","Sacramento","CA","Tel.444-0187.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Sacramento Women's Store","Feminist Bookstore","2104 Capitol Avenue","","Sacramento","CA","Tel.442-4657","-","","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Northern Lights","Feminist Store","2425 J Street","","Sacramento","CA","Te l. (9 16 )4 4 3-
9292.Records, tapes, T-shirts, Jewelry, cards and more. Woman-owned.","-","","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Camping Women","Camping Program","2720 Armstrong Drive","","Sacramento","CA","Tel.(916)488-1297.""We provide camping trips for women by women.""
Newsletter.—An extremely successful and very highly recommended
group.","-","","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Continental Motel","Motels","1432 West Capitol Avenue","","Sacramento","CA","Tel.(916)371-3660.","-","","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Feminist Spirituality Center","Occult/Astrology","P.O. Box 22104","checked","Sacramento","CA","Tel.(916)451-9970.","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Women Together","Private Parties","1934 Sloat Highway","","Sacramento","CA","Tel: (916)456-
5858.Xmas balls and boat trips, train rides and giant barbecues.
Free newsletter and plans for vacations in far away places.","-","","",NA,"",1981,"Gaia's Guide","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Trinity Metropolitan Community Church","Religious Groups","699 West Rialto Avenue","","San Bernardino","CA","Tel.(714)824-1337-","-","","",NA,"",1981,"Gaia's Guide","United States","San Bernardino, CA, United States",-117.2897652,34.1083449,"san bernardino, ca, usa"
"Hotline","Services","","checked","San Bernardino","CA","Tel.(714)824-7618.Evenings-6:30pmm-10:30pm.Serving San Bernardino/Riverside. Full service center to open soon.","-","","",NA,"",1981,"Gaia's Guide","United States","San Bernardino, CA, United States",-117.2897652,34.1083449,"san bernardino, ca, usa"
"Grand Central","Bars","345 West 7th","","San Bernardino","CA","Tel 839 -5204","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Bernardino, CA, United States",-117.2897652,34.1083449,"san bernardino, ca, usa"
"Skylark","Bars","917 Inland Center Drive","","San Bernardino","CA","Teltl1122665-9151.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Bernardino, CA, United States",-117.2897652,34.1083449,"san bernardino, ca, usa"
"Thursday's Child","Publications","P.O. Box 5093","checked","San Diego","CA","Lesbian
newspaper. DATE-MATE COLUMN is the complete events calender for
the San Diego area. News, reviews, poetry. $5.00 p.a.","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Longest Revolution","Publications","P.O. Box 350","checked","San Diego","CA","Tel. (7 1 4 )233-
8984. Extremely progressive feminist newspaper. Events calendar,
classified ads. $6.00","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"San Diego Lesbian Organization","Women's Centers","3035 C Street","","San Diego","CA","An alternative to the bars: rap groups, open meetings, aparties and festivals. Switchboard service plus card file for lesbian services.","*****","Organizations","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"C.W.S.S.","Women's Centers","908 F Street","","San Diego","CA","Tel.(714)233-8984.CENTER FOR WOMEN'S STUDIES AND SERVICES. --The base is radical feminism. Houses Feminist Free University, storefront ,counseling and educational programs plus their own publications.","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Gay Center for Social Services","Centers","2250 B Street","","San Diego","CA","c
ro
elm
.(7p 1l 2et )
e
2 32r -
a
7n
5g
2e
8 .Ino cf ludse
esr
vi
ac
e
v erya
r
acta
ivc et
oY
m1 es n s
.5roM Al ""rat","***(**)","Organizations","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Metropolitan Community Church","Religious Groups","1335 Fern Street","","San Diego","CA","P.O.Box33291. Tel.(714)239-3723.Many active gay women involved.-Their publication: THE PRODICAL.","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Diablo's","Bars","2533 El Cajon Boulevard","","San Diego","CA","Tel.(714)298-3269.Great disco/dance floor, pool table, pin-ball. It's near the House of Pies and not far from Balboa Beach. ""Quite possibly the
wildest, craziest bar in town"". Open noon-2am 7 days a week.
We sell GAIA'S GUIDE","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Apartment","Bars","756 Ventura Place","","San Diego","CA","Tel.488-0033 Small popular, active woman-owned bar. Great juke box, bar, pool table,
fireplace and at-home atmosphere. Near the Boardwalk.Open noon-
2am","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Eve's End","Bars","Corner of Madison and Park","checked","San Diego","CA","Beer and wine
bar with two pool tables, pin-ball and good Juke box.""Great
potential--qulet atmosphere, friendly people. Occasional
Straishts but no hassle. Owned by gay guys who realize the need
Cor this kind of hassle-free environment.” Recommended.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Adam's End","Bars","1813 Adams","","San Diego","CA","Beer and wine bar with pool
table. Juke box and pin-ball. Occassional straights frequent but
never any hassle and quite O.K. for women. ""Great potential"".
Recommended.
—","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"West Coast Production Company","Bars","1845 Hancock","","San Diego","CA","37
e
2
c om
-E
m
l
e
e
n
g
d
a
e
n
d
t
.
dress is flashy and their are long
•
lines to
0
get in.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Club","Bars","2501 Kettner","","San Diego","CA","Tel. 239-4377. Cozy tables For
t t
h
he
e tin
m
s u s
a i
n
c
d
1
t s
a lk g
io n o
g
d.
- -p‘ iG
n-r
b
ea
at l l, atm
poo
ol s p
t h
a e
b r
l e
e .""
, s S
m
un
ad ll a y
d aa
nf
ct ee r
fn lo
o
o
o
r n
an 4
d
s
showtime.""Stop by after the beach-come as you are-","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Club Lombard","Bars","942 Columbia","","San Diego","CA","Tel.231-2857.Strictly for
s
R
e
ec
e
o
u
m
n
me
S
n
o
&
s
e.
e t
'
b
7
u
-u
t
p
y o
a
u
n
m
d
u
r
st
o o
b
t
e
b
17
e
+
e r.
t o
$
g
3
e
.0
t
0
in
c
.
ov
S
e
u
r
p er
o
b
n
d
w
i
e
s
e
c
k
o
e
:
n d
B
s
a
.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Crypt","Bars","733 Fourth Avenue","","San Diego","CA","Tel.231-4776.""For the pleasure oriented.""","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Nickelodeon","Bars","4321 Fairmount Avenue","","San Diego","CA","Tel.284-9518.Draft and bottled beers, fine wine, nickel juke box. Open:noon-2am. Recommended","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Farmhouse","Restaurants","2830 Lytton Street","","San Diego","CA","Tel.226-8300.Good homestyle cooking. Lunch 11am-2pm. Dinner5pm-10pm.Champagne brunch Sat.&&Sun.10am-3pm. Closed Sunday evenign","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"King Richard","Restaurants","631 Pearl Street","","San Diego","CA","Tel.454-6592.Lounge open: 10am-2am. pining room: 6pm-10pm, Sun-Thu rs""6pm-1 iturdays. Restaurant and pub.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Kung Food","Restaurants","2949 5th Avenue","","San Diego","CA","Th eel.a2l 9th8, - 7r3e 0l 2a . Vegetnar ia an n cuisine...""inan atmosphere conducive to health,relaxation and enjoyment."" Open:9am-9pm. Closes Monday at 3pm.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Monaco's","Restaurants","2321 Fifth Avenue","","San Diego","CA","Taetl .23p3m4.-2586.Opne: Tues-Sun. 6pm-lan; Monday: opm-iupm.
","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Las Hermanas","Coffeehouses","4003 Wabash Avenue","","San Diego","CA","Tel.280-75IO.Weekend entertainment and political programs. Special
weekend dinners and Sunday brunches--besides a regular
tea/coffee/juices and munchie type menu. Private club but open to
ALL women. ""Very mellow"". Open Friday and Sat. nights only","(****)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Women's Store","Feminist Bookstore","2965 Beech","","San Diego","CA","Tel. 233-4161. A very unique store:-posters, postcards, music, books and records,
of lesbian titles. A great place to relax.
","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Bookstop III","Bookstore","5065 El Cajon Boulevard","","San Diego","CA","Tel.(714)582-2121.Well stocked bookstore with feminist titles and
nuch, much more.
","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"New Seed","Tea-Room","946 Garnet Avenue","","San Diego","CA","Juice bar and tea
room With over 400 herbs; also natural food items.","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Amazon Sweet Shop","Ice Cream Shop","6309 El Cajon Boulevard","","San Diego","CA","Tel.286-
2901* woman-owned lesbian hang-out serving the best tasting 1ce-
cream in the world. It’s all home-made and they serve natural
run drinks and spring water. Bulletin board/feminist + lesbian
periodicals on sale. Open Tues.-Sun. noon-llpm. Highly
""ecommended.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Book Mark","Bookstore","4077 Adams Avenue","","San Diego","CA","Tel. (714)280-3091.Gay and Feminist titles. y. . 1 GAIA'S GUIDE and are OpenMon-Sat:10am-5:30pm","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"The Women's Store","Feminist Store","2965 Beech","","San Diego","CA","Tel.233-4161.A very
unique store: posters, postcards, music, books.vibrators special 1
stamps,feminist money, library. Originated in 1972. Open
2vm7pm Mon.-Fr1. 1lam-5pm. Also lending i ’ ""** ।
3088.C","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"CWSS Storefront","Feminist Store","916 F Street","","San Diego","CA","Tel.(714)233-3088.CENTER FOR  WOMEN'SSTUDIES AND SERVICESSTOREFRONT.","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Imperial Motel","Motels","6624 El Cajon Boulevard","","San Diego","CA","Tel.463-9245.""A place where two people can feel comfortable asking for one bed.""","-","","",NA,"",1981,"Gaia's Guide","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"Gay Switchboard","Services","","checked","San Francisco","CA","Tel. (415)444-5555.","-","","",NA,"",1981,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Gay Events Tape","Services","627 Ellis Street","","San Francisco","CA","Tel.771-
9700. 24 hours—part of San Francisco Gay Action.
","-","","",NA,"",1981,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Gay Referral Switchboard","Services","P.O. Box 6046","checked","San Francisco","CA","Tel.(415)992-5255-""We are a telephone referral service for gay
women and men in the Bay Area."" 8am-mldnlght.","-","","",NA,"",1981,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
