"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","Last.Modified","Notes.2","year","publication","country","geocode.value","lon","lat","geoAddress"
"Hotel York","Hotel","940 Sutter St","","San Francisco","CA","94109Tel. 885-6800. A 102-room luxury gay-owned and operated European-style hotel conveniently located in downtown San Francisco. Home of THE PLUSH ROOM CABARET which is a must when in San Francisco.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Spreckles Mansion","Hotel","737 Buena Vista W","","San Francisco","CA","94117 Tel.626-5460. This famous mansion with 'chequered' history is now an extremely comfortable and hospitable hotel. Continental breakfast and complimentary afternoon wine served in the library.The clientele is gay men/women and others. The atmosphere is very San Francisco. We've now expanded to the grand old house next door- giving us four additional suites.'All the rooms are exquisite and gay women seem to JUST LOVE IT. Don't forget to sayHi from GAIA","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Mary Elizabeth Inn","Hotel","1040 Bush Street","","San Francisco","CA","Tel.673-6768. Rooms by the week/with meals. Women only but it has a curfew.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Red Victorian Hotel","Hotel","1665 Haight St","","San Francisco","CA"," 94117 Tel. 864-1978. Clean, comfortable, a good place for gay people","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"The Women's Hotel","Hotel","642 Jones St","","San Francisco","CA","Tel. 775-1711","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"El Dorado","Hotel","150 9th St","","San Francisco","CA","94103 Tel.552-4660. 'A nice clean comfortable place with terrific service, owned by a friendly gay guy who does welcome women although the clientele is mostly gay men. About $32.00for 2 a day without bath.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Liberty Inn","Hotel","863 Bush St","","San Francisco","CA","Polk. Tel. 928-6000.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Marlowe Hotel","Hotel","619 Larkin St","","San Francisco","CA","Polk. Tel. 474-5062.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Women's Training Center","Women's Gym","2164 Market St","","San Francisco","CA","94114 Tel. 864-6835.Women's Gym and Weight Training Center. Restaurant service, and Nautilus Equipment/free weights/experienced trainers/sauna& massage.$100.00 membership for three months. $5.00 for one visit. They really are friendly, helpful people","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Osento","Bath Houses","955 Valencia St","","San Francisco","CA","Tel. 282-6333. In fact. there is nothing else like it int he whole world - a Japanese-style bath house for women only. Based on one in Japan, it has one jacuzzi, ultra-relaxing atmosphere- all very dimly lit by soft blue lights.The background1s mellow, futuristic Japanese music. There is a small patio iz back.$6.00 entrance.Massage ($15.00)is also available","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Kabuki Hot Springs","Bath Houses","1750 Geary Blvd","","San Francisco","CA","(at Fillmore)Tel. 922-6000. Sunday and Tuesday 10am-10pm is women only. Large jacuzzi/steam/cold tubs. Admission is $7.00. Acupressure available. Located in the Japanese Center","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Sutro Bathhouse","Bath Houses","1015 Folsom St","","San Francisco","CA","Tel. 626-9444.'Garden like setting-very dimly lit. Sauna, steam bath, snack bar, hot-tub.' Sunday from 6pm-midnight is women only. A sexually oriented sauna with lesbian-only nights. Ring up and report back","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"The East West Healing Center","Healing Center","3895 18th St","","San Francisco","CA","(at Sanchez) Tel.863-1980 Hours are from 9am to 5pm on Wednesdays.The clinic offers both diagnostic and therapeutic services through acupuncture and Chinese herbal medicine.The clinic will concentrate much of its effort on treatingSTS(sexually transmitted diseases)","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Lyon-Martin Women's Health Services","Health Center","2252 Filmore St","","San Francisco","CA","94115 Tel. 921-1243. All women staff - mostly gay. The hours are 6pm-1Opm. The emphasis is on preventive medicine.Lesbian health problems are given top priority. Monday is general clinic night and Wednesday is for gynecology","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Buena Vista Women's Services","Health Center","2000 Van Ness","","San Francisco","CA","Tel. 771-5000. Lesbian gynecology clinic. Moderate fees.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Women's Needs Center","Health Center","","checked","San Francisco","CA","Tel. 221-7371. Mon- Fri 10am-5pm. Phones from 10am.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Acceptance House","Alcoholism, Chemical Dependency, Drug Abuse Counseling","1710 Golden Gate Ave","","San Francisco","CA","94115 Tel. 931-4994. Acceptance House is the oldest gay residential treatment program in the nation. ","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"LAMDA News","Publication","PO Box 26044","checked","San Jose","CA","95159 office 615 Stockton Ave 95126 Tel. 295-1340. Non-sexist gay monthly newspaper. Includes a very handy directory for the entire area. Pick up your copy in any of the places listed here.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Our Paper","Publication","973 Park Ave","","San Jose","CA","95126. Tel. 289-1088/297-9506. Santa Clara County's bi-weekly gay newspaper. Well balanced from every point of view, it's an excellent source of resource material. Free in most bars/$12.00for a six-month subscription.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Billy de Frank Lesbian & Gay Community Center","Center","86 Keyes Street","","San Jose","CA","(between south 2nd and south 3rd)Tel.293-4525/hotline and info. 293/AGAY after-hours and business line. Lesbian rap group, Friday evening. Women's coffeehouse,Wednesday evening. Slightly older lesbian group/GayAA/youth group/disabled group. Open Mon 6pm-9pm Tues, Weds, Fri etc 6pm-9pm.","***(**)","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"National Organization of Women/SJ","NOW","PO Box 2G","checked","San Jose","CA","95109, Tel. 297-4NOW, 297-4660. Answering service.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Toyon","Bars","1035 South Saratoga/Sunnyvale Rd","checked","San Jose","CA","95129. Tel.446-1900. Disco","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"The Savoy","Bars","20469 Silverado","","San Jose","CA","(Cupertino)Tel. 446-0948. Video games/live entertainment nights. Open 7 days a week 2pm-2am. Sunday brunch.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Buck's Saloon & Ice Cream Parlour","Bars","301 Stockton Ave","","San Jose","CA","Tel. 279-9825. Fancy ice-cream and drinks/dance floor/video games/pool tables/ lounge bar. Separate video games room. Open daily from 11am-2am. ","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Kevin's","Bars","10095 Saich Way","","San Jose","CA","(Cupertino). Kevin also owns the women's bar TOYON.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Interlude","Bars/Restaurants","4942 Stevens Creek Blvd","","San Jose","CA","Tel.244-2829. Piano bar and dancing. Gay women use the restaurant more than they do the bar.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Dean Enterprises","Dating Services","PO Box 26044","checked","San Jose","CA","95159. Introducing a Northern California gay/bi dating service for men and women. Confidential, reliable, convenient. Mail forwarding service available. Meet by phone or mail.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"The Mediation Institute of California","Mediation Consultant","1798 Technology Dr Suite 5","","San Jose","CA","95110. Tel. 298-5353. Chuck Foley MS- Specializing in relational mediation, divorce, child custody, runaway negotiations, etc, etc.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Grace Kubota Ybarra","Attorney","4020 Moorpark Ave Suite 111","","San Jose","CA","Tel. 241-9950.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Jose, CA, United States",-121.8852525,37.33874,"san jose, ca, usa"
"Cal State Poly/SLO","Group","","checked","San Luis Obispo","CA","Tel 546-0111.","*","Organizations","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","San Luis Obispo, CA, United States",-120.6596156,35.2827524,"san luis obispo, ca, usa"
"Journey/s Inn","Bars","2115 Broad St","","San Luis Obispo","CA","93401. Tel. 543-1177. Disco dancing. Open 1pm-2am and very, very highly recommended. Snacks served. Happy hour 5-7pm, $1.50 pitcher beer, day Tuesday. One visitor's comment: 'mixed, friendly crowd, good tunes and good vibes. The atmosphere is nice.' ","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Luis Obispo, CA, United States",-120.6596156,35.2827524,"san luis obispo, ca, usa"
"B Stree","Bars","236 South B St","","San Mateo","CA","Tel. 348-4045. Bar and restaurant. The bar is about 100% gay: men 80%, women 20%. Sunday brunch is especially recommended. During the week- daytimes, the restaurant has a mixed gay/straight clientele and is a bit on the expensive side but the food is excellent.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Mateo, CA, United States",-122.3255254,37.5629917,"san mateo, ca, usa"
"BJ's","Bars","721 Lincoln Ave","","San Rafael","CA","94901 Tel. 454-3722. Gay women and men mixing together equally and happily. Not a fancy place but a good feeling. And fun. Highly recommended by WISHING WELL.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","San Rafael, CA, United States",-122.5310874,37.9735346,"san rafael, ca, usa"
"Dignity","Religious Groups","PO Box 1818","checked","Santa Ana","CA","Orange County 92701. Tel. 972-1509. Liturgies, raps, many activities.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Santa Ana, CA, United States",-117.867653,33.7454725,"santa ana, ca, usa"
"Womancare","Health Center","424 Pennsylvania Ave","","Santa Ana","CA","Tel. 298-9352. A Feminist Women's Health Center.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Ana, CA, United States",-117.867653,33.7454725,"santa ana, ca, usa"
"Metropolitan Community Church","Religious Groups","230 Lighthouse Rd","","Santa Barbara","CA","93120. Mail to PO Box 2256, Santa Barbara. Tel. 966-6770. Many women. Sunday evening service, social activities and info.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Gay/Lesbian Resource Center","Center","1128 De la Viña St","","Santa Barbara","CA","93101.Tel.963-3636.Drop-in center for info, 'coffeehouse nights', raps for women, counseling etc. Referrals/GayAA/ evening events every night. Their publication THE BULLETIN.Open 1Oam-4pm Mon-Fri/ 1Oam-3pm Sunday.","***(**)","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Women's Community Building","Center","423 W Victoria ","","Santa Barbara","CA","(room 1) 93101 Tel. 965-6073. Answering machine, most of the time. Their publication COMMUNITY NEWS DATING SERVICE","****","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Gay People's Union/University of California at Santa Barbara","Group","","checked","Santa Barbara","CA","Meets 7pm in the Women's Center of the campus.","**","Organizations","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Gay/Lesbian Radio Collective","Radio Program","","checked","Santa Barbara","CA","Tel. 963-3636. Airing time: Weds 7pm-1Opm 91.9FM. A project of the Gay/Lesbian Resource Center. The program welcomes chats with out of town visitors.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"The Unicorn","Bars","30 W Cota","","Santa Barbara","CA","Tel. 965-6701. Small dance floor, good sounds, pool table, beer and wine bar. Clientele: mostly gay women most of the time- great, friendly women!","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"The Trackside","Bars","215 State St","","Santa Barbara","CA","Tel. 963-5488.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"The Pub","Bars","224 Helena Ave","","Santa Barbara","CA","962-3911. A very friendly all gay bar. Lots of women do attend now. There's a pool table and a very large dance floor. Live DJ on weekends. Open until 2.00am and highly recommended.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Baaudelaire's","Coffeehouse/Bar","435 State St","","Santa Barbara","CA","Tel. 964-9007. A straight coffeehouse-type place with woman-only Wednesday nights. It is well attended by the lesbian community. Beer/wine/record music and dancing. $1.00 cover charge. Very highly recommended.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Matrix","Publication","418 Cedar St","","Santa Cruz","CA","Santa Cruz Ca. 95060. Tel. 429-1238. Monthly women's newspaper $8.00 per year. Lots of lesbian news and events listed. Monthly calender. ","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"The Blue Lagoon","Bars","923 Pacific Ave","","Santa Cruz","CA","Tel.423-7117. Conflicting reports. (1) male-dominated cruise bar/not a comfortable place for women a tall.(2)a nice.quiet bar with no dancing. Excellent for gay women who just want to drink together and chat quietly.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Cha Cha's (née Mona's Gorilla Lounge)","Bars","1535 Commercial Way","","Santa Cruz","CA","(off Soquel Drive and the intersection of Highway D). Wednesday is women's night and they do hold benefits for MATRIX, but mostly its gay men/some straights too.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"The Staff of Life","Restaurant","1305 Water St","","Santa Cruz","CA","Wholefood/vegetarian restaurant. Nice atmosphere.","*","Restaurants","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Caffe Domenica","Coffeebar","418 Cedar St","","Santa Cruz","CA","Tel. 427-3520. Located right next to the MATRIX office, this has become a feminist hang-out and a good place to meet new women. ","*","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Bookshop","Bookstores","1547 Pacific Garden Mall","","Santa Cruz","CA","Tel. 463-0900. Excellent Gay/Lesbian section. They sell MATRIX and have a Gay/Lesbian bulletin board. Open 10am-10pm.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Santa Cruz Women's Health Center","Health Center","250 Locust St","","Santa Cruz","CA","95060. Tel. 427-3500/ emergency service till midnight 452-5211. Gyn/health therapy. Their resource book: LESBIAN HEALTH MATTERS, which, as well as being a landmark, is excellent. Center hours: Mon 10am-4pm/Tues 10am-7pm/Weds 10am-4pm & 7pm-9pm/Thurs 9am-4pm/Fri 10am-4pm/
METR_O_POLITANCOMMUNITY CHURCH: 4949 Foothill Road Ventura Ca 93001. (Uses Unitarian Church, Sunday evening services 7pm) Tel. 653 5291. Many women involved
Sat9am-1pm.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Health Matters","Health Center","","checked","Santa Cruz","CA","which, as well as being a landmark, is excellent. Center hours: Mon 10am-4pm/Tues 10am-7pm/Weds 10am-4pm & 7pm-9pm/Thurs 9am-4pm/Fri 10am-4pm/Sat 9am-1pm.
","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Gertie's","Restaurant/Coffeehouse","250 Sebastopol Rd","","Santa Rosa","CA","Tel. 576-9247. Open Thurs. 4-10pm/Fri 4pm-10pm/Sat 4pm till late (entertainment on Saturday nights). Sunday brunch at 10:30. Friday & Saturday night full dinner menu- and it is excellent and reasonable. Very friendly women/helpful to visit. GERTIE'S IS A WOMAN-ONLY SPACE. Be sure and say hi from GAIA.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Rosa, CA, United States",-122.7140548,38.440429,"santa rosa, ca, usa"
"Heartwood Spa","Spa","3150A Mission Dr","","Santa Cruz","CA","Sunday night is women's night. Outdoor hot-tub. Very highly recommended.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Santa Rosa Inn","Bars","4301 Santa Rosa Ave","","Santa Rosa","CA","(near the Expressway) Tel. 584-0345. Recommended. Very loud disco. Pool Table. (Alternate phone number: 584-9805) 80% gay men/ 20% gay women.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Rosa, CA, United States",-122.7140548,38.440429,"santa rosa, ca, usa"
"Revelation","Restaurant","1446 Mendocino Ave","","Santa Rosa","CA","Tel. 526-2225. Natural sandwiches, soups and salads. Fast food, vegetarian, great desserts.","*","Restaurants","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Rosa, CA, United States",-122.7140548,38.440429,"santa rosa, ca, usa"
"Metropolitan Community Church of the Everlasting Light","Religious Groups","","checked","Stockton","CA","Tel. 943-5277. A quite charming voice (female) comes on with a taped message of current events.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Stockton, CA, United States",-121.2907796,37.9577016,"stockton, ca, usa"
"Copperfield's Books","Bookstores","146 North Main St","","Santa Rosa","CA","Tel. 823-2616.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Santa Rosa, CA, United States",-122.7140548,38.440429,"santa rosa, ca, usa"
"Scotty's Den","Bars","147 North Aurora","","Stockton","CA","95206. Tel. 462-2624. Beer and wine bar. Pool tables/ dancing/a woman owned bar for women.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Stockton, CA, United States",-121.2907796,37.9577016,"stockton, ca, usa"
"Lesbian and Gay Associated Engineers & Scientists","Special Interest Groups","PO Box 70133","checked","Sunnyvale","CA","94086. A social/professional/political group doing a mainstream outreach and want to go national. They have a resume file, a questionnaire for employers, companies who recruit through them, placement specialists who work with them.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Sunnyvale, CA, United States",-122.0363496,37.36883,"sunnyvale, ca, usa"
"Paradise (née Willie's)","Bars","4206 W Lane","","Stockton","CA","Tel. 466-2277. One of the nicest bars in the","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Stockton, CA, United States",-121.2907796,37.9577016,"stockton, ca, usa"
"Our Bar","Bars","832 Sonoma Blvd","","Vallejo","CA","94590 Tel. 552-9948or644-4584.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Vallejo, CA, United States",-122.2566367,38.1040864,"vallejo, ca, usa"
"Gay 90's","Bars","1803 Harbor","","Stockton","CA","95206. Tel 463 6916. Monday is best for women. Sunday beer bust: 3pm-7pm -very well attended by women.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Stockton, CA, United States",-121.2907796,37.9577016,"stockton, ca, usa"
"Wicca Mountain","Retreat","PO Box 13","checked","Willits","CA","95490. Location address: 3540 Ridgewood Road Tel. 459-5776. A special retreat for womyn only. Swimming pond and camping space ($3.00 per night). They also have a summer camp for young womyn 7-13 years of age (June/July). All reports are good ones.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Willits, CA, United States",-123.3555656,39.4096079,"willits, ca 95490, usa"
"Metropolitan Community Church","Religious Groups","4949 Foothill Rd","","Ventura","CA","Ventura Ca 93001. (Uses Unitarian Church, Sunday evening services 7pm) Tel. 653 5291. Many women involved, Sunday services plus social activities and resources. ","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Ventura, CA, United States",-119.2945199,34.2804923,"ventura, ca, usa"
"The Hub","Bars","1220 Pine St","","Walnut Creek","CA","94520 Tel. 938-4550. Dance bar/games/special women's entertainment nights and very highly recommended. 'The environment is good and so is the music (live DJ).' Open Monday to Friday 4pm-2am/Sat 6pm-2am/Sun 3pm-2am.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Walnut Creek, CA, United States",-122.0651819,37.9100783,"walnut creek, ca, usa"
"The Wild Goose","Bars","2485 East Main St","","Ventura","CA","(West of Leaward Ave- in a back alley on the north side of the street, right next to CARPENTERIA) Tel. 653-9194. Apparently there are signs saying 'this is a no-touch bar' and 'there should be no flying of colors'. However, this is a REAL friendly place with taped disco music, pool tables and highly recommended.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Ventura, CA, United States",-119.2945199,34.2804923,"ventura, ca, usa"
"Mutha's Inn","Bars/Restaurants","","checked","Woodacre","CA","Details please.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Woodacre, CA, United States",-122.645261,38.0127006,"woodacre, ca, usa"
"Ollies of Oakland","Bars","4130 Telegraph Ave ","","Oakland","CA","Tel. 653-6017 Lesbian super-bar complex Dance Hall/Gallery/Performance Space (the very best in womyn's entertainment)/Music/Film Shows/etc. Restaurant and recommended by everybody.","****","Bars, Clubs, Coffeehouses","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Bench & Bar","Bars/Restaurants","120 11th St","","Oakland","CA","94607 Tel. 444-2266. It's straight during the day and gay at night only. Disco/lunch/brunch.","**MGM","Bar/Restaurant","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Cheese and Coffee Center","Restaurants","2110 Allston Way","","Berkeley","CA","Tel 848-7115. Outdoor seating and deli. Clientele: women. (Located in Trumpetvine Court)-downtown Berkeley","*","Restaurants","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Revol","Bars/Restaurants","3924 Telegraph","","Oakland","CA","(Oakland) Tel 652-6870. The bar is MGM but the adjoining
Restaurant is slightly more mixed and is worth going to anyway because the food and service
are very good. It's fairly expensive","**MGM","Bar/Restaurant","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"The Old Mole","Bookstore/Coffeehouse","1942 University Ave","","Berkeley","CA","University Walk (between Grove and Milvia) Berkeley 540-6077 Monday-Saturday 10am-11pm. Serving espresso, drip coffee and pastries Now offering a fine selection of books by and about women - fiction and non-fiction, cloth and paper for your delight and special gifts.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Jubilee","Bars","4900 Bancroft","","Oakland","CA","Tel. 534-4055 Just off HighStreet, in Oakland You have to knock at
the door and wait to be admitted. Pool table/video games/disco","***","Bars, Clubs, Coffeehouses","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Lesbian Guest House","Guest House","","checked","Oakland","CA","Tel. 536-6064. In Oakland, near Fruitvale/Freeway 580. Kitchen
privileges, no pets.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"A Woman's Place Bookstore","Feminist Bookstore","4015 Broadway ","","Oakland","CA"," (Oakland) (by 40th Street); 94611. Tel. 547-9920. Over 9000 titles... by, for and about women. Children's area, bulletin board, lounge, library, wheelchair accessible. Parking in rear. Information center open every day of the year! I 10am-6pm & until 9pm Tuesdays. They sell GAIA'S GUIDE.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"The Brick Hut","Restaurants","3222 Adeline Ave","","Berkeley","CA","(near Alcatraz Ave) Berkeley Expanded menu, spacious new restaurant.","**","Restaurants","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Sandwiched Inn ","Restaurants","3943 Piedmont Ave","","Oakland","CA","Tel 655-1202. Lunches and dinners. Women owned and recommended Outdoor courtyard Open 11am-7pm Mon-Fri and Sat till 6pm.","*","Restaurants","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
