"title","description","type","city","state","country","publication","year","notes","geocode.value","lon","lat","geoAddress"
"Gay People’s Alliance","","Groups","Columbia","MO","United States","Gaia's Guide",1981,"","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"The Woman’s Place","Tel.(314) 442-3212.""All types of women's books and publications’ albums (Olivia, etc.) complete feminist book stock. We also have a Sisterhood Support Network, CR groups, referrals and community. Information board. We are a non-profit organization run by volunteers.""","Feminist Bookstore","Columbia","MO","United States","Gaia's Guide",1981,"","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"Pride Community Center","Tel.781-9494.Switchboard Gay Line 7-11pm. Newsletter.","Centers","Joplin","MO","United States","Gaia's Guide",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Opal's Play Mor","","Bars","Joplin","MO","United States","Gaia's Guide",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Helton’s","Tel.632-9238.Open: 10am-1:30 am.","Bars","Joplin","MO","United States","Gaia's Guide",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Club La Vie","Tel.632-9313.Open: 10am-1:30am.","Bars","Joplin","MO","United States","Gaia's Guide",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Gallery I","","Bars","Joplin","MO","United States","Gaia's Guide",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Gay Community Services","","Services","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Metropolitan Community Church","Tel.921-
5754. The Christian Church with an outreach to the Gay Community.","Religious Groups","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Kenny’s Korral","Tel.(816)531-8866.","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Windjammer","Tel.471-9449","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Round Up","","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Sky High Lounge","","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Red Head","","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Dover Fox","Tel.753-9777","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Oasis","Tel.578-4318","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Jeremy’s","Tel.531-9895.Open: 4pm-1.30am","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Jewel Box","Tel.561-2905-Open: 6pm-","Bars","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Time To Read Bookstore","Tel. 471-0868. Open: 10am-10pm. Gay titles for women and men.","Bookstore","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Westport Bookstore","Tel.931-9822.Open: 11am-5:30pm. Gay titles for men and women.","Bookstore","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"New Earth Bookstore","Tel.931-5794.""We are a feminist bookstore committed to providing our community with alternative options. We have largest selection of lesbian and gay books and periodicals in the Kansas City area, as well as extensive selection of feminist books, records,
jewelry.","Bookstore","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Actor’s Sorority","Tel.(816)483-5693.The local all-woman, feminist theater group. Contact them for details about current programs, etc.","Production Company","Kansas City","MO","United States","Gaia's Guide",1981,"","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Corby Inn","Tel.364-9161.","Bars","St. Joseph","MO","United States","Gaia's Guide",1981,"","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa"
"Moonstorm","Lesbian/femlnist
publication—big newsletter style. Monthly.Free. $1.00 per copy- $6.00 per year.","Publications","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"N.O.W./Southwest County","Tel.965-1105. And see MOONSTORM for correct, current details.","Groups","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Gay Crisis Intervention Hotline","Tel.(314) 0084.Monday to Friday, 6-11pm; Sat & Sun. noon-6pm.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Lesbian Mothers Rap Group","Tel. 865-4623. ""We meet regularly on Saturday evenings at 7:30 to discuss problems in dealing with children, custody cases and other concerns"". Open to lesbian mothers and supporters. See MOONSTORM for correct current details","Lesbian Mothers","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Midcontinent Life Services Corp.","Tel.(314) 367 0492.Open: Monday to Friday 9am-5pm. Gay social service agency. Emergency housing, crisis intervention and legal resources. Publisher of various publications ""Prime Time"", media watchdog, etc.","Centers","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Metropolitan Community Center","Tel.361-7264.Switchboard, religious and social activities, counselling and referrals. Gay women’s rap group, 2nd and 4th Friday of each month at 8pm. The Christian church with an outreach to the gay community.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Middle Of The Road","Tel. (314) 652-4438.Open: Mon-Fri 4pm-1.30am; Sat noon-1.30am; closed Sun. Private club. Feminist bar, feminist atmosphere. Snacks, dancing, pool table, occasional women’s entertainment. Highly recommended.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Potpourri","Tel.(314) 361-9203. Downstairs from ""The Bottom of the Pot"". Recommended.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Herbie's","Tel.(314)361-6200. Restaurant, bar and disco. ""Extremely popular with attractive decor and live plants. Good dance floor and membership cards free"". Open 4:30pn-l:30 am.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Kitty Kat Club","Tel.776-5083","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Balaban's","Tel.361-9071. Open: 10am-10pm. Restaurant and bar.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Charlie’s","Tel.621-9624.Open: 4pm-1.30am. Mostly gay men.","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Club 115","Open: 4pm-1.30am","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Golden Gate Bar","Tel.371-6510.Open: 4pm-1:30am. Disco","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Martin's","Tel.421-3242. Open: 9.30pm-1:30am. Disco","Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Faces","200-seat show bar. Huge disco on another level. Private bar for women only. Big name live entertainment. Highly recommended.","Show-Bars","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"City Cousin Restaurant","Tel (314) 535-2465. Open: Sun, Tues, Wed & Thurs. 6pm-10pm; Fri 6pm-11pm; Sat 6pm-midnight; closed Mon. ""Country-style French cooking. Dinners from $6.50-$9.00 incl. salad, potato or veg. Comfortable atmosphere."" Highly recommended","Restaurants","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Jefferson Avenue Boarding House","Tel. 771-4100.""....very unusual restaurant...""","Restaurants","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Llewellyn's Welsh Pub","Tel. 361-3003. Bohemian atmosphere.","Restaurants","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Balaban's","Tel. 361-9701. Lunches and evening meals. French food.","Restaurants","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Herbie's","Tel. (314) 771-4100. ""Sensational food and great service.""","Restaurants","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"The Woman’s Eye","Tel.(314) 721-1616.Feminist bookstore and library. Women’s resource center, records, buttons, posters, T-shirts, jewlery, pottery. Open-11:30am-8pm. Weds/ Thurs/ Fri. & 11 am-5 pm Sat. They sell GAIA'S GUIDE.","Bookstore","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"The Bookshelf","Tel.241-3260.","Bookstore","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"The Bookshelf","Tel.361-3521. General bookstore — gay/feminist section.","Bookstore","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Olive Street News","Tel.371-133O.Open; 11am-6pm. Gay titles for men and women.","Bookstore","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Left Bank Books","Tel. (314) 367-6371.Gay books, feminist books and Gaia’s Guide. Open: Mon. 10an-6pm; Tues/Sat. 10am-.l0pm.--Records, posters, bulletin board, coffee & tea served. They also sell used books.","Bookstore","St. Louis","MO","United States","Gaia's Guide",1981,"","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"The Galaxy","Tel. (417)866-8826.","Bars","Springfield","MO","United States","Gaia's Guide",1981,"","Springfield, MO, United States",-93.2922989,37.2089572,"springfield, mo, usa"
"Homo on the Range","Tel.(406)728-8758. The publication of Out in Montana. Free—but donation appreciated.","Publications","Missoula","MT","United States","Gaia's Guide",1981,"","Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Crystal Lounge","""Might be gay - might not be?""","Bars","Billings","MT","United States","Gaia's Guide",1981,"","Billings, MT, United States",-108.5006904,45.7832856,"billings, mt, usa"
"Amazon Spirit","The publication of THE MONTANA LESBIAN COALITION. Bi-montnly: $5.00 per year.","Publications","Helena","MT","United States","Gaia's Guide",1981,"","Helena, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Montana Lesbian Coalition","$7.50 per year includes subscription to bi-monthly ""Amazon Spirit"". ""HLC 13 a statewide organization providing contacts, info and support to lesbians in Montana. Regular meetings not yet held but MLC occasionally co-sponsors cultural events, etc.","Groups","Helena","MT","United States","Gaia's Guide",1981,"","Helena, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Helena Women's Center","Tel.(406)443-5353.Contact them for correct current details about the activities of the LESBIAN FEMINIST UNION and GAY WOMEN'S NETWORK. Helpful people.","Women's Centers","Helena","MT","United States","Gaia's Guide",1981,"","Helena, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Out in Montana","Tel.(406)728- 8758. ""A statewide group of lesbians and gay men involved in gay rights activities and sponsoring periodic social functions. Their publication HOMO ON THE RANGE is free but donations are : Encouraged and greatly appreciated.","Groups","Missoula","MT","United States","Gaia's Guide",1981,"","Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Women's Resource Center","Tel. 243-4153. Open Mon-Fri. 9am-4pm. The center services are primarily, but not exclusively for students. Contact with Missoula Gay Women’s Network should be made through them. Their publication: MONTANA WOMEN'S RESOURCE. You w ill find them extremely helpful.","Women's Centers","Missoula","MT","United States","Gaia's Guide",1981,"","Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Al & Vic's Bar","Tel. (406) 728-9970. They say ...""we feel this is basically a bisexual singles bars - some weirdo’s but mostly O.K. Friday is swap night!"" (They get five stars for honesty.) Open: 7am-2am. Pool table, pin ball.","Bars","Missoula","MT","United States","Gaia's Guide",1981,"","Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Pathway Lounge","Tel. 434-3659.","Bar/Restaurant","Jersey City","NJ","United States","Gaia's Guide",1981,"","Jersey City, NJ, United States",-74.0431435,40.7177545,"jersey city, nj, usa"
"Pad I","","Bars","Paterson","NJ","United States","Gaia's Guide",1981,"","Paterson, NJ, United States",-74.171811,40.9167654,"paterson, nj, usa"
"The Asylum","Tel. (201)491-3859. Encouraging gay patronage. Wallington is north
of Rutherford and east of Passaic. Phone up for directions.","Bars","Wallington","NJ","United States","Gaia's Guide",1981,"","Wallington, NJ, United States",-74.1137537,40.8531553,"wallington, nj, usa"
"Sound Effects","Tel.759-5126. VERY loud disco with a huge dance floor. About 50% gay women—local crowd.","Bars","Belleville","NJ","United States","Gaia's Guide",1981,"","Belleville, NJ, United States",-74.1500469,40.7936744,"belleville, nj, usa"
"Albion Hotel/Motel","Tel. 776-8300.","Hotel","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"My Sister's Place","Tel. (201) 944-2236. They sell GAIA'S GUIDE and are very nice people.--Walking distance from the George Washington Bridge.-- A very highly recommended place.","Feminist Bookstore","Fort Lee","NJ","United States","Gaia's Guide",1981,"","Fort Lee, NJ, United States",-73.9701381,40.8509333,"fort lee, nj 07024, usa"
"Gay Activists Alliance/Morris County,","Tel.(201 )762-6217.Meetings at: Morristown Unitary Fellowship, Normandy Heights,Morristown. All gay women and _","Groups","Morristown","NJ","United States","Gaia's Guide",1981,"","Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Odyssey Club","Tel.(201)775- 9819- Showtime: 11pm on Sundays; Sunday brunch: 1-4pm. Recommenced.","Bars","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"M & K Club","Tel.(201)775 9694.This is a disco club with five bars and two disco floors. The entire second floor is for women only. Sunday is show night at 11:30pm. Very, very highly recommended.","Bars","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Forty West","","Bars","Trenton","NJ","United States","Gaia's Guide",1981,"","Trenton, NJ, United States",-74.759717,40.2205824,"trenton, nj, usa"
"Chez Disco/DCA","Tel. 344-9876.","Bars","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Mama Mott’s","","Restaurants","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Sapphic Sisters","Tel.(201)757-
1073-Hotline, monthly newsletter, regular meetings and other
happenings. Counseling and referrals. Alternate phone
number: 245-7024 Also: Amazon Autumn Conference committee/organizes all lesbian yearly conference in New
Jersey—workshops on politics, health,sexuality, etc.","Groups","Union","NJ","United States","Gaia's Guide",1981,"","Union, NJ, United States",NA,NA,NA
"Emerald City","Tel.(215)923-0233.Dinners ""rom 7pm—disco from 10pm. Weds/Fri/Sat. Alternate phone number: (609)488-0222.","Bar/Restaurant","Cherry Hill","NJ","United States","Gaia's Guide",1981,"","Cherry Hill, NJ, United States",-75.0246312,39.926813,"cherry hill, nj, usa"
"Mine Hill Tavern","Tel. 366-9611","Bars","Dover","NJ","United States","Gaia's Guide",1981,"","Dover, NJ, United States",NA,NA,NA
"Lamplighter","Tel. 966-1421. Ring up for directions because it’s hard to find. About 50% gay women and very highly recommended.","Bars","Camden","NJ","United States","Gaia's Guide",1981,"","Camden, NJ, United States",NA,NA,NA
"Herizon","Tel. (201) 267-3858.Records, buttons, jewelry, posters,concert tickets, book parties, mail order service, bulletin board, referral service . menstrual sponges, T-shirts & GAIA’S GUIDE.","Feminist Bookstore","Morristown","NJ","United States","Gaia's Guide",1981,"","Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Lyle's Place","Tel. (609)345-0955.0pen 7:30am-4pm for lunches. Recommended.","Restaurants","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Rap Line","Tel.(609)667-4766.Rap line of the South
Jersey Lesbian/Feminists.","Services","Cherry Hill","NJ","United States","Gaia's Guide",1981,"","Cherry Hill, NJ, United States",-75.0246312,39.926813,"cherry hill, nj, usa"
"New Jersey Gay Coalition","Tel.(609)921-2565."" A committee of delegates drawn from over a dozen NJ. community, university and religious groups. Their publication: CHALLENGE","Organisation and Services","Morristown","NJ","United States","Gaia's Guide",1981,"","Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Bea's Inn","Tel.525-9436.","Bars","Paterson","NJ","United States","Gaia's Guide",1981,"","Paterson, NJ, United States",-74.171811,40.9167654,"paterson, nj, usa"
"Challenge","Tel.(201)691 0388.Local and national news, poetry + events calendar and very handy ""places to go"" column. $5.00 p.a.","Publications","Morristown","NJ","United States","Gaia's Guide",1981,"","Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Closet Lounge","Tel. 697-9801. bar/restaurant/disco. Open 10am-3am. Closed Weds. Recommended.","Bars","Landisville","NJ","United States","Gaia's Guide",1981,"","Landisville, NJ, United States",-74.938343,39.5251132,"landisville, buena, nj, usa"
"United Sisters","Tel. 233-3848.","Services","Union","NJ","United States","Gaia's Guide",1981,"","Union, NJ, United States",NA,NA,NA
"Murphy’s","Tel.622-9176.Open 11am-2am/3am. Dance bar. Clientel: gay women and men of all ages.","Bars","Newark","NJ","United States","Gaia's Guide",1981,"","Newark, NJ, United States",-74.1723667,40.735657,"newark, nj, usa"
"A Place of One's Own","Tel.(201)254 9774.A restaurant for feminists and their friends. Highly recommended","Restaurants","South River","NJ","United States","Gaia's Guide",1981,"","South River, NJ, United States",-74.3859831,40.446495,"south river, nj, usa"
"Something's Fishing","Tel. 473-9144.","Bars","Passaic","NJ","United States","Gaia's Guide",1981,"","Passaic, NJ, United States",-74.1284764,40.8567662,"passaic, nj, usa"
"Boardwalk Bookstore","Tel. 348-0800. General bookstore—gay titles.","Bookstore","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Country Crepe Shoppe","Tel. 540-0017.Lunch, dinner, cocktails and happy hours.","Bar/Restaurant","Morristown","NJ","United States","Gaia's Guide",1981,"","Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Cell's Saratoga","Tel. 344-3578.Breakfast and lunches. Also drag shows. Recommended.","Show-Bars","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Louise's Entertainers Club","Tel. (609 )34 4-9223.Dance bar/piano bar. Food, drag shows, free buffets in the summer on Sunday afternoons, and Sunday brunches in the winter. Summer hours: noon-4am/10am (weekends). Winter hours: 3pm-4am & noon-4am (weekends). Cliental: gay women and men.","Show-Bars","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"New Jersey Gay Switchboard","Tel. (609)921-2565.","Services","Union","NJ","United States","Gaia's Guide",1981,"","Union, NJ, United States",NA,NA,NA
"Tea & Symphony","Tel. (201)947-9744. Crepes, salads, soups, desserts, chili. Live music on Fridays, Saturdays and Sundays. Open: Mon.-Thurs. 11am-10pm; Fri. & Sat. 11am-2am; Sun 1pm-midnight.","Coffeehouses","Fort Lee","NJ","United States","Gaia's Guide",1981,"","Fort Lee, NJ, United States",-73.9701381,40.8509333,"fort lee, nj 07024, usa"
"O'Bailey's","Tel. 353-9154.","Bar/Restaurant","Elizabeth","NJ","United States","Gaia's Guide",1981,"","Elizabeth, NJ, United States",-74.2107006,40.6639916,"elizabeth, nj, usa"
"Market Street Spot","Tel. 523-1596. General bookstore—gay titles.","Bookstore","Paterson","NJ","United States","Gaia's Guide",1981,"","Paterson, NJ, United States",-74.171811,40.9167654,"paterson, nj, usa"
"Casa Lido","Tel. 394-8158.Dance 1 bar—some straights do frequent. Open 9am-2am.","Bar/Restaurant","Trenton","NJ","United States","Gaia's Guide",1981,"","Trenton, NJ, United States",-74.759717,40.2205824,"trenton, nj, usa"
"Bond Street","","Bars","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Asbury Hudson Hotel","Tel.(201)775-9664.A hotel for gay men and women.","Hotel","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Top of the Rail","Tel.(609)344-7595.Food, dancing, entertainment. A private women’s bar with over 3000 members. Open 24 hours. Downstairs s the Brass Rail--a gay bar with mixed clientel. —Very, Very
highly recommended.","Bars","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Wooden Indian","Tel.(609)392-9574.Congenial atmosphere, two dance floors,
occasional entertainment, free snacks. Open: 7pm-2am seven days week. Highly recommended. Separate women’s room—the D.J. is a woman and they sell GAIA'S GUIDE.","Bars","Trenton","NJ","United States","Gaia's Guide",1981,"","Trenton, NJ, United States",-74.759717,40.2205824,"trenton, nj, usa"
"Fancy's Disco","Tel.863—9411.","Bars","Union City","NJ","United States","Gaia's Guide",1981,"","Union City, NJ, United States",-74.0237512,40.7795455,"union city, nj 07087, usa"
"Manny’s Den","Tel.(201)545-7329.","Bars","New Brunswick","NJ","United States","Gaia's Guide",1981,"","New Brunswick, NJ, United States",-74.4518188,40.4862157,"new brunswick, nj, usa"
"Archie’s Lounge","Tel. 775-9741.","Bars","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"J.T.’s Key Club","Small neighborhood dance bar. Dancing, pool table and pin-ball. Some straights but should be O.K.","Bars","Paterson","NJ","United States","Gaia's Guide",1981,"","Paterson, NJ, United States",-74.171811,40.9167654,"paterson, nj, usa"
"The Jazz Date","Shows on Saturday nights. A gay bar.","Bars","Perth Amboy","NJ","United States","Gaia's Guide",1981,"","Perth Amboy, NJ, United States",-74.2654234,40.5067723,"perth amboy, nj, usa"
"Davenport Hotel","Tel. 344-7590. 70 rooms, private baths, air-conditioning, free parking. Near the beach, boardwalk and gay bars. Recommended.","Hotel","Ashbury Park","NJ","United States","Gaia's Guide",1981,"","Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Rap Lines/Morris County","Tel.(201) 347-6234 before noon or weekends:+ 347-3959 evenings or weekends;+ 884-0653 evenings or weekends; + 455-9738 Monday evenings only.","Services","Morris County","NJ","United States","Gaia's Guide",1981,"","Morris County, NJ, United States",-74.5463282,40.8336038,"morris county, nj, usa"
"Gay Alliance of Princeton","Tel.452-5338. Switchboard: Sun. ,Mon. ,Tues. ,Thurs.,—7:30pm-10:30pm. Peer counseling, legal and medical referrals, social activities. Regular weekly meetings.","Groups","Princeton","NJ","United States","Gaia's Guide",1981,"","Princeton, NJ, United States",-74.6672226,40.3572976,"princeton, nj, usa"
"A Place of One's Own","Tel. 254-9774.Open from 5pm. They sell women's music.","Bar/Restaurant","South River","NJ","United States","Gaia's Guide",1981,"","South River, NJ, United States",-74.3859831,40.446495,"south river, nj, usa"
"The Other Half","Tel.254-9600.","Bars","Sayerville","NJ","United States","Gaia's Guide",1981,"","Sayerville, NJ, United States",-74.360846,40.4594021,"sayreville, nj, usa"
"Italian Kitchen","Bar and food after 9pm on Saturdays. Attractive bar, friendly service, juke bor dancing. Gay on weekends. Recommended.","Bars","Newton","NJ","United States","Gaia's Guide",1981,"","Newton, NJ, United States",-74.7526651,41.0581527,"newton, nj 07860, usa"
"Chester Inn","Tel. (609)345-1964. 100 rooms. Swimming pool. Mostly gay men.","Hotel","Atlantic City","NJ","United States","Gaia's Guide",1981,"","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"King's Inn","","Bars","Kingston","NJ","United States","Gaia's Guide",1981,"","Kingston, NJ, United States",-74.6134903,40.3753844,"kingston, south brunswick township, nj, usa"
"Penelope's","Tel. 673-7710. Women's bar downstairs. Recommended.","Bars","East Orange","NJ","United States","Gaia's Guide",1981,"","East Orange, NJ, United States",-74.2048677,40.767323,"east orange, nj, usa"
"Barrell House","Tel. 353-9150. Big disco--free parking.","Bars","Elizabeth","NJ","United States","Gaia's Guide",1981,"","Elizabeth, NJ, United States",-74.2107006,40.6639916,"elizabeth, nj, usa"
"Lambertville House","","Bars","Lambertville","NJ","United States","Gaia's Guide",1981,"","Lambertville, NJ, United States",-74.9429448,40.3659394,"lambertville, nj 08530, usa"
"Musical Bar","Tel.454-9085.","Bars","Phillipsburg","NJ","United States","Gaia's Guide",1981,"","Phillipsburg, NJ, United States",-75.1901761,40.6937099,"phillipsburg, nj 08865, usa"
"Night Moves","Tel.(201)254-9812.s.
club with a cozy atmosphere. Sunday afternoons are great relaxing, having a beer and playing pool. Hot dogs served. Dancing. Open: Wed. -Sat. 8pm-2am;Sun. 2pm-2am.
Closed Mon. & Tues. Very, very highly recommended.","Bars","South River","NJ","United States","Gaia's Guide",1981,"","South River, NJ, United States",-74.3859831,40.446495,"south river, nj, usa"
"Zodiac","","Bars","Trenton","NJ","United States","Gaia's Guide",1981,"","Trenton, NJ, United States",-74.759717,40.2205824,"trenton, nj, usa"
"Lesbian Feminist Collective","Tel.791-9252. Alternate
Phone number: 343-6402","Services","Union","NJ","United States","Gaia's Guide",1981,"","Union, NJ, United States",NA,NA,NA
"Gay People of Princeton","Tel.921-2565 (evenings contact men for correct, current local information.","Services","Princeton","NJ","United States","Gaia's Guide",1981,"","Princeton, NJ, United States",-74.6672226,40.3572976,"princeton, nj, usa"
