type,category
bookstore/feminist specialty shop,Bookstores and Retail
bookstore/publishing house,Bookstores and Retail
bookstore/records,Bookstores and Retail
"bookstores,cruisy areas",Bookstores and Retail
"bookstores/retail shops,cruisy areas",Bookstores and Retail
"bookstores/retail shops,travel/tour operators",Bookstores and Retail
bowling league,Fitness and Recreation
business association,"Organizations, Groups, and Community Centers"
"business,bars/clubs",Bars and Nightlife
"business,book store,erotic shop",Adult Entertainment
"business,book store,theatre",Other or Unclear
"business,cruising areas,book store",Bookstores and Retail
"business,cruising areas,erotic shop",Adult Entertainment
"business,cruising areas,restaurant",Restaurants and Cafes
"business,erotic shop,book store",Adult Entertainment
"business,escort service",Bathhouses and Men's Services
"business,organizations","Organizations, Groups, and Community Centers"
"business,travel service",Professional Services
buttons,Bookstores and Retail
cabin,Accommodations
cabins and camping,Accommodations
cafe,Restaurants and Cafes
cafe / club,Restaurants and Cafes
cafe / gallery,Restaurants and Cafes
cafe/bookstore,Restaurants and Cafes
cafe/coffeehouse,Restaurants and Cafes
camping,Accommodations
cape coral,Other or Unclear
card shop,Bookstores and Retail
cat doctor,Professional Services
center/bookstore,Bookstores and Retail
centers / organizations / groups,"Organizations, Groups, and Community Centers"
centers/organizations/groups,"Organizations, Groups, and Community Centers"
ceremony,Other or Unclear
"church,organizations",Religious and Spiritual
cinema,Arts and Culture
clothing,Bookstores and Retail
club,Bars and Nightlife
coffee bar,Restaurants and Cafes
coffeebar,Restaurants and Cafes
coffeehouse/bar,Restaurants and Cafes
coffeehouse/cafe,Restaurants and Cafes
coffeehouse/cultural center,Restaurants and Cafes
committee,"Organizations, Groups, and Community Centers"
"community center/ support group,publication","Organizations, Groups, and Community Centers"
"community center/support group,hotlines","Organizations, Groups, and Community Centers"
computer services,Professional Services
counseling / health services,"Organizations, Groups, and Community Centers"
counseling and health,"Organizations, Groups, and Community Centers"
counseling and health services,"Organizations, Groups, and Community Centers"
"counseling and health,etc","Organizations, Groups, and Community Centers"
counseling and therapy-private,"Organizations, Groups, and Community Centers"
counseling center,"Organizations, Groups, and Community Centers"
counselling/health,"Organizations, Groups, and Community Centers"
country b and b,Accommodations
country trips,Professional Services
craft market,Bookstores and Retail
crafts shop and gallery,Arts and Culture
"cruising areas,accommodations",Accommodations
"cruising areas,bars/clubs,hotel,restaurant",Restaurants and Cafes
"cruising areas,bathhouses,bars/clubs,hotel",Bars and Nightlife
"cruising areas,book store,bars/clubs",Bars and Nightlife
"cruising areas,business,erotic shop,restaurant,bars/clubs",Restaurants and Cafes
"cruising areas,campground",Accommodations
"cruising areas,erotic shop,restaurant,book store",Restaurants and Cafes
"cruising areas,erotica",Adult Entertainment
"cruising areas,hotel,restaurant",Restaurants and Cafes
"cruising areas,hotels",Accommodations
"cruising areas,hotlines",Information and Emergency Services
"cruising areas,publications",Publications
"cruising areas,theatre,erotic shop,book store",Other or Unclear
"cruising areas,travel service",Professional Services
cultural center,"Organizations, Groups, and Community Centers"
cultural complex,Arts and Culture
dance lessons,Fitness and Recreation
daytona,Other or Unclear
disco/baths,Bars and Nightlife
distributors,Other or Unclear
drug clinic,"Organizations, Groups, and Community Centers"
emergency victim services,Information and Emergency Services
"erotic shop,theatre",Adult Entertainment
"erotica,book stores or retail shops",Adult Entertainment
"erotica/adult groups,cruising areas",Adult Entertainment
feminist / lesbian bookstore,Bookstores and Retail
feminist / progressive bookstore and cafe,Restaurants and Cafes
feminist books - mail order,Bookstores and Retail
feminist bookstore / coffeehouse / art gallery,Restaurants and Cafes
feminist bookstore / restaurant / overnight lodging,Restaurants and Cafes
feminist bookstore and art gallery,
feminist bookstore and women's resource center,Bookstores and Retail
feminist center and bookstore,"Organizations, Groups, and Community Centers"
feminist entertainment center,"Organizations, Groups, and Community Centers"
feminist garage,Other or Unclear
feminist health clinic,"Organizations, Groups, and Community Centers"
feminist library and newsletter,Publications
feminist organization and networking center,"Organizations, Groups, and Community Centers"
feminist periodical,Publications
feminist restaurant and bookstore,Restaurants and Cafes
feminist retreat,"Organizations, Groups, and Community Centers"
feminist theater group,Arts and Culture
feminist theatre,Arts and Culture
feminist therapists,"Organizations, Groups, and Community Centers"
festival,Arts and Culture
"for review,restaurant",Restaurants and Cafes
friendship network,"Organizations, Groups, and Community Centers"
funeral director,Professional Services
funeral services,Professional Services
gay / lesbian / feminist bookstore,Bookstores and Retail
gay / lesbian library,Arts and Culture
gay / lesbian organization,"Organizations, Groups, and Community Centers"
gay / lesbian political group,"Organizations, Groups, and Community Centers"
gay boutique,Bookstores and Retail
gay coffeehouse,Restaurants and Cafes
gay gift shop,Bookstores and Retail
gay helpline,Information and Emergency Services
gay information line,Information and Emergency Services
gay news and events,Publications
gay oasis,Accommodations
gay relationship club,"Organizations, Groups, and Community Centers"
gay resort,Accommodations
gay shop,Bookstores and Retail
gay/bookstore,Bookstores and Retail
gay/lesbian bookstore and cafe,Restaurants and Cafes
gay/lesbian organzation,"Organizations, Groups, and Community Centers"
gay/lesbian political group,"Organizations, Groups, and Community Centers"
guest ranch,Accommodations
"gym,cruising areas",Fitness and Recreation
"gym,restaurant",Restaurants and Cafes
hairstyling,Professional Services
headshop,Bookstores and Retail
health center / clinic / counseling,"Organizations, Groups, and Community Centers"
health centers / services / medical practitioner and counselors / therapists,"Organizations, Groups, and Community Centers"
health collective,"Organizations, Groups, and Community Centers"
herbal medicine,"Organizations, Groups, and Community Centers"
holiday apartments,Accommodations
hotel / gay complex,Accommodations
"hotel,bars/clubs,baths",Bars and Nightlife
"hotel,bars/clubs,restaurant,baths",Restaurants and Cafes
"hotel,book store,erotic shop",
"hotel,community center/support group",Accommodations
"hotel,cruising areas,baths",
"hotel,erotic shop",Accommodations
"hotel,gym,bathhouses",Bathhouses and Men's Services
"hotel,gym,travel service",Accommodations
"hotel,religious institution,bars/clubs,restaurant",Restaurants and Cafes
"hotel,restaurant,baths",Restaurants and Cafes
"hotel,restaurant,business",Restaurants and Cafes
"hotel,restaurant,cruising areas,bars/clubs",Restaurants and Cafes
"hotel,restaurant,gym,bathhouses",Restaurants and Cafes
"hotel,restaurant,travel service",Restaurants and Cafes
"hotel,theatre,business",Other or Unclear
"hotel,travel service,bars/clubs",Bars and Nightlife
"hotel,travel service,restaurant",Restaurants and Cafes
hotel-restaurant-disco,Restaurants and Cafes
hotel/gay complex,Accommodations
hotel/resort/disco,Bars and Nightlife
"hotels,bars/clubs,restaurant",Restaurants and Cafes
"hotels/motels/guest houses/bed and breakfast, etc",Accommodations
hotels/motels/guest houses/resorts,Accommodations
"hotline,community center/ support group",Information and Emergency Services
"hotline,organization",Information and Emergency Services
"hotlines,publication",Information and Emergency Services
housing project,Other or Unclear
ice cream parlor,Restaurants and Cafes
info services,Information and Emergency Services
information center,Information and Emergency Services
insurance agent,Professional Services
jeweler,Bookstores and Retail
jewellery,Bookstores and Retail
kennels,Professional Services
land retreat,Accommodations
lawyers,Professional Services
lawyers assocation,"Organizations, Groups, and Community Centers"
leather sandals,Bookstores and Retail
legal clinic,Professional Services
lesbian / feminist mail order service,Bookstores and Retail
lesbian / gay center,"Organizations, Groups, and Community Centers"
lesbian / gay coffeehouse night,Restaurants and Cafes
lesbian / gay ice cream parlor,Restaurants and Cafes
lesbian / gay library,"Organizations, Groups, and Community Centers"
lesbian / gay luxury cabins-resort,Accommodations
lesbian / gay social and political group,"Organizations, Groups, and Community Centers"
lesbian / gay student organization,"Organizations, Groups, and Community Centers"
lesbian accountants,Professional Services
lesbian books mail order service,Bookstores and Retail
lesbian campgrounds,Accommodations
lesbian entertainment complex,Bars and Nightlife
lesbian feminist counseling / therapy,"Organizations, Groups, and Community Centers"
lesbian feminist theater group,Arts and Culture
lesbian mothers organization,"Organizations, Groups, and Community Centers"
lesbian network,"Organizations, Groups, and Community Centers"
lesbian resort,Accommodations
lesbian resource center,"Organizations, Groups, and Community Centers"
lesbian service organization,"Organizations, Groups, and Community Centers"
lesbian social organization,"Organizations, Groups, and Community Centers"
lesbian/gay personal ads newsletter,Publications
lesbian/gay service center,"Organizations, Groups, and Community Centers"
library/archives/research facility,Arts and Culture
literary group,"Organizations, Groups, and Community Centers"
lodge/disco/restaurant,Restaurants and Cafes
matching service,Professional Services
mediation consultant,Professional Services
medical care,"Organizations, Groups, and Community Centers"
medical practitioners / counselors / therapists,"Organizations, Groups, and Community Centers"
medical service,"Organizations, Groups, and Community Centers"
"men's clubs,cruising areas",Bathhouses and Men's Services
mobile feminist bookstore,Bookstores and Retail
"model agency,escort service",Bathhouses and Men's Services
motel/apartments,Accommodations
motel/bar,Bars and Nightlife
movie gallery,Arts and Culture
moving and deliveries,Professional Services
museum / archives,Arts and Culture
music collective,Arts and Culture
music producers,Arts and Culture
music store,Bookstores and Retail
natural foods,Bookstores and Retail
newsstand,Bookstores and Retail
open lesbian land,"Organizations, Groups, and Community Centers"
"organization,book store",Bookstores and Retail
"organization,business",Other or Unclear
"organization,for review","Organizations, Groups, and Community Centers"
organization/center,"Organizations, Groups, and Community Centers"
organizations / groups / services,"Organizations, Groups, and Community Centers"
"organizations,business","Organizations, Groups, and Community Centers"
"organizations,restaurant",Restaurants and Cafes
outdoor trips for women,Fitness and Recreation
overnight accomodation,Accommodations
parents group,"Organizations, Groups, and Community Centers"
penpal/friendship club,"Organizations, Groups, and Community Centers"
performance space,Arts and Culture
personal contacts/travel clubs,"Organizations, Groups, and Community Centers"
photographers,Professional Services
photography,Arts and Culture
piano tuner,Professional Services
piano tuning,Professional Services
poetry/music collective,Arts and Culture
politcal group,"Organizations, Groups, and Community Centers"
pool hall,Fitness and Recreation
post cards,Bookstores and Retail
press,Publications
printing service,Professional Services
private gay resort,Accommodations
professional organizations,"Organizations, Groups, and Community Centers"
projected resort and residential community for gay people,Accommodations
promotional items,Other or Unclear
psychic center,Religious and Spiritual
psychotherapist,"Organizations, Groups, and Community Centers"
publications with national scope,Publications
"publications,cruising areas",Publications
publisher/distributor,Publications
publishers,Publications
radio,Arts and Culture
radio and tv,Arts and Culture
radio station,Arts and Culture
rap lines,Information and Emergency Services
rape crisis / domestic violence,Information and Emergency Services
real estate agency,Professional Services
realtors,Professional Services
religious center,Religious and Spiritual
"religious institution,hotlines",Information and Emergency Services
"religious institution,organization",Religious and Spiritual
"religious organizations,info lines and services",Other or Unclear
resort / lodging for women,Accommodations
resort / motel,Accommodations
resort and campground,Accommodations
resort/campsite,Accommodations
resort/dsico,Bars and Nightlife
resort/motel,Accommodations
resorts / guest houses,Accommodations
"restaurant,bars/clubs,business",Restaurants and Cafes
"restaurant,baths,bars/clubs",Restaurants and Cafes
"restaurant,book store,business",Restaurants and Cafes
"restaurant,business,bars/clubs",Restaurants and Cafes
"restaurant,community center/support group",Restaurants and Cafes
"restaurant,cruising areas,erotic shop",Restaurants and Cafes
"restaurant,hotel,gym",Restaurants and Cafes
"restaurant,hotel,travel agency",Restaurants and Cafes
"restaurant,hotel,travel service,bars/clubs",Restaurants and Cafes
"restaurant,theatre,bars/clubs",Restaurants and Cafes
restaurant/coffeehouse,Restaurants and Cafes
"restaurants and cafes,bars/clubs",Restaurants and Cafes
"restaurants and cafes,bookstores/retail shops",Restaurants and Cafes
"restaurants and cafes,erotica",Restaurants and Cafes
restaurants and feminist bookstore,Restaurants and Cafes
"retail shops,cruisy areas",Bookstores and Retail
retreat / vacation house,Accommodations
roller disco,Bars and Nightlife
room-mate service,Professional Services
rural community,"Organizations, Groups, and Community Centers"
sail boat charters,Professional Services
sailing,Fitness and Recreation
sauna/gym,Bathhouses and Men's Services
savings bank,Professional Services
sea cruise,Professional Services
self-defense,Fitness and Recreation
sensuality store,Adult Entertainment
services center,"Organizations, Groups, and Community Centers"
sexual awareness center and boutique,Adult Entertainment
shop,Bookstores and Retail
showbar/restaurant,Restaurants and Cafes
ski resort,Accommodations
snack bar,Restaurants and Cafes
social educational group,"Organizations, Groups, and Community Centers"
softball,Fitness and Recreation
softball team,Fitness and Recreation
something different,Other or Unclear
special events and holidays,Other or Unclear
specialty bookstore,Bookstores and Retail
specialty watch co,Bookstores and Retail
stage door,Arts and Culture
state college,Other or Unclear
steam baths,Bathhouses and Men's Services
student group/counselling,"Organizations, Groups, and Community Centers"
student's grou,"Organizations, Groups, and Community Centers"
supper club,Restaurants and Cafes
supperclub,Bars and Nightlife
t shirts,Bookstores and Retail
tea room,Restaurants and Cafes
theater group,Arts and Culture
"theatre,bars/clubs,cruising areas",Bars and Nightlife
"theatre,baths",Bathhouses and Men's Services
"theatre,business",Arts and Culture
"theatre,erotic shop",Adult Entertainment
"theatre,erotic shop,book store",Adult Entertainment
"theatre,erotic shop,cruising areas",Other or Unclear
"therapists-counseling, etc.","Organizations, Groups, and Community Centers"
timeshare development,Accommodations
tourist and visitor information center,Information and Emergency Services
tours,Professional Services
"travel agency or tour operators,accommodations",Professional Services
"travel agency,hotel,restaurant,bars/clubs",Restaurants and Cafes
travel agent,Professional Services
"travel service,publications",Professional Services
typesetting,Professional Services
vacation accomodations,Accommodations
veterinary hospital,"Organizations, Groups, and Community Centers"
"video / cards, etc.",Bookstores and Retail
visitors services,Professional Services
woman's store,Bookstores and Retail
women's art gallery,Arts and Culture
women's book mail order,Bookstores and Retail
women's center/feminist bookstore,Bookstores and Retail
women's club/restaurant,Restaurants and Cafes
women's coffee house,Restaurants and Cafes
women's community,"Organizations, Groups, and Community Centers"
women's crisis line,Information and Emergency Services
women's hair salon,Other or Unclear
women's holiday and travel agency,Professional Services
women's karate,Fitness and Recreation
women's library,Arts and Culture
women's resort,Accommodations
women's restaurant/coffeeshop,Restaurants and Cafes
women's ret,Other or Unclear
women's show bar,Bars and Nightlife
women's spirituality,Religious and Spiritual
women's store,Bookstores and Retail
women's studies,"Organizations, Groups, and Community Centers"
women's studies convention,"Organizations, Groups, and Community Centers"
women's theater space,Arts and Culture
women-only guest house,Accommodations
womyn's coffeehouse and gallery,Restaurants and Cafes
womyn's land,"Organizations, Groups, and Community Centers"
womyn's spirituality / healing center,"Organizations, Groups, and Community Centers"
workshop,"Organizations, Groups, and Community Centers"
writer's collective,"Organizations, Groups, and Community Centers"
