"X","title","description","type","address","city","state","country","publication","year","notes","unclear.address","full.address","lon","lat","geoAddress","...1","ID","amenityfeatures","Year"
39,"Gay and Lesbian Jew of the Metroplex","Tel.827-9161 or 942-1599","Religious Groups","","Dallas","TX","United States","Gaia's Guide",1985,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
40,"Dallas Gay Alliance","Office: 3920 Cedar Springs (next
to Union Jack);fel. (214)528-4233","Group","P.O. Box 190712;75219","Dallas","TX","United States","Gaia's Guide",1985,"","checked","P.O. Box 190712;75219, Dallas, TX",-96.8109852,32.8122051,"dallas, tx 75219, usa",NA,NA,NA,NA
41,"Affirmation","Tel. 559-3353","Religious Groups","","Dallas","TX","United States","Gaia's Guide",1985,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
42,"Radio Cab","Tel.227-1212","Taxi Cabs","","Portland","OR","United States","Gaia's Guide",1987,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
43,"Just Out","97215-Tel. 223-1252. Full of local resources.","Services","PO Box 15117","Portland","OR","United States","Gaia's Guide",1987,"","checked","PO Box 15117, Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
44,"Counseling Service for Sexual Minorities","Tel.228-6785","Services","","Portland","OR","United States","Gaia's Guide",1987,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
45,"Minorities","Tel.228-6785","Services","","Portland","OR","United States","Gaia's Guide",1987,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
46,"Broadway Cab","Tel.227-1234","Taxi Cabs","","Portland","OR","United States","Gaia's Guide",1987,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
47,"Gayline","Tel. 368-6283, -7:30pm-midnight, seven days a week-- serving Dallas & Forth Worth.","Services","","Dallas","TX","United States","Gaia's Guide",1987,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
48,"Gay and Lesbian Jews of the Metroplex","Tels.521-8288 & 827-9161","Religious Groups","","Dallas","TX","United States","Gaia's Guide",1987,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
49,"Dallas Gay Alliance","75219-Ottice:3920 Cedar Springs (neX1to 'Union Jack' - Tel.528-4233","Political Group","PO Box 190712","Dallas","TX","United States","Gaia's Guide",1987,"","checked","PO Box 190712, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
50,"Gay / Lesbian Information Center","-Tel. 345-2722.","Information Services","","Detroit","MI","United States","Gaia's Guide",1989,"","checked",", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",NA,NA,NA,NA
51,"Portland Lesbian Boarding House","Tel 281 5386 Rates start about $10.00 ring up to reserve a room","Accommodation - Guest Houses, etc.","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
52,"Apartments","One bedroom apartments to rent at SE 10th Tel 233 2833 Start about $180.00 per month","Accommodation - Guest Houses, etc.","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
53,"The Lesbian Community Project","is Oregon's largest Lesbian organization. 'LCP' produces a wide variety of social, political and educational activities. Monthly newsletter. Many volunteer opportunities. Write: PO Box 5931, Portland, OR; 97228- -Tel. (503)233-9079. Be sure and say 'hi' from GAIA to these friendly, helpful and highly recommended people.","Lesbian Service Organization","PO Box 5931","Portland","OR","United States","Gaia's Guide",1989,"","checked","PO Box 5931, Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
54,"Lesbian Abuse Task Force of Portland","-Tel. 238-3504, 234-3599, 236-7963 Crisis contacts, sheller services, support groups, counseling and information for lesbians who are being battered and/ or abused by their partners","Information and Emergency Services","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
55,"Radio Cab","Tel 227 1212","Taxi Cabs","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
56,"Just Out","write: PO Box 15117; 97215 -Tel. 223-1252. Full of local resources need
a lesbian therapist or counselor?-naturopath or acupuncturist?-chiropractor?-dentist?-lawyer?-old fashioned doctor?-JUST OUT is just full of
information about them & many, many more local groups and other types of resources than space, here will permit pick up your copy at A WOMAN'S PLACE BOOKSTORE before starting out In the Portland area ... $12. 50 for 12 issues by sub","Publications","PO Box 15117","Portland","OR","United States","Gaia's Guide",1989,"","checked","PO Box 15117, Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
57,"Gay Events Tape","-Tel. 248-6969","Information and Emergency Services","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
58,"Windfire","-Tel. 223-8299, for lesbians&/ or bi-sexual women under 21. . they meet
at OLD WIVES TALES. & see ·Just Out' & I or 'Lavender Network' for current details. TLAND PROFESSIONAL ORGANIZATION OF WOMEN-PPOW, PO Box 22821, Milwaukee. WI; 97222-A social organization","Organizations and Groups - Including Special Interests","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
59,"Counseling Services for Sexual Minorities","-Tel 228-6785","Health Centers / Clinics / Counseling / Practitioners","","Portland","OR","United States","Gaia's Guide",1989,"","checked",", Portland, OR",-122.6783853,45.515232,"portland, or, usa",NA,NA,NA,NA
60,"Lesbian / Gay Political Caucus","write-PO Box 224424: 75222 -Tel
828-9882.","Group","PO Box 224424","Dallas","TX","United States","Gaia's Guide",1989,"","checked","PO Box 224424, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
61,"Little Feather Productions","PO Box 64720; 75206","Theater and Music Events","PO Box 64720","Dallas","TX","United States","Gaia's Guide",1989,"","checked","PO Box 64720, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
62,"Lesbian Information Line - ""LIL""","-Tel. 528-2426. 24 hour/ seven day a week
recording of events and services, meetings and referrals","Information Services","","Dallas","TX","United States","Gaia's Guide",1989,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
63,"Gayline","Tel. 368-6283","Information Services","","Dallas","TX","United States","Gaia's Guide",1989,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
64,"Lesbian Visionaries","write: PO Box 710185: 75371 -Tel. (214)528-2426. Nonprofit
lesbian membership organization","Group","PO Box 710185","Dallas","TX","United States","Gaia's Guide",1989,"","checked","PO Box 710185, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
65,"Integrity","-Tel. 739-5899 Lesbian and Gay Episcopalians","Religious Groups","","Dallas","TX","United States","Gaia's Guide",1989,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
66,"Lesbian / Gay Unitarians","-Tel. 324-2732.","Religious Groups","","Dallas","TX","United States","Gaia's Guide",1989,"","checked",", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
67,"Among Friends","write PO Box 710185: 75371. Non-membership lesbian events
group.","Group","PO Box 710185","Dallas","TX","United States","Gaia's Guide",1989,"","checked","PO Box 710185, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",NA,NA,NA,NA
NA,"Centaur",NA,"Bars/Clubs","2237 Cedar Spings","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8057066,32.7948,NA,32780,"S1552",NA,1965
NA,"Gene's Music Box",NA,"Bars/Clubs","307 S Akard","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7991905,32.7787511,NA,32857,"S3065",NA,1965
NA,"Villa Fontana",NA,"Bars/Clubs","1315 Skiles","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786291,32.791936,NA,33062,"S7432","(*)",1965
NA,"Zoo Bar",NA,"Bars/Clubs","1600 Commerce St.","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7972209,32.7799189,NA,33085,"S7772","(M),(RT)",1965
NA,"Barbary Coast",NA,"Bars/Clubs","2549 Grand Riv","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0626904,42.3376546,NA,33890,"MI005","(*),(D)",1965
NA,"Brass Rail",NA,"Restaurant","6545 Woodward","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0733316,42.3696695,NA,33891,"MI006","(R)",1965
NA,"Chez Monti",NA,"Bars/Clubs","323 E. Larned","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0423343,42.3308526,NA,33892,"MI007","(RT)",1965
NA,"Circa 1890",NA,"Bars/Clubs","5474 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0689881,42.3604937,NA,33893,"MI008","(PE),(*)",1965
NA,"Gold Dollar",NA,"Bars/Clubs","3127 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0598049,42.3433278,NA,33894,"MI009","(M),(S),(*)",1965
NA,"La Rosa's",NA,"Bars/Clubs","731 Bates","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0446001,42.3322575,NA,33895,"MI010","(RT)",1965
NA,"Motor Bar",NA,"Bars/Clubs","18318 Van Dyke","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0237384,42.4284166,NA,33896,"MI011","(S)",1965
NA,"Palais",NA,"Bars/Clubs","655 Beau Bien","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0415287,42.3330212,NA,33897,"MI012","(G)",1965
NA,"Silver Star",NA,"Bars/Clubs","9310 Greenfield","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.1969255,42.3636956,NA,33898,"MI013",NA,1965
NA,"Ten-Eleven",NA,"Bars/Clubs","1011 Farmer","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0451498,42.3321094,NA,33899,"MI014","(*),(SM),(RT)",1965
NA,"Woodward Lounge",NA,"Bars/Clubs","6424 Woodward","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0721831,42.3689125,NA,33900,"MI015","(*)",1965
NA,"Aero Vapor Steam Baths",NA,"Baths","1237 SW 3rd.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6774713,45.5146785,NA,49653,"OR001",NA,1965
NA,"Annex Stereo Room",NA,"Bars/Clubs","820 SW Oak St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6797505,45.5224094,NA,49654,"OR002","(*)",1965
NA,"Benson Hotel Bar",NA,"Bars/Clubs,Hotel","309 S. Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6788083,45.5217905,NA,49655,"OR003","(M),(PE)",1965
NA,"Buddy's Post",NA,"Bars/Clubs","926 SW 4th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6773168,45.5166908,NA,49656,"OR004","(M),(RT)",1965
NA,"Chocolate Moose",NA,"Bars/Clubs","1716 SW 11th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.686517,45.5133346,NA,49657,"OR005","(C)",1965
NA,"Happy Hare",NA,"Bars/Clubs","1730 SW Taylor","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6905513,45.5205619,NA,49658,"OR006",NA,1965
NA,"Mama Bernice's",NA,"Bars/Clubs","1228 SW 3rd.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6770036,45.5144693,NA,49659,"OR007",NA,1965
NA,"Model Inn",NA,"Bars/Clubs","1536 SW 1st.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6768579,45.5117705,NA,49660,"OR008","(RT)",1965
NA,"Nineteenth Hole",NA,"Bars/Clubs","1002 SW Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6807186,45.5173258,NA,49661,"OR009",NA,1965
NA,"Tavern",NA,"Bars/Clubs","122 SW Yamhill St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6742903,45.5171234,NA,49662,"OR010","(*)",1965
NA,"Gene's Music Box",NA,"Bars/Clubs","307 S. Akard","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7991905,32.7787511,NA,32858,"S3066","(*)",1966
NA,"Jungle Hut",NA,"Bars/Clubs","415 N Harwood","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7964127,32.7840927,NA,32898,"S3815","(M),(RT)",1966
NA,"Villa Fontana",NA,"Bars/Clubs","1315 Skiles","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786291,32.791936,NA,33063,"S7433","(*)",1966
NA,"Zoo Bar",NA,"Bars/Clubs","1600 Commerce","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7972209,32.7799189,NA,33086,"S7773","(M),(RT)",1966
NA,"Barbary Coast",NA,"Bars/Clubs","2459 Grand River","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0614874,42.3371796,NA,33901,"MI025","(S),(G),(D),(*)",1966
NA,"Brass Rail",NA,"Restaurant","6545 Woodward","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0733316,42.3696695,NA,33902,"MI026","(R)",1966
NA,"Chez Monti",NA,"Bars/Clubs","323 E. Larned","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0423343,42.3308526,NA,33903,"MI027","(D),(RT)",1966
NA,"Circa 1890",NA,"Bars/Clubs","5474 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0689881,42.3604937,NA,33904,"MI028","(PE),(*)",1966
NA,"Diplomat","nr. Pingree; no name or number visible; brick front","Bars/Clubs","8540 2nd","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0816441,42.377603,NA,33905,"MI029","(*)",1966
NA,"Gold Dollar","($1 cover)","Bars/Clubs","3127 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0598049,42.3433278,NA,33906,"MI030","(*),(M),(S)",1966
NA,"La Rosa's",NA,"Bars/Clubs","731 Bates","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0446001,42.3322575,NA,33907,"MI031","(RT)",1966
NA,"Palais",NA,"Bars/Clubs","655 Beau Bien","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0415287,42.3330212,NA,33908,"MI032","(G)",1966
NA,"Silver Star",NA,"Bars/Clubs","9310 Greenfield","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.1969255,42.3636956,NA,33909,"MI033",NA,1966
NA,"S & C Restaurant",NA,"Restaurant","6521 2nd","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0766825,42.367932,NA,33910,"MI034","(C)",1966
NA,"Ten-Eleven",NA,"Bars/Clubs","1011 Farmer St.","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0451498,42.3321094,NA,33911,"MI035","(S),(*)",1966
NA,"Woodward Lounge",NA,"Bars/Clubs","6424 Woodward","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0721831,42.3689125,NA,33912,"MI036","(*)",1966
NA,"Aero Steam Baths",NA,"Baths","1237 SW 3rd.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6774713,45.5146785,NA,49663,"OR014",NA,1966
NA,"Benson Hotel Bar",NA,"Bars/Clubs,Hotel","309 S. Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6788083,45.5217905,NA,49664,"OR015","(M),(PE)",1966
NA,"Buddy's Post",NA,"Bars/Clubs","926 SE 4th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.4211122,45.4946536,NA,49665,"OR016","(M),(RT)",1966
NA,"Derek's",NA,"Bars/Clubs","820 SW Oak St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6797505,45.5224094,NA,49666,"OR017","(*)",1966
NA,"Happy Hare",NA,"Bars/Clubs","1730 SW Taylor","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6905513,45.5205619,NA,49667,"OR018","(*)",1966
NA,"Mama Bernice's",NA,"Bars/Clubs","1228 SW 3rd.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6770036,45.5144693,NA,49668,"OR019",NA,1966
NA,"Model Inn",NA,"Bars/Clubs","1536 SW 1st St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6768579,45.5117705,NA,49669,"OR020","(M),(RT)",1966
NA,"Tavern",NA,"Bars/Clubs","1002 SW Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6807186,45.5173258,NA,49671,"OR022","(*)",1966
NA,"Gene's Music Box",NA,"Bars/Clubs","307 S Akard","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7991905,32.7787511,NA,32859,"S3067","(*)",1968
NA,"Twenty One-Twenty One Club",NA,"Bars/Clubs","2121 Field","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8053801,32.7868714,NA,33058,"S7220",NA,1968
NA,"Villa Fontana",NA,"Bars/Clubs","1315 Skiles","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786291,32.791936,NA,33064,"S7434","(*)",1968
NA,"Aero Vapor Steam Baths",NA,"Baths","1237 SW 3rd","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6774713,45.5146785,NA,49672,"OR027",NA,1968
NA,"Beefeater",NA,"Bars/Clubs","1002 SW Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6807186,45.5173258,NA,49673,"OR028","(M),(PE)",1968
NA,"Benson's Hotel Bar",NA,"Bars/Clubs,Hotel","309 S. Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6788083,45.5217905,NA,49674,"OR029","(M),(PE)",1968
NA,"Buddy's Post",NA,"Bars/Clubs","926 SW 4th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6773168,45.5166908,NA,49675,"OR030","(M),(RT)",1968
NA,"Dahl & Penne","(best after 1am)","Bars/Clubs","2nd and Alder","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.674179,45.518676,NA,49676,"OR031","(M),(*)",1968
NA,"Derek's",NA,"Bars/Clubs","820 SW Oak","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6797505,45.5224094,NA,49677,"OR032","(*)",1968
NA,"Hare",NA,"Bars/Clubs","1730 SW Taylor","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6905513,45.5205619,NA,49678,"OR033",NA,1968
NA,"Model Inn",NA,"Bars/Clubs","1536 SW 1st St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6768579,45.5117705,NA,49679,"OR034","(G)",1968
NA,"Other Inn",NA,"Bars/Clubs","242 SW Adler","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6747764,45.5184386,NA,49680,"OR035","(M),(*)",1968
NA,"Tavern",NA,"Bars/Clubs","122 SW Yamhill","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6742903,45.5171234,NA,49681,"OR036","(*)",1968
NA,"Workout Baths",NA,"Baths","531 SW 12th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6839493,45.5214476,NA,49682,"OR037",NA,1968
NA,"Atlantis",NA,"Bars/Clubs","2116 N Field at Cedar Spgs","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8061792,32.7877278,NA,32746,"S727","(YC),(*)",1969
NA,"Atlas Lounge",NA,"Bars/Clubs","4120 Ross Ave","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7836982,32.7999737,NA,32747,"S729","(G)",1969
NA,"Club 4208",NA,"Bars/Clubs","4208 Live Oak","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7784954,32.7972268,NA,32791,"S1767","(P),(D)",1969
NA,"Daisy",NA,"Bars/Clubs","2511 N. Haskell","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.789766,32.805041,NA,32816,"S2138",NA,1969
NA,"Gallery One",NA,"Bars/Clubs","3113 Live Oak","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786515,32.7914493,NA,32847,"S2966",NA,1969
NA,"Gene's Music Box",NA,"Bars/Clubs","307 S. Akard","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7991905,32.7787511,NA,32860,"S3068","(RT),(*)",1969
NA,"Tara Club",NA,"Bars/Clubs","2121 Field St","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8053801,32.7868714,NA,33033,"S6839",NA,1969
NA,"Villa Fontana",NA,"Bars/Clubs","1315 SKiles","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786291,32.791936,NA,33065,"S7435",NA,1969
NA,"Barbary Coast",NA,"Bars/Clubs","2459 Grand River","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0614874,42.3371796,NA,33913,"MI050","(S),(G),(D),(M)",1969
NA,"Brass Rail",NA,"Restaurant","6545 Woodward","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0733316,42.3696695,NA,33914,"MI051","(R),(M)",1969
NA,"Chez Monti",NA,"Bars/Clubs","323 E. Larned","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0423343,42.3308526,NA,33915,"MI052","(RT),(D),(*)",1969
NA,"Circa 1890",NA,"Bars/Clubs","5474 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0689881,42.3604937,NA,33916,"MI053",NA,1969
NA,"Diplomat","(brick front- no name or number visible nearest cross St. is Pingree)","Bars/Clubs","8540 2nd","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0816441,42.377603,NA,33917,"MI054","(*),(YC),(D)",1969
NA,"Gold Dollar","($1.00 cover- tourists)","Bars/Clubs","3127 Cass","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0598049,42.3433278,NA,33918,"MI055","(M),(S),(*)",1969
NA,"La Rosa's",NA,"Bars/Clubs","731 Bates","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0446001,42.3322575,NA,33919,"MI056","(RT)",1969
NA,"Palais",NA,"Bars/Clubs","655 Beaubien","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0415287,42.3330212,NA,33920,"MI057","(G)",1969
NA,"Silver Star",NA,"Bars/Clubs","9310 Greenfield","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.1969255,42.3636956,NA,33921,"MI058","(*)",1969
NA,"S&C","(after hours)","Restaurant","6521 2nd","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0766825,42.367932,NA,33922,"MI059","(R),(C)",1969
NA,"Ten-Eleven",NA,"Bars/Clubs","1011 Farmer","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0451498,42.3321094,NA,33923,"MI060","(RT),(*)",1969
NA,"Traffic Jam",NA,"Bars/Clubs","511 W. Canfield","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0660455,42.350948,NA,33924,"MI061",NA,1969
NA,"Twilight Zone",NA,"Bars/Clubs","9385 Greenfield","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.1975742,42.3647864,NA,33925,"MI062",NA,1969
NA,"Woodward Lounge","(neon usually off)","Bars/Clubs","6424 Woodword","Detroit","MI",NA,"Damron's Guide",NA,NA,NA,NA,-83.0721831,42.3689125,NA,33926,"MI063","(*)",1969
NA,"Aero Vapor Steam Baths",NA,"Baths","1237 SW 3rd","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6774713,45.5146785,NA,49683,"OR043",NA,1969
NA,"Beefeater",NA,"Bars/Clubs","1002 SW Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6807186,45.5173258,NA,49684,"OR044","(M),(PE)",1969
NA,"Benson Hotel Bar",NA,"Bars/Clubs,Hotel","309 S. Broadway","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6788083,45.5217905,NA,49685,"OR045","(M),(PE)",1969
NA,"Buddy's Post",NA,"Bars/Clubs","926 SW 4th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6773168,45.5166908,NA,49686,"OR046","(M),(RT)",1969
NA,"Club Northwest","(best after 1am)","Bars/Clubs","NW 4th at Everett","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.674474,45.525239,NA,49687,"OR047","(*)",1969
NA,"Dahl & Penne","(Best after 1am)","Bars/Clubs","2nd & Adler","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.674179,45.518676,NA,49688,"OR048","(M)",1969
NA,"Derek's",NA,"Bars/Clubs","820 SW Oak","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6797505,45.5224094,NA,49689,"OR049","(*),(YC)",1969
NA,"Fiddler's Three",NA,"Bars/Clubs","728 SW 9th","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6810407,45.5193448,NA,49690,"OR050","(*)",1969
NA,"Model Inn",NA,"Bars/Clubs","1536 SW 1st St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6768579,45.5117705,NA,49691,"OR051","(G)",1969
NA,"Other Inn",NA,"Bars/Clubs","242 SW Alder","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6747764,45.5184386,NA,49692,"OR052","(M)",1969
NA,"Tavern",NA,"Bars/Clubs","122 SW Yamhill","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6742903,45.5171234,NA,49693,"OR053","(*)",1969
NA,"Workout Baths",NA,"Baths","531 SW 12th St.","Portland","OR",NA,"Damron's Guide",NA,NA,NA,NA,-122.6839493,45.5214476,NA,49694,"OR054","(*)",1969
NA,"Atlantis",NA,"Bars/Clubs","2116 N. Field at Cedar Spgs.","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8061792,32.7877278,NA,32744,"S724","(*),(YC)",1970
NA,"Bev's",NA,"Bars/Clubs","4737 Maple Ave.","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.8264604,32.8141947,NA,32767,"S980","(P),(D)",1970
NA,"Chromozone",NA,"Bars/Clubs","Gaston Ave.","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.796988,32.776664,NA,32783,"S1664","(G)",1970
NA,"Gallery One",NA,"Bars/Clubs","3113 Live Oak","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.786515,32.7914493,NA,32848,"S2967",NA,1970
NA,"Gene's Music Box","(afer hours (C) weekends)","Bars/Clubs","307 S. Akard","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7991905,32.7787511,NA,32861,"S3069","(RT),(C)",1970
NA,"Jeno's Lounge",NA,"Bars/Clubs","4818 Gaston","Dallas","TX",NA,"Damron's Guide",NA,NA,NA,NA,-96.7697889,32.7990618,NA,32891,"S3707",NA,1970
