"title","description","type","city","state","country","publication","year","notes"
"Our Bar","","Bars","Vallejo","CA","United States","Gaia's Guide",1981,""
"The Hub","Te 1.9 3 8-4 550.Hostile ownership vs. persistent lesbian customers.","Bars","Walnut Creek","CA","United States","Gaia's Guide",1981,""
"Wicca Mountain","Tel.(707)459-5776.Resort/campsite/retreat. Women only and highly
recommended if you want to get away from it all. 17 acres of
woman-owned land with a swimming pond/organized retreats and
workshops for young women 7-14.
","Resorts","Willits","CA","United States","Gaia's Guide",1981,""
"Big Mama Rag","Tel.(303)322-2010.
1 Feminist newspaper—third world orientation.lt’s six years old
and international in scope.$6.00 per year.Lots of resource and
| reference materlals--s trong lesbian/feminist orientation.
","Publications","Statewide","CO","United States","Gaia's Guide",1981,""
"Boulder County Women's Resource Center","Tel.(303)447-9670.
","Women's Centers","Boulder","CO","United States","Gaia's Guide",1981,""
"Metropolitan Community Church","Lesbian coffeehouse nights plus lesbian network meetings. See BIG MAMA RAG for all current details","Religious Groups","Boulder","CO","United States","Gaia's Guide",1981,""
"Little Professor Book Center","Tel.443-3390
","Bookstore","Boulder","CO","United States","Gaia's Guide",1981,""
"Women's Group/Lesbian Coalition","They hold a women’s festival in July with music, food,
exhibits, information. ","Groups","Colorado Springs","CO","United States","Gaia's Guide",1981,""
"The Place in the Back","Dance floor/disco nights/floor shows/pool table. ""A good place to be alone or to meet new people"". Very highly recommended.","Bars","Colorado Springs","CO","United States","Gaia's Guide",1981,""
"Hide & Seek Complex","Big disco with two bars. Lunches/dinners/drag shows/pin-ball and pool tables. 80% gay men but recommended as O.K. anyway.","Bars","Colorado Springs","CO","United States","Gaia's Guide",1981,""
"Boxcar","Disco dancin/pool table and quite O.K.","Bars","Colorado Springs","CO","United States","Gaia's Guide",1981,""
"The Exit","Dinners/juke box and pool table.","Bars","Colorado Springs","CO","United States","Gaia's Guide",1981,""
"Woman to Woman","el. 3 2 0-59 72
go there when you first hit Denver — very helpful, good women.
They sell GAIA’S GUIDE and an extremly full range of women’s
books and materials","Feminist Bookstore","Denver","CO","United States","Gaia's Guide",1981,""
"The Globe International","Tel.(303)534-6516. operated by women — great disco and pool room. Very highly recommended.","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Velvet Hammer","Dancing, pool table, spaghetti nights, women's bands and group meetings. Very, very
highly recommended. Community oriented. Open Tues-Fri. 5pm-
2am;Sat. 4pm-2am & Sun. 4pm-midnight","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Three Sisters","Owned and operated by women for women. Open Mon.-Sat 4pm-midnight. Very,
very highly recommended.","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Going Bananas","","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Back Door","Entrance in the rear of the building.-- Recommended, ""For REAL brave women only"".","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"The Broadway","Tel.861-0478. Disco Dancing and entertainment more gay men than women;—but it is apparently O.K.—However ""Friday and Saturdays nights there is a $5.00 cover charge for women"". (I?)
","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Apartment","50% gay women and very popular. Disco and drag show nights. Open 8pm-midnight. Recommended.","Bars","Denver","CO","United States","Gaia's Guide",1981,""
"Joyce's Submarines","Tel. 455-8719 ","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"Cafe Nepenthes","Te1.534-5423.
lunches,expresso, entertainment and late night activity","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"Alicia's Mexican Restaurant","Tel.777-
9904. ""Good, home-made food"".
","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"Elrond's","Tel. 839-5810.
","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"The Grist Mill","Tel.893-6845.A good place to go for people-watching after the
bars close.","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"Zach's",".Tel.(303)831-0870
","Restaurants","Denver","CO","United States","Gaia's Guide",1981,""
"Women to Women","Tel. (303)320-
9572. A full range of women’s books and periodicals and
nuch more. It’s a referral and information center,has a library
which includes all the titles the store carries and more+free
clothing and a monthly coffeehouse. Records/posters/buttons/
T-shirts/ cards/ menstrual sponges and GAIA’s GUIDE.
","Feminist Bookstore","Denver","CO","United States","Gaia's Guide",1981,"This seems to be a duplicate of the first mention, but because the style of address entry has changed (no longer adding ""street/avenue/etc"" to entries, also some more editorializing in description), I think it's because a different person took over typing partway through. The description is different from the first entry."
"Colorado State University Women's Coalition","Tel. (303)491-5879.","Women's Centers","Fort Collins","CO","United States","Gaia's Guide",1981,""
"Form","Te l. ( 303 ) 861 - 1166. Original
designs — a woman owned business.","Jewelry/Crafts","Denver","CO","United States","Gaia's Guide",1981,""
"Shoreline Woman","Tel.(203)781-3575 Records/buttons/Jewelry/posters/magazlnes and
T-shirts plus GAIA'S GUIDE. They also hold classes in self-
defense, yoga, auto maintenance, have C-R groups and lesbian
party nights. Bulletin board and referral service.","Feminist Bookstore","Branford","CT","United States","Gaia's Guide",1981,""
"Black Rock Inn","(Western part of Bridgeport)—bar/restaurant","Bars","Branford","CT","United States","Gaia's Guide",1981,""
"Casbah","","Bars","Branford","CT","United States","Gaia's Guide",1981,""
"Bloodroot","85 Ferris Street, 06605-Tel.(203)576-9168.
-esbian owned and operated vegetarian restaurant. Wine, beer and women's music. Open for lunch Tues,.Thurs.,Fri & Sat. 11:30an.
2:30pm & dinner: Thurs.,Fri.,Sat 6pm-llpm. Sunday llam-2:30p.
F
b
E
ru
M
n
IN
ch
IS
.
T B
O
O
n
O K
W
ST
e
O
d
R
n
E
esday nights it operates as a private clu-
","Restaurants","Branford","CT","United States","Gaia's Guide",1981,""
"Bloodroot","5-Tel(2O3)576-9i5;
Prowse around this feminist bookstore while visiting the
BLOODROOT RESTAURANT. They also carry cards /buttons/ jewlery
posters/ magazines T-shirts and GAIA’S GUIDE.","Feminist Bookstore","Branford","CT","United States","Gaia's Guide",1981,""
"Homestead Inn",".Tel.(203)869-7500.
Gay hotel/bar/restaurant—recommended.","Lodge","Greenwich","CT","United States","Gaia's Guide",1981,""
"Women's Center","Tel.527-6724 and newsletter,hold coffeehouse nights/brunches and camping
weekends.—Our lesbian community is warm and welcoming to
visitors and new settlers.""","Women's Centers","Hartford","CT","United States","Gaia's Guide",1981,""
"M.C.C.","Tel.232-5110. Activities |
include a lesbian coffeehouse and workshop every Sunday.","Religious Groups","Hartford","CT","United States","Gaia's Guide",1981,""
"Hartford Gay Switchboard","Tel.(203)522-5575-","Services","Hartford","CT","United States","Gaia's Guide",1981,""
"Evergreen","Tel.527-9 89 5- Green plants, tiffany lamps, dancing. A community orientated women |
owned bar. ""Very Friendly"".—Really good reports about this place keep coming in","Bars","Hartford","CT","United States","Gaia's Guide",1981,""
"Warehouse","Tel.527-9895- ""Very
relaxed,loose atmosphere.""","Bars","Hartford","CT","United States","Gaia's Guide",1981,""
"Chez-Est","","Bars","Hartford","CT","United States","Gaia's Guide",1981,""
"Tony R's","","Bars","Hartford","CT","United States","Gaia's Guide",1981,""
"Nick's Cafe House","Tel.(203)522-1933-","Bars","Hartford","CT","United States","Gaia's Guide",1981,""
"Sonya Wetstone's Books & Cheese","Tel.527-9895. Women’s books, lesbian titles and cheeses from
everywhere.
","Feminist Bookstore","Hartford","CT","United States","Gaia's Guide",1981,""
"The Meeting Place","Tel. (617)994- 7674.","Bars","New Bedford","CT","United States","Gaia's Guide",1981,""
"Friends and Lovers","Tel.(617)993- 9436.","Bars","New Bedford","CT","United States","Gaia's Guide",1981,""
"The R&R Club","Tel. (617)995-8247.","Bars","New Bedford","CT","United States","Gaia's Guide",1981,""
"New Haven Women's Liberation Center","06510.Tel.(203)436-0645. A very well established center run with
primarily lesbian energy. Switchboard, counselling,
referrals, martial arts, spiritual groups, lesbian rap group.
lesbian mothers’ group plus much,much more. The lesbian rap group
is 8pm every Monday","Women's Centers","New Haven","CT","United States","Gaia's Guide",1981,""
"Yalesbians","Tel.(203)436- :
8945. Switchboard: 8pn-11pm weekdays. Meetings held at: Room B3 A
Hendrie Hall, 165 Elm Street in New Haven.—""We meet once a week,
usually on Wednesdays at 9pm. We welcome all women—whether they
are affiliated with Yale or not.","Groups","New Haven","CT","United States","Gaia's Guide",1981,""
"Dignity","Gay and concerned Catholics.","Religious Groups","New Haven ","CT","United States","Gaia's Guide",1981,""
"Parkway","Tel.(203)798-9655.
","Bar/Restaurant","New Haven","CT","United States","Gaia's Guide",1981,""
"Partner's","Tel.(203)624-5510.","Bars","New Haven","CT","United States","Gaia's Guide",1981,""
"Ricardo's Copa","Tel. (203)776-6404","Bars","New Haven","CT","United States","Gaia's Guide",1981,""
"Nobody's Fault","","Bars","New Haven","CT","United States","Gaia's Guide",1981,""
"The Place","","Bars","New Haven","CT","United States","Gaia's Guide",1981,""
"La Machinetta","Tel.(203)776-8560.","Coffeehouses","New Haven","CT","United States","Gaia's Guide",1981,""
"Salty Dog","","Bars","New London","CT","United States","Gaia's Guide",1981,""
"Frank's Place",".Tel.(203)^-e883.","Bars","New London","CT","United States","Gaia's Guide",1981,""
"The Answer Cafe","T.I.359-7901.","Bars","New Milford","CT","United States","Gaia's Guide",1981,""
"The Club Cafe","Tel.755-7236.","Bars","Waterbury","CT","United States","Gaia's Guide",1981,""
"Vincent's","","Bars","Westport","CT","United States","Gaia's Guide",1981,""
"Nomad Village/The Other Room","Tel.539-7581.1 believe
that there's a beach and swimming pool","Bars","Bethany Beach","DE","United States","Gaia's Guide",1981,""
"The Boathouse (Bellevue on the Bay)",".Tel(302)227-7337.
""Can be rough—has a very macho image.""","Show bars","Dewey Beach","DE","United States","Gaia's Guide",1981,""
"Delaware Separatists Dyke Group","Tel.478-1246.Hotline:
Thu rsday nights","Groups","Greenville","DE","United States","Gaia's Guide",1981,""
"The Lobby","Tel.(302)368-1788.","Bars","Newark","DE","United States","Gaia's Guide",1981,""
"Alpine Room","Tel.(302)652-9571•","Bars","Wilmington","DE","United States","Gaia's Guide",1981,""
"OFF OUR BACKS","Tel. (302)23.
8072. ","Publications","Washington","DC","United States","Gaia's Guide",1981,""
"In Out Own Write","c/o Washington Area Women's Center,
1825-18th Street,N.W. , 20009 . Tel.(202)347-5078","Publications","Washington","DC","United States","Gaia's Guide",1981,""
"The Blade","Tel.(202)7
T
8
h
5
e
- 30
B
09
l
.
","Publications","Washington","DC","United States","Gaia's Guide",1981,""
"Metropolitan Community Church","Tel.232-6333.The Christlan Church with an outreach to the gay community.","Religious Groups","Washington","DC","United States","Gaia's Guide",1981,""
"Dignity/D.C.","Tel.332-2424 -Gay and concerned Catholics.","Religious Groups","Washington","DC","United States","Gaia's Guide",1981,""
"Beth Mishpachah","Tel. 544-3434 .Jewish/gay.","Religious Groups","Washington","DC","United States","Gaia's Guide",1981,""
"D.C. Gay Switchboard","Tel.387-4348.","Services","Washington","DC","United States","Gaia's Guide",1981,""
"Gay Hotline","Tel.547-7601 .
","Services","Washington","DC","United States","Gaia's Guide",1981,""
"Gay Information & Assistance","Tel.363-3881","Services","Washington","DC","United States","Gaia's Guide",1981,""
"N.C.B.G.","Tel.(202)797-8877. National Coalition of Black Gays - political activities/educational activities. N.C.B.G.-Newsletter.","Third World Group","Washington","DC","United States","Gaia's Guide",1981,""
"Washington Area Women's Center","Tel.(202)347-5078
","Women's Centers","Washington","DC","United States","Gaia's Guide",1981,""
"Washington Women's Art Center","Tel.(202)332-2121","Women's Centers","Washington","DC","United States","Gaia's Guide",1981,""
"Gay Community Center","Tel.232-7103.A good place cn od n tmact when new to the 
s. cene in D.C.—Lesbian coffeehouse nights
","Centers","Washington","DC","United States","Gaia's Guide",1981,""
"The Round-Up","","Bars","Washington","DC","United States","Gaia's Guide",1981,""
"Phase One","Tel.544-6831.","Bars","Washington","DC","United States","Gaia's Guide",1981,""
"The Pier","","Bars","Washington","DC","United States","Gaia's Guide",1981,""
"The Other Side","","Bar/Restaurant","Washington","DC","United States","Gaia's Guide",1981,"All other D.C. street addresses here have a cardinal direction (NE, SW, etc.) after them, which leads me to believe this might be inadequate for mapping."
"Kalorama Cafe","A woman-owned
restaurant featuring natural foods. Highly recommended.
Mr. P's, 2147 ""P"" Street,N.W. . Tel.293-1064.
","Restaurants","Washington","DC","United States","Gaia's Guide",1981,""
"Mr. P's","Tel.293-1064.
","Restaurants","Washington","DC","United States","Gaia's Guide",1981,""
"Passport to Leisure of Georgetown","Tel.(202)965-8800.
","Travel Agencies","Washington","DC","United States","Gaia's Guide",1981,""
"Lammas","Tel . (2 02) 5 4 6-
<292.Women's books/ lesbian titles/posters/magazlnes/buttons/T-
3hirts/ — GAIA’S GUIDE and much much more.
","Feminist Bookstore","Washington","DC","United States","Gaia's Guide",1981,""
"Lambda Rising","Tel.(202)462-6969 A well stocked alternative bookstore with lots of gay/lesbian and feminist titles. They also have an art gallery and sell
GAIA'S GUIDE.","Bookstore","Washington","DC","United States","Gaia's Guide",1981,""
"Lammas Women's Shop","Tel. (202)546-7292. Handcrafted gifts: pottery, staine’
glass, stationery, ticket sales, information on local communi-,
events and bulletin board. They sell GAIA’S GUIDE
","Feminist Store","Washington","DC","United States","Gaia's Guide",1981,""
"Parkside Plaza","Tel.(202)347-3230.
","Hotel","Washington","DC","United States","Gaia's Guide",1981,""
"SHE","lesbian entertainment |
magazine and bar guide for the state of Florida! Also community
resources, news items and classified ads. $5.00 per year.","Publications","Opa-Locka","FL","United States","Gaia's Guide",1981,""
"ALIVE!","Tel.(305)666-2588.
","Publications","Miami","FL","United States","Gaia's Guide",1981,""
"Florida Knight Life","Tel.987-6767 .Glossy entertainment/bar guide. Monthly. Free '
in bars,etc.
","Publications","Hollywood","FL","United States","Gaia's Guide",1981,""
"Southern Gay Liberator","","Services","Hollywood","FL","United States","Gaia's Guide",1981,""
"The Meeting Place","T6e1l-
.9 7
(80143.
)461-9704.
","Bars","Clearwater","FL","United States","Gaia's Guide",1981,""
"The Pro Shop","Tel.461-9704.","Bars","Clearwater","FL","United States","Gaia's Guide",1981,""
"Evening Edition",".Tel.(305)783-9136","Bars","Coca","FL","United States","Gaia's Guide",1981,""
"Sebastians","Disco and Tea-
dances.Very highly recommended. Tel. (305)854-9216.
","Bars","Coconut Grove","FL","United States","Gaia's Guide",1981,""
"Cheekers","","Bars","Dania","FL","United States","Gaia's Guide",1981,""
"Angler's Cove","Tel.(305)925-9406","Bars","Dania","FL","United States","Gaia's Guide",1981,""
"Zodiac Lounge","Tel. 767-4624.
","Bars","Daytona Beach","FL","United States","Gaia's Guide",1981,""
"Landmark","","Bars","Daytona Beach","FL","United States","Gaia's Guide",1981,""
"Inferno","Tel. 258-9259.","Bars","Daytona Beach","FL","United States","Gaia's Guide",1981,""
"Cobb's Corner",".Tel.(904)761-9932.
","Restaurants","Daytona Beach","FL","United States","Gaia's Guide",1981,""
"Nite Fall Motel","Tel.(904)252-4947. ","Motels","Daytona Beach","FL","United States","Gaia's Guide",1981,""
"Amelia Bookstore","Tel.(904)377-0234.Reading tables, bulletin board and referrals:
""We offer women space and view this as an important service
too.""—They carry records, jewelry,magazines and T-shirts as well .
as books for and by women including GAIA’S GUIDE.
","Feminist Bookstore","Gainesville","FL","United States","Gaia's Guide",1981,""
"M.C.C.","Tel. 462-2004.
","Religious Groups","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Clever Bar","py hours
0346.Dancing/pool tables/pin-ball/Sunday tea-dances/happy hourand hot dogs. Very highly recommended","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Poop Deck","","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Everglades","Tel. 564-9581","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"The Grotto","eway. Tel.46Tel.541-9581","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"13 Buttons","Tel.463-","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Tunnel Bar","Tel.761-9668","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Zelda's","Tel.561-8988","Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Tacky's","Tel.587-9962","Show-Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"The Copa","Tel.463-1507.","Show-Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Sandpiper","Tel.792-1750.Champagne
brunch, piano bar, dinner and shows. Closed Mondays.
","Show-Bars","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Galt Riviera","Tel.(305)566-
8393.Swimming pool, but really for gay men. Reports?
","Motels","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Valencia Resort","Tel.463-5844.""A
private resort experience!"" Deluxe rooms and suites—for gay
women and men","Resorts","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Bela Mar","Tel.566-4376.Mostly
gay men.
","Motels","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Marlin Beach Hotel","Tel.(3O5)467-6551.Luxury hotel/resort with 100 rooms,many with
spectacular views of the Atlantic Ocean. Swimming pool with
poolside bar and Poop Deck restaurant. Air-conditioned with
direct dial phones and T.V.—Entertainment in the bars and
restaurant. Mostly gay men but""gay women should never feel out of
place here.""
","Hotel","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Roommates Unlimited","Tel.739-2812.","Roommate Service","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"Sappho II","Tel.(305)771-7948.Luxury, women-only boat
cruises","Sea Cruise","Fort Lauderdale","FL","United States","Gaia's Guide",1981,""
"M.C.C. of the Palms","w
P
n
. O.
c hu
B
rc
o
h
x
a
0
t:
5 32
44
,
2
T
7
i c
P
e
a lm
3 3
B
90
ea
5
c
.
h |
nexdein Fort Myers. There’s a very good mixture of gay women and Tel.(813)694-2535. They have their own church at: 4427 Palm Beach Boulevard, nexdein Fort Myers. There’s a very good mixture of gay women and men.","Religious Groups","Fort Myers","FL","United States","Gaia's Guide",1981,""
"The Club","Tel.332-1789.Open 9pm-2am
“ weekends till 5am. Private club. BYOB. Shows on Sundays.Gay
""omen and men.
","Bars","Fort Myers","FL","United States","Gaia's Guide",1981,""
"Lost Texans, Inc.","Tel. (813)463-2474. General bookstore with a large section devotel , straights,
to gay and lesbian oriented books. Mail order service—write € |
be put on their mailing lists or for special orders. They s.) i
GAIA'S GUIDE","Bookstore","Fort Myers Beach","FL","United States","Gaia's Guide",1981,""
"Lobby","","Bars","Fort Walton Beach","FL","United States","Gaia's Guide",1981,""
"N.O.W./Lesbian Task Force","Tel.(90^)377-0365.Alternate phone number: 392-1634.
","Groups","Gainseville","FL","United States","Gaia's Guide",1981,""
"Sheik's","Tel.378-8480.
","Bars","Gainesville","FL","United States","Gaia's Guide",1981,""
"Spectrum","","Bars","Gainesville","FL","United States","Gaia's Guide",1981,""
"Melody Club","T
p
e
l
l
e
.3
a
7
s
6
e
-
. ,
T
p
e
l
l
e
.3
a
7
s
6
e
-
. ,
 Women's nights but may be closing--reports, please.","Bars","Gainesville","FL","United States","Gaia's Guide",1981,""
"Witch Hazel's","el. (904)247-9435. ","Bars","Gainesville","FL","United States","Gaia's Guide",1981,""
"Zoo","","Bars","Gainesville","FL","United States","Gaia's Guide",1981,""
"Fat Lady's","Tel.454-3404. Disco dancing, pool table, 85% gay women and recommended.","Bars","Hallendale","FL","United States","Gaia's Guide",1981,""
"800 North Back Room","Tel. 458-9003.","Bars","Hallendale","FL","United States","Gaia's Guide",1981,""
"Sandy's Kitchen","Shrimp/chicken/burgers. Recommended","Restaurants","Hallendale","FL","United States","Gaia's Guide",1981,""
"J.P.'s","Tel.888-9567.A
liberated bar where ""everybody does their own thing"",--Gay and
straights. Shows","Bars","Hialeah","FL","United States","Gaia's Guide",1981,""
"Stonewall Library and Archives","Tel.(305)922-2937 Maintaining a large collection of books,
publications, clippings, records, papers, etc . dealing with
homosexuality, gay liberation and lesbian/f eminism. Involved in
political activism and the distribution of related literature.
","Resources and References","Hollywood","FL","United States","Gaia's Guide",1981,""
"Top's Lounge","Te 1. ( 305 )9 21-
6563.Reasonable drinks and superb atmosphere. Dancing, pool
tables, clientel: 100% women — open 7pm-6am 7 days a week. Pin
ball mach ines/large T.V. screens for special events. Local and
out-of-town artists featured when available. They sell GAIA'S
| GUIDE and say, ""We work hard to keep our place up to a standard
that gay women can be proud of.""
","Bars","Hollywood","FL","United States","Gaia's Guide",1981,""
"Top Flight Travel","Tel. 963-0940. ""Out
of the closet—and into the plane!"". Alternate phone number: 625-
3113","Travel Agencies and Clubs","Hollywood","FL","United States","Gaia's Guide",1981,""
"Michael's","Tel.921-2644.
","Restaurants","Hollywood","FL","United States","Gaia's Guide",1981,""
"Lesbian Task Force","Tel.398-7728.
","Groups","Jacksonville","FL","United States","Gaia's Guide",1981,""
"The Dudes (My Little Dude)","Noisy, crowded, friendly. Pool table 90% gay women. Located across from Farmbest Dairy. Recommended.","Bars","Jacksonville","FL","United States","Gaia's Guide",1981,""
"The Springfield","100% gay women","Bars","Jacksonville","FL","United States","Gaia's Guide",1981,""
"Back Door","Tel.(904)725-9749.Disco dancing, pool tables, other games and occasional entertainment. They have a boutique, sell GAIA'S GUIDE and are hightly recommended. Open 4pm-2am Mon.-Sat.","Bars","Jacksonville","FL","United States","Gaia's Guide",1981,""
"New Phoenix","","Bars","Jacksonville","FL","United States","Gaia's Guide",1981,""
"Bo's Crow Bar","el.249-9297.Open
noon-2am seven days a week. ","Bars","Jacksonville Beach","FL","United States","Gaia's Guide",1981,""
"The Monster","Fabulous
; indoor/outdoor bar. Four separate areas of incredible design.
Very popular with gay women as well as men. Recommended.
","Bars","Key West","FL","United States","Gaia's Guide",1981,""
"Delmonico's","Patio and gardens.
","Bars","Key West","FL","United States","Gaia's Guide",1981,""
"Rooftop Cafe","Tel.294-2042.
","Restaurants","Key West","FL","United States","Gaia's Guide",1981,""
"Poor Richard's Buttery","T
l.
e
(3
l.
0
2
5
9
)
4
2
-
9
0
6
7
-
1
5
7
","Restaurants","Key West","FL","United States","Gaia's Guide",1981,""
"Claire","T e
T
l.
e
(3
l.
0
2
5
9
)
4
2
-
9
0
6
7
-
1
5
7
5
.
58.
","Restaurants","Key West","FL","United States","Gaia's Guide",1981,""
"Floridian Motel of Key West","The largest gay resort in Key West. It's
lesbian owned and has a fresh water pool in tropical gardens.
Luxury suites, air conditioned and heated. Near beach and discos.
Motel units, sundeck,ef f iciencies and reasonable rates. Highly
recommended
","Motels","Key West","FL","United States","Gaia's Guide",1981,""
"Casa Donovan","T
he
e l.
""
(
K
3
e
0
y
5 )
W
29
e
4
s
-
A guest house for gay women and men-- ask about the ""Key West Moon Bow Tours"" Reasonable rates and a very hospitable host
t.","Guest House","Key West","FL","United States","Gaia's Guide",1981,""
"Center Gardens Guest House","Tel.(305)294-81 47.A woman-only guest house set in super
tropical old town homes. Very hot tub and outdoor shower. Pul)
kitchens and sound systems. Friendly people","Guest House","Key West","FL","United States","Gaia's Guide",1981,""
"Ellie's Nest","Tel.(305)296.
5757.A new guest house for women only. Reasonable rates,
beautiful surroundings and friendly people. They sell GAIA:
GUIDE.
","Guest House","Key West","FL","United States","Gaia's Guide",1981,""
"The Bookshop","full range of
feminist books. They sell GAIA’S GUIDE.
","Bookstore","Key West","FL","United States","Gaia's Guide",1981,""
"Green Parrot","Dancing, pool table, regular drag shows.
Food is served and it's highly recommended","Bars","Lakeland","FL","United States","Gaia's Guide",1981,""
"Sly Fox","Tel.(813)682-9489 Private
club and it might be Just gay men so ring up first and check.
Located 3 1/2 miles north of Lakeland Hills Blvd, on Lake Desson.
","Bars","Lakeland","FL","United States","Gaia's Guide",1981,""
"Kathy's","Tel. (305)586-
5664.Dancing/pool/pin—ball & other games. Women guest artists and
female impersonators. Open mike nights. It’s a private club but
a copy of GAIA'S GUIDE and valid I.D. will get you in. ""Built by
women for women.""","Bars","Lake Worth","FL","United States","Gaia's Guide",1981,""
"Music Box","Tel.582-6331-Open fon-
Sat: 10am-2am; Sunday 1pm-midnight.
","Bars","Lake Worth","FL","United States","Gaia's Guide",1981,""
"The Other End Lounge","Tel •(813)393-
9013.
","Bars","Medeira Beach","FL","United States","Gaia's Guide",1981,""
"Christ Metropolitan Community Church","""Where Lesbian Women are a Vital Part of Worship.""","Religious Groups","Miami","FL","United States","Gaia's Guide",1981,""
"Alternatives Counseling Center, Inc.","Tel.(305)757-9702. A private counseling center with special outreach to persons in alternative lifestyles. Sensitive |
to the needs of gay persons, their approach 1s integrative rather than segregative open 10am-7pm.","Counselling/Therapy","Miami","FL","United States","Gaia's Guide",1981,""
"The Mug Bar","Tel.691-9727.Beer/wine/pool tables and pin-ball.
 Open12 noon-1am seven days a week.","Bars","Miami","FL","United States","Gaia's Guide",1981,""
"Blackie's Hideaway","Highly recommended women-only room in the Cambridge.
","Bars","Miami","FL","United States","Gaia's Guide",1981,""
"C.B.'s Bar","Tel.836-4052. ""Wash your duds while you drink some suds.""--Open seven days
a week-lOam-lam","Bars","Miami","FL","United States","Gaia's Guide",1981,""
"The Warehouse","Tel.445-8713.Disco featuring women-only nights. ","Bars","Miami","FL","United States","Gaia's Guide",1981,""
"Hamlet's Hideaway","Tel.358- 3736.The address might be: 3416 Main Highway. Showtimes are Sat.k Sun. nights","Show-Bars","Miami","FL","United States","Gaia's Guide",1981,""
"Mayflower Back Room","Tel.673-6345.Disco dancing on a glass dance floor — is it a women’s bar or has it j
become a men’s bar? Reports,please.Located in Miami Beach area. ","Show-Bars","Miami","FL","United States","Gaia's Guide",1981,""
"The Cambridge","Tel. 442-2472
","Bar/Restaurant","Miami","FL","United States","Gaia's Guide",1981,""
"Candlelight Club","el.444-4555.
","Restaurants","Miami","FL","United States","Gaia's Guide",1981,""
"Visa Travel","Tel.(305)444-8484.""Able to provide whatever services the gay community might require without any hassles or raised eyebrows."" Contacts are maintained with gay-oriented travel groups.","Travel Agencies and Clubs","Miami","FL","United States","Gaia's Guide",1981,""
"Miss Kay's Zoo Lounge","Tel.531-0801. Show-bar located in the Surfside Plaza. There's a swimming pool and show time is Fri. & Sat at 11:30pm.
he bar is open from llam-2am. Recommended.
","Show-Bars","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Las Lechuzas Disco","Tel.672-9422. Show-bar and disco.","Bars","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Mayflower","Tel.(305)673-6345.","Bars","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Nite Owl","Tel.673-
9864.Three bars under one roof: Nite Owl, Pin-up and Middle
Roon.Game room with two pool tables and pin-ball machines. Gay
wonen and men. Some straights do frequent the Nite Owl bar—but
no nassles. Recommended.
","Bars","Miami Beach","FL","United States","Gaia's Guide",1981,""
"The Phoenix","Tel.940-5292. Lunches/dinners/Sunday brunch. Piano bar and show bar.","Bar/Restaurant","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Mr. Coney Island","Tel.861-6464.""We
sipport 'Gay Human Beings' human rights.""
","Restaurants","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Windjammer","Tel.(305)373-
2466.'Barefoot Cruises'. For the gay community. Women-only tours
to the Caribbean, etc.","Travel Agencies and Clubs","Miami Beach","FL","United States","Gaia's Guide",1981,""
"Crow Bar","Ask Locally.","Bars","Neptune Beach","FL","United States","Gaia's Guide",1981,""
"Nite Owl Club","Tel.894-9293.","Bars","Orlando","FL","United States","Gaia's Guide",1981,""
"Odds & Ends","Tel.(305)293-
2220pen llam-2am/4am weekends. Disco, pool tables, pin-ball,
female impersonation shows, sandwiches served. BYOB after 2am —
o.k. for gay women.
","Bars","Orlando","FL","United States","Gaia's Guide",1981,"Is ""female impersonation shows"" just a critical/feminist way of writing drag shows?"
