"","title","description","type","amenityfeatures","city","state","Year","notes","publication","country"
"1782","Denny's","","Restaurant","(M),(R),(C),(AH)","McAllen","TX",1983,"","Bob Damron's Address Book","United States"
"1783","Denny's","","Restaurant","(M),(R),(C),(AH)","Lansing","MI",1983,"","Bob Damron's Address Book","United States"
"1784","Denny's","","Restaurant","(M),(R),(C),(AH)","El Paso","TX",1983,"","Bob Damron's Address Book","United States"
"1785","Denny's","","Restaurant","(M),(R),(C),(AH)","Phoenix","AZ",1983,"","Bob Damron's Address Book","United States"
"1786","Denny's","","Restaurant","(M),(R),(C),(AH)","Lubbock","TX",1983,"","Bob Damron's Address Book","United States"
"1787","Denny's","","Restaurant","(M),(R),(C),(AH)","Indianapolis","IN",1983,"","Bob Damron's Address Book","United States"
"1788","Denny's","","Restaurant","(M),(R),(C),(AH)","Wichita Falls","TX",1983,"","Bob Damron's Address Book","United States"
"1789","Denny's","at 8th St. exit","Restaurant","(M),(R),(C),(AH)","Waco","TX",1983,"","Bob Damron's Address Book","United States"
"1790","Denver Book Barter","","Book Store","","Denver","CO",1981,"","Bob Damron's Address Book","United States"
"1791","Denver Book Barter","","Book Store","","Denver","CO",1983,"","Bob Damron's Address Book","United States"
"1792","Denver Book Fair","","Book Store","(M)","Denver","CO",1981,"","Bob Damron's Address Book","United States"
"1793","Depot Lounge","Holiday Inn","Bars/Clubs","(M)","St. Joseph","MO",1981,"","Bob Damron's Address Book","United States"
"1794","Depot Lounge","(Disco)","Bars/Clubs","(D)","Hammond","IN",1983,"","Bob Damron's Address Book","United States"
"1795","Des Moines Boardwalk Club","(Gay complex)(4 bars)(Disco)","Bars/Clubs","(D)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"1796","Desert Deli","","Restaurant","(R),(C),(AH)","Tuscon","AZ",1983,"","Bob Damron's Address Book","United States"
"1797","Desert Squire","(clothing)","Business","","Scottsdale","AZ",1983,"","Bob Damron's Address Book","United States"
"1798","DeSoto Park","T-Room","Cruising Areas","Cruisy Area,(AYOR)","Hot Springs","AR",1983,"DeSoto Park: https://www.cityhs.net/Facilities/Facility/Details/Desoto-Park-5","Bob Damron's Address Book","United States"
"1799","DeSoto Park T-Room","","Cruising Areas","Cruisy Area,(AYOR)","Hot Springs","AR",1981,"","Bob Damron's Address Book","United States"
"1800","Deux Cheminee","(French R) 251 S. Camac","Restaurant","(R),(PE)","Philadelphia","PA",1981,"","Bob Damron's Address Book","United States"
"1801","Dexter 'Rest Stop'","S. side of 1-94 W.","Cruising Areas","Cruisy Area","Ann Arbor","MI",1981,"","Bob Damron's Address Book","United States"
"1802","Dexter 'Rest Stop'","S. side","Cruising Areas","Cruisy Area","Ann Arbor","MI",1983,"","Bob Damron's Address Book","United States"
"1803","Dexter Pub","","Bars/Clubs","(D),(OC)","Montgomery","AL",1981,"","Bob Damron's Address Book","United States"
"1804","Dexter's Inn","","Hotel","(M),(H),(*)","Provincetown","MA",1981,"","Bob Damron's Address Book","United States"
"1805","Dexter's Inn","","Hotel","(M),(H)","Provincetown","MA",1983,"","Bob Damron's Address Book","United States"
"1806","Di Rocco's Cabaret","(Disco)(Some L) (WE*) (Rte. 3 A ) nr. New Hampshire State Line","Bars/Clubs","(YC),(D),(L),(S),(WE),(*)","Tyngsboro","MA",1981,"","Bob Damron's Address Book","United States"
"1807","Di Rocco's Cabaret","(Disco)(Some L )(WE*)(Rte. 3A) nr. New Hampshire State Line","Bars/Clubs","(YC),(D),(S),(L),(WE),(*)","Tyngsboro","MA",1983,"","Bob Damron's Address Book","United States"
"1808","Diamond Bar","(Some W, SM) (Good afternoons)","Bars/Clubs","(W),(SM),(*)","Omaha","NE",1981,"","Bob Damron's Address Book","United States"
"1809","Diamond Bar","(Some W, SM) (Good afternoons)","Bars/Clubs","(W),(SM),(*)","Omaha","NE",1983,"","Bob Damron's Address Book","United States"
"1810","Diamond Belle","Peek-A-Rama (Books)","Book Store,Erotic Shop","(M)","Rapid City","SD",1981,"","Bob Damron's Address Book","United States"
"1811","Diamond Belle Bar","","Bars/Clubs","(M)","Durango","CO",1981,"","Bob Damron's Address Book","United States"
"1812","Diamond Head","'B.A.' Beach - below lighthouse","Cruising Areas","Cruisy Area","Waikiki","HI",1981,"","Bob Damron's Address Book","United States"
"1813","Diamond Head 'B.A.' Beach","below lighthouse","Cruising Areas","Cruisy Area,(AYOR)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"1814","Diamond Head Athletic Club","(Nautilus gym)(Show Address Book for adm.)","Gym","(*),(P)","Waikiki","HI",1981,"","Bob Damron's Address Book","United States"
"1815","Diamond Head Athletic Club","(Nautilus gym)","Gym","(*),(P)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"1816","Diamond Head Bushes","above the Hwy.","Cruising Areas","Cruisy Area","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"1817","Diamond Lil's","(D.L's)","Bars/Clubs","(S)","Phoenix","AZ",1981,"","Bob Damron's Address Book","United States"
"1818","Diamond Lil's","(Some Latins, L)","Bars/Clubs","(*),(PT),(L)","El Paso","TX",1981,"","Bob Damron's Address Book","United States"
"1819","Diamond Lil's","(Some Latins, L)","Bars/Clubs","(*),(L),(PT)","El Paso","TX",1983,"","Bob Damron's Address Book","United States"
"1820","Diamond S Ranch & Hot Springs","Steambath can be interesting","Hotel,Bathhouses","(M),(H)","Boulder","MT",1981,"","Bob Damron's Address Book","United States"
"1821","Diane's","(Some L)","Bars/Clubs","(L)","New Orleans","LA",1981,"","Bob Damron's Address Book","United States"
"1822","Diane's","","Bars/Clubs","","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"1823","Different Drum","(Uniforms) (Eagle Leathers)","Bars/Clubs","(*),(SM),(FFA),(PT),(W)","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"1824","Dignity","","Religious Institution","","Harrisburg","PA",1981,"","Bob Damron's Address Book","United States"
"1825","Dignity","","Religious Institution","","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"1826","Dignity","(Catholic Church)","Religious Institution","","Minneapolis","MN",1981,"","Bob Damron's Address Book","United States"
"1827","Dignity","(Catholic gays)","Religious Institution","","Philadelphia","PA",1981,"","Bob Damron's Address Book","United States"
"1828","Dignity","","Religious Institution","","Las Vegas","NV",1981,"","Bob Damron's Address Book","United States"
"1829","Dignity","(Church)","Religious Institution","","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"1830","Dignity","","Religious Institution","","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"1831","Dignity","(Church)","Religious Institution","","Portland","OR",1983,"","Bob Damron's Address Book","United States"
"1832","Dignity","(Church)","Religious Institution","","Toledo","OH",1983,"","Bob Damron's Address Book","United States"
"1833","Dignity","(Church)","Religious Institution","","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"1834","Dignity","(Church)","Religious Institution","","Norfolk","VA",1983,"","Bob Damron's Address Book","United States"
"1835","Dignity","(Church)","Religious Institution","","Richmond","VA",1983,"","Bob Damron's Address Book","United States"
"1836","Dignity","(Church)","Religious Institution","","St. Louis","MO",1983,"","Bob Damron's Address Book","United States"
"1837","Dignity","(Catholic Church)","Religious Institution","","Minneapolis","MN",1983,"","Bob Damron's Address Book","United States"
"1838","Dignity","(Church)","Religious Institution","","Salt Lake City","UT",1983,"","Bob Damron's Address Book","United States"
"1839","Dignity","","Religious Institution","","Harrisburg","PA",1983,"","Bob Damron's Address Book","United States"
"1840","Dignity","(Church)","Religious Institution","","Baltimore","MD",1983,"","Bob Damron's Address Book","United States"
"1841","Dignity","(Hartford)","Religious Institution","","Hartford","CT",1983,"","Bob Damron's Address Book","United States"
"1842","Dignity","(Church)","Religious Institution","","Columbus","OH",1983,"","Bob Damron's Address Book","United States"
"1843","Dignity","(Church)","Religious Institution","","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"1844","Dignity","(Church)","Religious Institution","","Tucson","AZ",1983,"","Bob Damron's Address Book","United States"
"1845","Dignity","(Church) (202) 232-7103","Religious Institution","","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"1846","Dignity","(Church)","Religious Institution","","Cincinnati","OH",1983,"","Bob Damron's Address Book","United States"
"1847","Dignity","(Church)","Religious Institution","","San Antonio","TX",1983,"","Bob Damron's Address Book","United States"
"1848","Dignity","(Indianapolis)","Religious Institution","","Indianapolis","IN",1983,"","Bob Damron's Address Book","United States"
"1849","Dignity","(Church)","Religious Institution","","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"1850","Dignity","(Church)","Religious Institution","","Boston","MA",1983,"","Bob Damron's Address Book","United States"
"1851","Dignity","","Religious Institution","","Wilkes-Barre","PA",1983,"","Bob Damron's Address Book","United States"
"1852","Dignity / Pittsburgh","(Catholics)","Religious Institution","","Pittsburgh","PA",1981,"","Bob Damron's Address Book","United States"
"1853","Dignity / Pittsburgh","(Catholics)","Religious Institution","","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"1854","Dignity Detroit","(Catholic organ.)","Religious Institution","","Detroit","MI",1981,"","Bob Damron's Address Book","United States"
"1855","Dignity Detroit","","Religious Institution","","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"1856","Dignity Omaha","(Church)","Religious Institution","","Omaha","NE",1983,"","Bob Damron's Address Book","United States"
"1857","Dignity/Ft. Worth","(Church)","Religious Institution","","Ft. Worth","TX",1983,"","Bob Damron's Address Book","United States"
"1858","Diners News","(Books)","Book Store","","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"1859","Diners News","(Books)","Book Store","","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"1860","Diplomat Club Baths","(Looks promising)","Bathhouses","","Grand Rapids","MI",1983,"","Bob Damron's Address Book","United States"
"1861","Dirt Cheap","(Book Store & Head Shop)","Book Store","(*)","Lincoln","NE",1981,"","Bob Damron's Address Book","United States"
"1862","Dirty Dottie's Cleaners","(Good source for local info.)","Business","","New Orleans","LA",1981,"","Bob Damron's Address Book","United States"
"1863","Dirty Dottie's Cleaners","","Business","","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"1864","Dirty Mary's","(Patio betw. Hamburger Mary's & Hulas)(Some SM, W, FFA)(Cruisy)","Bars/Clubs,Cruising Areas","(*),(SM),(W),(FFA)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"1865","Dirty Sally's","(Patio)(Good days & early evenings*)","Bars/Clubs","(*)","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"1866","Dirty Sally's","(Patio)(Good days)","Bars/Clubs","","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"1867","Disco 425","(Disco)(Some L, YC)  ('First Emperor')(S - WE & Wed.)","Bars/Clubs","(D),(L),(YC),(*),(S),(WE)","Spokane","WA",1981,"","Bob Damron's Address Book","United States"
"1868","Disco 425","(Disco)(Some L, YC) ('First Emperor')(S - WE & Wed.)","Bars/Clubs","(*),(D),(L),(YC),(S),(WE)","Spokane","WA",1983,"","Bob Damron's Address Book","United States"
"1869","Disco Cave","(Disco)","Bars/Clubs","(D)","Patterson","NJ",1981,"","Bob Damron's Address Book","United States"
"1870","Disco Cave","(Disco)(Looking up in spite of problems)","Bars/Clubs","(D)","Patterson","NJ",1983,"","Bob Damron's Address Book","United States"
"1871","Disco Fever","(Disco)(Game room)","Bars/Clubs","(*),(D),(PT)","Las Vegas","NV",1981,"","Bob Damron's Address Book","United States"
"1872","Discount Adult Books","","Book Store,Erotic Shop","","Wilmington","DE",1983,"","Bob Damron's Address Book","United States"
"1873","Discount Book Store","(Movie arcade - cruisy)","Cruising Areas,Book Store","Cruisy Area","Dayton","OH",1981,"","Bob Damron's Address Book","United States"
"1874","Discovery","(Disco)","Restaurant","(YC),(R),(S),(D),(*)","Little Rock","AR",1981,"","Bob Damron's Address Book","United States"
"1875","Discovery","(Disco)(D - upstairs)(PT & Games)(3 bars)(Something for everyone)","Bars/Clubs","(*),(YC),(D),(PT)","Louisville","KY",1983,"","Bob Damron's Address Book","United States"
"1876","Discovery","(DIsco) (riverfront Dr. off Cantrell Rd.)","Bars/Clubs","(*),(YC),(D),(S)","Little Rock","AR",1983,"","Bob Damron's Address Book","United States"
"1877","Discovery 3","(Disco)('til 3am)(WE*)","Bars/Clubs","(YC),(D),(WE),(*)","Palisades Park","NJ",1983,"","Bob Damron's Address Book","United States"
"1878","Do Jiggy","(WE*)","Bars/Clubs","(PT),(WE),(OC),(*)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"1879","Doc Johnson's","(Books 'n' things)","Book Store","(M)","Bloomington","IN",1981,"","Bob Damron's Address Book","United States"
"1880","Doc Johnson's","(Books 'n' things)","Book Store","(M)","Bloomington","IN",1983,"","Bob Damron's Address Book","United States"
"1881","Dock","(Disco)","Bars/Clubs","(YC),(P),(*),(D)","Baton Rouge","LA",1981,"","Bob Damron's Address Book","United States"
"1882","Dock","by Pier IV Restaurant","Cruising Areas","Cruisy Area","Prairie Du Chien","WI",1981,"","Bob Damron's Address Book","United States"
"1883","Dog Patch 2","(Looks promising)","Bars/Clubs","(S)","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"1884","Dolpen II Book Store","","Book Store","(*)","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"1885","DolpenII Book Store","","Book Store","(*)","New Orleans","LA",1981,"","Bob Damron's Address Book","United States"
"1886","Don's Le Patois","(French R)","Restaurant","(M),(R)","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"1887","Donald's Lounge","(Some L)","Bars/Clubs","(L),(D)","Kansas City","MO",1983,"","Bob Damron's Address Book","United States"
"1888","Dorian's Restaurant","","Cruising Areas","Cruisy Area","Kailua-Kona","HI",1983,"","Bob Damron's Address Book","United States"
"1889","Dot's Spot","(Some L)","Restaurant,Bars/Clubs","(R),(E),(L)","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"1890","Dot's Video & Thrift Store","","Business","","Tulsa","OK",1983,"","Bob Damron's Address Book","United States"
"1891","Double Header","","Bars/Clubs","(M),(RT),(OC),(D)","Seattle","WA",1981,"","Bob Damron's Address Book","United States"
"1892","Double Header","","Bars/Clubs","(M),(RT),(OC),(D)","Seattle","WA",1983,"","Bob Damron's Address Book","United States"
"1893","Double U's Adult Store","","Erotic Shop","","Wichita Falls","TX",1981,"","Bob Damron's Address Book","United States"
"1894","Double U's Adult Store","","Erotic Shop","","Wichita Falls","TX",1983,"","Bob Damron's Address Book","United States"
"1895","Douglas Dunes","(Resort)(Disco - D - WE) Blue Star Mem. Hwy. (616) 857-1401","Restaurant,Bars/Clubs,Hotel","(*),(H),(R),(D),(WE)","Douglas","MI",1983,"City in address is different from listed city","Bob Damron's Address Book","United States"
"1896","Douglas Tavern","","Bars/Clubs","(M)","Superior","WI",1981,"","Bob Damron's Address Book","United States"
"1897","Douglas Tavern","(Best late nites)","Bars/Clubs","","Superior","WI",1983,"","Bob Damron's Address Book","United States"
"1898","Dover Fox","(Disco)(Cruisy)","Bars/Clubs,Cruising Areas","(D)","Kansas City","MO",1981,"","Bob Damron's Address Book","United States"
"1899","Dover Fox","(Disco)","Bars/Clubs","(D),(YC)","Kansas City","MO",1983,"","Bob Damron's Address Book","United States"
"1900","Down & Dirty","('D.D.'s) (Trying for W, SM) (Disco)","Bars/Clubs","(SM),(D),(W)","Tuscon","AZ",1983,"","Bob Damron's Address Book","United States"
"1901","Down Under Book Store","(Books, erotica, cruisy peep shows)(Open 24 hrs.) at Cypress","Erotic Shop,Book Store,Cruising Areas","","Atlanta","GA",1981,"","Bob Damron's Address Book","United States"
"1902","Downstairs Bar","Old Marquette Inn","Bars/Clubs","(M)","Marquette","MI",1983,"","Bob Damron's Address Book","United States"
"1903","Downtown","betw. P.O. & Public Library","Cruising Areas","Cruisy Area","Knoxville","TN",1983,"","Bob Damron's Address Book","United States"
"1904","Downtown","around Ellwest & Triple X Theatres at N. end of Tarrent County Conv. Center","Cruising Areas","Cruisy Area","Ft. Worth","TX",1983,"","Bob Damron's Address Book","United States"
"1905","Downtown","Madison betw. Giss Pkwy & Main St.","Cruising Areas","Cruisy Area","Yuma","AZ",1983,"","Bob Damron's Address Book","United States"
"1906","Downtown Book Store","","Book Store","","Las Vegas","NV",1983,"","Bob Damron's Address Book","United States"
"1907","Downtown Books","","Book Store","","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"1908","Downtown Mall","T-Room","Cruising Areas","Cruisy Area","Springfield","MA",1981,"","Bob Damron's Address Book","United States"
"1909","Downtown Mall","T-Room","Cruising Areas","Cruisy Area","Springfield","MA",1983,"","Bob Damron's Address Book","United States"
"1910","Downtown News","","Book Store","","Youngstown","OH",1981,"","Bob Damron's Address Book","United States"
"1911","Downtown Stag Shop","(Books & erotica)","Book Store,Erotic Shop","","Richmond","VA",1983,"","Bob Damron's Address Book","United States"
"1912","Downtowner","","Bars/Clubs","","Ft. Worth","TX",1981,"","Bob Damron's Address Book","United States"
"1913","Downtowner","(Disco)(Many L) (WE*)","Bars/Clubs","(D),(E),(S),(L),(WE),(*)","Louisville","KY",1981,"","Bob Damron's Address Book","United States"
"1914","Downtowner","(Disco)(Some L)","Bars/Clubs","(D),(E),(S),(L),(*)","Louisville","KY",1983,"","Bob Damron's Address Book","United States"
"1915","Downtowner Motel Bar","","Bars/Clubs","(M),(*)","Vicksburg","MS",1981,"","Bob Damron's Address Book","United States"
"1916","Downtowner Motel Bar","","Bars/Clubs","(M),(*)","Vicksburg","MS",1983,"","Bob Damron's Address Book","United States"
"1917","Downtowner Plaza Shopping Mall","","Cruising Areas","Cruisy Area","Coshocton","OH",1981,"","Bob Damron's Address Book","United States"
"1918","Downtowner Plaza Shopping Mall","","Cruising Areas","Cruisy Area","Coshocton","OH",1983,"","Bob Damron's Address Book","United States"
"1919","Drake Hotel","","Hotel,Restaurant","(H),(R)","Asbury Park","NJ",1983,"","Bob Damron's Address Book","United States"
"1920","Driftwood Lounge","(Opens 4pm)(Out of staters welcome)","Bars/Clubs","(*),(P),(YC),(D)","Huntington","WV",1981,"","Bob Damron's Address Book","United States"
"1921","Driftwood Lounge","(Opens 4pm)(S-WE)","Bars/Clubs","(*),(P),(YC),(D),(S),(WE)","Huntington","WV",1983,"","Bob Damron's Address Book","United States"
"1922","Drinkery","(Disco)(Cruisy) at Park","Bars/Clubs,Cruising Areas","(*),(D)","Baltimore","MD",1981,"","Bob Damron's Address Book","United States"
"1923","Drinkery","(Some OC) at Park","Bars/Clubs","(OC)","Baltimore","MD",1983,"","Bob Damron's Address Book","United States"
"1924","Drury Lane","(Good days*)(bar below Lafittes)","Bars/Clubs","(*)","Philadelphia","PA",1981,"","Bob Damron's Address Book","United States"
"1925","Drury Lane","(Good days*)(bar below Lafittes)","Bars/Clubs","(SM),(*)","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"1926","Duck Pond","at Wright Park","Cruising Areas","Cruisy Area","Tacoma","WA",1983,"","Bob Damron's Address Book","United States"
"1927","Dudes Book Store","(Flicks, etc.)(Cruisy)","Book Store,Cruising Areas,Erotic Shop","","Greensboro","NC",1981,"","Bob Damron's Address Book","United States"
"1928","Dudes Book Store","(Flicks, etc.)(Cruisy)","Book Store,Cruising Areas,Erotic Shop","","Greensboro","NC",1983,"","Bob Damron's Address Book","United States"
"1929","Duff's","(Open Sundays*)","Restaurant","(M),(R),(*)","St. Louis","MO",1981,"","Bob Damron's Address Book","United States"
"1930","Duff's","(Open Sundays)","Restaurant","(M),(R)","St. Louis","MO",1983,"","Bob Damron's Address Book","United States"
"1931","Duffy's Tavern","(Some L)","Bars/Clubs","(L),(D),(PT)","McAllen","TX",1981,"","Bob Damron's Address Book","United States"
"1932","Duffy's Tavern","(Some L)","Bars/Clubs","(D),(PT),(L)","McAllen","TX",1983,"","Bob Damron's Address Book","United States"
"1933","Dugan's Deli","","Restaurant","(M),(R)","Ames","IA",1981,"","Bob Damron's Address Book","United States"
"1934","Dugan's Deli","","Restaurant","(M),(R)","Ames","IA",1983,"","Bob Damron's Address Book","United States"
"1935","Duke U.","Page Auditorium - T-Room","Cruising Areas","Cruisy Area","Durham","NC",1981,"","Bob Damron's Address Book","United States"
"1936","Duke U.","(T-Room) (Page Auditorium)","Cruising Areas","Cruisy Area","Durham","NC",1983,"","Bob Damron's Address Book","United States"
"1937","Duluth Hotel Bar","","Hotel,Bars/Clubs","","Detroit Lakes","MN",1981,"","Bob Damron's Address Book","United States"
"1938","Duluth Steam Baths","(Closes 12 midnight)","Bathhouses","","Duluth","MN",1983,"","Bob Damron's Address Book","United States"
"1939","Dundee Inn","(Bar) 20th at Ocean Front","Hotel","(M),(H)","Virginia Beach","VA",1981,"","Bob Damron's Address Book","United States"
"1940","Dunes","west of Surfside","Cruising Areas","Cruisy Area","Nantucket","MA",1983,"","Bob Damron's Address Book","United States"
"1941","Dunes Motel & Apts.","(P.O. Box 361)","Hotel","(H)","Provincetown","MA",1981,"","Bob Damron's Address Book","United States"
"1942","Dunes Motel & Apts.","(P.O. Box 361)","Hotel","(H)","Provincetown","MA",1983,"","Bob Damron's Address Book","United States"
"1943","Dunk & Dine","","Restaurant","(M),(R)","Atlanta","GA",1981,"","Bob Damron's Address Book","United States"
"1944","Dunk & Dine","(Open late)","Restaurant","(M),(R)","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"1945","Dunkin Donuts","","Cruising Areas","Cruisy Area","Columbia","MO",1981,"","Bob Damron's Address Book","United States"
"1946","Dunkin Donuts","","Cruising Areas","Cruisy Area","Columbia","MO",1983,"","Bob Damron's Address Book","United States"
"1947","Durham Mall","'T-Room'","Cruising Areas","Cruisy Area","Pittsfield","MA",1981,"Could this be ""Dunham"" Mall?: https://downtownpittsfield.com/2018/04/dunham-mall-residences-20-dunham-mall-pittsfield-ma-01201/","Bob Damron's Address Book","United States"
"1948","Durham Mall","'T-Room'","Cruising Areas","Cruisy Area","Pittsfield","MA",1983,"Could this be ""Dunham"" Mall?: https://downtownpittsfield.com/2018/04/dunham-mall-residences-20-dunham-mall-pittsfield-ma-01201/","Bob Damron's Address Book","United States"
"1949","Dutch's","(Disco)","Restaurant,Bars/Clubs","(YC),(D),(R),(PT),(*)","Saginaw","MI",1981,"","Bob Damron's Address Book","United States"
"1950","Dutch's","(Disco)","Bars/Clubs,Restaurant","(*),(YC),(D),(R),(PT)","Saginaw","MI",1983,"","Bob Damron's Address Book","United States"
"1951","Duval Street","(Some L)(C-AH)","Bars/Clubs","(L),(C),(AH)","Hyannis","MA",1983,"","Bob Damron's Address Book","United States"
"1952","E-Ramp","(Some SM, W)","Bars/Clubs","(SM),(W),(*)","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"1953","E-Z Cafe","(6am to 10pm)","Restaurant","(E),(R),(M)","Paia","HI",1981,"","Bob Damron's Address Book","United States"
"1954","E. 5th St.","betw. Brown & Wayne","Cruising Areas","Cruisy Area","Dayton","OH",1981,"","Bob Damron's Address Book","United States"
"1955","E. Washington Book Mart","","Book Store","(M)","Indianapolis","IN",1981,"","Bob Damron's Address Book","United States"
"1956","E.J.'s","","Bars/Clubs","","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"1957","Eager St. Saloon","(Adjoins Hippo-opens 4pm) at Charles","Bars/Clubs","(D),(YC),(PT),(*)","Baltimore","MD",1981,"","Bob Damron's Address Book","United States"
"1958","Eagle II (M)(R)","(Open 24 hrs) betw.Walnut & Locust","Restaurant","(M),(R),(*)","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"1959","Eagle Leather","(Clothing, etc.)","Erotic Shop","","Dallas","TX",1983,"","Bob Damron's Address Book","United States"
"1960","Eagle's Nest","(Tops' in the area)(Disco)(PT & cruisy game room downstairs)(Muskegon Heights)","Bars/Clubs,Cruising Areas","(S),(D),(*),(PT)","Muskegon","MI",1981,"","Bob Damron's Address Book","United States"
"1961","Eagle's Nest","(Disco)(Muskegon Heights)","Bars/Clubs","(*),(S),(D),(PT)","Muskegon","MI",1983,"","Bob Damron's Address Book","United States"
"1962","Eagle's Nest Lounge","Holiday Inn","Bars/Clubs,Hotel","(M)","Pittsfield","MA",1981,"","Bob Damron's Address Book","United States"
"1963","Eagle's Nest Lounge","Holiday Inn","Bars/Clubs,Hotel","(M)","Pittsfield","MA",1983,"","Bob Damron's Address Book","United States"
"1964","Earl Abel's","","Restaurant","(M),(C),(R),(AH),(AYOR)","San Antonio","TX",1981,"","Bob Damron's Address Book","United States"
"1965","Earl Abel's","","Restaurant","(M),(R),(C),(AH),(AYOR)","San Antonio","TX",1983,"","Bob Damron's Address Book","United States"
"1966","Earthly Delights","(Health foods, herbs, etc.)","Business","","Marietta","PA",1983,"","Bob Damron's Address Book","United States"
"1967","East Delta Park","T-Room & Showers","Cruising Areas","Cruisy Area","Portland","OR",1983,"","Bob Damron's Address Book","United States"
"1968","East End Beach & bushes","behind the Bull Pen","Cruising Areas","Cruisy Area","Provincetown","MA",1981,"","Bob Damron's Address Book","United States"
"1969","East End Beach & bushes","behind the Bull Pen","Cruising Areas","Cruisy Area","Provincetown","MA",1983,"","Bob Damron's Address Book","United States"
"1970","East Independence Adult Center","","Organization","","Charlotte","NC",1981,"","Bob Damron's Address Book","United States"
"1971","East Side","(Disco)(D - WE) 4 mi. E. (N. Belfast Ave.)","Bars/Clubs","(WE),(D),(YC),(*)","Augusta","ME",1981,"","Bob Damron's Address Book","United States"
"1972","Eastlake East","(Disco)(Many L)","Bars/Clubs","(D),(L)","Seattle","WA",1981,"","Bob Damron's Address Book","United States"
"1973","Eastlake East","(Disco)","Bars/Clubs","(D),(L)","Seattle","WA",1983,"","Bob Damron's Address Book","United States"
"1974","Eastland Hotel Downstairs","T-Room","Cruising Areas,Hotel","Cruisy Area","Portland","ME",1981,"","Bob Damron's Address Book","United States"
"1975","Eastland Hotel Downstairs","T-Room","Cruising Areas,Hotel","Cruisy Area","Portland","ME",1983,"","Bob Damron's Address Book","United States"
"1976","Eastland Shopping Mall","nr. Ice Rink","Cruising Areas","Cruisy Area","Charlotte","NC",1981,"","Bob Damron's Address Book","United States"
"1977","Eastland Shopping Mall","Arthurs (R) at Ivey's Dept. Store & nr. Ice Rink","Cruising Areas","Cruisy Area,(AYOR)","Charlotte","NC",1983,"","Bob Damron's Address Book","United States"
"1978","Eastwood Mall","","Cruising Areas","Cruisy Area","Warren","OH",1983,"","Bob Damron's Address Book","United States"
"1979","Eastwood Theatre","","Theatre","","Toledo","OH",1983,"","Bob Damron's Address Book","United States"
"1980","Edelweiss","(Downstairs lounge - cocktail hour - 4-7pm) Ogunquit Beach Rd.","Bars/Clubs","(*)","Ogunquit","ME",1981,"","Bob Damron's Address Book","United States"
"1981","Eden","","Restaurant","(M),(R)","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"1982","Eden Park","Ohio River Overlook","Cruising Areas","Cruisy Area","Cincinnati","OH",1981,"","Bob Damron's Address Book","United States"
"1983","Eden Park","Ohio River Overlook","Cruising Areas","Cruisy Area","Cincinnati","OH",1983,"","Bob Damron's Address Book","United States"
"1984","Edgewater Park","","Cruising Areas","Cruisy Area,(AYOR)","Cleveland","OH",1981,"","Bob Damron's Address Book","United States"
"1985","Edgewater Park","","Cruising Areas","Cruisy Area,(AYOR)","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"1986","Edgewater Shopping Center","","Cruising Areas","Cruisy Area,(AYOR)","Biloxi","MS",1981,"","Bob Damron's Address Book","United States"
"1987","Edgewater Shopping Center","","Cruising Areas","Cruisy Area","Biloxi","MS",1983,"","Bob Damron's Address Book","United States"
"1988","Edison Hotel Bar & alley behind","","Cruising Areas,Hotel","Cruisy Area,(RT)","Pittsburgh","PA",1981,"","Bob Damron's Address Book","United States"
